,Precuneus_L,Raphe_D,Insula_L,Fusiform_L,Thal_PuI_L,Occipital_Sup_L,Pallidum_R,ACC_sub_L,Thal_LP_L,Temporal_Sup_R,VTA_L,Red_N_L,OFCmed_L,SN_pr_R,Hippocampus_L,Thal_LGN_R,Occipital_Mid_L,Thal_MGN_R,Thal_VPL_R,Thal_Re_L,Vermis_6,Supp_Motor_Area_L,VTA_R,N_Acc_L,OFClat_R,Precuneus_R,Occipital_Inf_L,Frontal_Sup_2_L,Rectus_L,Vermis_4_5,Postcentral_L,OFCmed_R,Temporal_Mid_L,Fusiform_R,SN_pr_L,SN_pc_R,Calcarine_R,Frontal_Sup_2_R,Cuneus_L,Putamen_L,Thal_VPL_L,Thal_IL_L,Occipital_Sup_R,Thal_AV_L,Temporal_Pole_Mid_R,Cerebellum_4_5_R,Cerebellum_3_L,Frontal_Mid_2_L,Cuneus_R,Angular_R
Precuneus_L,1.0,0.1501276941276963,-0.046188676340387924,0.010120540915131452,0.1365574739138443,-0.21111520801058245,0.23189977102329407,-0.5088746641876238,0.09695003486794601,0.16085518793784473,0.19754104349552687,0.33293647390329023,-0.14216635289802831,0.15368927335734686,0.4470706520791865,0.2549621689666256,0.10740055562173764,0.42550341237307854,0.11132174830566752,0.10969926622983474,0.2741062092023589,0.4139359163758434,0.5781671901171542,-0.020149733830192577,-0.5496756735429943,0.9206398833897325,-0.11177612318816384,-0.0527942531578649,-0.050791035535343136,0.2505720196942171,0.7638781012906054,0.038431181505868196,-0.2609363145208447,0.1988039195502726,-0.010630048398493729,0.3804158700715057,0.30802018898421396,0.1309143402960226,0.5590930718315285,0.0013306422340724942,0.07696861370163366,0.44373334411733745,0.6525000643569342,0.4122598757673935,0.10305217103241009,0.13907525757638475,0.006612494787927591,0.10983428809525488,-0.3952653020691827,0.2832660334411898
Raphe_D,0.1501276941276963,1.0,0.20145915637402945,0.4856344004273533,0.24851866612834408,0.3097583974527458,0.5568600051525568,0.1041002551972262,0.5834422179922247,0.727763980778437,0.272475842662154,0.42781995584986166,-0.00797126432413856,0.5093892992658936,0.43018887135282946,0.537408222576714,-0.10297544870928424,0.39563517109235935,0.5386807611035738,0.4291622889713059,-0.1855344177638425,0.5176693947518728,0.02334164314547932,0.2661870089633202,0.10270104013157821,0.19329180724460018,0.04384448337660918,0.34031289999028985,0.25457920067612694,0.5328088860504854,0.36894210165935576,0.3933910750591571,0.27418545383200255,0.5909328376568226,0.4183790036821705,0.6027232747292282,0.5502949828636112,0.3382819565958588,-0.2322537984527264,0.3887364597911433,0.539307712346211,0.502529708094958,-0.2836643049510515,0.41178783439086986,0.09396447804220116,0.5244845454712158,0.3979350771825612,0.393040663480117,0.38635031622506827,-0.42069875406008805
Insula_L,-0.046188676340387924,0.20145915637402945,1.0,0.32161013396226684,0.5113942637832394,-0.12297887889046241,0.7298132668859422,0.39728607881715877,-0.02169179815404187,0.02968977631239116,0.6180838359674907,0.6312666821541062,0.6135791200231546,0.6441668925343533,0.5724491855981155,0.15095362298771606,0.0301879732825603,-0.23592310729939853,0.15463029880979362,0.21198622402834796,0.01729161088261077,0.39395976438988833,0.16623724899214903,0.5510992204129096,0.14932139276164935,-0.11577089023133527,0.047064373830697316,0.8173030444749326,0.6709079596980594,-0.2558827857489432,0.38708262257188497,0.46222236359423124,0.18455607648139166,-0.1514498704600145,0.7807899326081076,0.5384483113156228,-0.2605249785209685,0.8137173204086553,-0.17761675780253444,0.825363335991936,0.3104018918580412,0.5878092039565128,-0.02909729656384223,0.44391315761407696,-0.2646763209756202,-0.20275580733609022,-0.05586282280918834,0.7219587204574974,-0.0621401393480866,0.2237256695329729
Fusiform_L,0.010120540915131452,0.4856344004273533,0.32161013396226684,1.0,0.21393186615554988,0.3318168336359106,0.5235109775224697,0.17478227982946623,0.46913868111008156,0.5491092712359951,0.021862433645074973,0.24664219375796864,0.10339791902329934,0.4522963527802533,0.2717396527168555,0.3873167518870432,-0.20199807634182007,0.1453360646824054,0.33799917570045257,0.5768892186019988,-0.12677331024012012,0.0993076384441035,-0.38948015742183495,0.1508585234227294,0.20507175475802275,-0.02266080372550343,0.04149836392234502,0.2448046093862363,0.1468601482398483,0.5692102434194368,0.14139294549374887,0.056901618043590875,0.5669368388157429,0.6329532090273032,0.3150413395541071,0.18906942056367423,0.49193033394263497,0.1842184240976105,-0.17877418913574616,0.425221008461194,0.3152330617933356,0.42427909958161386,-0.27191098273787456,0.08890178563644693,-0.06628142807334518,0.6948874230945243,0.6123206713524633,0.29073030936793104,0.4693177268686792,-0.3627264208939429
Thal_PuI_L,0.1365574739138443,0.24851866612834408,0.5113942637832394,0.21393186615554988,1.0,-0.05146525725504232,0.5169585296231336,0.18446935583476334,0.2129618297876415,0.2570439617009863,0.38755370895104163,0.35592200529680573,0.3116453839834825,0.3129324362542237,0.46570270112436746,0.41404467227637565,-0.06079376987577234,0.17041285828818778,0.44204224480309895,0.2474625756876923,0.10278979352132296,0.383703982087252,5.922348101850723e-05,0.29222798922961,0.14444158472454893,0.15962054720108032,0.10041404646749294,0.45603022214979494,0.29775830096931943,0.14045657977400042,0.35404844272527475,0.2828556742610451,0.1965177201643961,0.07443192551489056,0.4775167074453953,0.4064282135616664,0.10285774574100401,0.48131366420299176,0.07497603798036764,0.5537422622077196,0.5966934751900032,0.5739243755037469,-0.008582957078418009,0.45935690724106765,-0.08979448331128387,0.058024421992915395,0.07734168698692852,0.5408782026997142,0.15343962118953391,0.07356092356428241
Occipital_Sup_L,-0.21111520801058245,0.3097583974527458,-0.12297887889046241,0.3318168336359106,-0.05146525725504232,1.0,0.09354871974114264,0.05579254614633768,0.3804611231730882,0.39932910676656114,-0.27374084150962086,-0.10608747208267731,-0.15740464933053255,0.03477595813039808,-0.06193969003834358,0.4107439459447369,-0.010571569395525199,0.3803782265648676,0.4095908206629193,0.25083410115345267,-0.2035854492896052,0.09989069885991726,-0.299725841174063,-0.03702820753309856,0.19786379357330186,-0.10856172017017869,-0.12294851450484286,-0.04159036200393134,-0.17225220551641268,0.5060964197034783,-0.2170469814438758,-0.10918371995479463,0.5139416996836849,0.44410577062930984,-0.06333217316910203,0.0060237617880205836,0.5069101348665819,-0.10760377535861491,-0.24335282932553529,0.007454622311345309,0.25854608901188897,0.024486224981087597,-0.34198734715060114,-0.1374734642672544,0.19851387307376173,0.5196399953152839,0.4210771380482175,0.06985731103702243,0.49205676980068,-0.5967324249294387
Pallidum_R,0.23189977102329407,0.5568600051525568,0.7298132668859422,0.5235109775224697,0.5169585296231336,0.09354871974114264,1.0,0.1484136825315243,0.3298117470078771,0.5447581868642382,0.49015816248817096,0.7893931852176651,0.4669226020632912,0.8327866075148137,0.7035938747285158,0.43432013311407175,0.017934885004826106,0.21108885863523463,0.3980866742030813,0.5751901148347739,-0.05620344050376516,0.5271413343840963,0.18258540072516355,0.5799642960732305,-0.018181864131032836,0.1440109195734004,-0.0469987347926212,0.6628386100546738,0.5117996965735129,0.28497336773805604,0.5364236194558678,0.46008664273715133,0.17764240237771842,0.39100742861955445,0.7017626450889826,0.6570642235619868,0.3075918578786951,0.7035086126609811,-0.17302254045461973,0.7884057373702951,0.48007179269523875,0.8230473676027373,-0.10240036880641584,0.5857931938585391,-0.054652779891684794,0.25628358575762406,0.33672081922690217,0.7121709074792805,0.19020737100890384,-0.0638412870700094
ACC_sub_L,-0.5088746641876238,0.1041002551972262,0.39728607881715877,0.17478227982946623,0.18446935583476334,0.05579254614633768,0.1484136825315243,1.0,0.13510578369012002,0.1705464109042353,0.22849571757263415,0.04124943367330108,0.2906381994409963,0.154487403670155,0.06162415567418011,0.18541981791146142,-0.10710131214855634,-0.18822000448473858,0.20550509682027038,0.08627099048608293,-0.270801825623141,-0.0728218178513854,-0.3403559299696593,0.3498827793791092,0.7104059667588313,-0.4155642802350436,0.05474943139779263,0.5080423176685975,0.3398770013909074,-0.06463586351707777,-0.20840495555958108,0.30042001729129264,0.40960968211637877,-0.03475795452410799,0.40755931869461604,0.10654276550101327,-0.15382760610413174,0.326063513811906,-0.3655635247198531,0.40811398699210333,0.30222563829773624,0.0056358964068179244,-0.36648789661313447,-0.1591659409538393,-0.19920886360323461,0.0032742636460125754,0.12712600791012588,0.2980784936319152,0.25463920576500104,-0.08316463514227185
Thal_LP_L,0.09695003486794601,0.5834422179922247,-0.02169179815404187,0.46913868111008156,0.2129618297876415,0.3804611231730882,0.3298117470078771,0.13510578369012002,1.0,0.6998858334021573,-0.04063037793361439,0.1517700711640202,-0.1270884045307901,0.28850657021795695,0.10715704037972619,0.6084825526753417,-0.3006521576843222,0.4360860387032931,0.7758403164283869,0.4573826792829586,-0.25568584140935,0.366288326815637,-0.12505337177094922,0.15406644932518498,0.1644574640316727,0.1697595024458061,-0.08073260236587812,0.20376467095720516,-0.06544467766736776,0.6262340210578791,0.20921384198823959,0.07921136120955559,0.31931907120129954,0.5915731913415948,0.10070897995506732,0.20496403648419273,0.5484263197162355,0.05397333367281758,-0.28550840279311207,0.29470540185522065,0.6499741950074825,0.3039607552962999,-0.4128165615940235,0.10684411323995557,-0.07095336344193312,0.5657576951277749,0.48272777517409093,0.296195247758079,0.4427074173441499,-0.45300187668244596
Temporal_Sup_R,0.16085518793784473,0.727763980778437,0.02968977631239116,0.5491092712359951,0.2570439617009863,0.39932910676656114,0.5447581868642382,0.1705464109042353,0.6998858334021573,1.0,0.09395733529563159,0.39011863265344815,0.054070236416470394,0.43202329582283516,0.4322519615523853,0.7323373707163942,-0.13558370985361407,0.6208880567596465,0.647015253544699,0.6778035695214368,-0.28019952385257224,0.2944840896291804,-0.18475979177673024,0.3486545610385023,0.2691680135560704,0.24927673016562482,-0.04504072075624634,0.17893436154770223,0.08153897649518908,0.8315020542821816,0.24018834110591628,0.2796375014968109,0.3947947759898514,0.862849365391087,0.3345480797415655,0.3507895481068546,0.805052519253153,0.12250345500325996,-0.19267164747117269,0.4062095214329631,0.6534111735560635,0.5023142005215012,-0.33251455790787676,0.19187333496840048,0.09409736162771278,0.7806755156978733,0.7293008146554077,0.2554285411036824,0.6221980455529508,-0.5723173844923473
