,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_L,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_pre_R,Thal_Re_L,Precentral_L,Red_N_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
SN_pc_R,1.0,0.4452922722472927,0.15975138817653328,0.3507895481068546,0.10912635324762678,0.3883578909955445,0.03686657229044192,-0.015186405001875321,0.26231461267447975,0.6047305451265736,0.14809256156539202,0.6010367285231951,0.43959662176847747,0.4666263272969841,-0.010084138380862041,0.562644297342248,0.2637392321044099,0.47292068260231435,0.19865144665508563,0.6747154200140142,0.5926301635640865,0.3784476911997832,0.5384483113156228,0.6403847806715595,0.0
Thal_MDl_L,0.4452922722472927,1.0,0.17811587165997364,0.5270215387220313,-0.10721290368132803,0.35779544806434366,-0.25695991578271143,-0.06784074806976957,0.3088038226200263,0.4295006717620412,-0.09160927621429263,0.5610118810996059,0.5372965862081351,0.4154783862483205,0.13368449188267678,0.5061687095920298,0.49663361744688045,0.3780432506588635,0.4418798146766173,0.683061781267295,0.5358273244252755,0.15930258866895705,0.4772608654163053,0.43394543271601355,0.0
OFCpost_R,0.15975138817653328,0.17811587165997364,1.0,0.11305807069756571,0.08417287166191892,0.3407819154918797,-0.06056904458368224,0.00250641249550935,0.4372783360381761,0.3894201037881109,0.023131901998018043,0.19709470122476688,-0.05778764477069446,0.22560975470597264,-0.3649573059716682,0.5228876383439073,-0.15662277243539088,0.3557100894886453,0.20438744271590392,0.1572002696061663,0.24352893816885773,-0.06916322225397652,0.40858639395904645,0.27898959086517144,0.0
Temporal_Sup_R,0.3507895481068546,0.5270215387220313,0.11305807069756571,1.0,-0.17566275034135584,-0.01946266027993578,-0.19267164747117269,0.14324511331543158,0.5649355155899818,0.3345480797415655,-0.2764389215871648,0.19187333496840048,0.7323373707163942,0.3507623774711048,0.4599705046290145,0.46093682177259204,0.5842355091712044,0.07401786079064622,0.6778035695214368,0.46716069730323195,0.7975949828014757,0.37238727624643414,0.02968977631239116,0.24018834110591628,0.0
OFClat_L,0.10912635324762678,-0.10721290368132803,0.08417287166191892,-0.17566275034135584,1.0,0.049747041038296275,-0.04518782715181572,-0.15956720317998002,-0.2042561063870844,-0.03374748244126995,0.12399139990535925,-0.12547304557879177,-0.024149043628837533,-0.05111189753687424,-0.14596807523128905,-0.09016351366774482,-0.09543594816745074,0.007096787283715201,-0.12366893938592947,-0.03252499518792148,0.017128671454857802,0.28329609446817217,0.16226785153115567,0.02616368342018166,0.0
Heschl_R,0.3883578909955445,0.35779544806434366,0.3407819154918797,-0.01946266027993578,0.049747041038296275,1.0,0.042134666722523584,-0.08249022212571822,0.42225533134885185,0.11545009123562128,0.419118524653332,0.5288317323938393,0.07465056061565062,0.5565948786472633,-0.04863324896611281,0.32363122593175414,-0.03968578081750596,0.22394240359213466,0.080259286236724,0.2033315451432333,0.08833977982083956,-0.17328806494442367,0.2832597077637349,0.6089453117611924,0.0
Cuneus_L,0.03686657229044192,-0.25695991578271143,-0.06056904458368224,-0.19267164747117269,-0.04518782715181572,0.042134666722523584,1.0,-0.0780656678345768,-0.17995153550609616,-0.17931474717992057,0.0808782574088209,0.18728801256969405,-0.04037006593782696,0.22801188259478034,0.06875546895364551,-0.09721558848996084,-0.053164277908884,-0.30539022336692057,-0.1921832734042531,-0.07755619418226761,-0.2537605735538056,-0.28299365460896847,-0.17761675780253444,0.3195586395798071,0.0
Occipital_Inf_R,-0.015186405001875321,-0.06784074806976957,0.00250641249550935,0.14324511331543158,-0.15956720317998002,-0.08249022212571822,-0.0780656678345768,1.0,0.24933740308954486,0.011506438285991849,-0.012767969361919887,-0.10407639660096725,-0.05464902789123179,-0.15339897864397362,-0.008696934611151643,0.10538128450714848,-0.0172330115577384,0.07053398679094987,0.06124907028852758,0.0021348395423979962,0.14995320483510902,-0.004457223335460623,-0.03364643279978083,-0.14671912319983685,0.0
Temporal_Inf_R,0.26231461267447975,0.3088038226200263,0.4372783360381761,0.5649355155899818,-0.2042561063870844,0.42225533134885185,-0.17995153550609616,0.24933740308954486,1.0,0.16697298562956228,-0.08800358387887215,0.21048371749680786,0.24843721989104628,0.3673533151792769,0.19314793559044321,0.49924178671556607,0.04098486473946446,0.25442209354867357,0.39307183372411725,0.23018072737170914,0.49025997935345955,0.058812417357420974,0.04975727386016428,0.27655672580056984,0.0
SN_pr_L,0.6047305451265736,0.4295006717620412,0.3894201037881109,0.3345480797415655,-0.03374748244126995,0.11545009123562128,-0.17931474717992057,0.011506438285991849,0.16697298562956228,1.0,-0.07333388262687492,0.453269108425316,0.26873794249190214,0.1945699473366363,-0.336689854963483,0.776847217123525,0.30229561705105207,0.5893126228022485,0.37542878875622426,0.6106297109964056,0.6492045161703064,0.17841318257177774,0.7807899326081076,0.390638322446937,0.0
