,Amygdala_R,Vermis_4_5,Red_N_L,Cerebellum_4_5_L,Thal_MGN_L,Temporal_Inf_R,N_Acc_L,Frontal_Med_Orb_L,ACC_pre_R,Frontal_Mid_2_R,Temporal_Inf_L,Parietal_Sup_R,Precentral_R,Thal_Re_L,Thal_PuL_L,Olfactory_L,SN_pr_R,Vermis_7,Thal_LP_L,VTA_R,Thal_PuL_R,Supp_Motor_Area_R,ParaHippocampal_L,Frontal_Inf_Tri_R,Cerebellum_10_L,Insula_R,Thal_MDm_L,Frontal_Inf_Oper_L,Vermis_3,Thal_PuM_R,Thal_MDl_R,Raphe_D,Thal_VL_L,Hippocampus_R,Frontal_Inf_Oper_R,Calcarine_L,Cerebellum_9_R,Occipital_Mid_R,Amygdala_L,OFClat_L
Amygdala_R,1.0,0.16259450899641645,0.7421752003227431,0.16893459306706732,0.3635290057089879,0.49924178671556607,0.7366968667637676,0.32193961020205114,0.6645733312398211,0.7564144107548396,0.07842739691751309,0.10680146917207621,0.6719806035493124,0.4638777004892748,0.2695352010863136,0.5612291617173265,0.7805616190125325,0.0,0.2203973539794626,0.15810479935367516,0.3528500785588413,0.6384982143309276,0.6804264293944642,0.4923254118981614,0.036373769555045364,0.8779715627430349,0.47496739502609914,0.4320043964972571,0.004162616296817669,0.557795973417622,0.5311356426908405,0.4613111598175941,0.39448809108968164,0.7218793526658636,0.7282419409074536,-0.10492642349146646,0.09620699814141959,-0.03035951516912903,0.7355660343887475,-0.09016351366774482
Vermis_4_5,0.16259450899641645,1.0,0.1025430464765566,0.8502788884003816,-0.23874817554497824,0.4477057914552079,0.03747648350579208,0.1705829009079892,-0.22309720674306574,0.05900866191346631,-0.06485960641318751,-0.5261734803538761,0.3321646765555141,0.5636396584197619,-0.3740557541621022,0.21401825833795582,0.14362780799267155,0.0,0.6262340210578791,-0.2810764028382708,0.33601794224798487,0.32908508693533084,0.43087816695676073,0.5465419458408173,-0.5406666061396307,0.11348718804949104,0.30986731670071727,0.27398116240837195,0.7454055637370594,0.47193597828318373,0.0768649818796154,0.5328088860504854,0.5810821984025757,0.5499147871480592,0.37461724013970943,0.7498919697963919,-0.23542259421290984,0.4857348275059946,0.2066280612964965,-0.20437791899415622
Red_N_L,0.7421752003227431,0.1025430464765566,1.0,0.15875324338128358,0.5516985664596431,0.4792692583061301,0.5918652195372228,0.14841289754697318,0.48323654760016277,0.5890690430302018,0.0006800151801444962,0.1891623300023529,0.5004894806091513,0.4336920220360464,0.1807492220249218,0.5066229829974233,0.7692203916226169,0.0,0.1517700711640202,0.4508388811222012,0.2587574555390233,0.5098942602676754,0.6332660192578045,0.40448771052461324,0.20803137028745822,0.754501691538078,0.6255840413997422,0.33980388303300424,0.02674331929022357,0.5172089583116501,0.45468501552127893,0.42781995584986166,0.4516410076513292,0.7523188321884327,0.4975716971334559,-0.010130137619473711,0.15840580081705088,-0.1512953527410267,0.6113739752649727,0.051147471464218545
Cerebellum_4_5_L,0.16893459306706732,0.8502788884003816,0.15875324338128358,1.0,-0.1372164626444333,0.4834544596236124,0.05954199286992053,0.045464991189950926,-0.07850330151817407,0.03694905108572872,0.09895664128106348,-0.56352225078017,0.23729647853994532,0.5210621194800686,-0.46466996467943084,0.07938301388678844,0.27130576733662504,0.0,0.5348673366357735,-0.28943363158552504,0.3755030066797141,0.22781130655829265,0.47481676203700107,0.5123876112941467,-0.608178984523473,0.143001512156685,0.1852733018100567,0.26106744432223544,0.7305749763377648,0.42818931232913987,0.03150241122110541,0.4800322086606948,0.45776432672762785,0.5177183378427224,0.3729836081198471,0.6313285329579016,-0.3330855243119231,0.4142999990638682,0.19642655280853943,-0.11298218923036188
Thal_MGN_L,0.3635290057089879,-0.23874817554497824,0.5516985664596431,-0.1372164626444333,1.0,0.15230519525560265,0.1986294293882119,-0.17111684002127128,0.34457533698186416,0.29965812144414256,0.2645525164477834,0.5192079146020051,0.09376521963461476,0.0652357194206427,0.16342888910042222,0.15211614686222555,0.45095416304683,0.0,-0.18010603662170035,0.4497410431589569,0.09103591704933685,0.16260566871023632,0.23376069417699513,0.08008836965667208,0.38233730273986544,0.32676681150673614,0.48090318781069447,0.07403069102977168,-0.04134458097974598,0.21039412624343257,0.310489520932483,0.011670900322466019,0.17175011422159642,0.2785294200679288,0.0591593573128638,-0.041664974325093654,0.36831667871305773,-0.302121050713903,0.28233719701454696,0.06729035037347103
Temporal_Inf_R,0.49924178671556607,0.4477057914552079,0.4792692583061301,0.4834544596236124,0.15230519525560265,1.0,0.5123284587041208,0.272128253023964,0.25442209354867357,0.1602115159103476,-0.3178855372833917,-0.23740825110249994,0.2910286651081184,0.39307183372411725,-0.3241966339803171,0.3583617070890571,0.6396916369305529,0.0,0.38132414319525487,0.13269140427912507,0.4582722702809166,0.33054139346526684,0.28502782510054314,0.29769845920746074,-0.15489524047967906,0.5355834895339462,0.2828754665791039,0.07840979138235016,0.21405648158762935,0.6208770419104456,0.12358439487577935,0.49795279669726755,0.4595173341203092,0.5711602135413726,0.4233235072255037,0.1925353837396483,-0.27342743432414124,0.25610403813180216,0.09454813287803132,-0.2042561063870844
N_Acc_L,0.7366968667637676,0.03747648350579208,0.5918652195372228,0.05954199286992053,0.1986294293882119,0.5123284587041208,1.0,0.3141313765997067,0.5202340402187497,0.5142212311569968,-0.22552080627967996,-0.015966189006125876,0.41571067942784934,0.2898279679227438,0.14268027064235714,0.6671500062539869,0.6826107644390358,0.0,0.15406644932518498,0.03836285519309333,0.3573048422880938,0.4036245433890093,0.4481003791784152,0.3306480848480994,-0.027619919129151817,0.7927891865068621,0.1968684454113244,0.1920381970378373,-0.20309518158272355,0.4911788252540008,0.2835289185080504,0.2661870089633202,0.1944968801766002,0.5489432622197745,0.5904250455154395,-0.24623817087002092,-0.16111260817770157,-0.01746721255033867,0.42297475278949304,-0.01579645403591535
Frontal_Med_Orb_L,0.32193961020205114,0.1705829009079892,0.14841289754697318,0.045464991189950926,-0.17111684002127128,0.272128253023964,0.3141313765997067,1.0,0.10638340607721014,0.29202495463724104,-0.31382922930530316,-0.05977793628204616,0.22705088270254228,0.19886100274048651,0.11604551460871834,0.20260150206649732,0.19439982460911734,0.0,0.08177907545729936,-0.062070779684775965,0.12717090902312497,0.1868613157389912,0.15469207303201313,0.1446523894735317,-0.026326084266455062,0.37567983888191203,0.036621323111128125,0.06709497288972044,-0.16710893303552532,0.16480703566172272,-0.0060587029456552225,0.11827789702859767,0.07308307468161912,0.2507961228724059,0.30843525677577566,-0.03439021958701403,0.06620133287684239,0.11197515001535126,0.18175301749922676,-0.163221026512731
ACC_pre_R,0.6645733312398211,-0.22309720674306574,0.48323654760016277,-0.07850330151817407,0.34457533698186416,0.25442209354867357,0.5202340402187497,0.10638340607721014,1.0,0.6729929727359734,0.2680219637741505,0.12136793686016395,0.5387589037391407,0.060621478358136874,0.310241584545096,0.24364689754934687,0.660808969357333,0.0,0.08096734151788768,0.14154792036079258,0.2235808508875713,0.5043764382148204,0.36163750309891646,0.38772931188957355,0.1512103013930487,0.6949315667191964,0.22680025493807657,0.41448286268087886,-0.16316581451702653,0.3525707265157448,0.5400460561946175,0.3331653823687941,0.13307596819302592,0.35972873209048667,0.6179826979990372,-0.436330563392972,0.09889998488445202,-0.0838654690847269,0.5149258666934393,0.007096787283715201
Frontal_Mid_2_R,0.7564144107548396,0.05900866191346631,0.5890690430302018,0.03694905108572872,0.29965812144414256,0.1602115159103476,0.5142212311569968,0.29202495463724104,0.6729929727359734,1.0,0.23481712285595974,0.19656159844413762,0.8633892650775629,0.3194530405690462,0.5382720411683208,0.4082148965264255,0.5760524642101202,0.0,0.2289030709749311,0.16696963388108088,0.24840449072058013,0.8040102196846574,0.6289087634705638,0.5990078851661093,0.11059789096561264,0.7661887414011814,0.5648261148830971,0.6482112069791802,-0.025285842059127286,0.4472305372923442,0.6971187776096234,0.42203409659565055,0.3886459044374759,0.5950350463862624,0.7517176638918289,-0.17565898987531925,0.243026599184685,-0.0036296118360285416,0.7749516851499951,0.011636023266810513
Temporal_Inf_L,0.07842739691751309,-0.06485960641318751,0.0006800151801444962,0.09895664128106348,0.2645525164477834,-0.3178855372833917,-0.22552080627967996,-0.31382922930530316,0.2680219637741505,0.23481712285595974,1.0,0.04645488101601416,0.10443075981533707,0.05525070503803313,0.1976817836116085,-0.19046209968319208,0.03551395646240918,0.0,-0.06985660791502754,-0.028044798915825616,-0.09152158236340809,0.08924499197580305,0.22287062338200947,0.1354232546588999,-0.051348337926817506,-0.0005677027303975771,0.19404754334541843,0.25931979711361786,0.23394806037486435,-0.06550807054500771,0.32654861521156175,0.0033628287589124004,0.011498584578281885,-0.01726597334300633,0.10729622905012605,0.029397461084763463,0.20000447531783916,-0.02575037288112419,0.3227159280651056,0.01886542935524854
