,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8
SN_pr_L,1.0,0.021675538246309908,0.1556774083712561,0.36120857156987213,-0.07530278973413296,0.5528864364379825,-0.005386412174601853,-0.07636860449153385,0.0770665520258754,-0.19071107975631577
Thal_MDl_R,0.021675538246309908,1.0,0.23596552952130162,0.19428995694180917,0.11602200975714064,-0.05957630986011692,-0.05176010364858542,-0.09133804001348704,0.158394870763773,0.09632201808471247
OFCpost_R,0.1556774083712561,0.23596552952130162,1.0,0.15428709397445253,-0.054012605885416815,0.15259321016244864,0.029162811405334152,-0.0031741714375409847,0.11722360699170158,0.15914341446592858
Temporal_Sup_R,0.36120857156987213,0.19428995694180917,0.15428709397445253,1.0,-0.008533183273162246,0.4012693264604832,-0.09235921007050833,-0.04456916305057631,0.23046390685187848,-0.002577825398877029
OFClat_L,-0.07530278973413296,0.11602200975714064,-0.054012605885416815,-0.008533183273162246,1.0,-0.19428687458750418,0.21739339236500702,0.184584145005402,-0.10714306678650529,0.26307190956556475
Heschl_R,0.5528864364379825,-0.05957630986011692,0.15259321016244864,0.4012693264604832,-0.19428687458750418,1.0,0.1012480233076678,-0.1322655060715567,0.418076140168672,-0.15028959804594344
Cuneus_L,-0.005386412174601853,-0.05176010364858542,0.029162811405334152,-0.09235921007050833,0.21739339236500702,0.1012480233076678,1.0,0.19485874006373285,0.023438038747306374,0.09833172658691364
Occipital_Inf_R,-0.07636860449153385,-0.09133804001348704,-0.0031741714375409847,-0.04456916305057631,0.184584145005402,-0.1322655060715567,0.19485874006373285,1.0,-0.07946014278470531,0.2980857022673697
Temporal_Inf_R,0.0770665520258754,0.158394870763773,0.11722360699170158,0.23046390685187848,-0.10714306678650529,0.418076140168672,0.023438038747306374,-0.07946014278470531,1.0,0.06431347536359658
Vermis_8,-0.19071107975631577,0.09632201808471247,0.15914341446592858,-0.002577825398877029,0.26307190956556475,-0.15028959804594344,0.09833172658691364,0.2980857022673697,0.06431347536359658,1.0
