,Thal_PuI_R,Cerebellum_4_5_L,Cuneus_L,Hippocampus_L,Thal_PuL_L,Vermis_6,Frontal_Mid_2_R,Vermis_1_2,Parietal_Sup_L,Paracentral_Lobule_R
Thal_PuI_R,1.0,0.265608349233685,-0.2011931219572938,0.33633299697193164,0.04136898720422343,0.18194118358721093,0.023361118160793514,0.22609522024846088,-0.09221156196931064,-0.04744219736778008
Cerebellum_4_5_L,0.265608349233685,1.0,-0.017761697207312056,0.6261655499693732,0.3180599657068169,0.6757072023378311,0.22345542004447777,0.4902108801858158,-0.11196830471677063,-0.029797287569537093
Cuneus_L,-0.2011931219572938,-0.017761697207312056,1.0,0.08497640533144112,0.2734908544851835,0.2706772180550452,0.1370292222196213,0.1348541175309878,0.6450224936738608,0.3565043477246983
Hippocampus_L,0.33633299697193164,0.6261655499693732,0.08497640533144112,1.0,0.42963066183268595,0.4775620996778796,0.3639423273727686,0.30570331683390367,0.05668914161722131,0.27435509578994416
Thal_PuL_L,0.04136898720422343,0.3180599657068169,0.2734908544851835,0.42963066183268595,1.0,0.326370443671402,0.10647406949553469,0.18098052339331713,0.08406701694266895,0.18349580312586447
Vermis_6,0.18194118358721093,0.6757072023378311,0.2706772180550452,0.4775620996778796,0.326370443671402,1.0,0.23572258022369477,0.23274158586576826,0.043155966019187704,0.25109128343783893
Frontal_Mid_2_R,0.023361118160793514,0.22345542004447777,0.1370292222196213,0.3639423273727686,0.10647406949553469,0.23572258022369477,1.0,-0.11707462734471102,0.043520826442033755,0.4267092440540271
Vermis_1_2,0.22609522024846088,0.4902108801858158,0.1348541175309878,0.30570331683390367,0.18098052339331713,0.23274158586576826,-0.11707462734471102,1.0,0.051555200105568216,-0.21825750209602227
Parietal_Sup_L,-0.09221156196931064,-0.11196830471677063,0.6450224936738608,0.05668914161722131,0.08406701694266895,0.043155966019187704,0.043520826442033755,0.051555200105568216,1.0,0.18365184492420863
Paracentral_Lobule_R,-0.04744219736778008,-0.029797287569537093,0.3565043477246983,0.27435509578994416,0.18349580312586447,0.25109128343783893,0.4267092440540271,-0.21825750209602227,0.18365184492420863,1.0
