,Frontal_Inf_Oper_R,OFCpost_R,Cingulate_Mid_R,Cerebellum_7b_L,ACC_sub_L,Vermis_8,Vermis_6,Cerebellum_4_5_L,Rolandic_Oper_R,Frontal_Med_Orb_R,OFCant_L,Thal_MDm_L,Frontal_Sup_Medial_R,Cingulate_Post_L,OFCant_R,Thal_LP_L,Cerebellum_8_R,Calcarine_L,Angular_R,VTA_L,Temporal_Pole_Mid_L,Amygdala_R,Temporal_Pole_Sup_R,Occipital_Mid_L,Occipital_Inf_R,Heschl_L,Precuneus_R,Parietal_Sup_R,Thal_MDl_R,Putamen_R,Pallidum_R,Angular_L,Supp_Motor_Area_R,Cerebellum_6_R,Cerebellum_Crus1_R,ACC_pre_L,Thal_Re_R,ACC_pre_R,Thal_MGN_R,Postcentral_R,Cerebellum_10_R,Cerebellum_3_L,Cerebellum_8_L,Occipital_Sup_L,Insula_L
Frontal_Inf_Oper_R,1.0,0.3273340774622268,0.4146937946065264,0.10712827957974028,-0.0024139458779682903,0.2835239966204752,0.15984812327740305,0.3834220032934945,0.506766023398344,0.34400694982011976,0.2712650794902548,0.4278279968939174,0.4132581180546009,0.2909980976671921,0.2623720652280885,0.17348750770504032,0.20021181025415424,0.08823605449554624,-0.13717274784781236,0.17261383672067354,0.08036035125011091,0.03277475008515345,0.20378531025945104,-0.21632889276730535,0.1053151872830229,-0.1889669271184779,0.08144969733299437,0.00411247667341585,0.5030956965698462,0.24945588036459979,-0.18319180039867244,-0.22500272654558573,0.2567386467092005,0.20317142167979843,0.11202873712923134,0.005318746318463322,0.24803085033890607,0.534461388182596,0.31768692213209776,0.2523770433389657,0.13394374173081738,0.010567036016366127,-0.06037393886653605,-0.27051557274652366,0.23153376220830896
OFCpost_R,0.3273340774622268,1.0,0.16232909833289358,0.19111270641509476,-0.163203899019834,0.2307472337435441,-0.1999687870164378,0.2179811903356384,0.15588154104188331,0.5235551681051669,0.4485124139311017,0.4364476455509193,0.5094814478997521,0.3242957307581371,0.383210011475175,0.09999427971257704,0.3427432441868515,0.07970673881730615,0.14188154663232366,0.03724633179820584,0.1322203721638321,-0.20424549061632857,0.27435152123234324,-0.06731586744903283,0.126879272914481,0.2502168229846045,0.4353288199112594,0.46463921262853836,0.5063600868122887,0.06306661108773873,-0.2148774005506513,0.2573258345162485,0.3738549452340917,0.03359563436815905,0.22949743455350574,-0.14461687618726193,0.024335478488825477,0.37615600581786424,0.12067636451193078,0.1499766264494248,0.31044828318313555,-0.08999306426404333,-0.30485501386355296,-0.08683234651088177,0.2888348095429497
Cingulate_Mid_R,0.4146937946065264,0.16232909833289358,1.0,0.02318311984466748,-0.09644758899124363,0.3065310785523374,0.32311622979286087,0.48797810179690493,0.5720930128731625,0.19674106389784946,0.19330533072913858,0.28839033330591707,0.3544528231506,0.49405430468447853,0.12059989205566653,-0.33821871915530005,0.21060287483531984,0.40312070435828345,0.39307555217938467,0.14536366046461263,0.21373738821310456,0.08334303947125875,0.21133623976334873,0.07168501802164934,0.2252320971265283,-0.05171137151884463,0.4145167623797934,0.34378106218194715,0.4969540088533103,-0.14723456879303395,-0.2583546922857205,0.1335794823822572,0.4137316888114808,0.2542794289429072,0.19585276039440236,-0.2049073298947985,0.29542947601199876,0.4101837416681365,0.30279891062650804,0.6009600522768591,-0.06909084659799246,0.20376690868334468,-0.049445319802100096,0.12553409168846685,-0.035826689457504085
Cerebellum_7b_L,0.10712827957974028,0.19111270641509476,0.02318311984466748,1.0,-0.5290429204897565,0.7208760652675043,0.1377031709000008,0.2199450463102366,-0.0035841467231202614,-0.013747801488662949,0.023392355478974017,0.05074899130563708,0.650136347285542,0.2480669346951931,-0.10143068469287422,-0.2245221250784336,0.8483732753947495,0.524630440756489,0.23385312359974358,0.27902651742499973,0.18086232212860376,-0.28870508415072343,-0.3363048930922333,0.22491708309708647,0.47654973154197133,0.14890008056981932,0.20318920352010628,0.2757421285079955,0.25340495095215904,-0.18367519383469696,0.011839565596096589,0.05284872398324254,0.6271782204266207,0.6329513641002918,0.7787182778435945,-0.5060098763210021,-0.12145147146589415,-0.01725192978952556,-0.36528616581965817,0.19575201134691667,-0.16641949361142924,0.3985499562058022,0.5125744329144671,0.21529140209652628,-0.07092983295265845
ACC_sub_L,-0.0024139458779682903,-0.163203899019834,-0.09644758899124363,-0.5290429204897565,1.0,-0.4886611170830421,-0.04593418359969769,-0.07627082184592904,0.17545124038030205,0.425689616439759,0.10604536792512381,0.3322170798023662,-0.5753539882435045,-0.2242121711825966,0.3396300659394886,0.5149623742120443,-0.5541963054262884,-0.2786871013892911,-0.3609206973399886,0.015029652684697305,0.08640627481923678,0.5946074307837764,0.6411224051093815,-0.24613612117794104,-0.34351068734586526,-0.43494866704102486,-0.29000159470021936,-0.4030807453638412,-0.13938393492910342,0.3826123288892569,-0.19584890542856973,-0.16000571598785948,-0.7947460768064627,-0.3605100262923816,-0.48877267963832116,0.8512893376229939,0.22335085574729735,0.3356304231743935,0.2845280141842976,-0.5111640498598309,0.18284416560357686,-0.3217472674273427,-0.1205929635618899,-0.2240642482363198,0.3110474472650575
Vermis_8,0.2835239966204752,0.2307472337435441,0.3065310785523374,0.7208760652675043,-0.4886611170830421,1.0,0.26041601005078424,0.45200137827830655,0.2837573113533877,0.09393100724868161,0.141689825026043,0.24305285682781144,0.7164863770611224,0.14309901108223208,0.006716486390771955,-0.2763505539630629,0.7842793480063799,0.43769425250347477,0.20809846262894183,0.10960695196220713,0.11748518387182627,-0.060920920407507684,-0.146084286747492,0.3456744363512179,0.5651447108964838,0.17346258818353782,0.174745213121624,0.23151719510303895,0.33254137085572694,-0.1770644515099813,0.03586288461476363,-0.022283249607398605,0.674788406108937,0.6999255339615256,0.7404485155889596,-0.45341100718819854,-0.1207952609280267,0.2035441068799304,-0.2062614544144671,0.38438626770290496,-0.31448333942940093,0.4562297595131378,0.5027606588767287,0.31977338294173435,-0.00021515584426427397
Vermis_6,0.15984812327740305,-0.1999687870164378,0.32311622979286087,0.1377031709000008,-0.04593418359969769,0.26041601005078424,1.0,0.6940881478552378,0.3085728745736777,-0.09913683157823976,-0.14986455842704538,0.32454370110048075,0.06997684133008292,0.1996950113820374,-0.05502673043348736,-0.037054083074301705,0.11637166188520286,0.38826812931594834,-0.0027286908381685643,-0.009471654164399546,0.04925967801737894,0.12227518872609897,0.014775862261223034,0.08483155232787154,0.18763761292539655,0.12215853074940797,0.17632620174186628,-0.07987238022845843,0.37048769379073954,0.24836495563870079,0.2943863676604586,-0.08015137500992597,0.1894595899064531,0.3964664760284938,0.1758942147011868,-0.0401017452473603,0.12492207314621298,0.03544919682273688,0.07035188579353685,0.041982615894010575,-0.04207990418289852,0.39046488535452034,0.23245008473258894,0.11548173165099462,0.2332752939266505
Cerebellum_4_5_L,0.3834220032934945,0.2179811903356384,0.48797810179690493,0.2199450463102366,-0.07627082184592904,0.45200137827830655,0.6940881478552378,1.0,0.533120323059374,0.16673982493710007,0.07414079462653127,0.6118697976019478,0.2824247516988959,0.43001845331825134,0.16187616342968122,0.02933489348563248,0.3115492830139871,0.5095398737574431,-0.04128819295934075,0.026065313126796774,0.18601616863867848,0.19838372219091943,0.24795110223065586,-0.060626869707935266,0.20360416479443755,0.08793559846922189,0.3290765233722617,0.01634071723935663,0.6213453671977597,0.24373180028816033,0.03479715677605874,-0.08188026832470548,0.30857901586357417,0.503187696984485,0.3573263528149952,-0.09441964499942457,0.21858812772045913,0.23139370641382254,0.2640654361341727,0.0776133810294515,0.05031644271944188,0.3039180237932383,0.15035114638219868,-0.0022727522286988063,0.3504201128461306
Rolandic_Oper_R,0.506766023398344,0.15588154104188331,0.5720930128731625,-0.0035841467231202614,0.17545124038030205,0.2837573113533877,0.3085728745736777,0.533120323059374,1.0,0.47714231426923825,0.23302252474788535,0.4456444680699875,0.17866374554556566,0.3083927715205001,0.4058908679574498,-0.03799494220415533,0.20936211029013316,0.3986584199398992,-0.01198495075675105,0.2676476538276546,0.1844801435668488,0.41995231124176075,0.516925203202797,-0.07061936201091853,0.21361639418629247,-0.04268708958153582,0.1696542800927217,-0.003512881455299387,0.5146146698258204,0.16225931214233094,-0.31883030081906644,0.04738968440039062,0.08498319523688133,0.32882606538719605,0.2628961664576627,0.15464209916901084,0.3062334355717181,0.52559726747318,0.3515542476357594,0.14419402279215318,-0.004510211537038396,0.015136977361574374,0.00321415330254088,0.010694555731753512,0.2592468881959552
Frontal_Med_Orb_R,0.34400694982011976,0.5235551681051669,0.19674106389784946,-0.013747801488662949,0.425689616439759,0.09393100724868161,-0.09913683157823976,0.16673982493710007,0.47714231426923825,1.0,0.5558896998672163,0.5391345067289665,0.11350150841174415,0.17154259519741122,0.7120466826792174,0.22513042756893537,0.1788493349442935,0.09488792548578742,0.04360791264161323,0.21321312633079234,0.1638442359343184,0.4041009767668256,0.7256620187242827,-0.006473426125809526,0.24341576020511846,-0.11676728837598625,0.22712788387601898,0.2551016148303227,0.3494795681173716,0.2311068085403385,-0.3572859318264935,0.13108816451368377,-0.16363507199016888,0.055862203725299917,0.12778234924364032,0.448144756111063,0.25157390218676345,0.780710334531161,0.2146292324844505,-0.02242848600475518,0.12502224802150866,-0.17733544606420398,-0.22749782968522234,0.013681771170818808,0.4309761060963776
