,Amygdala_L,Frontal_Inf_Orb_2_R,Thal_IL_L,Precuneus_R,SN_pr_L,Supp_Motor_Area_R,Insula_R,ACC_sup_R,ACC_sub_R,Frontal_Inf_Oper_R,Heschl_L,SN_pr_R,Cingulate_Post_R,Cerebellum_4_5_L,SN_pc_L,Cerebellum_6_R,Cerebellum_6_L,Thal_MGN_R,Cerebellum_10_L,Putamen_L,Hippocampus_R,Lingual_R,Angular_L,Postcentral_L,Cerebellum_Crus2_L
Amygdala_L,1.0,0.4665437233398577,0.5514961593272271,0.06580203579990478,0.6043790887205848,0.3261005233658373,0.49917622343621754,0.37256001232344743,0.2955949353986878,0.30144219840023595,0.1804137523750756,0.5635786450253922,0.3560723113234155,0.557939360800477,0.6931468976758398,0.2752890830223047,0.1790177104026832,0.4927928514669359,0.6101707819643881,0.64195850819595,0.5154838305836114,0.11371470272674507,-0.11320588933316285,0.11895811683843052,-0.25166539643699054
Frontal_Inf_Orb_2_R,0.4665437233398577,1.0,0.3054663369392279,-0.08428904446435875,0.4577171807920432,0.051039374056409174,0.3223424600199298,0.36726146866903847,0.25732925889827535,0.1488441565185635,-0.1449109432190908,0.4952834410052604,0.20851819581475936,0.34302126252630205,0.45728314517281166,0.33235628748541474,0.31579561395909633,0.23970002787231584,0.5222024751688447,0.38826673402352524,0.4151777447060276,0.3462894999539168,-0.15945842138733948,-0.1948088180276814,0.04099706815871584
Thal_IL_L,0.5514961593272271,0.3054663369392279,1.0,-0.054831757119533836,0.6477200733028778,-0.07853156020780112,0.7274077841110813,0.3316621419768611,0.4956984598091641,0.48158073731074935,0.15116423233821816,0.30625945616646894,0.183594017204342,0.37903445625869714,0.6581600539497208,0.23967425080392202,0.1451490718418315,0.3352714473538207,0.4552668392820674,0.7450825256763041,0.797547379919412,0.32673143348466965,-0.15009438616265347,0.07718370974496774,-0.043976222161797855
Precuneus_R,0.06580203579990478,-0.08428904446435875,-0.054831757119533836,1.0,-0.21193498444386832,0.7658346308306755,0.2290513791155842,0.42884879979265095,0.0824223351837373,0.40839295525415864,0.6378843035904569,-0.04184771739835555,0.7824241034383899,0.3539136396750842,-0.1821257756990796,0.05346621969546506,0.08154278152151337,0.2213118209703956,-0.0076272834154475925,0.19256000475569565,0.018756465435306197,0.2772910713533928,0.6089869850128627,0.5045187479119052,-0.07341795733005683
SN_pr_L,0.6043790887205848,0.4577171807920432,0.6477200733028778,-0.21193498444386832,1.0,-0.043831958154407685,0.4737207102286342,0.08027480312761467,0.5485703203478053,0.2552998370790282,-0.1296209148111365,0.6683069891359116,0.08926606963667805,0.3791315475162286,0.8806146062115103,0.3778024915938219,0.31101897098796893,0.35969524224499216,0.47822285942615234,0.5977655330533743,0.6391066421083067,0.20313569677742863,-0.4398551824775546,-0.2260079146307048,-0.1372143717970359
Supp_Motor_Area_R,0.3261005233658373,0.051039374056409174,-0.07853156020780112,0.7658346308306755,-0.043831958154407685,1.0,0.265028141255589,0.4396820923298076,-0.04526223770015251,0.45713599435610697,0.5764960234192155,0.16812019854253704,0.7707529548072526,0.4897303129274911,-0.021573347632413586,0.20536672684077567,0.20160623405736133,0.3437574752637399,0.19016336826991942,0.3365041953510333,0.04222807858737824,0.21730654616020964,0.4489510618602365,0.4368185901534371,-0.1442555403298365
Insula_R,0.49917622343621754,0.3223424600199298,0.7274077841110813,0.2290513791155842,0.4737207102286342,0.265028141255589,1.0,0.5031044270207901,0.4720907992664807,0.7890377209934487,0.35921922448252264,0.34562761807985065,0.42494793076384424,0.5003919131310173,0.4885651360721811,0.4627498404806625,0.40150348250625767,0.3765475355230807,0.5108783163696522,0.8740710294524772,0.7801135918017997,0.49799607222745346,0.0550089313885105,0.21233202431698414,0.18388090280911465
ACC_sup_R,0.37256001232344743,0.36726146866903847,0.3316621419768611,0.42884879979265095,0.08027480312761467,0.4396820923298076,0.5031044270207901,1.0,0.20731958364932182,0.5215391952050467,0.5874624683240606,0.04846594289126776,0.6869461122046926,0.5927676340400365,0.18457604218212614,0.3535979852862744,0.33096013997210205,0.26305346815789926,0.46869374877414893,0.5502804400143066,0.3763904820788817,0.43553919247822837,0.24766534212559432,0.26346574475570733,3.568083459273319e-05
ACC_sub_R,0.2955949353986878,0.25732925889827535,0.4956984598091641,0.0824223351837373,0.5485703203478053,-0.04526223770015251,0.4720907992664807,0.20731958364932182,1.0,0.2736231009591938,-0.04780305072614804,0.40991003119772723,0.10926834546905961,0.19370717032553872,0.42962651605722807,0.24523853532794163,0.16097316484204036,0.1400220526421026,0.45537256145091864,0.4819194759264652,0.4369214334550772,0.30593912687013836,-0.09165291225468046,0.11251856860704733,-0.027834053678961326
Frontal_Inf_Oper_R,0.30144219840023595,0.1488441565185635,0.48158073731074935,0.40839295525415864,0.2552998370790282,0.45713599435610697,0.7890377209934487,0.5215391952050467,0.2736231009591938,1.0,0.456081092054406,0.1538327474817403,0.5242379729636576,0.4102282100818986,0.25724451411460997,0.3895664754010505,0.3734909455485863,0.3407711739704388,0.375021896303646,0.7164639263768303,0.5098757937418069,0.36941534262337,0.15468125538335917,0.22594438261099753,0.17965293695462525
Heschl_L,0.1804137523750756,-0.1449109432190908,0.15116423233821816,0.6378843035904569,-0.1296209148111365,0.5764960234192155,0.35921922448252264,0.5874624683240606,-0.04780305072614804,0.456081092054406,1.0,-0.1910173818420694,0.6317875876948886,0.5136269785600283,-0.00892152108165702,0.09278434253490933,0.08287996335900914,0.2734636144523232,0.06683287530385298,0.3931831987588051,0.2496006408651869,0.17491348679413524,0.36487013642194677,0.4933464461840123,-0.04863172291640031
SN_pr_R,0.5635786450253922,0.4952834410052604,0.30625945616646894,-0.04184771739835555,0.6683069891359116,0.16812019854253704,0.34562761807985065,0.04846594289126776,0.40991003119772723,0.1538327474817403,-0.1910173818420694,1.0,0.20244505449944988,0.2569893385227318,0.5784947761734744,0.44241309968016834,0.3897762952898517,0.2661928351797496,0.3609311371125551,0.40647148171998865,0.30991255081287494,0.3040397775284957,-0.2956226690394718,-0.18013365928903688,-0.06630043056222179
Cingulate_Post_R,0.3560723113234155,0.20851819581475936,0.183594017204342,0.7824241034383899,0.08926606963667805,0.7707529548072526,0.42494793076384424,0.6869461122046926,0.10926834546905961,0.5242379729636576,0.6317875876948886,0.20244505449944988,1.0,0.673779223939107,0.09888868491328755,0.4265246118809716,0.4230807516290655,0.32948618513757794,0.22217029748047712,0.4744387266096097,0.23369045997170548,0.5158099634025157,0.33632299194824905,0.2660581642744568,-0.008285690173473186
