,Precentral_R,Frontal_Mid_2_R,OFCant_L,Vermis_4_5,Temporal_Mid_L,Vermis_10,Insula_L,Parietal_Sup_R,OFCmed_R,Cerebellum_4_5_L,Thal_MDl_R,Frontal_Inf_Oper_L,Frontal_Sup_Medial_R,Rolandic_Oper_R,Thal_PuL_R,Caudate_R,Frontal_Mid_2_L,ParaHippocampal_L,SN_pc_R,OFCpost_R,Cingulate_Post_R,Thal_VA_R,Cerebellum_Crus2_R,Thal_VA_L,SupraMarginal_R,Cerebellum_8_R,Thal_MDm_L,Parietal_Inf_L,Rectus_L,ACC_sub_R,ACC_sup_L,Cuneus_L,Fusiform_L,Cerebellum_Crus2_L,Thal_MDl_L,Cerebellum_7b_R,Temporal_Mid_R,Paracentral_Lobule_L,Cerebellum_6_L,Putamen_R,Cerebellum_6_R,N_Acc_L,SN_pr_R,Temporal_Inf_R,Thal_Re_R,OFCmed_L,Temporal_Pole_Mid_L,OFCpost_L,Frontal_Sup_2_L,OFClat_R,Thal_PuM_R,Red_N_L,SN_pc_L,ACC_pre_L,Cerebellum_9_R,Angular_L,Thal_LGN_L,Temporal_Pole_Sup_R,Cingulate_Post_L,Postcentral_L,Temporal_Sup_L,Thal_LP_R,Thal_VL_R,Thal_PuA_L,Thal_PuA_R,Red_N_R,Hippocampus_R,Supp_Motor_Area_L,Frontal_Inf_Orb_2_R,Precuneus_R,Lingual_R,Cerebellum_8_L,Thal_LGN_R,Frontal_Med_Orb_R,Precentral_L,Thal_PuI_L,Paracentral_Lobule_R,Thal_AV_L,Pallidum_R,Thal_MDm_R,Hippocampus_L,Putamen_L,Insula_R,Fusiform_R,Cerebellum_9_L
Precentral_R,1.0,0.7384361015592619,0.10748388881499159,-0.32225984616114056,-0.07428624655608673,-0.09803119583122538,0.5208192603268585,-0.07499590222294597,0.11766728182785209,-0.37142507307418693,0.2584004229081277,0.507926423906399,0.6348098292720713,0.4817066727108124,-0.02638797449341071,0.6732419688618,0.51647946084077,-0.18956835647449208,0.4625881308678943,0.38266305027054615,-0.0842343520862672,0.43214414074704005,-0.12727770271059596,0.2398284393311724,0.3687859434250415,-0.07805993408554605,0.2831538748681879,-0.1342180623905011,0.4294660031877468,0.4495296685500065,0.5541802387890977,0.0,-0.0853450259722569,-0.07989830569951126,0.21773047629503164,0.16777516067844803,0.025449263540855253,0.47806943151163667,0.17012556896481076,0.5154618423881288,-0.33970709353685963,0.44913342416654545,0.49788008664961386,-0.06420727176431743,0.18677034122144878,0.5077487042552035,0.42187867074827357,0.3872292437474784,0.6899079442603813,-0.24556678066354165,0.4249017185055503,0.40216023228840747,-0.011069012101235152,0.44023502166261785,0.03167970456365512,0.022592800386829964,0.1276002351153385,0.4331497492916074,0.2929608440249867,0.19050426207737933,-0.1024401026369879,0.3083412403259417,0.5962567694739536,0.4137491033732831,-0.0230263067587048,0.6125079519006216,0.49968925850780377,0.7543411526053772,0.039246691329513195,-0.10736009784957938,-0.22150707472649067,-0.2508775134227786,0.5587114635483648,0.09397126561184317,0.4965884577192419,0.20978097117639635,0.2524254998890478,0.012544553238117859,0.500142246392772,0.42629980060297906,-0.04006571246880038,0.5735630378048463,0.6204249555442679,-0.26995818315558684,-0.40264555978522026
Frontal_Mid_2_R,0.7384361015592619,1.0,0.19921466582810035,-0.3054382197681204,-0.025527577189112912,-0.09219570781515113,0.8749451471021389,-0.20867114397492334,0.29904648008597123,-0.381039394609199,0.5003407793216438,0.8602393377096547,0.880117305126504,0.47451761506344164,-0.01696549940136684,0.8333633866228689,0.8736271798365524,-0.14647050401668996,0.6673671395792777,0.5480780059772562,-0.20802580736675474,0.6615208080209849,0.006651893602903848,0.5148785460819156,-0.09147244002236361,-0.12377873533747909,0.5027823691901145,-0.12132589559993101,0.4463909213721894,0.6094102766659215,0.8646548100930522,0.0,-0.16458482537880242,0.053127034045450515,0.4554418307623689,0.21659885001878615,0.08350821496888847,0.3064993069376327,0.1620216123992562,0.6859259431288759,-0.2750922750783187,0.6174367028040418,0.4582704079654354,0.031063765740231928,0.3941596582905783,0.5498601782352974,0.4842260598429047,0.5053083904265426,0.9441792991483358,0.029298033743797296,0.7883485456487573,0.5218855813239545,0.21130148622047493,0.7617307478164519,-0.05715951565778403,0.0034296602907267007,0.24842764510094725,0.6728659908725791,0.173833412004734,0.1467083925260852,-0.0511235816461703,0.5005947308760424,0.8565595971571703,0.7136455777837375,0.03874621571024231,0.7591995945836434,0.7521723480445949,0.8768078255793803,0.39278575911216096,-0.2856577126591431,-0.31688993374678154,-0.22138951719355945,0.6859162907372305,0.41510461865965065,0.5942507250023532,0.47012387511162645,0.0037331703950144925,-0.07023473126312398,0.7278975612906258,0.703406915274704,0.1122211888030402,0.8558181203675942,0.8612603040714449,-0.3102471534429595,-0.21455673084129542
OFCant_L,0.10748388881499159,0.19921466582810035,1.0,-0.07378303210372476,-0.19401614159699124,-0.023738236205627438,0.261407714381836,0.1410242241964091,0.032722304695383016,0.10140250813360158,0.08386178867418684,0.25260828517700884,0.23381017740872437,0.4401298297583038,0.35306223129195813,0.2930262825401849,0.11276103813523605,0.13128460436844902,0.41461454103306417,0.18593532821011133,-0.13054713149825817,0.2167795086826391,0.16148361584883109,0.24768604750954565,-0.13474719555000586,-0.20952217884582366,0.2392044849482441,0.11624743445993357,0.11255946608329422,0.04624340451400244,0.29886565961555245,0.0,0.030760308065982876,0.16943595619334678,0.20608629915177887,-0.11207927864045404,0.23382097198458365,-0.18707920982087375,-0.12141037495389152,0.3333174475167064,0.0649106441447921,0.3414191373607313,0.18411767748207072,0.307712370963162,0.28753558911152777,0.08829347830699212,0.001828228188708783,-0.08787345783338645,0.2228598861894911,-0.09082283989313904,0.15367166215658803,0.14830566797611514,0.2102697008938354,0.3540831414874811,-0.07454794823220325,-0.04484703217840973,0.11852157349106433,0.35007326490720814,-0.23580995265267235,-0.07201041345466258,-0.08255024712430127,0.16736859957584582,0.34075351157800615,0.15067398457195097,0.18139209168303053,0.28203564368934103,0.21794489068276252,0.1405804065812776,0.17672549089549694,0.04007248988983878,0.05301334240211883,-0.07268277080931265,0.15608493079553956,0.12070778493920474,-0.05409727743109594,0.053125154906112575,0.1758977581725395,0.014429800410292883,0.34519677763950857,0.30862605137262217,0.00991599343410156,0.2961978297565441,0.35572037825030584,0.1844259896596305,0.08410169686091222
Vermis_4_5,-0.32225984616114056,-0.3054382197681204,-0.07378303210372476,1.0,0.2712421461265062,0.21513122472689217,-0.19692207036110404,0.5369815238308269,-0.6857904568238264,0.8792562681586175,0.3975897869842312,-0.18834284717153363,-0.22588627889170837,0.14064505990776457,0.32082292636673865,-0.08793069327853043,-0.1375159348162438,0.8054585127410717,-0.6288960024606077,-0.7014486344079388,0.8338134934860112,-0.4674590359603753,0.04153772449428957,-0.11628722978043542,0.4381965440817004,0.431386816738729,0.23611941486417848,0.39652480137240526,-0.6480138629647694,-0.25833049131846525,-0.10545993265140742,0.0,0.5501847700375909,-0.2040508382075546,0.4017041346547195,-0.533907012674052,0.5549527401861147,-0.4068167396220069,-0.5100551372705125,0.10347366118246164,0.7230318410709267,-0.17313637304744872,0.07646812081674861,0.4091614877786112,-0.43973603267098565,-0.6577638011640191,-0.46951387612498274,-0.7714619585832668,-0.32606773872531974,-0.014367080423533525,-0.13010742327283725,-0.27322287236419923,0.07748731887058698,-0.4460072809076377,0.2503949153882173,0.09580763046451105,0.35122666619987597,-0.5674764015267675,0.367737507336665,-0.01906455089839007,0.5620410268509234,-0.21862354856094882,-0.09812684397785724,-0.39947678117032226,0.7302653026108918,-0.6181630111919953,-0.024684173032143313,-0.4817725689866269,-0.44307180092559145,0.7612212936802957,0.804938266607592,0.5365826585924842,-0.5728429180222046,-0.7124784496047863,-0.44213803583990735,0.1522245496908231,0.15786924639303013,0.20473358792305177,-0.08877562223294562,0.06297797224276687,0.6301869336123808,-0.09528842569131564,-0.10546404304038418,0.8428156812230243,0.6669653753609447
Temporal_Mid_L,-0.07428624655608673,-0.025527577189112912,-0.19401614159699124,0.2712421461265062,1.0,-0.18892731857426237,0.10287802505114978,0.27497181909656215,-0.23603923538237398,0.4111178647794721,0.448393568920477,0.13216973529098017,-0.13015409401874278,-0.014571446959555593,0.03239970751835634,0.006284913280950377,-0.03989217427533306,0.5118590014867899,-0.022350386151496468,-0.3818315433688626,0.11888472224438955,0.25095187189762036,-0.5129498290852931,0.4949330492371068,-0.08523371443364598,-0.05900501234310925,0.236757546259961,0.4495887033316513,-0.127107097135943,-0.1166588798233325,-0.03689971434520878,0.0,0.6596579891960217,-0.09930685098957028,0.5374133890179986,-0.2213307224318913,-0.24334587799216909,-0.5575148794649243,-0.313819416226599,0.04090329935399331,0.21266650520490016,-0.002201615732132344,-0.07629366260874618,-0.40072146091218397,0.09043284690619788,-0.3084743604418025,0.3326891096678876,0.10795481418627909,-0.21999672117254615,-0.06158641524361401,0.10952268841942417,0.2846369954260538,0.3929558807831865,-0.13258023315373674,0.5382671736921715,0.3107005911950433,0.10763139162902295,-0.3710164517281407,-0.20339186011893406,-0.19521344301755575,0.6765981836226076,-0.06484757483727918,-0.022347726795722823,-0.17282161189673587,0.3287588988444324,0.013226211308773292,0.13059895470226093,-0.24598291665162628,-0.4347199883510936,0.14421433190963703,0.4291159706161488,0.5933690519751732,0.023517899280224065,-0.18186075654205003,-0.4418384830871561,0.37124308556473806,0.15910604197571507,0.09522084842473358,0.020037092345817673,0.23443178970400952,0.5272719979373285,0.12860745377738592,-0.14773835540692312,0.2347686482985824,0.002970596556374302
Vermis_10,-0.09803119583122538,-0.09219570781515113,-0.023738236205627438,0.21513122472689217,-0.18892731857426237,1.0,-0.14601314315741926,0.028470654683114428,-0.1423759804616566,0.04865849580262415,-0.0948257274651841,-0.19529644347275574,0.015961009790339122,-0.08111735412557529,-0.16417989434325736,-0.07035219563406497,-0.04949880816521664,-0.0039938935191249775,-0.29617973378408397,0.07294933527087061,0.19407843990529935,-0.2045387548966926,0.5518886809209619,-0.2752943937960364,0.20644691677846744,0.27771479058389015,-0.15702767948783272,-0.10777151364673393,-0.07195066558210002,0.06100069842473998,-0.012940021532358438,0.0,-0.24480936866507388,0.06107744605873505,-0.16324998820294553,-0.08494509712915031,0.2873661637907508,0.1518255762327452,-0.016695576799953944,-0.08599188023934307,0.28197812805266786,-0.1620316360716712,0.05659759912736772,0.36475918010746033,-0.19784258674961608,-0.12958413217875728,-0.3510428136557889,-0.27877309187756805,-0.04949336893867968,0.1376885708512696,-0.09537656227263082,-0.2948213366717028,-0.19873863291499308,-0.12535361945620224,-0.4236736262549394,-0.264091184748495,0.06936135621004466,0.02599018638436565,0.25398933861385425,-0.11055775136738524,-0.2437162667902637,-0.09970432679414441,-0.07578256772264946,0.07417344652373073,-0.03556120462378314,-0.2650707138275855,-0.10160559026566231,-0.015696462655109326,0.1335831874219462,0.12796874947795908,0.08247616991586502,-0.03530326672655316,-0.2539756940269742,-0.09416094828194405,0.05509765395052726,-0.1733975450924429,0.011532950389582986,-0.04923963901512312,-0.04151148277081528,-0.14674819383610635,-0.05305976892404696,-0.13227380852648332,0.017289026008060905,0.12013830065355707,0.2741505510555117
Insula_L,0.5208192603268585,0.8749451471021389,0.261407714381836,-0.19692207036110404,0.10287802505114978,-0.14601314315741926,1.0,-0.14464636364258315,0.24088559101161663,-0.19019706133851105,0.6448872458395509,0.8624865183935073,0.7788852699665915,0.5674277498337705,0.17717755682136163,0.7520562573474249,0.8605104647166407,0.05870406300806981,0.7148571776218151,0.4703271704637936,-0.1866712701731117,0.7188093712797538,0.03554089905486666,0.6751443076240692,-0.21925636610258442,-0.21326962872104538,0.7141990617415515,-0.002113507586071868,0.3241827673121081,0.5921693720094611,0.8196257547684209,0.0,-0.014581709193248117,0.1432407719706657,0.6108288996335888,0.03387371719607802,0.14386977871395104,0.02051702172503567,-0.002272945217956198,0.6619777643640058,-0.16690623471955152,0.635966663426317,0.46938354855528397,0.04722440123069294,0.48157979137315293,0.38537304286427465,0.49228434771327806,0.4736921691374636,0.8623270374149086,0.03654462925171551,0.8394312579355079,0.6351800829027062,0.3850262024965185,0.7734659106653272,-0.002891847174835806,0.09036542953251761,0.33845985304310805,0.63714171884344,0.030752714469511774,-0.05488880628455608,0.09949564961015202,0.5177542205646622,0.882737486829168,0.7151619863035622,0.17576678156125844,0.7208868853796313,0.8254941854021013,0.7120286340792407,0.3909244421098338,-0.26057616698954233,-0.18180505994266816,-0.019803299995333295,0.6494359008666578,0.3877900350809322,0.35978951210157717,0.6552713836563636,0.08824641977101137,-0.1556267667430731,0.7829844987919028,0.8257836523529564,0.291720686316776,0.8761356431297331,0.8291802298282219,-0.17769883545337703,-0.10488594289118347
Parietal_Sup_R,-0.07499590222294597,-0.20867114397492334,0.1410242241964091,0.5369815238308269,0.27497181909656215,0.028470654683114428,-0.14464636364258315,1.0,-0.5995666310664656,0.5988609771834598,0.23066430718204248,-0.12593779844722028,-0.1905606334224841,0.19440443657664921,0.1990809674662762,-0.029078641547425337,-0.1629401407751625,0.6061135995607988,-0.32637335260134165,-0.506135552170653,0.4173536168234368,-0.21405577858477962,-0.22354217234555904,-0.018261568938813876,0.3724210862376638,0.014298031918943268,0.1915879911978307,0.6027483898842081,-0.4124699424373615,-0.30007737776571347,-0.10661081726212292,0.0,0.41046478037664214,-0.0858619795132112,0.2943694859418468,-0.36452867479171164,0.21501539750409668,-0.31719252047277513,-0.5111885559790087,0.05583720446131413,0.39653478967126315,0.03194276044960588,0.12435116561018693,0.11178110189351535,-0.34890155835390213,-0.4483827574035496,-0.3317650034830784,-0.5290755325000208,-0.24553252827812447,-0.05148791237835237,-0.17181089086469484,-0.13254607244245645,0.09149659296054619,-0.33647230745710655,0.39265910111520885,0.22962685998336255,0.17457895254187894,-0.48751934555914533,0.059970128447514134,-0.0723396311562996,0.37419576709497815,-0.102374045676096,-0.0008499503731109759,-0.2679211488375581,0.3703423987121993,-0.27801859957908476,-0.008068567520951737,-0.31500695229333736,-0.5678606393025672,0.5746292608236241,0.5290105076340178,0.43218953146684624,-0.3310753924374172,-0.507867159096806,-0.3958466857274277,-0.0032596538670838946,0.44005158292296004,0.29039233181508795,-0.02607774205463346,0.05181722941174945,0.4509466896280618,-0.044850333277707204,-0.06411480816645349,0.5343329733847484,0.3325700709187683
OFCmed_R,0.11766728182785209,0.29904648008597123,0.032722304695383016,-0.6857904568238264,-0.23603923538237398,-0.1423759804616566,0.24088559101161663,-0.5995666310664656,1.0,-0.7386540568864784,-0.26889298288627483,0.24983132148702317,0.22445954286287037,-0.19816266530490312,-0.17588773374349587,0.031264608523767494,0.2288219869134703,-0.6743155011639792,0.5286520162393124,0.6806460183799461,-0.6453514775996947,0.3994029337855315,0.10739410668096537,0.18772695299124864,-0.5562901257250242,-0.2905105434093468,-0.1653721750555816,-0.43345112022310334,0.7583579899813214,0.5303628847804998,0.1561269162223842,0.0,-0.4973010193285467,0.2739309928514356,-0.27826548518205785,0.3783834256004706,-0.3485714911310108,0.3250314183050965,0.4018796352753745,-0.1075547037066163,-0.4917786175205604,0.10886831975367287,-0.02883521091253277,-0.2888080161622773,0.596577033239287,0.6059639248226041,0.44422288806115084,0.6407434340391545,0.33310019813651026,0.03080118426456142,0.27340699605397,0.32580772416133463,-0.09723006801982789,0.48186989935670166,-0.2857625229471412,-0.11439604962646868,-0.11747305196984233,0.6457521119879118,-0.17294382983012935,-0.042868350064559274,-0.4618080361327004,0.15135814041075293,0.047666521994441685,0.4415234886864024,-0.5052001666405767,0.46893076681930124,0.08170237284179929,0.4163652678423998,0.7052726220941838,-0.7950511713167281,-0.7144344314102354,-0.3705367165407428,0.5137387078055239,0.7497561707301292,0.41048328556207536,0.008428668637108689,-0.297655948289526,-0.35623307136718724,0.11431681093707946,-0.03748868301381838,-0.5306049450386687,0.07719123285240301,0.12495379357770996,-0.7360327916654442,-0.4496368093944826
Cerebellum_4_5_L,-0.37142507307418693,-0.381039394609199,0.10140250813360158,0.8792562681586175,0.4111178647794721,0.04865849580262415,-0.19019706133851105,0.5988609771834598,-0.7386540568864784,1.0,0.37605321064932523,-0.1594728904392413,-0.3084971207590119,0.20310626321084216,0.45535085759474786,-0.11014011481306171,-0.23672467934326658,0.9398590316494085,-0.4862549194955654,-0.7978298852252405,0.7223970116938969,-0.39966866476988455,-0.09408603232194893,0.04197004831804862,0.31069218926124087,0.26948043574192615,0.27264036923176477,0.5386575047462834,-0.7299748083075861,-0.46391095611776684,-0.1568525605435117,0.0,0.7546268667662478,-0.20801053461108512,0.49538611206747984,-0.5487232410697273,0.4133882591231894,-0.6519638939882523,-0.5804023399822705,0.12156323374763872,0.7247465636165263,-0.07992405992619617,0.015651785032062535,0.27997982675213406,-0.34737508208297624,-0.7080599736497768,-0.3538410027926057,-0.7251846475032794,-0.4252834813730353,-0.12038644090027627,-0.18968867789587668,-0.23144891262393366,0.2754024474400184,-0.4256035037364966,0.3813796746696959,0.18049827688072762,0.3660676116565389,-0.6176882059294254,0.10531484573619533,-0.06610329443786124,0.730727224424664,-0.23387430376094492,-0.09580102704687433,-0.5156555578456644,0.7568236756910145,-0.518924262880244,-0.033993962254042616,-0.6018050872052041,-0.5781941854878903,0.7864621658589599,0.880767427935213,0.6190207417508437,-0.5313432116029955,-0.69828354786596,-0.6135992134986065,0.13859735876648518,0.2383686058148133,0.19598525081799348,-0.0940914167779503,0.1424505334709717,0.7284754119439288,-0.061049517274778364,-0.1818017234059431,0.9065936380583967,0.6633237506798302
