,Rectus_R,Insula_L,Thal_LP_L,Vermis_6,Precentral_L,Angular_R,Thal_VPL_L,Thal_PuM_R,Paracentral_Lobule_R,Thal_PuM_L,SN_pr_R,Thal_AV_R,ACC_sup_L,Hippocampus_R,Fusiform_R,Parietal_Sup_L,Thal_MGN_L,OFCpost_R,Temporal_Mid_L,Parietal_Sup_R,Heschl_R,Cerebellum_Crus2_L,Thal_PuL_R,SN_pc_R,Olfactory_L,OFClat_R,Cerebellum_Crus2_R,LC_L,OFClat_L,Temporal_Inf_R
Rectus_R,1.0,0.05341460531476192,0.1744631225568374,0.0,0.3220632780019844,-0.515935213076726,-0.13260984049877264,0.06303807363088534,-0.069451847262843,-0.00816624892981319,0.005893065819514564,0.44715292710875226,-0.05006015573885284,-0.03998924124495378,-0.7536978237737415,-0.4478004818361885,0.07025415723572583,0.6805756522489325,-0.22095103083256332,-0.49150511526360147,-0.15287791113384494,0.1894376937237728,-0.2658499724753134,0.5065316492039051,-0.2740689156005278,-0.12615371503605982,0.015257709085998562,-0.7848297429563494,0.4957384172414127,-0.32434189797206153
Insula_L,0.05341460531476192,1.0,0.6707524228768349,0.0,0.35978951210157717,-0.05710976941756193,0.8078737864628794,0.8394312579355079,0.08824641977101137,0.8109428230275051,0.46938354855528397,0.74418941337072,0.8196257547684209,0.8254941854021013,-0.17769883545337703,-0.0243727212036514,0.6130897996679489,0.4703271704637936,0.10287802505114978,-0.14464636364258315,0.7711258713746832,0.1432407719706657,0.17717755682136163,0.7148571776218151,0.7126194590867639,0.03654462925171551,0.03554089905486666,-0.15158394673022835,0.18043175779444967,0.04722440123069294
Thal_LP_L,0.1744631225568374,0.6707524228768349,1.0,0.0,0.3119377057834277,-0.007219165360885804,0.4816239521483845,0.5305908917856493,0.18199823355743625,0.4976158992577454,0.4493110959417018,0.6671009901195232,0.5654253007224124,0.5962326936363468,-0.13419431534990303,-0.020565395077624393,0.29068459819140835,0.35826341271232504,0.08428708533767473,-0.05469755517798785,0.5029471241645264,-0.0200108258639689,0.1913099434249305,0.5779497572509985,0.5097260476227292,-0.04350640455823117,-0.03301343353486101,-0.169593690870837,0.13530406717626298,0.03578172627067958
Vermis_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precentral_L,0.3220632780019844,0.35978951210157717,0.3119377057834277,0.0,1.0,-0.5565378628237304,0.09003888509963603,0.39628242824817367,-0.060439811093150185,0.22752212272255123,0.36156899018308086,0.40074144092515007,0.36559278915026044,0.3498078346989254,-0.5227703775850284,-0.34246687337496573,-0.05030621893711289,0.5120020615296005,-0.4418384830871561,-0.3958466857274277,0.07069545878756953,0.043417292855703754,-0.2752886748454733,0.23933445967101968,0.2476861901639624,0.08611005761785895,0.3218720065999139,-0.40013182563193767,0.32811609815921616,0.0715550456178324
Angular_R,-0.515935213076726,-0.05710976941756193,-0.007219165360885804,0.0,-0.5565378628237304,1.0,0.09921726819809162,-0.11744789663660431,0.3947267193664905,0.052041574539370375,0.1237006704851486,-0.20200626257194737,-0.0800436892561231,0.04534148157489417,0.6273877842589692,0.6704798631683425,0.009076514074693192,-0.5690559932816008,0.35574458798519143,0.6844909629110992,0.15843670341316402,-0.08911347741766958,0.31542329117669005,-0.2259740097605779,0.06383206644719377,-0.14887262891091319,-0.21535684460588989,0.6206248444649802,-0.3893952226334453,0.1662914959423579
Thal_VPL_L,-0.13260984049877264,0.8078737864628794,0.4816239521483845,0.0,0.09003888509963603,0.09921726819809162,1.0,0.8481982568777486,0.11704755926644178,0.9286722044609965,0.3603199912773212,0.44295453925588163,0.6235887228910983,0.8242346664904275,0.04612742404904458,0.11627589204196294,0.719493332721294,0.23316059642116785,0.32748713803066204,0.0302694270539415,0.8363388116480747,0.038829211520477865,0.28870230423974386,0.5501049116929309,0.6066301940850843,-0.02646948922614479,-0.0747588277132173,0.06999281981546819,-0.0218749085418776,0.023500740160606225
Thal_PuM_R,0.06303807363088534,0.8394312579355079,0.5305908917856493,0.0,0.39628242824817367,-0.11744789663660431,0.8481982568777486,1.0,0.024608999630424126,0.9083936372685043,0.4763914308451891,0.6148751238181799,0.6134138041123288,0.8820480343995518,-0.23943096525547816,-0.02330435320723064,0.6320465627291079,0.43283190833210017,0.10952268841942417,-0.17181089086469484,0.7051337353250076,0.06554640694829161,0.1715464876176852,0.604806368768436,0.5244487163675169,0.015104666698743682,0.07830262119014011,-0.08485663509397133,0.10694171410000325,0.015917900548212096
Paracentral_Lobule_R,-0.069451847262843,0.08824641977101137,0.18199823355743625,0.0,-0.060439811093150185,0.3947267193664905,0.11704755926644178,0.024608999630424126,1.0,0.16127920877511323,0.5629669861539305,0.0663323055700607,-0.12691033415030914,0.2836717310397271,0.2665241896774933,0.3962675272657847,-0.09526104442761332,-0.11413094908407331,0.15910604197571507,0.44005158292296004,0.23233931002616168,-0.1137130393923661,0.23697992360317346,-0.011277843137709494,-0.006530031864164772,-0.15766208257636738,-0.10407644799328475,0.16721883765915022,-0.17086720784372098,0.18934953346091937
Thal_PuM_L,-0.00816624892981319,0.8109428230275051,0.4976158992577454,0.0,0.22752212272255123,0.052041574539370375,0.9286722044609965,0.9083936372685043,0.16127920877511323,1.0,0.5165507700492056,0.5241707088779397,0.5416453955080941,0.8835422186406157,-0.10572835190236846,0.09897845301939223,0.6906036818988059,0.3026255915789247,0.22426850175516308,-0.016762902736268136,0.8047052610902965,0.0462884392321005,0.2662435123823334,0.5690390125450606,0.5231801746111047,-0.1121933223345947,0.009611343771688726,0.015926887418749723,0.05083385241318278,0.0025132250915605226
