,Cerebellum_6_L,Thal_PuM_L,Fusiform_L,Thal_MDm_R,Thal_VA_R,Frontal_Sup_Medial_L,Thal_VA_L,Red_N_L,Lingual_L,Caudate_L,Cerebellum_3_L,Parietal_Sup_L,Rolandic_Oper_R,OFCmed_R,ACC_sub_R,Frontal_Sup_Medial_R,Temporal_Pole_Sup_R,Cerebellum_9_R,Heschl_R,Vermis_7,Olfactory_R,Cerebellum_7b_L,OFCmed_L,Putamen_R,Temporal_Inf_R,Cerebellum_8_R,Occipital_Inf_L,Putamen_L,Frontal_Inf_Oper_L,Cerebellum_7b_R
Cerebellum_6_L,1.0,0.40584069026066794,0.8728521094318773,0.803615090721913,0.8213728111141988,0.7268394442634457,0.8659380122775784,0.7869699781535731,0.8509003292112248,0.8912867318358794,0.8681843965353851,-0.2448973467907529,0.8739011511781382,0.1334467711631719,0.8945633321983166,0.8038163949618901,0.7567181261823154,0.6671938611652926,0.6318910550181603,0.30880321980541375,0.4329040701437464,0.3799692535680572,-0.1552640726652719,0.8501724521774925,0.331852798879104,0.49699119154670207,0.43598412102055173,0.7840620201597939,0.8623235233029436,0.2435572600207151
Thal_PuM_L,0.40584069026066794,1.0,0.41786080037919443,0.72695672822538,0.2425745926975177,0.16408204746408717,0.2819858784911308,0.4857294871971428,0.6960678910030202,0.46976640440069084,0.5112789438163556,-0.056156407430424216,0.3532400754452931,-0.182919642811367,0.453553249251452,0.27916702382793984,0.19847801117315717,0.49293431211317085,0.26577136114030453,0.48242609936043285,-0.1039011991870232,0.23481151701408567,-0.36063824254214616,0.1782120002328893,0.3732936339155919,0.3414788726124145,0.6752723103703872,0.06634632574834794,0.4818656386997874,0.13564010480457447
Fusiform_L,0.8728521094318773,0.41786080037919443,1.0,0.7499989789372409,0.6552779586576638,0.5365994796920274,0.7826251461284969,0.7751228349071687,0.7772708657801575,0.8146543713315163,0.7748645269622346,-0.4620852180894055,0.7730899990906032,-0.11987936033465839,0.8200115931532245,0.670298521735475,0.5772657804409203,0.5132861643949982,0.6460191408256665,0.4757110170298491,0.38646881361575963,0.3077826643712785,-0.24573767646635344,0.8112190224032009,0.08642041879894875,0.4338383542225225,0.5780577736053927,0.7290051043655554,0.7644673862708301,0.10009770427018855
Thal_MDm_R,0.803615090721913,0.72695672822538,0.7499989789372409,1.0,0.6795068787188897,0.61057061169401,0.8133633821456295,0.7487844984424002,0.8502309580623255,0.9013524597529989,0.8524448446906758,-0.18752613525713627,0.7362586997583946,0.09676646831153513,0.8696351696645658,0.6813880834998995,0.5798363250526936,0.5912348115095104,0.568263333231691,0.3980698354924176,0.226530239538584,0.22011835171907404,-0.20242694985925844,0.6066871383274194,0.34736849010798515,0.3474984913429612,0.558803212034661,0.4822409983263832,0.7933596205797961,0.13908146646455452
Thal_VA_R,0.8213728111141988,0.2425745926975177,0.6552779586576638,0.6795068787188897,1.0,0.8381415678229288,0.9002730398820922,0.6792988302486915,0.6869261976495596,0.8058064233709925,0.7031495428759454,-0.05503267054523663,0.8866176140469187,0.3683903260424115,0.8571961430581206,0.8241745659706334,0.8406848752861942,0.66172459883444,0.45795632283159193,0.08567966283278097,0.4825565328944418,0.33214690770276034,-0.02881211397251195,0.6973095198603272,0.4693002201689653,0.46422042533612073,0.1436374645282321,0.7149715930726461,0.7785355339549104,0.28513520705377643
Frontal_Sup_Medial_L,0.7268394442634457,0.16408204746408717,0.5365994796920274,0.61057061169401,0.8381415678229288,1.0,0.8018486907547243,0.6017357473893094,0.614117094959318,0.7751201605023039,0.6872199850392067,0.07846525000680929,0.8280555780921572,0.36042122566525453,0.7736213817143167,0.8985910934864025,0.8239952039354489,0.6431905443116125,0.38509623886002164,0.0956984156513305,0.5317909241694304,0.433352889925063,0.041683106283251566,0.6482773913889018,0.5447251510968574,0.45528542848560744,0.05140941540131038,0.6168766542333488,0.819469285237953,0.47567512996574957
Thal_VA_L,0.8659380122775784,0.2819858784911308,0.7826251461284969,0.8133633821456295,0.9002730398820922,0.8018486907547243,1.0,0.7495606249586116,0.7077277247246057,0.9376021936589741,0.8033968276179564,-0.20899963336413052,0.8898853770646435,0.2954211586256678,0.9464705064704715,0.8239037770523266,0.7899934145690393,0.5371458766623582,0.5471452899271523,0.1786355453558417,0.46497578753405283,0.24979812039783614,0.013815261636338772,0.7578871157092701,0.31034761320610016,0.2704642508271328,0.20237095112073084,0.7324164267037194,0.8007019497581024,0.17466935881545842
Red_N_L,0.7869699781535731,0.4857294871971428,0.7751228349071687,0.7487844984424002,0.6792988302486915,0.6017357473893094,0.7495606249586116,1.0,0.7633634197591956,0.8159748172762251,0.7144523805051429,-0.18678767702072624,0.766230167333966,0.07477254436955227,0.7730911665897058,0.6687048080448127,0.5821625175278107,0.6570476278313728,0.4972296441168737,0.3907742261337027,0.21983356508502452,0.4228089514923216,-0.21958801545947115,0.6821904736262276,0.427978628080623,0.4916219499606398,0.4455289167551936,0.6416468344050863,0.788464174546194,0.34291335749328145
Lingual_L,0.8509003292112248,0.6960678910030202,0.7772708657801575,0.8502309580623255,0.6869261976495596,0.614117094959318,0.7077277247246057,0.7633634197591956,1.0,0.8118970472939595,0.8337428416620233,-0.09913038864565162,0.7498906902009009,-0.015376983566707053,0.8168019534643016,0.6611169061674158,0.6087851117272928,0.7259534179485645,0.4876292466291516,0.40960918212773767,0.2585380777636562,0.47933989379421216,-0.33273525555437383,0.6449139236367778,0.488097065987601,0.5905533456161872,0.6630140643725064,0.5452802182590144,0.8407179159491882,0.3360910059547271
Caudate_L,0.8912867318358794,0.46976640440069084,0.8146543713315163,0.9013524597529989,0.8058064233709925,0.7751201605023039,0.9376021936589741,0.8159748172762251,0.8118970472939595,1.0,0.8607472281989155,-0.18669447205397835,0.8524683384738125,0.15698644411812915,0.9384360671639281,0.8081872674323463,0.6915160444264269,0.5805013192300517,0.5648052772568429,0.26846263977100954,0.37316462063714545,0.27309502888207715,-0.12513817727438492,0.7577563385510795,0.3418833814709377,0.3095882677563911,0.3843634456267078,0.6853502854779121,0.8810554622403945,0.20644719416494026
Cerebellum_3_L,0.8681843965353851,0.5112789438163556,0.7748645269622346,0.8524448446906758,0.7031495428759454,0.6872199850392067,0.8033968276179564,0.7144523805051429,0.8337428416620233,0.8607472281989155,1.0,-0.15715678520221296,0.7587457321384851,0.09975213360664507,0.8615472138814262,0.7056969766395718,0.6592828502508319,0.593322279111673,0.5724364221787492,0.28964351851409326,0.3800616142465683,0.3981522482337338,-0.20414664902154397,0.7393818610308809,0.3306957962053183,0.46418994714840867,0.5089837389434202,0.6164718741647957,0.8490856361687296,0.2562415748913553
Parietal_Sup_L,-0.2448973467907529,-0.056156407430424216,-0.4620852180894055,-0.18752613525713627,-0.05503267054523663,0.07846525000680929,-0.20899963336413052,-0.18678767702072624,-0.09913038864565162,-0.18669447205397835,-0.15715678520221296,1.0,-0.20278106063206391,0.2516627398048744,-0.16475000601978923,-0.17816564443295904,-0.07189717299541462,0.14700480065411622,-0.5668244655639105,-0.17944422969666193,-0.233866057213024,0.1763907087690197,0.10436178221899538,-0.37807131061176263,0.49740477847019376,0.059026727043304424,-0.2091845446301097,-0.37096796046920694,-0.06300555467728337,0.343773150617371
Rolandic_Oper_R,0.8739011511781382,0.3532400754452931,0.7730899990906032,0.7362586997583946,0.8866176140469187,0.8280555780921572,0.8898853770646435,0.766230167333966,0.7498906902009009,0.8524683384738125,0.7587457321384851,-0.20278106063206391,1.0,0.23547566389716387,0.8881508139001578,0.9053593135398098,0.8991088209073463,0.6912252113707313,0.5861080121006804,0.2605923128525074,0.543112282819762,0.42063369828082453,-0.04672149613669772,0.7951156448877533,0.4528316531013797,0.4771030657500067,0.22105727594477909,0.794112885192561,0.8419101221007718,0.34079582685253523
OFCmed_R,0.1334467711631719,-0.182919642811367,-0.11987936033465839,0.09676646831153513,0.3683903260424115,0.36042122566525453,0.2954211586256678,0.07477254436955227,-0.015376983566707053,0.15698644411812915,0.09975213360664507,0.2516627398048744,0.23547566389716387,1.0,0.1873436446878029,0.24187361477547112,0.4197649157380153,0.2363297213336155,-0.0024118278516551492,-0.31358657959869013,0.08094754048650066,-0.07023660915238078,0.4683836132252573,0.07499032968813707,0.3793402506451483,0.027089788426028712,-0.465992779778586,0.15008943967500826,0.07561853486227893,0.19560796748227316
ACC_sub_R,0.8945633321983166,0.453553249251452,0.8200115931532245,0.8696351696645658,0.8571961430581206,0.7736213817143167,0.9464705064704715,0.7730911665897058,0.8168019534643016,0.9384360671639281,0.8615472138814262,-0.16475000601978923,0.8881508139001578,0.1873436446878029,1.0,0.7970819901580422,0.7929219970002486,0.612219459548208,0.5156724744647978,0.2988790792307597,0.434867313640831,0.3316352324124304,-0.12502621207668083,0.7668240321415339,0.40047993561650513,0.39822651343473886,0.3641965103363299,0.696052135552429,0.8609282637564234,0.23096578142151114
Frontal_Sup_Medial_R,0.8038163949618901,0.27916702382793984,0.670298521735475,0.6813880834998995,0.8241745659706334,0.8985910934864025,0.8239037770523266,0.6687048080448127,0.6611169061674158,0.8081872674323463,0.7056969766395718,-0.17816564443295904,0.9053593135398098,0.24187361477547112,0.7970819901580422,1.0,0.8323849483269005,0.6074250857512127,0.5751371889758966,0.21307830955834345,0.5372193038273207,0.38242583990367446,-0.015606265031701714,0.7366880075448672,0.40129681615928714,0.4130532554267039,0.14947427758183568,0.7387047597961208,0.7888978524948067,0.3199244016299688
