,ParaHippocampal_L,Cerebellum_10_L,Thal_PuI_L,ACC_sup_R,Temporal_Inf_L,OFCant_R,Pallidum_R,Vermis_9,ParaHippocampal_R,Thal_PuA_L,Thal_PuA_R,Frontal_Inf_Tri_R,SupraMarginal_R,Precentral_R,Temporal_Sup_L,Thal_VL_R,Thal_AV_L,ACC_sup_L,Cerebellum_Crus2_L,OFCmed_L,Red_N_L,Precuneus_L,Occipital_Inf_L,Cerebellum_7b_R,Cerebellum_8_L,Vermis_10,Rectus_R,Thal_PuL_R,Paracentral_Lobule_L,Temporal_Mid_R,Frontal_Sup_2_L,Insula_L,Lingual_L,Occipital_Sup_R,Frontal_Inf_Oper_R,Cerebellum_4_5_L,Occipital_Mid_R,Cerebellum_4_5_R,Cerebellum_9_L,Supp_Motor_Area_L,Angular_L,N_Acc_L,Frontal_Sup_Medial_L,Raphe_D,Cerebellum_3_R,Cerebellum_Crus1_L,Pallidum_L,Caudate_L,Cingulate_Mid_R,Precentral_L,Temporal_Mid_L,Frontal_Inf_Orb_2_R,Frontal_Inf_Tri_L,Amygdala_R,ACC_sub_R,SN_pr_L,Hippocampus_L,Thal_AV_R,Cerebellum_Crus2_R,Frontal_Mid_2_L,Cerebellum_6_R,Occipital_Sup_L,Frontal_Inf_Orb_2_L,Cerebellum_3_L,Cingulate_Post_L
ParaHippocampal_L,1.0,0.2858798179482344,0.06894366172403553,0.2146162070984767,0.4146057857562843,0.18373574646147361,0.561501424770812,-0.3213097983762712,0.6943148518091502,0.14629853115640373,0.24143429253702478,0.1600799281901436,0.11199670254624702,0.6994782421986941,0.5186671013325209,0.47053779876938706,0.23898838271036787,0.5042852957807132,-0.06450362833145434,0.18711020538038228,-0.04523888676285349,0.2312469455913783,-0.24156488713394653,0.23567837605092723,0.4352580670763716,-0.45183467972015784,0.16822497270570028,0.21379708044291074,0.2354716887036561,-0.16319400306462392,0.753065395146987,0.6306674875077144,0.19580048463378447,-0.16054978183497579,0.10047348938155458,0.5413618072237258,-0.3669214406110456,0.7065018774878881,-0.064492101028925,0.6015573300873538,0.0021292834660594706,0.32835146865668186,0.7056358178870484,0.4894645885558768,0.7489880859067851,0.08368206491111628,0.4578005874557204,0.5541590817362786,0.6006541571615103,0.5768699788614513,0.18251276506135766,0.2669264599636752,0.5751119159904059,0.3777105692479446,0.12438390865232044,0.4132829049253997,0.8026031919038602,0.5884436113324819,-0.10985172162518901,0.5642248339914854,-0.10605933104308336,-0.04995992872764699,0.27862835181043527,0.7132190544191929,0.4158624412236627
Cerebellum_10_L,0.2858798179482344,1.0,-0.23000160375937975,-0.059142735769827454,-0.1252631885824687,0.36991262450798523,-0.1683374032175687,0.30220152602111366,-0.1271322139073246,-0.31344009824310126,-0.2996289840471865,-0.2992723534509791,-0.13433309979566838,-0.06295869720398536,0.5198179902853842,-0.19471801536162384,0.01972422147279949,0.346971172459048,-0.028840224423835586,0.4715554219154292,-0.0027878346797852818,-0.4201808170990759,-0.2667342837585928,0.12250630227870027,0.030285702575240676,0.1379214805589741,0.4535519821155925,0.0993167143034816,-0.43049940682513865,0.015707893995893882,0.6643529374719254,0.6651241410952086,0.2751700908401967,-0.12537908111955753,-0.24792111228083813,-0.15663831121120422,0.025644793001321095,0.006902801930578792,0.35010602727630524,-0.04605868389182774,-0.14398069864627533,-0.17675488660946473,0.6308194026429637,0.017885523453798364,0.21537808624318913,0.5095740868605558,-0.12716422450137796,0.10505093382393027,0.1174166989460328,-0.12465329979200142,0.2626936796369853,-0.1295691147690103,0.5602230239230045,-0.05537087501734402,0.2397031991383404,0.3033194482525366,0.016506742072009573,-0.0715385490744783,-0.01833862641378811,-0.004502052132772526,-0.3774336399332332,0.0890468837482979,0.6086815532142692,-0.05213382177329084,-0.32060706825112334
Thal_PuI_L,0.06894366172403553,-0.23000160375937975,1.0,0.4080361777875579,0.31781873712914377,0.18905097809291105,0.2198004164814307,0.06497299170867929,0.32180956689278,0.6111719470052959,0.39551923997090765,0.24724485959976705,0.3989303302533814,0.3450131639189484,-0.01105833672674262,0.16600568529264748,-0.42658812198996876,0.322104372519094,0.334838102955311,-0.06779993397597728,0.6373418485052051,0.5990238914032723,0.4541219557256994,-0.0957315422138199,0.2508714349775195,0.28107595429913196,-0.13389237185582104,0.4383916373453968,0.5500887850758824,0.2668084579118397,0.017057144182290516,0.003282903832451125,0.5459604625451435,0.5250040514684907,0.393838469500832,0.5757451832575743,0.38987018906892457,0.5111281282048534,0.22385293028513248,0.35555044047116424,0.35387819791813785,0.2484741242789017,-0.14814004197695518,0.4180013724578398,0.32612511555562845,0.11893494495170757,0.6294875948670468,0.09974894457638027,0.4489905241759337,0.44518144282515343,0.14744500498608182,-0.09148747995534658,0.016277820421798955,0.039892553841737746,-0.32186048002141954,-0.09147704174407624,0.46237429688461507,0.21560219893404245,0.26873703494456685,0.19891800680368024,0.5288258482379102,0.3583068387121725,-0.04764766832879877,0.29257790952818585,0.390716497118245
ACC_sup_R,0.2146162070984767,-0.059142735769827454,0.4080361777875579,1.0,-0.12197073830566484,-0.31282571040351165,0.5835257419386644,0.1881928007911016,0.4108788807015306,0.17530696431045314,0.6236356832375162,0.7140926203864351,0.3517836013855204,0.464753828854445,-0.13524566224184506,0.5772269883605935,-0.33899946819790416,0.44473645792051053,-0.16143201203776297,0.03100243569946931,0.07505240018763418,0.47847277498413326,0.18703517576787837,-0.1515359016100696,0.16293822009566142,0.12122225224831192,-0.25133654092372726,0.37855136464943595,0.5249730193867864,0.5210171996116478,0.1081494421723144,0.06031743398740354,0.28443827082601963,0.19670338893930286,0.6842933642328195,0.3802417083643728,0.18556109807522278,0.4286916022149208,0.28393043493993353,0.31032973497629845,0.07574546763302292,0.3943745305927289,0.07536674354366055,0.4463158374240286,0.2451247402314537,-0.3645565952104798,0.4982898341080052,0.6431285767994718,0.3096876387301245,0.5550540261091116,-0.2315791743544634,0.5426719189771534,0.014453043365365948,0.48525353812343386,-0.5019635996639141,0.16639172831870627,0.5225470669961183,0.22814340596255495,0.26625839496237647,0.5556330335578173,0.5003237793677009,0.10883134936735418,0.2409119074886379,0.0680112528532141,0.22744764092808276
Temporal_Inf_L,0.4146057857562843,-0.1252631885824687,0.31781873712914377,-0.12197073830566484,1.0,0.5540589243120967,-0.05499806824444242,-0.44522950149690504,0.27311646357018443,0.6593780765972188,0.3578951937335343,-0.26406529184581234,-0.023087397004512594,0.35686295688898145,0.6177904663896018,0.2707138374752008,0.06225555932866182,0.3718325703023722,0.3919958895678182,0.09390813181352269,0.4905524398665573,0.4606237062800116,0.3986727669755518,0.105397873566563,0.2625929867515486,-0.06504506775236613,0.21669205793302337,0.20222949181883357,0.3409600329501788,-0.48551617177958734,0.3024082409559699,0.3746952522798196,0.3645221145715098,0.3701390680506329,-0.05416049370626331,0.6253257400184145,-0.020396859631427598,0.4784301092006207,-0.2321984829775015,0.47115437676592875,0.5626321980861777,-0.023938935161952786,0.15361519289865347,0.26133914915359835,0.26247790219097367,0.48711906030224716,0.24405247708510827,0.08717390545795686,0.5167062209848561,0.3223820321650875,0.7697921189994125,-0.36993896133574816,0.4372783651308536,-0.24571089901671384,0.1783315956719294,0.33590459680996304,0.5123402510193207,0.18084357881153512,-0.0392860765825633,0.020361761114188998,0.12022698297990948,0.35196810316890403,-0.3002961944106353,0.7553859609920897,0.4404134111279739
OFCant_R,0.18373574646147361,0.36991262450798523,0.18905097809291105,-0.31282571040351165,0.5540589243120967,1.0,-0.3526658983932811,-0.16891483687134037,-0.17969874967539096,0.388336739556051,-0.051709921094248816,-0.6297024950283517,-0.12336759615383959,-0.053783389653945,0.6989110047549872,-0.18239502172523858,-0.03172936045082797,0.4078430586634589,0.3464449908636861,0.4993113783774703,0.6447761120313157,-0.05659320418497613,0.22819298377620792,0.060696228888656965,0.06195208900305359,0.06833172785323995,0.6204946522013468,0.18689845160029428,-0.20669557802760458,-0.4600249342732831,0.3989364290108258,0.5345770323279934,0.4160207265307185,0.17588082348547152,-0.4090037379830165,0.1557863832451137,0.10101878091274366,0.12127984915717267,-0.008973926234226173,0.05387613359602943,0.2622308807128415,-0.21132597792463897,0.22130042564871527,0.06666407141446026,0.20070295098818186,0.857089522765088,-0.04316460266541187,-0.046909252767673694,0.331566427605012,-0.15758128906015104,0.7523338134833127,-0.6900225542063759,0.5269829802920396,-0.40099594853817105,0.4108356327853375,0.3183332275484309,0.17453882469324247,-0.019181974273123143,-0.07975940692025998,-0.25634476004570855,-0.3283195195428433,0.28150675527718316,0.020658525147691946,0.43769595989491655,0.03065229482193194
Pallidum_R,0.561501424770812,-0.1683374032175687,0.2198004164814307,0.5835257419386644,-0.05499806824444242,-0.3526658983932811,1.0,-0.2198272459934038,0.6076080940849847,0.046150188952604344,0.43609478644701527,0.574070338375184,0.2369037695944802,0.6154327938637205,-0.12366130468360194,0.5918183253058895,0.023249901106521448,0.26593886603385153,-0.431890767802803,-0.1281906213460706,-0.1921300685247232,0.3634502740188458,-0.16987187150443978,-0.00324072908226827,0.2213045753539038,-0.5303339141596572,-0.2765860589490767,0.15410645339652207,0.430129325002554,0.17906426751993104,0.23258028451384302,0.09332660913481099,-0.11667338686052214,-0.27822373866088573,0.3337037057509054,0.38423038880810634,-0.3626736896677284,0.5253630583606267,0.05898724006736356,0.40336097120783293,-0.21768649640077276,0.517928413956446,0.25130306941642416,0.4760751037692318,0.47830610517180644,-0.5018674509555184,0.6776056980518685,0.6493575489261674,0.2919518565489519,0.5654838874271341,-0.4199548332265513,0.6333112464434196,0.0796759532196393,0.7496620852470022,-0.3149718496154298,0.18461391905994512,0.6452901638783042,0.6407799687712686,-0.14751454369304698,0.6064529505532298,0.1961079044867747,-0.38394097062135846,0.09321899347008529,0.3145282705090019,0.4627251359839824
Vermis_9,-0.3213097983762712,0.30220152602111366,0.06497299170867929,0.1881928007911016,-0.44522950149690504,-0.16891483687134037,-0.2198272459934038,1.0,-0.08695070039491785,-0.1667972412655614,-0.1416437078258923,0.2612563395632414,0.322196386055965,-0.1182691138183335,-0.2467180342133569,-0.06834005287315437,-0.10755801276733211,-0.04785101073462469,0.13182794799709194,-0.009010030655944763,-0.05090494786623446,-0.0043964108449116995,-0.04475999333602829,-0.035782686200217344,0.013353627818576212,0.6581938641528824,0.0004231203839945516,0.11189071623495415,0.03002695835067058,0.6470568419916755,-0.07444042581191505,-0.13067666061760885,0.33946608445305043,0.33504555599425495,0.3765659359870604,-0.06981578175887304,0.5659108816447427,-0.07649579919361212,0.5192517087000792,-0.04873891339247774,0.12408626426842245,-0.19951511630611066,-0.01520398193926845,-0.07769316139078182,-0.09616331886197271,-0.033391194705125686,-0.18125858036434062,-0.16346705201443223,-0.02627281893860171,0.015152991714543923,-0.21268084141860477,0.1143227906729318,-0.06557670930147962,-0.14554677528064525,-0.048633770300425996,-0.27038810197746377,-0.28777297275549707,-0.3688960748017588,0.4052243814901679,0.0727871610240351,0.2910579689180781,0.3756751959305331,0.4014410972191376,-0.5382081928924408,-0.212702678177272
ParaHippocampal_R,0.6943148518091502,-0.1271322139073246,0.32180956689278,0.4108788807015306,0.27311646357018443,-0.17969874967539096,0.6076080940849847,-0.08695070039491785,1.0,0.2970388041358732,0.3949796231962811,0.6126874084655051,0.37775108635577115,0.7822464660258447,0.012585522093913826,0.5676152552335793,0.07716968216297214,0.2808907682269912,0.021289682727840983,-0.12231662388618937,-0.052712569681820365,0.6174232348924809,-0.06501232860975745,0.09652416036766834,0.4579285283345978,-0.14096200095821315,-0.1623783402315325,0.436668117993677,0.6520362202676075,0.27418969220647454,0.3931300777503187,0.16322556620623585,0.24215370925194227,0.1537310913502377,0.5595064106010773,0.7399000884735432,-0.05275265639908327,0.8382266281484928,0.006828790179879668,0.7694143011176995,0.263222068891496,0.43984096045303567,0.38424615990504524,0.458627104305159,0.7030494583604169,-0.3390651901922539,0.5309586630624406,0.44843002647931285,0.5771791781808302,0.8052881211031713,-0.12110821106666567,0.5378891158958526,0.22321168147491796,0.3637562239983971,-0.08164952765521145,0.012043363001754468,0.7157466211832267,0.5379830734873225,0.14501661803601426,0.6707897243169089,0.45268771551834036,0.20929036092796083,0.06783845518932714,0.5132705264478966,0.5344974399339104
Thal_PuA_L,0.14629853115640373,-0.31344009824310126,0.6111719470052959,0.17530696431045314,0.6593780765972188,0.388336739556051,0.046150188952604344,-0.1667972412655614,0.2970388041358732,1.0,0.4992148669555518,0.0755170368560967,0.27703506416820306,0.4283253448617964,0.19337270216812422,0.33830081144807184,-0.14969666532796508,0.40129049126214594,0.4358017301838268,-0.03870296375622541,0.6202629152423056,0.7057822110058166,0.5557510087235046,-0.06649868624804131,0.21111991532237553,0.1631510163277337,0.029799600079399503,0.3687640701881519,0.5916799528825709,-0.042834233515823515,0.04814071338615543,0.043491200473764015,0.5108534376050169,0.590180444766929,0.2716199706937644,0.6657099814236991,0.3220547920654461,0.5270852005360055,0.05934844535193922,0.5226355187996309,0.6243062074358443,0.07034199328049044,-0.05871619266366012,0.3704935489007102,0.24972033079595043,0.26065972133121224,0.3636105376689765,0.16656410034298424,0.533321396073722,0.45592476067152526,0.44077322841232097,-0.2022123535823819,0.15218204095603585,-0.13154262610959266,-0.03640241715329914,0.11662046100479405,0.49783872212568564,0.18225263198226252,0.1359210234759478,0.1881790403834073,0.45052593446431854,0.4638659199276647,-0.26369018771614644,0.4930026907780531,0.5838344537247754
