,Temporal_Pole_Mid_L,Frontal_Med_Orb_R,Frontal_Sup_Medial_R,ACC_sup_R,Thal_PuA_L,Precentral_L,Insula_L,Putamen_L,Occipital_Inf_R,Frontal_Inf_Orb_2_R,Thal_MGN_L,Olfactory_L,Pallidum_L,ACC_pre_L,Paracentral_Lobule_R,Vermis_10,Raphe_D,Heschl_L,Cerebellum_6_R,Cerebellum_9_L,Cerebellum_9_R,SupraMarginal_L,Thal_VL_R,Hippocampus_L,Rectus_L,Frontal_Sup_2_R,Paracentral_Lobule_L,Calcarine_L,Rolandic_Oper_R,Cerebellum_4_5_L,Thal_LGN_R,Red_N_R,OFClat_L,Putamen_R,Rolandic_Oper_L,Insula_R,Thal_VA_R,Temporal_Mid_R,Parietal_Inf_R,Lingual_R
Temporal_Pole_Mid_L,1.0,-0.0901599241327268,0.01946802652974486,-0.24559336479989072,0.18035699160509538,0.17590560665218988,-0.1201519604262927,-0.0982588708571703,0.2878036368808308,-0.01778862729734058,0.13309910537800654,-0.25354775310899563,-0.0613584225538729,-0.1885277424597874,0.1720114867249743,0.3632071175247001,-0.004786262808225467,-0.13616848823726496,0.29350056788784845,0.15067930579102598,0.2523446501962907,0.25048788252674264,0.002238728497288333,-0.014913407266684917,-0.2938698924604721,0.040598775998997895,0.19929667762302167,0.3069553173745428,0.11417941184880682,0.2626026537671978,0.11848956825313249,0.082329622570752,0.009789762711671922,-0.143819136018948,-0.1338524266719706,0.14249476352557008,-0.08906086204021303,0.17320552296490369,0.28105002239686566,0.28701741288593724
Frontal_Med_Orb_R,-0.0901599241327268,1.0,0.46769827870473163,-0.36275485274727065,-0.03371833394600404,-0.2524876889303255,0.641805469947262,-0.13494012347749734,-0.40363590200747373,-0.4529312371153833,-0.37309693327313787,0.21047305096173696,-0.18389600220220415,0.7256208678517487,-0.39432170979971115,-0.06471810692057578,-0.017263517535031497,0.3574271039065722,-0.5293119159997852,-0.04645774769874635,-0.11382845883859459,0.12046128733760492,-0.24541076743486384,0.0481673010018798,0.837983215518039,0.31467303097583593,-0.43646433182328,-0.18646898883447233,-0.5281423238194295,-0.11165970397520719,-0.04629977565422751,-0.15129219293271318,0.43282351529272245,-0.055129702276573496,0.6726237788926702,-0.5432577083190222,-0.07402654756371942,-0.4901800323712492,-0.013812441002441857,-0.1654337267471646
Frontal_Sup_Medial_R,0.01946802652974486,0.46769827870473163,1.0,0.15469290268333552,0.03134884067637824,0.47351957393100214,0.7285576587518326,0.5501078176122842,-0.20344667696255878,0.2741915603417409,0.1850707183554276,0.2589199300525798,0.2640374694289099,0.5211608851277506,0.16246884921063998,-0.23424971117416282,0.40316763360022667,0.41155650906411945,-0.18695806926835193,0.01775328893218127,-0.0540406622947746,0.31574072708091533,0.3080430273507345,0.6195959923423318,0.41894966325661825,0.8515039445369575,0.06344157185000883,0.22622378017604544,0.21925460501423966,0.3842485588819098,0.2583298442481719,-0.05391726341740541,0.5205423309086654,0.6458071818548458,0.7069163009962113,0.10530805577410636,0.3618305195540371,-0.1417015544737472,0.05799941344449523,0.27187930547453604
ACC_sup_R,-0.24559336479989072,-0.36275485274727065,0.15469290268333552,1.0,0.17530696431045314,0.5550540261091116,0.06031743398740354,0.45023643804692254,0.4033951381439472,0.5426719189771534,0.44468769171231104,-0.07460493134424982,0.4982898341080052,-0.1890219060902806,0.4496217091312244,0.12122225224831192,0.4463158374240286,0.11109393884514102,0.5003237793677009,0.28393043493993353,0.26398002769770795,0.14254765824855054,0.5772269883605935,0.5225470669961183,-0.23861843754557818,0.3155817941551971,0.5249730193867864,0.47603841718849466,0.6033707617224028,0.3802417083643728,0.4581851211052213,0.35469346751063074,-0.12086168626012073,0.5608749666233452,-0.0015486073698308676,0.674200282350523,0.1678915399218007,0.5210171996116478,0.07359536193035886,0.512019205007788
Thal_PuA_L,0.18035699160509538,-0.03371833394600404,0.03134884067637824,0.17530696431045314,1.0,0.45592476067152526,0.043491200473764015,0.1725259050308284,0.1213044308948062,-0.2022123535823819,0.36986323110286795,0.014013936963844951,0.3636105376689765,-0.26826184467087355,0.5866463932952665,0.1631510163277337,0.3704935489007102,0.4855697261870738,0.45052593446431854,0.05934844535193922,0.5770212326567317,0.5359858363791069,0.33830081144807184,0.49783872212568564,-0.11734062210023598,0.29307224168973134,0.5916799528825709,0.5625784861476629,0.017129968176524065,0.6657099814236991,0.41366001473293074,0.4419299445343647,-0.3050745905466143,0.16997509438039185,-0.00705460712139727,0.0160865440901274,0.07988936261644176,-0.042834233515823515,0.4809162640748705,0.36595396937405533
Precentral_L,0.17590560665218988,-0.2524876889303255,0.47351957393100214,0.5550540261091116,0.45592476067152526,1.0,0.18585832658705184,0.5791899271733718,0.3636262684110723,0.5147575246973093,0.587619365997712,-0.00676531826986419,0.5572865717459528,-0.25002274346364894,0.8142711568245414,0.031102751715506013,0.6354997447096377,0.29387900019814567,0.6247116276237575,0.23594840986557178,0.3812871273562323,0.5885908242055492,0.6850292059913093,0.7749614175646179,-0.28360488256601046,0.6731572434954939,0.833931052626042,0.732256695153607,0.7022256842003644,0.7982089034305071,0.527653725674728,0.3796626868595074,-0.006872831945732754,0.5970660892420979,0.1417451794149529,0.5930229694731932,0.3621481181217988,0.3745183397648197,0.3439817872580614,0.6465395975335533
Insula_L,-0.1201519604262927,0.641805469947262,0.7285576587518326,0.06031743398740354,0.043491200473764015,0.18585832658705184,1.0,0.43071528897041184,-0.3742077338262343,-0.19768229680729138,-0.024866537205312168,0.27812161487722664,0.17642980650104478,0.5802468946863353,-0.02819406997505457,-0.13402166158388037,0.2761957016637054,0.5947618016635526,-0.3803777043411693,-0.03544917102358008,-0.12118978611609914,0.3029604733459939,0.15120589864363596,0.4763065095224584,0.6558772231286613,0.6175551894557725,-0.15854054016753197,0.12886869860127995,-0.16945424965398276,0.2683505633527554,0.20041122526192381,-0.029821862000429127,0.643941747484576,0.4478864612146001,0.8922163624404024,-0.23639428023897766,0.19558134627456267,-0.3145977172564334,0.1847859946724407,0.15153705576884413
Putamen_L,-0.0982588708571703,-0.13494012347749734,0.5501078176122842,0.45023643804692254,0.1725259050308284,0.5791899271733718,0.43071528897041184,1.0,-0.226617440216143,0.3967945855249992,0.4477701877808356,0.37142370576992145,0.5663408730689055,0.07222040266595771,0.5140019439902656,-0.444011566554082,0.49866578970488157,0.3594276079219187,0.05162474112003315,-0.20709286093616136,0.023156698317131873,0.27422727152790793,0.6516345777195613,0.7569526955943877,-0.013458965599604729,0.6199955508242296,0.3824855101187809,0.2887753683674359,0.3668694472854579,0.5621771722100821,0.23387416289209853,-0.10159926410854263,0.2017420213110404,0.8210624868829735,0.30152555692992317,0.23672686051747444,0.5858456470279646,-0.07306996230689158,0.0899744933439558,0.20939178223237617
Occipital_Inf_R,0.2878036368808308,-0.40363590200747373,-0.20344667696255878,0.4033951381439472,0.1213044308948062,0.3636262684110723,-0.3742077338262343,-0.226617440216143,1.0,0.31225759606842163,0.20999441590473422,-0.5654434807435452,0.12276937767929795,-0.525966288114481,0.2196022832515805,0.7030988770622097,0.15204056029280277,-0.32223944474348115,0.7421469632570373,0.5797940397410082,0.38425295705795437,0.11471171564951708,0.0450963746065689,-0.018410002292192924,-0.5187686262918367,-0.046983704460042706,0.4435700016904032,0.5751688380441943,0.4564170557514539,0.15982850681559266,0.3367450876479175,0.6255119839887778,-0.25971991414261386,-0.06287635658057099,-0.39619161394379154,0.7221841041407681,-0.3894373068307077,0.8165192099580056,0.25260630993148264,0.7136461234055227
Frontal_Inf_Orb_2_R,-0.01778862729734058,-0.4529312371153833,0.2741915603417409,0.5426719189771534,-0.2022123535823819,0.5147575246973093,-0.19768229680729138,0.3967945855249992,0.31225759606842163,1.0,0.34718813173121515,-0.00010922630663882193,0.3040591281137434,-0.10540572796858472,0.33929500815785485,-0.1647802292332404,0.28967916355920403,-0.255845023669024,0.36313218314398044,0.13617785734928717,-0.041696852293259416,0.005716528439598461,0.45507078039421095,0.276429391945578,-0.3755822914819657,0.3007580414989666,0.3841139213969865,0.16411777686947232,0.8308134873756673,0.1463581866248748,0.132713150106294,-0.08140243670839553,-0.08189515390680357,0.5228236641179881,-0.21887151016297327,0.7758752855638519,0.3568907777700106,0.4420367388660428,-0.28164400163445436,0.26700487521796534
