,Thal_VL_R,Cingulate_Mid_R,Thal_MDl_L,Calcarine_R,Cerebellum_7b_L,Temporal_Pole_Sup_L,Thal_IL_R,Pallidum_L,Cerebellum_6_R,VTA_R,Thal_AV_R,Amygdala_R,Parietal_Inf_R,Rolandic_Oper_R,Fusiform_L,Frontal_Mid_2_R,Temporal_Pole_Sup_R,ACC_sub_R,Frontal_Inf_Tri_L,SN_pc_L,Thal_VA_R,Heschl_R,Hippocampus_R,OFClat_R,Thal_LGN_R,Hippocampus_L,Cingulate_Post_L,Vermis_10,Thal_PuM_R,Frontal_Med_Orb_R,OFCant_L,Thal_PuA_R,SN_pc_R,Insula_L,Temporal_Inf_R,Rectus_R,Thal_AV_L,Frontal_Sup_2_L,Occipital_Mid_R,Vermis_6,Olfactory_R,OFClat_L,ACC_pre_R,Precentral_L,Cerebellum_Crus2_L,Putamen_R,Frontal_Inf_Oper_L,Heschl_L,Rectus_L,Olfactory_L
Thal_VL_R,1.0,0.4939689731844305,0.6556862396352188,0.23172065606177078,0.2909823493534733,-0.33470704511699034,0.46274164630211895,0.35610101188425175,0.4387800725987098,-0.010213889765753994,0.3147557525174014,0.3212474340883861,0.21473127016325888,0.6029486624507638,0.3594932154382542,0.5622006568896084,-0.09902630168117806,-0.15352353301147728,0.2609829169210524,0.201053304097567,0.5668070396317322,0.45108747932595106,0.6300757906285773,-0.12681319698318558,0.28415193533473604,0.6333467229943486,0.4575800299927907,-0.16117444125967045,0.6622364900627019,-0.24541076743486384,-0.3232685810252507,0.7327188630696921,0.2728797723163789,0.15120589864363596,0.29755675104104967,-0.06682328623924012,0.16135430170977066,0.18107425610096387,-0.013685689151529639,0.01547717115567654,0.20714517169376023,-0.13381350671468087,0.23019655897106542,0.6850292059913093,-0.033401652205296936,0.5367660989708412,0.28473051436901886,0.21258179430452442,-0.1645164523835778,0.07898425209259421
Cingulate_Mid_R,0.4939689731844305,1.0,0.4810147718124214,0.5787236289849015,0.35546125508112764,0.16451685908308486,0.4684795600994504,0.38239908569450143,0.2798934320627802,0.3486952186542915,0.24247090576569214,0.09385995986514743,0.6825963437719174,0.3120277683173647,0.74188491223302,0.5567438945244906,0.15012478896289141,0.0801594624325308,0.48867976845634414,0.46362375861417077,0.26198622645762837,0.2997831641521153,0.5619290105194238,0.31993548727780435,0.5251410933156844,0.7733734122655764,0.6240651292730592,0.06953977307684632,0.4888006001428489,0.047668772669549116,0.14891186228712486,0.40427958473567194,0.2727405049071982,0.481343350720649,-0.00011695092128494458,0.07810510337210548,0.06250659169962147,0.5635841325642613,0.23564698696167846,0.14951086385252632,0.30594187773899356,0.19533560110078219,-0.04903252007246918,0.6616048889316837,0.3793646411689633,0.5431440305832028,0.5093808238593626,0.5398804771079342,0.014280022341561192,0.00589040282433311
Thal_MDl_L,0.6556862396352188,0.4810147718124214,1.0,0.32101914199341114,0.46269433503563595,0.03236105507201515,0.1826620731655341,0.5733672977820385,0.34576467194950145,0.1177508930050402,0.3759508849466461,0.2490340660620156,0.2207586841902785,0.1742582954266631,0.6164743833262902,0.335801731636501,0.177700797262068,-0.24087330774901713,0.2719683608841298,0.456092181002159,0.2900707807177602,0.11388796063926653,0.4885756137523913,0.23793878342918312,0.425113253372474,0.6842906367504852,0.4645904994198169,-0.15428884792120942,0.6070846123341521,-0.018018013847924126,0.018198089678640388,0.7828327542738259,0.10008919436530618,0.2123319544555065,-0.11712797016917333,0.007216415234550426,-0.25277074394305643,0.1390985774807492,-0.0037298830627780777,0.24899245163937234,0.14466627316587136,-0.24699488206999942,-0.19759736500510036,0.47980810925629924,0.03973461495056165,0.4658214325909505,0.3580349419095273,0.5479323787005921,0.001077975398660701,0.1724014154816715
Calcarine_R,0.23172065606177078,0.5787236289849015,0.32101914199341114,1.0,-0.19033981638247163,0.13508701870093678,0.6282667406384166,0.2611289532485666,0.5936505665347468,0.14351831148534488,-0.17484619174334334,-0.045504855364179836,0.5548089030784441,0.33822672834749606,0.5540022557862382,0.07744648284691975,0.5466323646547357,-0.1535919983320153,0.1465632272394762,0.2854468894442728,-0.2564596241355755,0.019820522012462757,0.3088992655738887,0.12436408382122369,0.52308416666054,0.4305023821974248,0.21910374941952254,0.6401212035188815,0.4469773553909259,-0.12539571890053142,0.06802793494314303,0.3875689469022573,0.49803604715832767,0.14998953456369093,0.3360719274397799,-0.08542925845835456,-0.3013497073378923,0.26209970087771717,0.7037288291788321,0.4992945830437247,-0.075354338602049,-0.006348885411966873,-0.3153005513690681,0.5123312625471954,0.44902837336790563,0.24510821843285677,0.1787036622864898,0.2637147027568456,-0.1869518161521616,-0.26454233653535647
Cerebellum_7b_L,0.2909823493534733,0.35546125508112764,0.46269433503563595,-0.19033981638247163,1.0,0.04803534202479551,-0.19636251801985602,0.36785811165694254,-0.2536720891560312,0.22740050966022107,0.5223193340312595,0.3372032867491273,0.017737834477809244,-0.0741469609314031,0.3680567908388734,0.39413945411152124,-0.21515451860224796,0.041823389556345306,0.34397128085509454,0.37699149785768715,0.4714553486417609,0.25290726164250216,0.3610297669565253,0.2975977769932591,0.09955314184076101,0.5868463922050894,0.4367992080178945,-0.6738075914420285,0.11677590891410937,0.21681553502808193,0.13619756906217392,0.28345150047277545,-0.249306727876654,0.39832855216675667,-0.41086421780836063,0.028984516099208095,0.15585691430491053,0.37427080868510965,-0.521935188684932,-0.20434113368659632,0.3361824447702191,0.045782734524112856,0.10451675259459506,0.20234671104780802,-0.2393072639474902,0.4672496160425358,0.4154070101768699,0.3617845433621703,0.22421201270499866,0.484115908251528
Temporal_Pole_Sup_L,-0.33470704511699034,0.16451685908308486,0.03236105507201515,0.13508701870093678,0.04803534202479551,1.0,-0.005377890057578384,0.40260649291765926,0.042949568532450765,0.3737978656086175,0.151130244464917,-0.06934178777826278,0.14049684366524948,-0.24737428618877036,0.26317658772680047,-0.05272608914010281,0.5023794761342998,0.08106669082505995,0.05155340538094919,-0.08818644661293937,-0.3475414309689863,-0.08100817130603302,0.045105391271631184,0.25638785533621705,0.25963557081552807,0.11966112421485414,0.09391383705023754,0.11047376164270353,-0.23647946927010197,0.19375380685159174,0.4928269344978178,-0.19092675174011772,-0.04006968014800076,0.13618593305301624,-0.15979378462397606,0.03873278912384848,-0.21363460873051407,0.21141791207528315,0.0387502982055904,0.4786209592764908,0.24367444308193156,0.12419783678899979,-0.23458606160626436,0.02683064854388209,0.12402515342933731,0.035302249708786586,0.06557983700575923,0.1357139917447047,-0.04079417808786789,-0.09677696344444858
Thal_IL_R,0.46274164630211895,0.4684795600994504,0.1826620731655341,0.6282667406384166,-0.19636251801985602,-0.005377890057578384,1.0,0.21525947747209515,0.6134366648229841,0.1669539900597994,0.014751786557895134,0.038997457809183365,0.36139701174316524,0.6400911309333313,0.3204922380892666,0.31719284064945075,0.30231172228746506,-0.16501479390998747,0.16280436980478769,0.022670408432779163,-0.004235623203881071,0.30302661340976017,0.44381966553374763,-0.14071936808903654,0.50691482641796,0.37751314431696,0.21720991838637974,0.5146833969314082,0.5368674835798806,-0.18530243849481715,-0.12530019867441564,0.25545310391426695,0.4869814028887168,0.07857777251899163,0.6066312766195057,-0.0692754111439717,-0.058095897155370516,0.2742205419928649,0.4887135309933553,0.3843189349557261,-0.03839489626703853,0.046996871194957664,0.08871897628356157,0.6253092482217338,0.256091054650691,0.3048426703495458,0.1600065639441711,0.01972156272069169,-0.24080044239678544,-0.31241522650101045
Pallidum_L,0.35610101188425175,0.38239908569450143,0.5733672977820385,0.2611289532485666,0.36785811165694254,0.40260649291765926,0.21525947747209515,1.0,0.35286882709084594,0.2871306466777491,0.6142113180164424,0.4770557145517536,0.11242204411076033,0.3010768690916351,0.39680029494026514,0.34460474363278704,0.4574394350228615,-0.3407429267739001,0.15335221129350468,-0.009556159224404878,0.19004105032870866,0.44148991529426596,0.6853570685900758,-0.09974365136945236,0.5782567180520081,0.6609006439792693,0.5169556116519584,-0.2290014145956581,0.2801308929110097,-0.18389600220220415,0.10908016714852022,0.39290926996730047,0.25061668822155087,0.17642980650104478,0.14981111414689743,-0.23547479981209968,-0.3186148297706753,0.26241994844614136,-0.14668477400720822,0.3947599260080204,0.535459785093004,-0.06445443349779292,-0.008726560369545801,0.5572865717459528,-0.152060849390922,0.6243060784184155,0.2592885216636786,0.28109297906797054,-0.24100275532658028,0.04406125408514822
Cerebellum_6_R,0.4387800725987098,0.2798934320627802,0.34576467194950145,0.5936505665347468,-0.2536720891560312,0.042949568532450765,0.6134366648229841,0.35286882709084594,1.0,-0.06675117868414493,-0.03566186679036677,0.0997156624880861,0.32228235067891375,0.6048182996192947,0.3788574826440528,-0.004853604340729396,0.5898667933926197,-0.3125330502012838,-0.2288945946745098,-0.0667170741981912,-0.0949147093923966,0.14045947872621373,0.3774697936861377,-0.21439457776790713,0.37750976917143936,0.2677270265827954,0.33053242862173354,0.4491679410098874,0.5447038352051073,-0.5293119159997852,-0.2789059486486798,0.4790891710649459,0.4577903573670176,-0.3803777043411693,0.5873782366198795,-0.36440701672814146,-0.170221275236927,-0.19994199046918174,0.5532592447025849,0.6736238827551706,0.0004965374502806885,-0.3317464222351717,-0.27730398394956546,0.6247116276237575,0.20294335940846947,0.12054298965531195,-0.14439498120695252,-0.043262026313957626,-0.6045274088281085,-0.34115179227895515
VTA_R,-0.010213889765753994,0.3486952186542915,0.1177508930050402,0.14351831148534488,0.22740050966022107,0.3737978656086175,0.1669539900597994,0.2871306466777491,-0.06675117868414493,1.0,0.07400941148688223,0.14235822362798517,0.20773039736714788,-0.054592232836915985,0.2555030312908229,0.27907048852018873,0.023589816455160863,0.09563977176108107,0.3408210375818148,0.20069992982964502,-0.07538127587567425,-0.02444532906981259,0.12146494689307855,0.38068577187451874,0.24258468023131496,0.3233839821372257,0.13508995493427992,0.03824717343920678,-0.06201068278361966,0.3316429306156252,0.4639000910064514,-0.10164682918140629,-0.013558822455182785,0.2994711494256195,-0.05662550672517546,0.18190933217740723,0.08611198703937654,0.4188141092070923,0.022264562039395527,0.23098511754578663,0.22814751068445618,0.0662350635033992,0.10648979365150098,0.12958053844693437,0.11172159105736523,0.18217327823042226,0.27028428674557836,0.13343049783558023,0.12572839358451926,-0.1936059522896196
