,Frontal_Inf_Tri_R,Rolandic_Oper_L,Thal_MDl_L,Amygdala_L,Precentral_R,Thal_VA_R,Thal_AV_R,Cerebellum_7b_L,ACC_sup_R,Fusiform_L,Thal_LGN_R,LC_R,Frontal_Mid_2_R,Occipital_Mid_L,Frontal_Inf_Oper_L,Occipital_Inf_R,Putamen_R,Vermis_1_2,Hippocampus_R,Vermis_9,Insula_R,Thal_MGN_L,Caudate_R,Cerebellum_Crus1_L,Thal_PuL_L,N_Acc_R,SN_pr_L,Cerebellum_7b_R,Lingual_R,VTA_L,VTA_R,Angular_R,Vermis_10,Cerebellum_4_5_L,Supp_Motor_Area_L,Temporal_Pole_Sup_L,Hippocampus_L,Angular_L,Thal_PuI_L,Precentral_L,Cingulate_Post_L,OFCpost_R,ACC_pre_L,Thal_PuL_R,Thal_AV_L,Olfactory_R,Raphe_D,Cerebellum_9_L,Frontal_Sup_Medial_R,Thal_IL_R,Cerebellum_Crus2_R,Vermis_7,Calcarine_L,Thal_VPL_L,ParaHippocampal_L,SupraMarginal_L,Thal_PuA_L,Thal_LP_L,SupraMarginal_R,Temporal_Inf_R
Thal_LGN_R,0.386926039736536,0.13559974840698194,0.425113253372474,0.19944775438023604,0.47990926262507433,0.08558771998570175,0.29514000061518414,0.09955314184076101,0.4581851211052213,0.41115748476344705,1.0,0.3097905695573777,0.34808545461202317,0.0986807966103375,0.24938731594348568,0.3367450876479175,0.4052752474098738,0.530997165052846,0.5743230390358685,0.10102212268012183,0.3921942897383117,0.6389101919630484,0.3533181596291127,0.03665877298344885,0.16057097310433602,-0.24088281703967945,0.1252229987736062,0.1090531348625148,0.5811642796972346,0.17828719999901715,0.24258468023131496,0.3952709349562862,0.12987763528599439,0.5254125538452296,0.43083900711097933,0.25963557081552807,0.5796299052719631,0.2023398379857646,0.6341212107895604,0.527653725674728,0.37316709279809473,0.03561383389306194,-0.10771148081260273,0.4217836432851833,-0.2632331735847641,0.18590306860645284,0.5176710134388811,0.3573159266610863,0.2583298442481719,0.50691482641796,0.26311843562961484,0.05160293416039298,0.5365555964496854,0.5068831584416957,0.31490094376299854,0.19394747765787126,0.41366001473293074,0.25834025731847066,0.45574487418646936,0.25727439143550923
LC_R,-0.006758792208142905,0.21038963551692771,0.17936989324520372,0.11414156485300374,0.361138932146063,-0.04323180639051236,0.09935686250566325,-0.039898080447072645,-0.02240472188025765,0.5988975609312182,0.3097905695573777,1.0,0.25287144204718254,0.3723079727314961,0.2914632130254568,0.04717903297623938,0.20486110027748547,0.28817471430931413,0.21246941704219577,0.03386672171150509,-0.017336855884290993,0.3097137435569904,0.023239982752450126,0.30784814299848173,0.11361216256422633,0.0014055158364485551,-0.08365742111174762,-0.004052288618375937,0.3864838147290209,-0.2568170587817048,0.04925956826283905,0.3581432289071128,0.26832802525284866,0.5668593833293242,0.48242476516263955,0.34663463308479275,0.3568986252347892,0.42468598669182683,0.4538441419260085,0.35572352501113846,0.29873406972496114,0.017491854227894805,-0.1310899218497439,0.3959649730811015,-0.08635938222166885,0.15112775334217288,0.18607406925775552,-0.1113641213385177,0.2719594719476929,0.23104716162612648,0.20705969590137235,0.02370621100143523,0.48530213376863074,0.42642072092453864,0.29291495997691575,0.43506970408033213,0.43728102457917234,0.3499302451864573,0.23492354620111303,-0.18612175775062884
Frontal_Mid_2_R,0.27140178012477706,0.5396798817275589,0.335801731636501,0.29020454943402035,0.7879233973084867,0.6082838148250617,0.5190729242019606,0.39413945411152124,0.2488185101286328,0.3046728029673588,0.34808545461202317,0.25287144204718254,1.0,-0.12622521957239666,0.7001375438105828,-0.15049023950012153,0.7072482624936604,0.38429449093497947,0.6356526024149881,-0.1356773339216027,0.192730912739082,0.36183631434757557,0.7580481953813829,0.001033129735702266,0.04249523337127311,0.42996310209051947,0.4704583590607212,0.24241190277754007,0.2311719410346885,0.22921351784562094,0.27907048852018873,-0.03403941482554752,-0.31660815047714336,0.48647654866794027,0.7100689800740576,-0.05272608914010281,0.6820522611449406,0.14728430923024569,0.0623634475149689,0.6191109287849291,0.41379086439571827,0.20190043751834935,0.4033206393499249,0.1426565776918678,0.3085464034689158,0.3606965426414715,0.49053988504551943,0.06562854729310451,0.7690165033109413,0.31719284064945075,-0.011855604515717285,0.1892143349638018,0.31363848639277037,0.22972308772752617,0.7335692248883351,0.4361865339689469,0.2038929524830835,0.3116516958704163,0.15983181407052344,0.10312480057806547
Occipital_Mid_L,-0.137787581420869,0.13268122437965596,0.14091721756725,-0.11509717594857628,-0.032248113603470116,-0.38368614078481467,-0.36482114177301833,-0.12772958969026962,-0.07389809198844605,0.608522363423228,0.0986807966103375,0.3723079727314961,-0.12622521957239666,1.0,0.21874381465932982,0.3099683460958101,-0.21871650952530508,0.18569386470813265,-0.29444607360718816,0.18193149664774425,-0.033337005290215944,-0.1100079987326922,-0.2302987632556848,0.4906969016432787,0.45105777809003844,-0.15149900012910816,0.09260360499875951,0.017371056401539412,0.49248969328646225,-0.02269682365120679,0.10724030429844077,0.5611099785155691,0.6509729596470992,0.30732061637776603,0.25539626639545976,0.05108358646577549,0.03990601249391514,0.8030537541387508,0.2520426650789405,0.09143271812360743,0.06439988514370656,-0.07533958875738932,-0.1539325218849267,0.3709179927391607,-0.1516134670964607,-0.38373552286986184,0.025140649783564627,0.0810030844884218,-0.021137078788761903,0.3133203472556462,0.3306244174889664,-0.10439112419352924,0.5143004008473249,0.41295887556063193,-0.14162494419703572,0.5901408220996668,0.45888648882664695,0.45740689958865893,0.07042879040533226,-0.22098423890551633
Frontal_Inf_Oper_L,-0.0826770994591899,0.7681954175039384,0.3580349419095273,0.4804964441185867,0.5179499743235798,0.2792807444585847,0.36611876935140353,0.4154070101768699,0.15327973162976005,0.4830122105334352,0.24938731594348568,0.2914632130254568,0.7001375438105828,0.21874381465932982,1.0,-0.28081055855016007,0.5175819247182935,0.3431208682797342,0.3507946191618816,-0.11307710353796915,-0.10570402322996404,0.08947707465178435,0.5548887661587005,0.41336598810306774,0.02784928141118254,0.24117337046186563,0.5887829482626185,-0.04120892878710123,0.1989333888610553,0.3028593130533085,0.27028428674557836,-0.07031914887141452,-0.1511794848696684,0.4078981654703329,0.516427155049953,0.06557983700575923,0.5640233811348012,0.3418113200361261,0.10622927345660398,0.4085038625469958,0.22552587432835058,-0.06206916469328848,0.472091167783141,0.33293528563262614,0.0333687699096348,0.08109462968349378,0.3507242166230302,-0.016454410939678865,0.7341398272406895,0.1600065639441711,-0.10524886159218723,0.2510815840218962,0.24426651612809563,0.25850886900977493,0.6166903575023533,0.6145527630119152,0.22998257506073574,0.271706242923184,-0.12462641607750033,-0.2498110964228928
Occipital_Inf_R,0.5942574608418855,-0.39619161394379154,-0.0829985915480079,-0.4185285680195506,0.13021611578077202,-0.3894373068307077,-0.2898545239674463,-0.5463772110221132,0.4033951381439472,0.04996321377672681,0.3367450876479175,0.04717903297623938,-0.15049023950012153,0.3099683460958101,-0.28081055855016007,1.0,-0.06287635658057099,0.30086729465760614,0.14301417859109813,0.5564478821230944,0.7221841041407681,0.20999441590473422,-0.047554915922899885,-0.29284712300286886,0.3904902883858298,-0.45365424206591587,-0.3390275640994081,0.05063562652172718,0.7136461234055227,0.12159077480503322,0.015836960635671617,0.5602129350846792,0.7030988770622097,0.15982850681559266,0.1926088604310711,0.07330737732989685,-0.018410002292192924,0.30389742441925777,0.3721947184587617,0.3636262684110723,-0.057135165864986855,0.3650587777331371,-0.525966288114481,0.2012799476275763,-0.22968121955147125,-0.14907920798174287,0.15204056029280277,0.5797940397410082,-0.20344667696255878,0.6096438501412696,0.6222818724974205,-0.2628340241210359,0.5751688380441943,0.42597504978104445,-0.3010699119142141,0.11471171564951708,0.1213044308948062,0.23529702114831338,0.4746952163455874,0.7070587157395674
Putamen_R,0.4479491179774757,0.31570966425112995,0.4658214325909505,0.4844416741325495,0.6942078473732927,0.4775061736166564,0.6278899445667971,0.4672496160425358,0.5608749666233452,0.2842925287784033,0.4052752474098738,0.20486110027748547,0.7072482624936604,-0.21871650952530508,0.5175819247182935,-0.06287635658057099,1.0,0.48641839866026504,0.8316273733726468,-0.15597246991099817,0.40200700887056173,0.5014816493358005,0.7518741008791766,-0.19622382357906965,-0.19947860072968396,0.2141956700369132,0.34534101034338954,0.05502943787687686,0.3366384792645704,0.37044399211211604,0.18217327823042226,-0.022522070729376634,-0.34489458436139464,0.5138597924079807,0.5755708895287612,0.035302249708786586,0.7636351032188783,0.01650524618433626,0.26475845883836563,0.5970660892420979,0.49340452154584846,0.3832710280481686,0.1102213685922735,0.43756632562968156,-0.0772051054216007,0.5235330731184338,0.5395772981192973,0.02088103841936921,0.6458071818548458,0.3048426703495458,-0.0008664347038482763,0.2975368176282083,0.3098556180914182,0.35159298778098985,0.7057062900260407,0.2242184401514071,0.16997509438039185,0.05749408003054831,0.13787849404158423,0.24140795868790046
Vermis_1_2,0.45460084975055076,0.03759043851058208,0.6837492350509667,0.37803394104839255,0.6825713573251213,0.21344901652694775,0.3600667422891109,0.24222296504778323,0.5643890606749637,0.6269253454378582,0.530997165052846,0.28817471430931413,0.38429449093497947,0.18569386470813265,0.3431208682797342,0.30086729465760614,0.48641839866026504,1.0,0.6325105810959873,-0.05544167711605948,0.3887585231199129,0.5056541078818402,0.4283738786978503,-0.09128948714973997,0.3172441811705178,-0.13232554865519564,0.26265217161542476,-0.015012998386609659,0.5265750761977298,0.3185678483651969,0.08457687675727892,0.45413735142438927,0.0447721729738379,0.7718689336846734,0.6404959172706877,0.1449254071414315,0.7179089116176184,0.4698410996560041,0.6468800326471625,0.7537996745945769,0.5594653068452972,0.16391311530141842,-0.34171692109011387,0.4091956590864268,-0.12656930471776026,0.2510533101842739,0.5506460142277547,0.28150027373678155,0.1996211438751316,0.37972709613311884,0.2731202442394765,-0.031668934771003764,0.702289417124138,0.65803352758833,0.3507662399561866,0.5338623949331428,0.5920991858632608,0.24916294947713935,0.42805967002146916,0.2145217440439588
Hippocampus_R,0.6605848707071307,0.13678445895407237,0.4885756137523913,0.38119706319871677,0.8023155168877363,0.4644154808471836,0.6328577625552163,0.3610297669565253,0.6434244499109838,0.3208081956111431,0.5743230390358685,0.21246941704219577,0.6356526024149881,-0.29444607360718816,0.3507946191618816,0.14301417859109813,0.8316273733726468,0.6325105810959873,1.0,-0.0868922452684853,0.5674200715433807,0.6741501314136634,0.7088242077045404,-0.3840374642167142,-0.11589997114362074,0.008217809633418565,0.17243790806928685,0.026901698647780893,0.4243696894515296,0.2981832887459475,0.12146494689307855,0.15664336656363162,-0.29654710318112965,0.6497506331582446,0.6509397017750206,0.045105391271631184,0.8134800444725585,0.02576101625534077,0.3915480069419287,0.7882282586498689,0.5303822743839859,0.41893782478871383,-0.12669897669418678,0.415499662683496,-0.03747312572565897,0.5032987797204419,0.5706727727044107,0.1663418501786378,0.5096735725699686,0.44381966553374763,0.10370831139775122,0.24459256619827982,0.42977649726876727,0.4085542298523466,0.689287961724514,0.22540216709886565,0.25056292698303806,0.147936477683369,0.4165270009885624,0.45384130096012787
Vermis_9,0.2612563395632414,-0.06575696901161004,-0.3233919421689782,-0.4885649335601245,-0.1182691138183335,-0.4051666274771495,-0.3688960748017588,-0.6918250555590297,0.1881928007911016,-0.2171355580777811,0.10102212268012183,0.03386672171150509,-0.1356773339216027,0.18193149664774425,-0.11307710353796915,0.5564478821230944,-0.15597246991099817,-0.05544167711605948,-0.0868922452684853,1.0,0.4272988274133229,-0.0752412327931798,-0.18100235719905147,-0.033391194705125686,0.2468731905093444,-0.25552230604533216,-0.27038810197746377,-0.035782686200217344,0.40495063603579673,0.04141633000826622,0.007804464317269488,0.3789131573420287,0.6581938641528824,-0.06981578175887304,-0.04873891339247774,-0.005194380520507708,-0.28777297275549707,0.12408626426842245,0.06497299170867929,0.015152991714543923,-0.212702678177272,0.1541713491890121,-0.2182319763419026,0.11189071623495415,-0.10755801276733211,-0.23014135526363175,-0.07769316139078182,0.5192517087000792,-0.142862842606529,0.45169879151989256,0.4052243814901679,0.04050303155590588,0.24549801069294133,0.17592768186679503,-0.3213097983762712,-0.05778726524329586,-0.1667972412655614,0.12409967006246461,0.322196386055965,0.5242206086401308
