,Cerebellum_Crus1_R,Thal_LGN_R,Temporal_Pole_Mid_R,Thal_PuL_L,Thal_MDm_R,Thal_AV_R,Paracentral_Lobule_R,Cerebellum_7b_L,Occipital_Sup_R,Parietal_Sup_L
Cerebellum_Crus1_R,1.0,0.24551237831101394,0.3450652555014068,0.4433725445885473,-0.2117051088691077,0.213596119747814,0.13667730943197912,0.4307827526276647,0.3773301526426416,0.26446486301344874
Thal_LGN_R,0.24551237831101394,1.0,0.3664776635264696,0.4617772861375363,-0.07199859445866798,0.14565097081118636,-0.27027029461480423,0.0849821324778018,0.04335637647001618,-0.11688121100318846
Temporal_Pole_Mid_R,0.3450652555014068,0.3664776635264696,1.0,0.02442797880647682,-0.4074284647415698,-0.23016747083138647,0.09926079012958051,0.2070412028918714,0.5584753551463495,0.3882093707330317
Thal_PuL_L,0.4433725445885473,0.4617772861375363,0.02442797880647682,1.0,-0.07375682860618803,0.5302836783943817,-0.10890163171276217,0.21867936677471939,0.05867507190414642,-0.05163122152422676
Thal_MDm_R,-0.2117051088691077,-0.07199859445866798,-0.4074284647415698,-0.07375682860618803,1.0,0.37341634818281183,-0.017027233823567495,-0.1871824706834476,-0.28071624571462955,-0.183362163912963
Thal_AV_R,0.213596119747814,0.14565097081118636,-0.23016747083138647,0.5302836783943817,0.37341634818281183,1.0,0.30698890197934453,0.391733078633586,0.09888245946982309,0.1657092502735273
Paracentral_Lobule_R,0.13667730943197912,-0.27027029461480423,0.09926079012958051,-0.10890163171276217,-0.017027233823567495,0.30698890197934453,1.0,0.6721692854784691,0.6601321569459664,0.8206879363990626
Cerebellum_7b_L,0.4307827526276647,0.0849821324778018,0.2070412028918714,0.21867936677471939,-0.1871824706834476,0.391733078633586,0.6721692854784691,1.0,0.5893180636222385,0.6496693950946225
Occipital_Sup_R,0.3773301526426416,0.04335637647001618,0.5584753551463495,0.05867507190414642,-0.28071624571462955,0.09888245946982309,0.6601321569459664,0.5893180636222385,1.0,0.9401592932662692
Parietal_Sup_L,0.26446486301344874,-0.11688121100318846,0.3882093707330317,-0.05163122152422676,-0.183362163912963,0.1657092502735273,0.8206879363990626,0.6496693950946225,0.9401592932662692,1.0
