,Frontal_Inf_Orb_2_R,Frontal_Inf_Tri_R,Frontal_Sup_2_L,Occipital_Mid_R,Cingulate_Mid_L,ACC_sub_R,Temporal_Pole_Sup_L,Lingual_R,Cingulate_Mid_R,Thal_PuI_L
Frontal_Inf_Orb_2_R,1.0,0.12926983894192376,-0.4795493071053516,-0.6319870335381241,0.06399121109072164,0.7700857419843288,0.5535901746689589,-0.5420336779375335,-0.18673731855351897,0.6029297592575894
Frontal_Inf_Tri_R,0.12926983894192376,1.0,0.17615631286971403,0.00784687054625969,0.6012439593226024,0.08328755520245533,0.26871835146782214,0.14408653543838765,0.5967665205647656,0.16073659933288753
Frontal_Sup_2_L,-0.4795493071053516,0.17615631286971403,1.0,0.2841942473522397,0.18090475791760172,-0.6858644771199952,-0.6882190362973584,0.7298112304893808,0.6232560687892168,-0.3170384280227954
Occipital_Mid_R,-0.6319870335381241,0.00784687054625969,0.2841942473522397,1.0,0.005639050583372328,-0.6179512451395986,-0.41716781786020496,0.645641754630523,0.14972756951470953,-0.6266609792624958
Cingulate_Mid_L,0.06399121109072164,0.6012439593226024,0.18090475791760172,0.005639050583372328,1.0,-0.024644915632516355,0.24595055592303047,0.22599316102779965,0.6900490891974952,0.3062893357885587
ACC_sub_R,0.7700857419843288,0.08328755520245533,-0.6858644771199952,-0.6179512451395986,-0.024644915632516355,1.0,0.7050096145722948,-0.6933619041531747,-0.3314078150979689,0.6372790038475701
Temporal_Pole_Sup_L,0.5535901746689589,0.26871835146782214,-0.6882190362973584,-0.41716781786020496,0.24595055592303047,0.7050096145722948,1.0,-0.6209829774320784,-0.07302737552138147,0.43667163652013297
Lingual_R,-0.5420336779375335,0.14408653543838765,0.7298112304893808,0.645641754630523,0.22599316102779965,-0.6933619041531747,-0.6209829774320784,1.0,0.520341444645237,-0.37255855929450327
Cingulate_Mid_R,-0.18673731855351897,0.5967665205647656,0.6232560687892168,0.14972756951470953,0.6900490891974952,-0.3314078150979689,-0.07302737552138147,0.520341444645237,1.0,-0.03299350791402085
Thal_PuI_L,0.6029297592575894,0.16073659933288753,-0.3170384280227954,-0.6266609792624958,0.3062893357885587,0.6372790038475701,0.43667163652013297,-0.37255855929450327,-0.03299350791402085,1.0
