,Thal_PuM_R,ParaHippocampal_R,Calcarine_L,Postcentral_L,Cerebellum_10_L,Fusiform_L,Frontal_Inf_Orb_2_L,Parietal_Inf_R,Frontal_Inf_Oper_L,Temporal_Sup_R,Supp_Motor_Area_L,Caudate_R,Thal_LP_L,Cerebellum_Crus2_L,Thal_VA_R,ACC_sub_R,Cerebellum_7b_L,Lingual_L,Temporal_Mid_L,Thal_MDm_L,Frontal_Inf_Orb_2_R,N_Acc_L,Thal_VPL_L,Cerebellum_4_5_R,Frontal_Inf_Tri_L,Thal_PuA_L,ParaHippocampal_L,Precentral_L,Vermis_10,Fusiform_R,ACC_pre_L,Cingulate_Mid_L,Cerebellum_7b_R,Lingual_R,Thal_MGN_R,Parietal_Sup_L,Thal_PuL_R,Occipital_Inf_R,SN_pr_L,Rolandic_Oper_L,Thal_IL_L,Thal_PuI_R,Amygdala_L,Thal_VL_R,Occipital_Sup_R,Temporal_Sup_L,Thal_MDm_R,Vermis_9,ACC_pre_R,Putamen_L,Postcentral_R,LC_L,Cerebellum_6_R,Cerebellum_3_L,OFCpost_L,VTA_R,Cerebellum_6_L,Raphe_M,Frontal_Med_Orb_R,Red_N_R
Thal_PuM_R,1.0,0.6965736947685487,0.6349808703088098,0.6382063129289776,0.0983656084660943,0.45808630137299056,0.40060261375888295,0.5230259515378941,0.5169353923825739,0.6228730590602026,0.6409288687449524,0.4017742181564755,0.15932281450338645,-0.03982714527780921,0.33431442362751207,0.06653260325533017,0.2887142976085762,0.4668547222677945,0.5403020882278098,0.6946861589174976,0.3550197605509908,0.2744913039707396,0.7899329911812318,0.4638314761969036,0.46272206126425086,0.7654665077799928,0.5936153416391944,0.5222480723647118,0.1274887724833231,0.3807810317326172,0.24456250650606703,0.7010722667339441,0.2880550828527999,0.5344367872644916,0.42213342664370057,0.26085428215040785,0.35411164505912335,0.3896525214274113,0.5740401686019659,0.7430639880483834,0.7129215581941459,0.8260880377707738,-0.09382180392054233,0.5588055291992148,0.2904836211022648,0.76118990064374,0.3747488448828956,0.3385269616509193,0.19677221543023582,0.6317811055155073,0.6443786182832859,-0.37880623389558354,0.08005440628572917,0.6683925459788312,0.43912716955478465,0.5180172157250917,0.23333633302613843,0.3803536823435812,0.0390758053368671,0.45775685303465286
ParaHippocampal_R,0.6965736947685487,1.0,0.5442868938049927,0.511470764180766,0.13170670791231867,0.581948401472534,-0.06543961217135877,0.5625997267753258,0.26568775906577025,0.558776180786029,0.5864870099056215,0.5490642333069093,0.29700614623945465,-0.292179833300151,0.5796941335983236,0.13047335549931996,0.5081526674093771,0.3002586790088787,0.28730411469018785,0.6377830080818885,-0.008787460141251773,0.05100869249479282,0.7073014170146191,0.5522465447719199,0.32942343075985636,0.3961749388163271,0.7977793842765334,0.3506891953405957,0.06841616111652774,0.46808152634654726,-0.05053766078554342,0.7841609764504363,0.5672471105604551,0.45035370182815865,0.15130405333024316,0.36859269377880416,0.30734099684438043,0.3627961800947572,0.6247242448187637,0.44807353935287336,0.5318191446425057,0.6901112328408633,-0.13226400428769938,0.4943424143163169,0.06072030792690867,0.6703365381964987,0.38146522081887985,0.372890534463533,-0.012339254570722468,0.1947335568118446,0.5417536327089053,-0.5701129877364853,0.34081428142667075,0.40828245313844774,-0.07631139145074445,0.6854027429475016,-0.035936102484441824,0.17856907885776444,0.06626157997351045,0.47717845877364834
Calcarine_L,0.6349808703088098,0.5442868938049927,1.0,0.4930915451090602,-0.12115595253983692,0.3616776619792718,0.13244130703092935,0.6794399559515348,0.5800923382521116,0.7272269893457759,0.47020801287336705,0.33658700766056976,-0.015248950823089321,0.17570632852121562,0.06315799220080874,-0.10737438141027596,0.24898070871116587,0.7573272582338126,0.7773653190234702,0.45189920072433853,-0.10589992959785015,0.15651131666794074,0.5788125561545838,0.7303650097585013,0.3175492257525393,0.6665994056165072,0.32196818655754483,0.3324094494078741,0.2178282020537425,0.7167442554314031,-0.09433651443206295,0.6329833378484657,0.5461782426635338,0.8311200587890819,0.6694336990042743,0.3371115155705489,0.3302527755353719,0.47038410169393813,0.5648089324656483,0.7262431532982683,0.3797648794232595,0.542454503658741,-0.00760208565438716,0.32970507156320367,0.6830261721133799,0.5693580014248563,-0.035954502859176826,0.10972617024305825,-0.11073919037051518,0.44960932503246465,0.5333486508917948,-0.2947353569884112,0.42382461919594844,0.7654755587420947,0.3539326716643967,0.35282241761218935,0.5021796797614464,0.6588155491870986,-0.12452672818681809,0.2862952214229431
Postcentral_L,0.6382063129289776,0.511470764180766,0.4930915451090602,1.0,0.15083854266258376,0.3461413297950783,0.5035465364541921,0.6707174854986181,0.8590479653140198,0.8225164557282263,0.949936864112165,0.6122151615565423,0.3256134928059974,0.2724831528336135,0.38023346635219785,0.11707721668085455,0.3316495131042524,0.48379359943828065,0.6195040917626147,0.6402747606776741,0.3673613272555263,0.36803590519687834,0.6827425541310823,0.3853498286077166,0.8290125603847466,0.43613298745347306,0.5677049596570688,0.95536914169362,0.05867446958266217,0.3175958141486172,0.33197182045440243,0.7470327058662326,0.30859559312389856,0.46642363707392603,0.3944915547994845,0.6862344544563169,0.49141818845137614,0.41801140025866246,0.4340259353268488,0.7269030585558467,0.5523389485124529,0.5930751205099105,-0.08749564851394316,0.6865112891418342,0.4265478106799754,0.8079439418159811,0.39661488267907474,0.3644186609970652,0.34212650837642866,0.6300845552451282,0.9637958822506615,-0.17928634690158438,0.27727065827380476,0.46974907555162027,0.4255614242535156,0.5933829095909802,0.31304386005875107,0.36600440836254705,0.01622355140609638,0.29978181917042096
Cerebellum_10_L,0.0983656084660943,0.13170670791231867,-0.12115595253983692,0.15083854266258376,1.0,0.13645734802015916,0.14463355791377358,0.033633151756971624,0.025737671786317643,0.16471838558871904,0.19196709163533,0.02037560217732667,0.4470573845494952,-0.10191311816819341,0.29491083563198406,0.2487355628092762,-0.07810426170170925,0.04917187469790911,-0.20714943593253296,0.07429695180794338,0.07644662555161603,0.3304508174082887,0.1104303423196877,-0.13152722814194276,0.1679108190430006,-0.0622991055762745,0.2111519772917263,0.11278418666559488,-0.07194119487159102,-0.15508866842110666,0.2723880312363419,0.2289941630930442,-0.2534210916511511,-0.04119007680833066,-0.05416740303530417,0.050285327463354235,-0.051199590291722524,0.17986741519449687,0.14578705855530893,0.014950354498736232,-0.012630514459554829,0.1767320483927613,-0.07296942280805149,0.20636267602411604,-0.1879392127924343,0.12932215529149346,0.382901151101298,0.4415190535794039,0.2244726623292282,-0.0024038105537281074,0.1483167695971859,0.23623878698847045,-0.04377442589838778,-0.21396534894352667,-0.01467938729390595,0.12153727903967095,0.015857036689767106,0.04864880035328582,0.17511456098449812,0.15429051434761845
Fusiform_L,0.45808630137299056,0.581948401472534,0.3616776619792718,0.3461413297950783,0.13645734802015916,1.0,-0.021023447063669886,0.593189521709906,0.17860692240458922,0.3782495880460955,0.35500485134235715,0.20570900063121939,0.3600769384340496,0.244128970120665,0.3150691949278037,0.018766564269487696,0.6246075338789155,0.29698533302960844,0.34123457376012617,0.254698067529469,-0.06749081152522646,0.11041383526977071,0.43592956762113927,0.19126467630942495,0.13404276247028488,0.2170598294180504,0.5806688917492805,0.22174120475957143,0.0707988764048852,0.13543773600109144,0.012533725655399555,0.5675373396458507,0.31208443480228226,0.19930276160163488,0.2053354001882074,0.41376731881247203,-0.009432563675666228,0.39531775076691433,0.36826348408193194,0.2613672992903017,0.4314740575033194,0.5210264459219102,0.11574930792998213,0.28407537098083874,0.04077036154344114,0.5369712608871239,0.3651683749333726,0.40270892718752516,-0.1515463127935094,0.18980119924574398,0.37531958786578484,-0.24620707775083675,0.022600617208922726,0.2695770387430303,-0.020800566077925926,0.4152949778950468,0.15303597071548702,0.11636793848718942,0.12680812330007366,0.09452969329284325
Frontal_Inf_Orb_2_L,0.40060261375888295,-0.06543961217135877,0.13244130703092935,0.5035465364541921,0.14463355791377358,-0.021023447063669886,1.0,0.07313591294172105,0.6079039963276059,0.34989366472506794,0.39045755762867307,0.21955675033416314,0.06122837284797665,0.18133223282176594,0.048565097918239125,0.08970451072278272,-0.2154075122800945,0.21901949179683844,0.4052965863434208,0.37791251888983796,0.6762855249863391,0.572546200046848,0.33147585541043345,-0.14149828679746942,0.6372650066898933,0.44027671984502886,-0.004383803808833705,0.584634863193624,-0.02293211582523074,-0.16230939165249533,0.6372934478083309,0.16692596898465595,-0.3923779263812662,0.07432964939660255,0.1570125668576426,0.037316953490343474,0.32479298590399225,0.15866353708910674,0.08980948426619893,0.6106519973696055,0.4164837945825181,0.33314355591509787,-0.06462115095035778,0.40470517202646855,0.17672651513487145,0.49229775080998744,0.24215637203589735,0.08741052678360711,0.6740768377634874,0.7385538323585905,0.4284834685234365,0.1693838374902148,-0.33609871713511436,0.36293637733511996,0.8054278524696604,0.14722260821441663,0.2547851882094091,0.2375435387692696,0.10676841676947245,0.2034916719836839
Parietal_Inf_R,0.5230259515378941,0.5625997267753258,0.6794399559515348,0.6707174854986181,0.033633151756971624,0.593189521709906,0.07313591294172105,1.0,0.632618580394378,0.8056441424480784,0.65450794825747,0.4398743423359869,0.19660577584394953,0.33438312553870364,0.21778938110540058,-0.14560194797200962,0.4971343418209906,0.6956162583746769,0.6400977825534059,0.4181762960252849,-0.13913356950170322,0.1700715430595531,0.5850218027678775,0.5733504567970328,0.36959702247226245,0.4021200194665604,0.5340210139487475,0.5001757302150217,0.19211045444726596,0.5438538101529963,-0.09218871428836646,0.8118356901120065,0.5921545898544359,0.6740011956915997,0.5552181474143311,0.8184507019645008,0.2846017893759878,0.5701882377156718,0.5754679147887664,0.5688296183219294,0.44462330736989053,0.5262963570376711,0.10801181190153855,0.39072309189125715,0.634146595396165,0.5927346020779029,0.19084162874106933,0.2138390406220845,-0.22727264955806525,0.3396565523725491,0.7239298056487942,-0.22808157841363474,0.5044285475725383,0.44153592826976723,0.1722138265052587,0.48063381836363217,0.5065069406438198,0.47874993452237213,-0.11196534007119636,0.10321472159101658
Frontal_Inf_Oper_L,0.5169353923825739,0.26568775906577025,0.5800923382521116,0.8590479653140198,0.025737671786317643,0.17860692240458922,0.6079039963276059,0.632618580394378,1.0,0.8128591659693118,0.7905741326365704,0.5497378673091663,0.19435959199796274,0.36429098086925327,0.21258896073359848,0.02381211380485611,0.13970142328412874,0.6591684484065911,0.7265536299525721,0.5666783273093087,0.2897321291403523,0.43529348728621753,0.5683915056384862,0.42403416486059936,0.8231448170054221,0.4654337959932122,0.25533830357230325,0.84137542702694,0.10875877533363357,0.4037299931630698,0.3441811534182309,0.5613524606478566,0.21244559410135166,0.5887973992496032,0.510397367651902,0.6110685059397569,0.5437432699067621,0.4201191201753036,0.3710300133338753,0.767383524611468,0.4271623627854401,0.39593587561901866,-0.04306491023749418,0.6228629693528456,0.6677129523033237,0.6707197162786814,0.2125023568948599,0.10645466295164308,0.4008483363022693,0.7263723339605197,0.8330589641833301,-0.08495664129231915,0.3087207383936729,0.5811640941973542,0.5952395126068154,0.43983237378403656,0.5530456187999164,0.5012837703595169,-0.14134184318031726,0.2341936116911693
Temporal_Sup_R,0.6228730590602026,0.558776180786029,0.7272269893457759,0.8225164557282263,0.16471838558871904,0.3782495880460955,0.34989366472506794,0.8056441424480784,0.8128591659693118,1.0,0.8182753856876563,0.5308700143862174,0.33861434101563703,0.2305544084032634,0.3459707815292329,-0.018265310712418333,0.38430480689682744,0.6495229135411599,0.6733715996497308,0.5669085422710253,0.06840569152667672,0.30647789823569227,0.6884893078938797,0.5906973051664125,0.6314687121162441,0.5234134074950368,0.5312205754395185,0.7102876224132805,0.2205678977027074,0.5565946649888498,0.19313828469845473,0.7831173280413833,0.48531286189510153,0.6590067669220765,0.5917983261762833,0.6504418992905597,0.45771665506928555,0.5569769065376114,0.5201817694975541,0.7771210986518479,0.4513891649568302,0.6075541254013075,-0.03890627433893373,0.6241877308332063,0.599645177628239,0.7361344079567207,0.32009958756431633,0.27878929754575826,0.15041960850482666,0.570496790346507,0.8753573942874012,-0.2096621933029509,0.46521143566423434,0.5832994339341084,0.40284392974423633,0.5077247419380231,0.41221701763843466,0.5645885261117889,-0.12847798160683427,0.3031900215703684
