,Thal_PuA_R,Thal_PuI_L,Thal_LGN_L,OFCmed_R,Temporal_Pole_Sup_L,ParaHippocampal_R,SN_pc_R,Precentral_L,Paracentral_Lobule_L,Cerebellum_7b_L,Vermis_6,Putamen_R,Calcarine_L,Thal_VPL_L,Rolandic_Oper_L,Angular_R,ACC_pre_R,Frontal_Inf_Orb_2_R,Cerebellum_3_L,ACC_pre_L,Cerebellum_Crus1_R,ACC_sup_R,SupraMarginal_L,Thal_PuA_L,Cingulate_Post_R
Thal_PuA_R,1.0,0.23641027592605945,0.7676392877853863,-0.016180941655647603,0.1301956384549216,0.29159577131181363,0.14556123340099264,0.11151415275058268,0.1326113808200655,-0.11959830005961994,0.1610675730858852,0.6391631501133702,0.24845284696585043,0.5277300677087615,0.3312146089949359,0.22364190917044824,0.42972262533765027,0.10529313283699572,0.22847335043271075,0.14000925560466618,0.061908135928351045,0.4383358989884533,0.33916717947955916,0.8779129316346188,0.4885772832995275
Thal_PuI_L,0.23641027592605945,1.0,0.16360620423889508,-0.2791235973994319,-0.14912047487287283,0.1118452811222564,-0.007811306843744421,0.16922685997574222,0.32126710998268465,0.25007254185868594,0.33934087851326866,0.37514575713945414,0.6593605649941789,0.046821458248424874,-0.004379307956328348,0.49275642660299357,0.11107629881717958,-0.3387546696403425,0.4015618183878069,-0.388645259137951,0.4500110017983385,-0.01160144680671921,0.4358590316853889,0.18702546689732877,0.34493748388992124
Thal_LGN_L,0.7676392877853863,0.16360620423889508,1.0,0.1647898274148644,0.2849651459110974,0.43541915473743087,0.05064678255914921,-0.20897824750722563,-0.27771217791978625,-0.2678423410147907,0.4118267183007545,0.641493945921476,0.17753597528678253,0.639341787327754,0.5484642446141663,0.07499550904493865,0.445239575464447,0.30740541580332403,0.41804452777175183,0.24766302951980293,0.2200533418450878,0.4291408324956304,0.2309340230962706,0.8314279842325191,0.680773955222652
OFCmed_R,-0.016180941655647603,-0.2791235973994319,0.1647898274148644,1.0,0.4569188200752526,0.5083978059689834,-0.04472637094974634,-0.5037936032340791,-0.4970988042184248,-0.46743357231072086,0.2880572918341956,0.21222634592276432,-0.48909519263205764,0.4741641973106412,0.16834139331471115,-0.5278032524432518,0.28104147130421797,0.528678812528528,0.07224817935336117,0.4885304638284886,0.18978491873693965,0.055964847485659316,-0.5031731796871632,0.18010956458785732,0.2563586511073106
Temporal_Pole_Sup_L,0.1301956384549216,-0.14912047487287283,0.2849651459110974,0.4569188200752526,1.0,0.7595302147610227,0.02560485857057775,-0.3305944449137739,-0.4250053328148679,-0.5340236978160645,0.3786254157766994,0.3145028482805699,-0.2860865316200436,0.745571842895684,0.3628554721947534,-0.6742817544686772,0.6764073727717298,0.8323774387583637,0.2254686196978435,0.8675939369194187,0.20354629814370892,-0.1643724577852641,-0.6351989416824524,0.41778014089514726,0.2727789333761314
ParaHippocampal_R,0.29159577131181363,0.1118452811222564,0.43541915473743087,0.5083978059689834,0.7595302147610227,1.0,0.13598512058770892,-0.5045130763892132,-0.428846878795946,-0.6281678050667655,0.6900655142537061,0.651496872038415,-0.2631564662168573,0.888450690858033,0.33706410810044907,-0.6125506713199022,0.6448113029571834,0.7450771704525503,0.444494401805588,0.6842247278163269,0.5346962225391213,0.07145898135111602,-0.5585112195387522,0.5941332254195809,0.5996042845379949
SN_pc_R,0.14556123340099264,-0.007811306843744421,0.05064678255914921,-0.04472637094974634,0.02560485857057775,0.13598512058770892,1.0,-0.02133590073174035,-0.06259766912655193,0.15406942232969226,0.0345353426819786,0.2670740696441377,-0.010490009976969115,0.1698516020044516,0.14150498437579376,-0.06429298860511329,0.11215829661100642,0.18418826683087666,0.1865002131565961,0.11842831695194218,-0.03006973455616592,0.12063258186911485,-0.038572637972204345,0.1942425711672678,0.202996551373823
Precentral_L,0.11151415275058268,0.16922685997574222,-0.20897824750722563,-0.5037936032340791,-0.3305944449137739,-0.5045130763892132,-0.02133590073174035,1.0,0.8489144740286783,0.4212752559370652,-0.42783461604912876,-0.10821999112898248,0.5700301449311047,-0.42577184986982114,0.05686380631250565,0.41571439601653143,-0.14459971382088493,-0.4036323945804243,-0.16069843698107253,-0.3194433040059045,-0.32720491629763093,0.20785632155462508,0.4006447629741687,-0.11067696977229444,-0.4109008517836276
Paracentral_Lobule_L,0.1326113808200655,0.32126710998268465,-0.27771217791978625,-0.4970988042184248,-0.4250053328148679,-0.428846878795946,-0.06259766912655193,0.8489144740286783,1.0,0.4453952152672332,-0.4174850080963694,-0.0247563059505709,0.5437171277126972,-0.4473823050180472,-0.2760883448342787,0.5395682425354467,-0.14328301932558205,-0.524460169454174,-0.18304863337639055,-0.46467281694604207,-0.2020523072057291,0.05594592372291829,0.407307801941287,-0.1227502356775537,-0.39774009104063457
Cerebellum_7b_L,-0.11959830005961994,0.25007254185868594,-0.2678423410147907,-0.46743357231072086,-0.5340236978160645,-0.6281678050667655,0.15406942232969226,0.4212752559370652,0.4453952152672332,1.0,-0.3126642674189773,-0.20379942077402827,0.5608920948903743,-0.6220880339195712,-0.14362689232491083,0.6711119818206299,-0.2776416959932603,-0.6043248398952582,-0.016301473186518478,-0.5922441942930028,-0.19302076623037873,-0.0955598760669012,0.5782427103798764,-0.3918433087722632,-0.26680132989604305
