,Precuneus_L,ACC_sup_L,OFClat_R,Vermis_7,OFCmed_R,Thal_LGN_L,Frontal_Med_Orb_R,Thal_PuM_R,Parietal_Sup_L,Vermis_10,SN_pr_L,Hippocampus_R,Thal_PuA_R,Cerebellum_10_R,Temporal_Pole_Mid_R,Occipital_Sup_R,Thal_PuL_R,Cerebellum_Crus1_R,Cerebellum_4_5_R,Red_N_R,Vermis_6,Temporal_Mid_L,Cingulate_Mid_L,SN_pr_R,Cingulate_Mid_R,ACC_pre_L,Insula_L,Frontal_Mid_2_R,OFCpost_R,Parietal_Inf_L,Thal_PuI_R,Thal_AV_L,Thal_VA_R,Supp_Motor_Area_L,Frontal_Sup_Medial_R,Frontal_Inf_Orb_2_L,Occipital_Mid_R,Cerebellum_Crus1_L,Temporal_Sup_R,Thal_LP_L
Precuneus_L,1.0,0.7129972912525313,-0.10761457195696292,0.07473173372344111,0.14583034115102442,0.42418956144232045,0.11215895997534281,0.4381734123119845,0.7909273716418338,0.4943609103026267,0.224336218885712,0.4387104429086612,0.5287952876345792,-0.060372871147046335,0.0750493976515645,0.7741504896990385,0.06656531115466202,0.4081580363294899,0.7148351009940022,0.05115644536100822,0.5366985632866764,0.43754280904989773,0.6646764395357475,0.3657681665326077,0.7469738180346555,0.5308403871810091,0.3610064503997154,0.6206875548365733,-0.021194921244714043,0.7824598530748474,0.5137233115074338,0.22432576258281414,0.11283916594469799,0.7126664084353376,0.5632246395510824,0.44801228326978537,0.6473396989317264,-0.016252657595061237,0.5243876043922379,0.11528149001553663
ACC_sup_L,0.7129972912525313,1.0,0.1285057168610302,0.04519914304471817,0.030751055631663794,0.33667166783876246,0.11560204237178867,0.312468606712868,0.35335249474020697,0.606723371861223,0.26687212325841825,0.4719938704687425,0.37170653062330267,0.00051973047115184,0.05992633181291704,0.4204353673820271,0.086023368258697,0.1959846450206188,0.7624764064802314,0.19428860905158948,0.2068588069781857,0.31026043111424934,0.7262429847339008,0.4798426626886281,0.7569322686773982,0.8113010175371728,0.5664364007946442,0.746751698806181,0.17508042273306776,0.5192559192563552,0.42800778530761013,0.4061660927517085,0.32419565424133256,0.7538864990955901,0.7056947518493644,0.665651563978491,0.2683671683484354,-0.08869339935928691,0.5249569164000157,0.4852836486048523
OFClat_R,-0.10761457195696292,0.1285057168610302,1.0,0.4657687494392335,-0.30413739674522294,-0.211590672989173,0.1365588215827883,0.14728324456056566,-0.319354917247914,-0.04550706212513193,0.11561781748222245,0.08872191440465418,-0.31994303033631855,-0.002897773755658441,-0.16742878251394647,-0.11743556757945472,0.12303133088254184,-0.302681067003459,-0.03860353992797451,0.20407919465383642,-0.38121003909444734,0.2273145364240783,-0.03251548075164182,-0.025273249455177362,0.04832222764332457,0.3140614947357228,0.24523541166956,0.20945128020103163,0.31074506376711336,-0.19714196383501012,0.008756020168117842,0.06621556241678593,0.4351742252593467,-0.1916167895515931,0.37953680322229844,0.05005327399366837,-0.18483448779297706,0.10389908157278926,0.09284189089391157,0.35302014867261183
Vermis_7,0.07473173372344111,0.04519914304471817,0.4657687494392335,1.0,-0.24829161396913954,-0.05021667398377065,0.3348393763037251,0.3357082159139901,0.096951255168826,-0.03607708827066155,0.2782819720904393,0.15592231198334514,-0.3042221523497739,-0.010496692285516382,-0.13812847776540063,0.2906238672954623,0.3625380456167667,0.2795404606079005,0.049140869961595175,-0.04221259298221168,0.06671709337903403,0.5194829280111781,0.07083082176673795,-0.2873174741989436,0.18965307510985296,0.07419033453101573,0.13317107329831557,0.16801994903612838,-0.0919040172576659,0.027500873045256505,0.08626477363863654,-0.03870004592161613,0.5314381472287703,-0.1323362376928677,0.33166585875686155,-0.17244059856345823,0.2825192278604366,0.6425451995074377,0.15049489560119292,0.002256275676319135
OFCmed_R,0.14583034115102442,0.030751055631663794,-0.30413739674522294,-0.24829161396913954,1.0,0.43344637826818305,-0.1667038725682322,-0.17225842632610017,0.19894275974079167,0.13730787911985531,-0.15614300642110024,0.09939987747388634,0.3485568970573902,0.2571795807168876,0.37986260640314207,0.1492991837763852,0.24831373009578006,0.247439799550021,0.10721104653344274,-0.11088554765780224,0.44861517008419727,-0.011980017938633836,-0.14203313027862302,0.08164563402032111,-0.058969651684255685,-0.029383303586904986,-0.07482844963404336,0.05458856775063693,0.06688791156001682,0.10274405099948096,0.25768695654522616,-0.08641081370348958,-0.37339215801457326,0.07053952197303728,0.007194940123641124,0.06089647356238155,0.20037185931279025,-0.07633333977771498,0.27732531272792543,-0.06078452075418138
Thal_LGN_L,0.42418956144232045,0.33667166783876246,-0.211590672989173,-0.05021667398377065,0.43344637826818305,1.0,0.008923524615057323,-0.054961481133846773,0.35300472424305784,0.4414207997212205,0.17396732640586304,0.4463440246317607,0.3877061835044126,0.28624482635897297,0.3536360207128293,0.4816792514102625,0.45455522222722616,0.5299764087383411,0.36405332730600576,-0.038217149598083464,0.6433125554052109,0.4343476835383205,0.13239384042421024,0.2211593282066857,0.19531907986656596,0.19435885805295075,0.32352574957053293,0.23943041762079958,0.010794888977924681,0.1982309467265401,0.565247915945702,0.011568803405755494,-0.11978175038122268,0.2679951788171685,0.2633443324151507,0.37509873049806985,0.49897757062957776,0.22824418172745733,0.43188777293586655,0.16860727774722953
Frontal_Med_Orb_R,0.11215895997534281,0.11560204237178867,0.1365588215827883,0.3348393763037251,-0.1667038725682322,0.008923524615057323,1.0,0.20895873869029113,0.16254468388359414,0.14549057715066133,0.6951257529341983,0.5396054044916232,-0.3152129839163221,0.21503941449998618,0.1756546875803507,0.13464474257938217,0.0483848875882591,0.22078268805516618,0.23917769932131594,0.04881019801270751,0.006078772083143952,0.09918974361780783,0.13286011357862204,0.12434321236736788,0.12337357687755102,0.13848114264720593,0.19676710216355373,0.15394356828021483,-0.3671270989631827,0.15042812225942745,0.045150604067856,0.03903096546466847,0.5357532262117595,-0.05315391106176764,0.24544377969180228,0.016833207957256263,0.08813217382356689,0.26282921185629815,0.27830198077691265,0.007804390891431574
Thal_PuM_R,0.4381734123119845,0.312468606712868,0.14728324456056566,0.3357082159139901,-0.17225842632610017,-0.054961481133846773,0.20895873869029113,1.0,0.2624926841758777,0.09132482901646016,0.2551145554010398,0.1324994545953608,-0.038012257105263514,-0.2630750561424464,-0.24198902949269993,0.37081385978665826,-0.02890245932432925,0.2229447622384978,0.44666604971457713,0.01160027099738217,0.10990979873927992,0.3113317876519511,0.48209372031163134,-0.18413007555108882,0.5410982734092895,0.35220754201975446,0.12642178673718993,0.4303465257808232,-0.33173807006593636,0.42525497060198747,0.017163678386798917,0.18944515292724784,0.5425978412900455,0.36083995953459985,0.3590412516662451,-0.005804133894449942,0.29524444676723144,0.07822505539877307,0.23189451987631565,0.09174731876339658
Parietal_Sup_L,0.7909273716418338,0.35335249474020697,-0.319354917247914,0.096951255168826,0.19894275974079167,0.35300472424305784,0.16254468388359414,0.2624926841758777,1.0,0.29246542927413594,0.1710018079459773,0.3560199301576086,0.3454090859358512,0.07783972127794829,0.29728386404054347,0.7522731605552125,0.21748459325998054,0.5696145325261857,0.48629831921742406,-0.13287725421989785,0.5450184577550929,0.2508445644414289,0.39449394633270785,0.14381589134587766,0.41944047564818726,0.12270164947834719,0.0285319447639759,0.4187414596669717,-0.16262702412972596,0.8439059970604709,0.36747448104990244,0.07263029221951012,-0.009298928020859876,0.44255834950771833,0.25110132332327234,0.1669965425447915,0.7205688629386946,0.07261955731074192,0.430731675220716,-0.280982198913424
Vermis_10,0.4943609103026267,0.606723371861223,-0.04550706212513193,-0.03607708827066155,0.13730787911985531,0.4414207997212205,0.14549057715066133,0.09132482901646016,0.29246542927413594,1.0,0.27519646391586494,0.6551905625900866,0.2747885809680249,0.3464536608511179,0.19565406538344968,0.26884052452240514,0.13767126373803057,0.31540394357826795,0.7603412922174604,0.19969162354711148,0.3278935010753386,0.22739539301018818,0.5918897987455443,0.5190093057395051,0.4884402093875359,0.531493587942812,0.6589504207561215,0.61768905515133,0.10135555298344316,0.4254735077521394,0.4992271570265374,0.42592903528504267,0.2053256486430166,0.5824011453859692,0.3290745973893274,0.6329432637294402,0.17291072580095732,0.06971237116405474,0.5714955195000934,0.3170272984924723
