,Temporal_Mid_R,Fusiform_L,Cingulate_Mid_R,Fusiform_R,SN_pc_L,Precentral_L,Thal_LP_R,Cerebellum_9_L,Supp_Motor_Area_R,Calcarine_L,Cerebellum_9_R,Frontal_Inf_Orb_2_R,Thal_PuM_R,Heschl_L,Thal_VA_R,Cingulate_Post_L,OFCant_R,ACC_pre_R,ACC_sup_L,Thal_PuI_L,Hippocampus_R,Cuneus_L,Supp_Motor_Area_L,Rolandic_Oper_R,Frontal_Mid_2_L,Cuneus_R,Thal_PuL_R,Cerebellum_6_R,Raphe_M,Calcarine_R,Pallidum_R,OFCmed_L,Thal_PuI_R,Cerebellum_3_R,Temporal_Pole_Mid_L,Thal_MDl_L,Temporal_Inf_L,Cerebellum_4_5_L,Cerebellum_8_R,Temporal_Sup_R,Red_N_L,Thal_AV_R,Pallidum_L,VTA_R,Rectus_R,Thal_LGN_L,Thal_PuL_L,Olfactory_R,Cerebellum_Crus1_L,OFCant_L,Frontal_Med_Orb_R,Cerebellum_8_L,Occipital_Mid_L,SupraMarginal_R,Occipital_Sup_R,Vermis_8,Putamen_L,Caudate_L,Rectus_L,Vermis_6,Temporal_Pole_Mid_R,Cingulate_Post_R,Frontal_Sup_2_L,Thal_VA_L,Paracentral_Lobule_L
Temporal_Mid_R,1.0,0.2788880567301835,0.30234238711530886,0.8617804617676292,-0.021411788247089992,0.17778551594189507,0.3702386536907472,0.6290744710489422,0.24822943103163467,0.5130542404436317,0.5041767598390077,0.2195803836635916,0.29871645173258016,-0.15711715568616172,0.010006828835840824,0.17638928977257826,-0.3250059545699535,-0.22705427431122152,0.2424132017437299,0.12725608296197244,0.16663922215436391,0.0954329692122888,0.03744347177068072,0.06929874763587354,0.09543840609651254,0.31197640357533823,0.23071817719053728,0.7619790033766602,0.4369853254354378,0.5791803231557124,-0.251018190740328,0.04549547407115934,0.02491112387288746,0.3906840512513495,0.4184946789017441,0.26339304707778255,-0.20748798247022396,0.23863136035255295,0.6016611759482027,0.6096289596602599,0.2111463187075238,0.3904067067553115,0.11631258430639418,-0.13661871873926093,-0.28634305411787947,0.33609579291014074,0.2531691480429163,-0.2434576039527245,0.4293399746007628,-0.1007966796699403,0.26225621995114823,0.6313263496113843,0.3154660593932208,-0.15371623174364019,-0.0037073504073858493,0.5183518419612447,0.299389472837132,0.09254854459084864,0.4943307930139488,0.5499343362390621,0.560358497128249,0.5245094359712422,0.25285098502825987,0.0060863112356925675,-0.4053320583476191
Fusiform_L,0.2788880567301835,1.0,0.45910561015777485,0.5970220126695384,0.5340952997342869,-0.10898077788967259,0.6293869184523032,0.5366314275617315,0.3937433523162112,0.6606765838456967,0.5865629443270353,-0.14476963588813418,0.725789062201805,0.6525911843359561,0.09572770844488793,0.4195405412849761,-0.20224545265947916,0.008741079988661,0.5682738576184708,0.5282937337778525,0.22651209006755474,0.06286047635162403,0.35985490496932027,0.4034556254136231,0.14522730692959746,0.38520377241810105,0.38856093423905314,0.628543356794829,0.3638090298045134,0.7218774405415397,-0.055936150899294754,-0.08389238601747469,0.43765569428565226,0.4186843028499788,0.38399741896032674,0.565247236023894,0.7451126659503948,0.6546593198094821,0.5287214846199296,0.3580291504680275,0.5232331399271618,-0.022206528332954886,-0.2798954599336001,0.2475099638659004,-0.07108735769690852,0.5471059863183662,0.5497636438559368,-0.08564486707572595,0.6940827234022988,-0.10488663927771424,0.04040204692148833,0.57998641116159,0.37423151305752694,0.2997316340395069,-0.06552179352109018,0.6681955441744982,-0.16764215220530634,0.5461875391005324,0.05842968406456021,0.6761987251585452,0.19768073574180575,0.6188287280402588,0.08669455782606841,0.035678340605555775,-0.2794373734225242
Cingulate_Mid_R,0.30234238711530886,0.45910561015777485,1.0,0.3299791544849314,0.07883770912245841,0.6137743635943637,0.3454934105995322,0.09972111735979186,0.7802050295392234,0.5614780858624605,0.09093744751109543,0.07352273457070195,0.4103620564386297,0.4543019658308837,-0.04234071564194616,0.4806085104043712,-0.1892880972310695,-0.17202397612434076,0.5750267336502979,0.37488213096925244,0.3778198332684633,0.41871307509103295,0.7007587059329744,0.6923048665510201,0.3747165169202146,0.6038388283662975,0.6073607676835914,0.24408763315223758,0.17965820128448,0.5093502806303919,0.5177958959411124,0.3121271509521506,0.5486618752586541,0.4844619847097761,0.041412383578413134,0.4085651517147331,0.10488614367604776,0.6645471806001568,0.16007313976215592,0.6422111832311225,0.3140074221957598,0.422361681333826,0.307888672914101,0.06757496300417123,-0.2551117524476003,0.22803112555696656,0.6542682503859408,-0.12522272964659759,0.11378335852143481,-0.1201185912453145,-0.012573489714871197,0.14909692419877615,0.3819727574105305,0.6029873314454459,0.4403051324282946,0.1072858194504824,0.45394686804227624,0.42106767242020093,-0.21679642795892545,0.21794279092591862,0.04301410093095566,0.6964051809282976,0.43500844018977314,0.018329206686316202,0.32347291807689854
Fusiform_R,0.8617804617676292,0.5970220126695384,0.3299791544849314,1.0,0.1421857694647824,-0.01946177977490896,0.5368622450280562,0.7485020677329215,0.22512162368849756,0.5464870561769536,0.686122094092914,0.07334931503395081,0.5008651393447857,0.08679151577224002,0.0841827585323588,0.2574527484095694,-0.3763117847364219,-0.23357469752014184,0.30886726543700727,0.28115362929834475,0.18324904867179906,-0.09972584609445806,0.005332374285642976,0.08677582214782024,0.0284251461112151,0.21837519753530163,0.1841611823039191,0.9306237327163481,0.519063710499375,0.6918324832905797,-0.3480161400638567,0.01028482279723864,0.1369017445018726,0.4268217359635793,0.5248956093498035,0.3905567741915755,0.17024810495166431,0.3232017138670903,0.7677474539810671,0.512304367179729,0.38934923066138394,0.19513094284975652,-0.13995799319719163,0.022547827040709872,-0.23998091731372462,0.5440607789015072,0.34254743462649834,-0.18923008512925468,0.7002475916676865,-0.18588195010667388,0.22633263201392273,0.7532719693309805,0.2800683095775273,-0.1613882671805234,-0.23873719269415306,0.7802411851945337,0.10181093476173603,0.26001605042780834,0.47500474847564483,0.7066073108691954,0.5641192217392706,0.5879115077481566,0.15909233407081202,0.026696102056670442,-0.6221818540482109
SN_pc_L,-0.021411788247089992,0.5340952997342869,0.07883770912245841,0.1421857694647824,1.0,-0.24474981894274883,0.2637890411347017,0.27227123881605825,0.04334082727462761,0.27941590682324424,0.3821717341927677,-0.31874838659840593,0.4518212387625343,0.41411937979388896,-0.03703343755112052,0.17220357495091856,-0.0586283040413705,0.20066858214452077,0.2682458567020957,0.37322086866664317,0.01645883165377705,0.09854902106470305,0.18004174902931142,0.1306025578099414,-0.12522999654354425,0.23810607036203532,0.0653088688278176,0.27276620291479503,0.2453876885417469,0.3662648655924504,-0.13122824194738772,-0.08883755235747495,0.1686174182107679,0.1634503664150752,0.24503442096708763,0.20615250360064336,0.5389406709980094,0.3941207816384062,0.28986506930518807,-0.024360646046267618,0.33657152683216823,-0.3142564887074578,-0.36525617316655606,0.17642536691669886,0.11338731570692856,0.10889282263230955,0.20377442072820856,0.04308302211457023,0.4077127837436954,-0.0924335338216696,0.07789106057929973,0.25031934954469004,0.3709340878678003,0.19589317422062272,0.0016115558222550442,0.3000189304902132,-0.47278037134111234,0.2650871242288709,0.10507304540451998,0.4540494989027988,0.16797629229431416,0.2093055894170282,-0.15192320522216382,-0.06226656134199529,-0.14318483169900184
Precentral_L,0.17778551594189507,-0.10898077788967259,0.6137743635943637,-0.01946177977490896,-0.24474981894274883,1.0,0.1410731199172993,-0.33933584458971827,0.7425152289240149,0.1442988549424581,-0.4454655967061555,0.5648646899052723,0.09083694339673125,0.13956541273291495,0.18152110204197688,0.43734588088782345,0.28971324916652597,0.14461805197030667,0.35619756745794495,0.23223421299613495,0.5185190746338263,0.4763390308049782,0.6218012436782773,0.4689079512946154,0.6322938038583283,0.5287111301282873,0.4310982506502206,-0.23394143314882382,-0.03428012066568906,-0.018574107272668623,0.4514424858855979,0.2608337448892161,0.4515008785152749,0.5281437917014106,-0.3468053239716656,0.13774152327470385,-0.3780425193005082,0.40714440447220007,-0.3800288757620185,0.4569590130480109,0.11340643202581357,0.394833281219123,0.480678501388457,0.17282662972056428,0.03576892646465436,-0.07108811188361726,0.39462974743730417,0.15745955146515464,-0.5009877069491968,0.23441447239248084,0.13663415832203174,-0.2647096305629117,0.07462035023065709,0.30845899424106077,0.5161688234351404,-0.4787755966329365,0.6661418216742349,0.3295172485172723,-0.2347481056759186,-0.27458919620330585,-0.17462231694684735,0.32210503758609277,0.7499608616110115,0.2963941496467726,0.5940423267148921
Thal_LP_R,0.3702386536907472,0.6293869184523032,0.3454934105995322,0.5368622450280562,0.2637890411347017,0.1410731199172993,1.0,0.18109941214465675,0.4101212051980705,0.23404481936944177,0.14635998936563213,0.3978340593303547,0.8651526429473452,0.6330718740186637,0.575014428481017,0.5676242079630102,0.27372030569682115,0.3676861923914629,0.7733847174410743,0.5482632410853725,0.6325918086090329,-0.1302176395632556,0.3454746843312458,0.40779378528803206,0.4442806953144802,0.20089401297250928,0.5008158508948621,0.36791733216285005,0.4742574133075424,0.3133880427567253,-0.2129306587717403,0.22678622621530567,0.5829748321890722,0.5237292153322405,0.08039654707405036,0.4842543099981985,0.39559801463223754,0.4415091934738511,0.1736145206069417,0.5181244149639963,0.6321982665226853,-0.042364991593725226,-0.2754164677341864,0.5391215024726699,0.2663751870391239,0.5854831877251954,0.7414092045257333,0.3868936347617959,0.2444752779830221,0.2346388263764623,0.23275659240521285,0.25731214647125344,-0.05529379621588419,0.09915992638753977,-0.1904706141913504,0.2866267665999602,-0.00867929093894776,0.7231282418118372,0.0785708775175254,0.27145467908621873,0.17701066066782892,0.48706798738496865,0.4126499761264677,0.44236995802431134,-0.24454453313114521
Cerebellum_9_L,0.6290744710489422,0.5366314275617315,0.09972111735979186,0.7485020677329215,0.27227123881605825,-0.33933584458971827,0.18109941214465675,1.0,-0.0688838148851738,0.5903559861955497,0.9456974348805003,-0.32126901791244955,0.20743866419936832,-0.13985091036770345,-0.3692307185690994,-0.13370565400101803,-0.6125604709952643,-0.3417287856025621,-0.02815911320663904,0.041156803142731166,-0.39869679838935623,-0.008510282136354432,-0.24061767208280382,-0.20702373487644332,-0.21985286053676303,0.1649683703578348,-0.011598769655510922,0.898481162375059,0.2721415182498434,0.7477358214719084,-0.37083638840944116,-0.4019819957655632,-0.27947052644125714,0.09294159582206352,0.7500136598565926,0.08775784837147778,0.1640017384546274,0.19712165343867274,0.9078936462800565,0.03873204355928405,0.09783858812518322,0.06750384989423633,-0.31099799935808076,-0.3944777604798286,-0.42880658808422684,0.20709162319593635,-0.006231246046796322,-0.5959133169788318,0.8925732096432638,-0.29247800126386375,0.2039975046409606,0.9675419632886175,0.5702101811229063,-0.17657830471887614,-0.16117356860256157,0.8634592001589644,-0.251756550656994,-0.09592424825391413,0.5444584090551885,0.8603114413949177,0.6519203557615927,0.39633257769367075,-0.12276041228559344,-0.4271234844708254,-0.6871520801403582
Supp_Motor_Area_R,0.24822943103163467,0.3937433523162112,0.7802050295392234,0.22512162368849756,0.04334082727462761,0.7425152289240149,0.4101212051980705,-0.0688838148851738,1.0,0.43169814118811706,-0.1177291698915181,0.33802836737019815,0.40616693350631694,0.4855506030238285,0.20325383455476262,0.6235746531649837,0.11984970567224368,0.0726982952551512,0.6154837584862092,0.3890801287062357,0.5204023917403742,0.46592771577466374,0.8486481965046008,0.6629554497182994,0.6050288233690061,0.6262098710734144,0.5798144653274641,0.0656736309146012,0.1287299350129795,0.336633437721859,0.45033440138762143,0.2533680403641749,0.6142618403556593,0.6413012355928374,-0.09560527649128436,0.45511402257428474,0.12080550333501533,0.6411214999796372,-0.07500525881336238,0.6245695114132624,0.4068751351326818,0.3415477348701001,0.32530311448574933,0.25231861664508476,-0.06781690788815058,0.27611132039946035,0.6236991251875279,0.110448020335482,-0.07356251204309547,0.1692422006116204,0.0392556711857251,0.02894983756903654,0.21392708330227506,0.5373249202645114,0.43653402907391453,-0.083405815300352,0.5068427416064915,0.5350936284234336,-0.2169354024838577,0.08315334956596643,-0.1446886461991553,0.57130407356339,0.6322579586653997,0.3146754273354214,0.42413153332060033
Calcarine_L,0.5130542404436317,0.6606765838456967,0.5614780858624605,0.5464870561769536,0.27941590682324424,0.1442988549424581,0.23404481936944177,0.5903559861955497,0.43169814118811706,1.0,0.6111163248238124,-0.20026494468634076,0.3090775391665923,0.2766331895936965,-0.2410013781489197,0.2301017284415687,-0.4308414527185838,-0.19395571209901638,0.3449383676154612,0.21265638782592258,-0.03737708551709545,0.48324279388678865,0.3577281482592265,0.45492969622539225,0.06184668090791602,0.620290150944412,0.3730699985696872,0.6166356356957106,0.17013506727916664,0.8853961565165251,0.15179966542535295,-0.13341230501345644,0.19475921124787512,0.35789990438386754,0.45161490517927244,0.40535827084523685,0.21029758487830083,0.6818732220647981,0.5917300830333827,0.45741262989733544,0.15708642793429123,0.28346413212432287,0.0599058354234091,-0.178654845030728,-0.3439025494539143,0.16560852040826546,0.32142926135120836,-0.4269620803329238,0.5377846039509878,-0.16835797896993224,-0.014825759633272309,0.5618473891292993,0.7100555185642343,0.3949600337415896,0.341528126259179,0.5161199019521472,0.04976839958963276,0.2364117804555287,0.16853943529073226,0.7076859001439166,0.4068312629900306,0.6173212767547273,0.1289021999584696,-0.27468966145101725,-0.03174425988229782
