,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_MDm_L,Precentral_L,LC_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VL_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_VA_L,Caudate_L,Parietal_Inf_R,Thal_IL_L
SN_pr_L,1.0,0.11156211796363392,0.7040518352042469,0.3539519076154718,0.5544346979908857,0.0018223485262918488,0.20564248580628552,0.06672911167832873,0.33866777644508766,0.31581808347458207,-0.006432125679342926,0.18528535008261474,0.42861785600134894,0.04780889390461745,0.03149752856898995,0.5893488212564544,0.26785872841131714,0.1569965755383026,0.3272163187817155,0.30801673717982103,-0.13232895613855625,0.47815217514590974,0.2555493762382514,0.224656499814302,-0.03023387400146811,0.5939634422392638,0.3748201144157833,0.14576835587877499,0.33193639306602785,0.14437344505466707,-0.09908481866039269,0.18968258355334253,0.16052663016700736,0.6164085965383447,0.42208941831043245,0.5488929415002785,0.2076976307539961,0.3388220096751168,0.6352359349146901,0.30770618118465576,0.35189755474811507,0.2819106621398148,0.35137663578652073,0.5222314633033375,0.1123207447751412,0.031167567646454966,0.4190895254844831,0.3236903624932116,-0.009263497070076373,0.31604692106686144
Thal_MDl_R,0.11156211796363392,1.0,0.2706485704944838,-0.020364321887445296,0.17577005946446675,-0.06760997724788727,0.0545043628155626,0.11964912579300374,0.19728248890849487,0.14203881914760477,-0.20640189076879847,0.1918364766783308,-0.2311031222333215,-0.20517463511700776,-0.18758237127751437,0.194513242549644,0.029306249107701087,-0.003493230268792195,0.42104416628407115,0.1224414322013672,-0.21850888532312643,-0.24234986165616737,0.03093713228266127,0.003914047458623137,-0.3236083782417845,0.19421316342428513,0.20943713108013062,-0.20887732893426733,-0.167797453610769,-0.05039656605916483,-0.22093217874298787,0.28920765533815435,-0.07513631925743751,0.29963706891758307,0.07661922524613954,0.06326938536799544,0.1092730006116082,0.45466230327169543,-0.14657350811275657,0.1485560642232364,0.1922774812901151,0.24246351909237787,0.18095521782669707,0.2516685734841507,0.0586730196468258,-0.17434405215413384,0.5705413809219474,0.25939916481935,-0.1475950146276826,0.28693451434089934
OFCpost_R,0.7040518352042469,0.2706485704944838,1.0,0.323002982421582,0.6305140420352962,0.08643422300373628,-0.013654357803604102,-0.0633780772343718,0.34468317462566983,0.22936080440112241,-0.1467428696236474,0.06475393402461618,0.38166076711170105,-0.1453109156140405,-0.0429220471226885,0.7259763643866387,0.23365741534050727,0.20567020875261613,0.3737907310189485,0.3290688682579069,-0.14569031087196468,0.5481047771920435,0.2698032452356818,0.21709897141010778,-0.2031686542003479,0.5953537758140764,0.2990799640390302,0.06762100973772928,0.19157033889940672,0.03733870138037507,-0.31508921776504106,0.21460725963392058,0.13890242660241647,0.6624448858210039,0.40329143494147923,0.5008859417136361,0.12502918844011246,0.4137784787761662,0.6537642334671308,0.44558425474273783,0.4818726341702842,0.2903700732663395,0.31221335256796146,0.4426062825582131,0.18843088021761095,-0.11350030224702606,0.5445198970862581,0.3906762125496729,-0.16651586522331913,0.30056393894569816
Temporal_Sup_R,0.3539519076154718,-0.020364321887445296,0.323002982421582,1.0,0.5566932638936275,0.6007181949584928,0.4292564911025452,0.22551443439843277,0.7585098705111329,0.5225221655255079,0.3924721332845567,0.5027101083926373,0.24420229019594883,0.40329737598660553,0.46801414949078535,0.29175196307621415,0.8919006474489222,0.6777361976829033,0.4489257059948421,0.7675610480815469,0.17467033036064306,0.5375331105815135,0.8083378271364171,0.7440147883029654,0.16895403411138324,0.7887084249705196,0.7248825812241786,0.09388109896162164,0.6399196066854332,0.5269047866234499,0.3907954918485134,0.3260555514778032,0.19421975334598068,0.5994463054498969,0.833515705211957,0.6376832908390222,0.5608259969659717,0.4677571686033826,0.338660880020222,0.7788381769109233,0.7337698337651845,0.7125266873140484,0.6446117058172373,0.5716938074880359,0.7134024846852349,0.17341456582477233,0.3945186011053507,0.566023854663638,0.01833915608397552,0.5212383041972384
OFClat_L,0.5544346979908857,0.17577005946446675,0.6305140420352962,0.5566932638936275,1.0,0.24437963515429856,0.23972138217080463,0.04269395384424473,0.37339410918620464,0.46474508505484996,0.015441071381527222,0.3365151143309862,0.31191778254937774,0.2227418279710335,0.10873894616955403,0.4708581881396579,0.49092210261122116,0.4266628378495783,0.4392525233728281,0.4866738701280377,0.18312701820420907,0.49629479133284854,0.4189037055910615,0.49013164463823783,-0.10593758028052704,0.6580620628229085,0.4820983606408697,0.18476158951551758,0.41112808693861475,0.35791930197026817,0.06562303100010987,0.09908207126016191,0.24200653883209472,0.6485213617029522,0.5904942727355548,0.5238060042304654,0.23281652890795634,0.4437974489578217,0.5557811248111422,0.570437219618792,0.5605903853977041,0.5272695374290065,0.49404549671924186,0.40749481338397714,0.36610045498689014,0.12956732532135293,0.4537715219037251,0.4134211451797022,0.024175482477426707,0.4271129481234212
Heschl_R,0.0018223485262918488,-0.06760997724788727,0.08643422300373628,0.6007181949584928,0.24437963515429856,1.0,-0.1451260608781145,0.11777233870535624,0.606407934951314,0.2246814063312481,0.36041790508863486,0.07609500607651154,0.12248961577686242,0.04098759537063731,0.5109889313210946,0.14754105633397452,0.7079794298955976,0.7047626000154287,0.3995237490621911,0.5277719549299402,0.20510452022942624,0.38768736105565316,0.6929851402118599,0.49180155704816153,0.05331383398885573,0.5786339337788129,0.5810661259827204,-0.1518052209553402,0.09609671175620899,-0.05368742432933722,0.18537765799489142,0.36883457523969054,-0.12885906881991596,0.38911876528985845,0.5829643530779092,0.246208729864225,0.2797848746043243,0.41227516542329634,0.04218298984162358,0.643748895362577,0.6601909820340663,0.3196108184552222,0.5550107471046647,0.38108615943137564,0.8182826644381622,-0.050662024305673584,0.27559679812831234,0.6141446369903413,-0.4106082486236582,0.3001708607442857
Cuneus_L,0.20564248580628552,0.0545043628155626,-0.013654357803604102,0.4292564911025452,0.23972138217080463,-0.1451260608781145,1.0,0.17190135072433635,0.2933219575787572,0.39580607840389626,0.1023075871947747,0.5672853400512825,0.0072954976390625795,0.7847881871172007,0.03521367543640844,-0.05624817295050641,0.26831319109575996,-0.0745674594986081,0.11107508936106468,0.408274742231327,-0.05786700771411578,-0.015754640588329916,0.21007172204941674,0.5253503014556263,0.1908990936118017,0.18617007896991927,0.33727055377652077,0.48085390487615515,0.8373805005259443,0.8372670884865747,0.46215465721312804,-0.13682437835573208,0.3597137575447184,0.14697917190528262,0.4165821568073531,0.29704459339989175,0.370666918842453,0.06568097410051141,-0.0071937075118045524,0.10962565366276246,0.12256256700477824,0.5352039210800533,0.2283722964463026,0.1735257475642208,0.042067411676785973,0.4000338957314788,0.04745378505313861,-0.04346511684924446,0.6934115212217002,0.38556791614472014
Occipital_Inf_R,0.06672911167832873,0.11964912579300374,-0.0633780772343718,0.22551443439843277,0.04269395384424473,0.11777233870535624,0.17190135072433635,1.0,0.4348902347018495,0.2566233537087659,0.1853851088470957,0.5500132710246649,-0.22243726448061932,-0.09006199730079575,0.436236253150361,-0.025420277226898037,0.2957667366250933,0.24691327026664187,0.17480964130444523,0.17086895185962644,0.27315032280893925,-0.015129097767170089,0.15873105417247688,0.19385104076424287,0.29176959970639904,0.1865331965648255,0.1381980553636448,-0.22778080007798318,0.019574174417440623,0.01719210415340239,0.46813696468007493,0.20929865369320497,0.030079384202870135,0.18037824020195026,0.0992743575923168,0.2829089432929001,0.6477585452614442,0.30214453545369596,0.03066300456331747,-0.022051246096070842,0.0029046653905238466,0.3741072716771024,0.1690688045925616,0.07358804506424176,-0.024011361459122797,0.15022094795906807,0.07097765442850615,0.021702262426530502,-0.21608454576667485,0.15535046060390378
Temporal_Inf_R,0.33866777644508766,0.19728248890849487,0.34468317462566983,0.7585098705111329,0.37339410918620464,0.606407934951314,0.2933219575787572,0.4348902347018495,1.0,0.36721124721349524,0.24511427974602645,0.5507515673525768,-0.01094859559840896,0.08005427569825263,0.49984355708290534,0.4120279415853919,0.754901214044383,0.6177120063620263,0.5448128048912959,0.7098548811649158,0.10058011193682856,0.3355604700398861,0.673086925690418,0.6217312482962193,0.014011316384217746,0.7559601783575489,0.732807288750881,-0.09979629928251872,0.36734227149226206,0.19437486919960234,0.2962967451506147,0.5433855112510653,0.12873271098389677,0.6636547503498113,0.7370971818656566,0.5597502524051199,0.7257710360452813,0.7119960486017928,0.18185398807788558,0.6404887012306496,0.6952931954799326,0.6627238579502988,0.658553245194059,0.5721600275874891,0.5882623684538875,0.061711533319277416,0.5220125978689503,0.6177631600862098,-0.3055565781940412,0.5263937898314871
Red_N_L,0.31581808347458207,0.14203881914760477,0.22936080440112241,0.5225221655255079,0.46474508505484996,0.2246814063312481,0.39580607840389626,0.2566233537087659,0.36721124721349524,1.0,0.07290991802400294,0.4279422083109608,0.1120388711404149,0.3866815180128087,0.2474928695402786,0.15279666832146582,0.5658024559050145,0.5246888677306382,0.4999215242278529,0.6825120119002442,0.3388910490766111,0.286141994987101,0.5734683380283041,0.707453048862323,0.05567800512585469,0.5779196538186675,0.5208994991216227,0.08432808177225762,0.41922184234993604,0.4257001878507007,0.26726154375219485,0.0809320101598202,0.08320954137266409,0.5906050539073447,0.6173698745918833,0.6223877470083453,0.4874576962338587,0.2810311351400199,0.2248161609828522,0.5250971489777839,0.5397727758447611,0.5854544982877347,0.5029865925357874,0.43282410548700895,0.4223198454594373,0.017575335433245753,0.3834300093216135,0.42648557315357777,0.07171573245396988,0.3782195398175065
