,Temporal_Inf_L,Cuneus_R,Vermis_8,Thal_PuM_R,Rectus_L,Cerebellum_Crus2_L,Fusiform_R,Thal_PuL_R,Cerebellum_4_5_R,Frontal_Inf_Tri_R,Parietal_Inf_L,Frontal_Sup_Medial_L,Putamen_L,ParaHippocampal_L,Vermis_3,ACC_pre_R,Frontal_Inf_Orb_2_R,Frontal_Mid_2_L,Frontal_Sup_Medial_R,Thal_MDl_L,Temporal_Sup_L,ACC_pre_L,Thal_PuA_R,Cerebellum_9_L,Paracentral_Lobule_R,Cerebellum_6_R,Heschl_L,Lingual_R,Occipital_Inf_L,Putamen_R,Cerebellum_6_L,Vermis_7,Vermis_1_2,Thal_VPL_R,Parietal_Sup_L,Angular_R,Frontal_Inf_Oper_R,Rolandic_Oper_R,OFCmed_R,Vermis_10,Thal_PuL_L,VTA_R,Precuneus_R,Thal_VL_R,Parietal_Sup_R
Temporal_Inf_L,1.0,0.2724620694651879,0.27064627178624817,0.49037566070945554,0.18508003847010687,0.3133462656207263,0.7621930037130161,0.43515942422049664,0.8054054761934111,0.6866662067321855,0.22088630261994516,0.625752575497861,0.6327930100366823,0.6651425904426881,0.7221555003462118,0.5194074013655778,0.396231222505889,0.7078225999999244,0.5855653189402593,0.28529533948448915,0.7520926046771179,0.4321137155916724,0.2953779322096511,0.6094609521914187,0.17712616401368614,0.6172060992288455,0.7451803126761206,0.738822415223301,-0.19798469489773815,0.5982115163568984,0.5171320407349184,0.04998598964096804,0.4220472729362316,0.529632635844316,-0.20251951407772098,0.000298907959347627,0.7000276500388611,0.6783758342228807,-0.05593588516245636,0.6069260691306033,0.46242194001046294,0.4827758163003744,0.539599081318777,0.689122322929512,0.07478347434902759
Cuneus_R,0.2724620694651879,1.0,0.10186648107387491,0.2892812975207331,-0.13759539388559364,-0.1195040150131007,0.4078150466050472,-0.11749197323017374,0.09658323804719894,0.24301887696672658,0.7190087040008938,0.3029260076669605,0.0719436753476315,0.16757567864006595,0.12336398057142592,-0.255931473583129,0.007086582291378077,0.10485784175707767,0.1482514587136837,-0.1518850058522047,0.23582968505957871,-0.24002388596199137,-0.09780627609688793,0.28607393065649217,0.7404583502140871,0.3595824513157397,0.03031009046175575,0.5194392153931333,0.3327426179536366,-0.07568788398833931,0.5361796955718059,0.0938160029254337,0.2109361885632887,-0.041493385949857825,0.47466840969331686,0.6258523804932988,0.24716183455336754,0.0600368773599351,-0.04849633956705917,0.17761329993686176,0.09281096011259901,0.01731877880799284,0.7807336418320228,0.3379186291412345,0.09463387195891006
Vermis_8,0.27064627178624817,0.10186648107387491,1.0,0.2605213046702192,-0.3323011434548803,0.1818287368236041,0.2466877744207996,0.195988931091414,0.30317535487085084,0.33486602462082055,0.0991046142140953,0.09554970368159957,0.09162701951322214,-0.11266198265910048,0.3007772589506122,0.2541454947474816,0.3063857029744699,0.2376141886550807,0.11185744214578475,-0.07796878047076305,0.47643140016000385,-0.0220325367346534,0.009677647767644246,0.22349871116447267,0.1977621107832685,0.31564950259668134,0.3086608986689586,0.4306640544608414,-0.10933534473082311,0.14131716207100406,0.2501742697817481,0.6592331602409641,0.12143883912574344,0.14286541580711612,-0.1481827956468579,0.03671120876879119,0.38327554369319244,0.3389273556505026,-0.3381852958919397,0.056227789244152615,0.21009992013513137,0.021654736628271207,0.22795583859629154,0.13280833274119486,0.14028255066833661
Thal_PuM_R,0.49037566070945554,0.2892812975207331,0.2605213046702192,1.0,0.16902049868336638,0.13974924415249895,0.6628192842431156,0.345852972175285,0.6518836924325623,0.6175762479659411,0.27523399618089095,0.6741524381287336,0.6294044815854127,0.511827661586458,0.7181303596205281,0.43169492962505235,0.4228275232267068,0.6567863665378144,0.6486094401468392,0.11929013658013096,0.6013406648921854,0.5016402980401987,0.5044555347285761,0.21950312733416946,0.26298107049219893,0.37454962619442655,0.4790915053597532,0.6123911964222911,-0.1805788503289819,0.6517726976505415,0.2182214592777947,-0.03893385824527962,0.5919528227085197,0.5391254953042388,0.021435829971234287,0.05017236454289927,0.6699836903082143,0.5959993274700549,0.060772555611152586,0.4818875995043295,0.22987386597891646,0.32080742290134734,0.4545434261245797,0.3716337321134247,0.11197578216243233
Rectus_L,0.18508003847010687,-0.13759539388559364,-0.3323011434548803,0.16902049868336638,1.0,0.00011030289631232888,0.14926179705964215,0.07814282606467937,0.18972983015683145,0.095797900164632,-0.1278141702927799,0.29768813719545956,0.4200084354612994,0.5170661839277755,0.3161684523362925,0.4659880288150076,0.36270469285824514,0.25111536982943583,0.2807376999909429,0.21273620288880754,-0.018799527493860813,0.5251384306578116,0.38561508089067575,-0.1580236469584589,-0.21913551378890028,-0.09877794566617712,0.0782321889927294,-0.05323748988766534,-0.0859502724843078,0.42645957279472463,-0.20976221390788993,-0.44111262614247576,0.27323509503189025,0.2595447538827145,0.06440988627580244,-0.17864676085715547,0.031414586387793535,0.10001683366863555,0.6836038279624903,0.2356678017107456,-0.008788636726090133,0.4749524870609458,-0.021012126997451818,0.10684748388981807,-0.13770190158991033
Cerebellum_Crus2_L,0.3133462656207263,-0.1195040150131007,0.1818287368236041,0.13974924415249895,0.00011030289631232888,1.0,0.34800231691457517,0.3575359300836514,0.38795498646038107,0.2804209105545081,-0.07676872900169128,0.07949999709574151,0.2303219257217147,0.36396717918029575,0.32788539792263455,0.17000899312549927,0.24612979091808365,0.32802845717837187,0.10301481492286144,0.0676641499548809,0.3365193919666018,0.04693984574081314,-0.1112214456742094,0.19199945244445704,-0.2374348987424825,0.3995830511550602,0.2878477045837309,0.31708158670804093,-0.200006075272598,0.15724148320544795,0.27687231132573425,0.15309800551468852,0.31108326907244255,0.09421095752904075,-0.30512691339724823,-0.1743405559589349,0.2618094195329473,0.20086963322573972,-0.11090149567720865,0.3251001666939427,0.341463808340949,0.2222571556821055,0.029990231052587416,0.2571672356999984,0.1796829276008522
Fusiform_R,0.7621930037130161,0.4078150466050472,0.2466877744207996,0.6628192842431156,0.14926179705964215,0.34800231691457517,1.0,0.4977105212624889,0.8747269452449921,0.7995662085573012,0.43706383115129327,0.7195497397524984,0.7042655987993782,0.7849622029268921,0.8003896518854933,0.45352605468833895,0.4343815562435715,0.8322789597457131,0.7462033806587512,0.21934704821084555,0.8346188926265927,0.41584255630654154,0.27323049090472046,0.5521936686785596,0.24567870289524388,0.7974156827070004,0.7334614700340835,0.8713356863431633,-0.09553349371545339,0.6470128409127697,0.6308302498677054,0.009991849611726111,0.7364767476480045,0.4739684396279817,-0.026380693571762908,0.15805611907080813,0.7660217943615247,0.6714139870824795,-0.11182389357392757,0.7422107232184537,0.47634109273078745,0.5523603642866571,0.6243290535626178,0.768919348943143,0.19992257364110674
Thal_PuL_R,0.43515942422049664,-0.11749197323017374,0.195988931091414,0.345852972175285,0.07814282606467937,0.3575359300836514,0.4977105212624889,1.0,0.5901986968281365,0.2967179159991658,-0.20390522999798402,0.21418710096504182,0.46291359804105264,0.38801851808991955,0.4375858714669172,0.3287395301316641,0.11447176526233012,0.5586304596461182,0.33609907994321014,0.3059544162445142,0.4310741468258939,0.39964063212144063,0.24330541711080395,0.4260796310533125,-0.3080882267093185,0.3317144171895201,0.555335015805764,0.32507959937393427,-0.3815029047046115,0.5100182139118015,0.1589130424274476,-0.06980179436766439,0.43983722083185517,0.3405329786683368,-0.40467950253410584,-0.32491219594322507,0.28527495052375074,0.36329626788089325,-0.01570441291221641,0.5528356331481795,0.39422317783699085,0.3454927477666546,-0.016731605520621785,0.34783525228920653,0.2145181667691166
Cerebellum_4_5_R,0.8054054761934111,0.09658323804719894,0.30317535487085084,0.6518836924325623,0.18972983015683145,0.38795498646038107,0.8747269452449921,0.5901986968281365,1.0,0.774313569475493,0.15040261686172166,0.6778701800638728,0.7220968464477232,0.7945423717648668,0.8699104395560481,0.6253408962687985,0.4662019723036231,0.8630596546575814,0.7199362585899245,0.32397624569230754,0.8455008030757242,0.5152990859891946,0.3530828835817981,0.5631820275383187,-0.012855434223583229,0.6850588816476634,0.8266367712751531,0.7650108044307402,-0.30320976434456004,0.7527071652234877,0.43370263752521526,0.025560907983403578,0.698321358213486,0.6248755978739422,-0.28228705491511563,-0.10181334136199988,0.756060705675282,0.7500065476904084,-0.11764332733864714,0.7483385568962667,0.44197051073064525,0.59251846534155,0.3985743760663362,0.7022639591714074,0.18124787673430212
Frontal_Inf_Tri_R,0.6866662067321855,0.24301887696672658,0.33486602462082055,0.6175762479659411,0.095797900164632,0.2804209105545081,0.7995662085573012,0.2967179159991658,0.774313569475493,1.0,0.5018018072656448,0.8095021437896913,0.6560633571242565,0.6453091901758075,0.7638702046736953,0.5904826676348216,0.5512390863404468,0.830503143348427,0.8592069118642283,0.1921720326141061,0.8678254892521136,0.5024176047060693,0.3286281984132313,0.4470755513188541,0.3220106257522605,0.6374362851118712,0.7208714229424511,0.775908746445647,-0.06554840115541331,0.6822400338960058,0.42470553821819607,0.06269357472477308,0.5919644006422101,0.49329004748801303,0.06070088427549856,0.11027953223597463,0.9143574989428915,0.8732619647673635,-0.24641650998617354,0.5313840482318859,0.2905037057622975,0.47360839583780034,0.569448823874528,0.6425909084036793,0.08551173570191856
