,Frontal_Inf_Oper_L,Thal_PuA_R,Temporal_Pole_Mid_R,Thal_PuL_L,Cerebellum_6_R,Temporal_Pole_Sup_R,Frontal_Sup_2_R,Cerebellum_Crus1_L,Hippocampus_L,Cerebellum_4_5_R,Temporal_Pole_Mid_L,Calcarine_R,ACC_sup_R,Postcentral_R,Thal_VL_R,Thal_AV_R,Vermis_8,Thal_VPL_R,Heschl_R,Frontal_Inf_Oper_R,SupraMarginal_L,Pallidum_R,Occipital_Inf_R,Olfactory_R,Occipital_Sup_R,Cerebellum_8_L,Cuneus_L,Vermis_4_5,Cerebellum_8_R,Frontal_Med_Orb_R,ParaHippocampal_L,Thal_MDm_R,Cingulate_Post_L,SupraMarginal_R,Thal_MGN_L
Frontal_Inf_Oper_L,1.0,0.1407638025407506,-0.04758312429880549,0.19028944080436136,0.37145892371643846,-0.07833147560500874,0.1397506259654304,0.4124671958008783,0.3780676570166474,0.47033163114657756,0.13155475608939243,0.3387185509770437,0.6071999312758063,-0.25705691522222057,0.42766788349993234,0.5431149974849234,0.2774212002924376,0.24202677377687343,0.3948999628000079,-0.14523511720543705,0.3302888735544689,0.13018159501811818,-0.0768705392301289,0.04399546309727291,-0.11695967775536152,0.3969734583439702,0.03972780918320287,0.5265478603576637,0.3348752664284995,0.2726824602301443,0.23886569764076404,0.2107684688276163,0.5938599629715525,-0.12775201869941014,0.12574096113439132
Thal_PuA_R,0.1407638025407506,1.0,-0.33222798257454,-0.0338364230321187,0.14753585873653127,-0.21626510071865504,0.09430960181789055,0.24117518530487478,0.24168265792786997,-0.08409012328706113,-0.3335751430624625,0.7421057584324019,-0.11850983114334025,0.36295220738040174,0.5950946208250913,0.5063552512719195,0.10928141033050022,0.7938651527244306,-0.6053806449899796,0.3240515820922311,0.7601158813205315,-0.2510875510040265,0.4067102155015312,-0.3707776286213118,0.7138496743984115,-0.08922698328570272,0.6779858568295832,0.1187676582662935,-0.11194140354778115,-0.22302050398824008,-0.40046353533156354,0.8095141709935455,-0.07602665431282947,0.5040168693831455,0.126822865635649
Temporal_Pole_Mid_R,-0.04758312429880549,-0.33222798257454,1.0,0.20599991075975913,0.06580255945801418,0.8438359840160458,0.1204486148800761,-0.37296439326599096,0.2399993747742279,0.3425211135924644,0.17936371889844616,0.06257313896376494,0.2346676513592815,0.05709078010060019,-0.11225067214244962,-0.2588559195787475,-0.14638189313554606,-0.10268603427218569,0.32576821851971866,0.20692595492997112,-0.03727786076184389,0.6298324437371982,-0.06402900788053177,0.6488057360647373,0.15702630123924624,-0.2925777719328773,0.03639022218283305,0.1485210731448911,-0.0016992561734514619,0.2913869362800285,0.42467711702262023,-0.1375475876121989,-0.012232638615054312,0.06404200295142097,0.17851519277812733
Thal_PuL_L,0.19028944080436136,-0.0338364230321187,0.20599991075975913,1.0,0.2791450739855501,0.28513014034718515,0.3819834705626526,0.13400803718560683,0.4214347088530641,0.28026477547425027,-0.037017414088938515,0.2069164366688986,0.3005213093476532,0.20426826881596208,0.27797209045612786,0.024487653785259616,0.15909544896740813,0.1807236473577471,0.07570537086660482,0.31402273727747654,0.0033617621562966908,0.21818184947945987,0.1887084323292205,0.23688205681140043,0.059947678251805164,0.11661909814374453,0.0245605131077621,0.27376613859501325,0.2550154102470066,0.2228915715978305,0.21787157680691618,0.20329603489389772,0.1721097238909624,0.13771805085461558,0.4289433180013234
Cerebellum_6_R,0.37145892371643846,0.14753585873653127,0.06580255945801418,0.2791450739855501,1.0,0.2506856211084942,0.4189339654876061,0.698842006534767,0.37104472968578056,0.4066463566704699,-0.13129677149002397,0.5214147159995928,0.2875989697577178,0.14470824615619562,0.3926301171351392,0.29317226827600584,0.7666785348641876,0.26559539620610845,0.09398099790841513,0.4342514501900749,-0.03976770499006707,0.1828078413154498,0.6968074167796806,0.03598271123299892,-0.013448330060201578,0.7195517030897973,0.10738069204750338,0.43086510232772307,0.8859230356201819,-0.19284722563864784,0.1535627032167361,0.381575216247885,0.4011552184430633,0.10623289316616977,0.3611653789141063
Temporal_Pole_Sup_R,-0.07833147560500874,-0.21626510071865504,0.8438359840160458,0.28513014034718515,0.2506856211084942,1.0,0.19674131332721467,-0.32915504820369246,0.3528794638638439,0.3485581884716909,-0.07595164766396491,0.195279845808815,0.22158710568018153,0.13003467151869483,0.045236535024375114,-0.18144079659689605,-0.062029063760449366,0.022079220835000607,0.2270891742156062,0.45946430254758314,-0.04369149808455223,0.6489229428317527,0.163881112460103,0.6617954054124113,0.17146805154341427,-0.24039769764154018,0.004674014521958139,0.21463121588116563,0.13296676014835213,0.1601606646349371,0.2825371114030491,0.014955962188530673,-0.046467388879107153,0.13297296287840227,0.33134036903926845
Frontal_Sup_2_R,0.1397506259654304,0.09430960181789055,0.1204486148800761,0.3819834705626526,0.4189339654876061,0.19674131332721467,1.0,0.3264181013007076,0.36351258490144517,0.42082479263220895,0.21928661561144386,0.38744356961306625,0.411444793637175,0.589569352203179,0.4231963294779843,0.1795417033008066,0.38985642132121734,0.31809346450345594,0.03305115204226149,0.6286746371645248,-0.05891323768557396,0.0790700793987895,0.3009644732528755,0.2230641732551532,0.19596608609650096,0.33150763330335586,0.2330434263908214,0.39580171479248444,0.34985725328246,-0.14928288031904632,0.3109632531371979,0.32639832522409956,0.3984180471716613,0.46763407923216127,0.4717646622792065
Cerebellum_Crus1_L,0.4124671958008783,0.24117518530487478,-0.37296439326599096,0.13400803718560683,0.698842006534767,-0.32915504820369246,0.3264181013007076,1.0,0.19527240732112405,0.07654190179709736,0.042532795668038276,0.32255504049659295,0.11601486357479475,0.14568236557853526,0.279139175922511,0.3083109698350025,0.8109009289111583,0.18632802373009696,-0.13410704530779075,0.05510939162610933,-0.12055878093768305,-0.24814013632263468,0.524083079704478,-0.31638034732908893,-0.07922276034566988,0.8670285286399307,0.06126192259663712,0.11793775170479674,0.725731095497668,-0.06566202634848431,0.0386145731623272,0.2833369193356959,0.27068370020747395,0.12375661599544609,0.13693701035545802
Hippocampus_L,0.3780676570166474,0.24168265792786997,0.2399993747742279,0.4214347088530641,0.37104472968578056,0.3528794638638439,0.36351258490144517,0.19527240732112405,1.0,0.6400891257350592,0.0996089812230382,0.5090132295742367,0.5129269766383292,0.27405440515234664,0.6477613330209425,0.46105123347480087,0.21444489329010172,0.5724421174620032,0.11675900734573474,0.4388310822416903,0.22739127204249435,0.2233518451896792,0.18483366748687582,0.319035943049076,0.21638109346208348,0.13033111286662963,0.19256966026678812,0.5120933695624651,0.16957133806508007,0.19014693059535193,0.4616194385279625,0.5596938162332833,0.3303525958726524,0.307262096975804,0.6842739596495381
Cerebellum_4_5_R,0.47033163114657756,-0.08409012328706113,0.3425211135924644,0.28026477547425027,0.4066463566704699,0.3485581884716909,0.42082479263220895,0.07654190179709736,0.6400891257350592,1.0,0.37550215644343105,0.3941758788595058,0.6775849622341145,0.06524354190538628,0.5789345625543368,0.48978905877309437,0.13417652460859192,0.3802935382092322,0.6114107513176121,0.29918076326798176,0.09278354022163898,0.40768753207145153,-0.07675494002667234,0.5646444130665562,-0.009064654514749462,0.2016753596882661,0.1391217094036636,0.7892888545610774,0.211977001580824,0.03673318946969801,0.6454929114286129,0.28906739134707204,0.7011527371181064,0.09780786180795929,0.5914274305656173
