,Cuneus_L,Cerebellum_Crus1_R,Frontal_Sup_2_R,Temporal_Pole_Mid_L,Cerebellum_9_R,Frontal_Mid_2_R,OFCpost_L,Cerebellum_3_L,SN_pc_R,ParaHippocampal_R,Temporal_Pole_Sup_R,Cerebellum_10_L,SupraMarginal_R,Thal_PuA_R,Lingual_L,Calcarine_R,Thal_VA_R,OFCmed_R,Raphe_D,Thal_VL_L,Cerebellum_3_R,Cerebellum_8_L,Temporal_Pole_Sup_L,Precuneus_R,Olfactory_L,Thal_MGN_R,Cingulate_Post_L,OFCant_L,Frontal_Inf_Oper_R,Angular_L,Temporal_Pole_Mid_R,SN_pr_R,SN_pr_L,Precentral_R,Thal_MGN_L,Cerebellum_Crus2_L,Angular_R,Caudate_R,ACC_sub_L,ParaHippocampal_L
Cuneus_L,1.0,0.45750268644418784,-0.4077877564787518,0.4392008318413772,0.49334061235724286,-0.5374300050594225,-0.22992513455165658,-0.015311735499811236,0.4111381120836229,-0.18456212888494186,0.2648071834791081,0.24200544479241815,0.6407840753723478,0.9038061366677057,0.7566553822727239,0.8229829397486549,-0.7976240452093822,-0.42669948994936646,-0.6695505370711076,-0.8098284185561718,0.0200734514492692,0.37891529467901486,0.6668225124831246,0.7881321632211796,0.1538636077102274,0.6220331478619368,-0.20190970205600894,-0.6379605902756535,-0.2889408241289086,0.9049592619286235,0.3339426626105795,0.24912482982497536,-0.006000179469479968,0.3755744765450683,0.6726705326860453,0.6072615336819254,0.8557792131546331,-0.0899764264498411,-0.29259778196458447,-0.30969466263472495
Cerebellum_Crus1_R,0.45750268644418784,1.0,-0.5492957129916509,0.8286077263365208,0.9368157714273673,-0.5600606486228078,-0.5073573074557091,0.04109065995314783,0.43239453264810435,-0.2249564343537844,0.6523798770845858,0.619930661902539,0.06008252876320345,0.5891167035643049,0.8461158621161289,0.7707697409831481,-0.6219223276766481,-0.6553537709312645,-0.7027870112261977,-0.636559709867054,0.2548499116640275,0.9241847759432502,0.6399547739102058,-0.08509559998122439,0.0707375426897345,0.8458147375863903,-0.0704091690615256,-0.703452291141533,0.09207998915753117,0.29812932363561656,0.8843353540677945,0.37276115521665043,-0.012133155548617174,-0.17672180355362546,0.5677609752952905,0.92859845434114,0.15129071528506266,-0.3593768319834357,-0.53821213724415,-0.6606414200188176
Frontal_Sup_2_R,-0.4077877564787518,-0.5492957129916509,1.0,-0.42744498528819874,-0.46297307778646685,0.7987625535069821,0.31700048229976924,0.21813665661045595,-0.26313269271104234,0.18571750894985284,-0.42210016424525504,-0.21224488110396222,-0.012231294291251209,-0.6085103276595643,-0.47975812364266585,-0.4672720046873776,0.5390668730789179,0.42272517513965824,0.6770957232470746,0.5674396305760101,0.20590570417607537,-0.407214127098482,-0.5415666078303452,-0.061442236361810565,-0.01810971732455518,-0.7232526588174266,0.2950326604859321,0.5512135721623089,0.32013098328927114,-0.4826105655405117,-0.5089137156455645,-0.23450655052834937,0.19547601177882284,0.32180017627039686,-0.3798811568641673,-0.5670844782164278,-0.3446470964624817,0.15018443799571635,0.2669264416622032,0.4243787487699255
Temporal_Pole_Mid_L,0.4392008318413772,0.8286077263365208,-0.42744498528819874,1.0,0.7911324831732514,-0.5148624470718011,-0.5100188617100415,0.02586614188250937,0.38049812554692986,-0.19296656804182002,0.5621082412243451,0.5471195825950331,0.09269991349138135,0.5477523960687565,0.800309491374509,0.6978074531348137,-0.5298297109496041,-0.5232427496040007,-0.6546561313636639,-0.5259870977156715,0.2796246703373568,0.803558953886751,0.6831615975948689,-0.03359211249501849,0.059184868117858024,0.7242188822500258,-0.047357416399352634,-0.6790456309318675,0.0881210187927199,0.3085367172969305,0.7896792210154252,0.35393175861578124,-0.02134076229401278,-0.19534952802747857,0.5352433743424966,0.8125308082641245,0.1511142587222169,-0.33266258627325085,-0.42729625715962083,-0.5850119731007685
Cerebellum_9_R,0.49334061235724286,0.9368157714273673,-0.46297307778646685,0.7911324831732514,1.0,-0.4628466525426424,-0.5146950519602089,0.19964198275612619,0.37729282502420997,-0.2284690726834956,0.5979953865341161,0.7305249623833968,0.08311066030045375,0.5718887505981951,0.8679253912259918,0.7940559765136166,-0.5952141999061005,-0.6585322718267741,-0.6519445649048266,-0.5860275378524682,0.3610557513690006,0.9603573901589323,0.657582689783395,-0.034176811977284303,0.08689257947086937,0.7933562377200577,0.07415214442462478,-0.6659088808483482,0.17657885924054614,0.3110079363861874,0.8552993402376867,0.3912093957518202,0.037850151917391044,-0.080830955620318,0.5686889516911583,0.9009508063925438,0.1389887062412473,-0.33287988433604987,-0.4695433801247609,-0.5917675041119174
Frontal_Mid_2_R,-0.5374300050594225,-0.5600606486228078,0.7987625535069821,-0.5148624470718011,-0.4628466525426424,1.0,0.2569088535721579,0.2558466278132492,-0.4227220867315139,0.2990938066023956,-0.3007779073067935,-0.1395609408598565,-0.09422954217710162,-0.7152453865884496,-0.540388313864421,-0.5380294092331617,0.6614976548593944,0.4278803379007368,0.6706522807131495,0.6318314949202662,0.19025806403342832,-0.4232361628693778,-0.5910951436431264,-0.21669821227281794,-0.17983705961186006,-0.7261705822711593,0.4202389902398403,0.6911595057775171,0.47832998247391495,-0.5825521789953657,-0.4669698792443239,-0.20168099697954495,0.11309143574742224,0.28922410335551985,-0.4416000006699179,-0.6515838850011939,-0.45931549801166305,0.2649782346468606,0.2551836418140243,0.44977606347647925
OFCpost_L,-0.22992513455165658,-0.5073573074557091,0.31700048229976924,-0.5100188617100415,-0.5146950519602089,0.2569088535721579,1.0,0.2628815436871341,-0.039754721344610985,0.5437850549043101,-0.12126544638913332,-0.39148312317729145,-0.09331327020843018,-0.36586685879798303,-0.4808846119398426,-0.378833166879045,0.45404995939858167,0.752003581800433,0.5401707108968662,0.4831770614385236,-0.02725704252166993,-0.4738736598268511,-0.20269225215025807,0.13809771353346767,0.4105886239458048,-0.3939069986455508,0.11258705272484719,0.6769339672996472,-0.11643626291783031,-0.19254015762926066,-0.46611882496779417,-0.23467747035497605,0.10960426410105413,-0.02511802535846439,-0.42039033483009786,-0.5110295513645351,-0.12083583873595816,0.3962866679514916,0.37021133100014286,0.7270522304354754
Cerebellum_3_L,-0.015311735499811236,0.04109065995314783,0.21813665661045595,0.02586614188250937,0.19964198275612619,0.2558466278132492,0.2628815436871341,1.0,-0.02588073129379506,0.3789247415701215,0.16183146638405144,0.4779107144657014,-0.18916647781486345,-0.16948322345860387,0.1476972015478207,0.07510442251497199,0.21741605002223555,0.2577222692388299,0.09165345313652842,0.23797114278182818,0.5534698156348519,0.2580944700030922,0.167231117441998,-0.042833443208797964,0.3024934108401898,0.0005797101943700444,0.5179951792890305,0.2795239726785262,0.2545690218425009,-0.15693831219561472,0.13950397432312167,0.2557194706080401,0.15517923582571916,-0.026149369199906028,-0.08755780767137439,0.0046498297668746205,-0.243347401652666,0.17587286145221412,0.14480398885158074,0.35173283917319514
SN_pc_R,0.4111381120836229,0.43239453264810435,-0.26313269271104234,0.38049812554692986,0.37729282502420997,-0.4227220867315139,-0.039754721344610985,-0.02588073129379506,1.0,-0.22626414700485495,0.19137378655032933,0.1099629694466006,0.28859044836083597,0.44537601376253205,0.4155220824709553,0.4052882804472877,-0.4526481773732758,-0.33191142523772826,-0.42383511269330965,-0.46264631222203106,0.010836352501009313,0.3600770266067416,0.23734884550585902,0.14516901188439935,0.5981435122185438,0.4049294811527466,-0.2589027537585629,-0.4632162145046647,-0.07402174581308085,0.2843260281978876,0.3419271145280885,0.43584849352493976,0.5649516254881102,0.10793741224978723,0.4362669299371259,0.4256432397603651,0.30538036553395853,-0.04401926860278692,-0.09304249972579627,-0.40166906137073166
ParaHippocampal_R,-0.18456212888494186,-0.2249564343537844,0.18571750894985284,-0.19296656804182002,-0.2284690726834956,0.2990938066023956,0.5437850549043101,0.3789247415701215,-0.22626414700485495,1.0,0.2285304390497224,-0.021250206830496117,-0.16606528758060476,-0.2850856318658908,-0.18396674226209073,-0.1525003450353672,0.4462138044072138,0.6789028547099514,0.3045500770943325,0.4134901985155118,0.35126084849433103,-0.20797736166420835,0.06791820612520726,0.06871522942989325,0.19048454392497718,-0.17264381618951088,0.2713775409274056,0.5718974888769531,0.010355507345093738,-0.12364390516794163,-0.13656926059761454,0.062366375767095084,0.059318591867126416,-0.15731441233502602,-0.332094815913151,-0.2801620419892713,-0.1703853164204045,0.33920778633838894,0.4001288096139508,0.6975952819790243
