,Thal_MDl_R,Occipital_Inf_L,Putamen_L,Vermis_4_5,Thal_PuI_L,ParaHippocampal_R,Pallidum_R,Caudate_R,Frontal_Inf_Orb_2_R,Cerebellum_7b_L,Cerebellum_3_R,Fusiform_R,Temporal_Inf_R,Temporal_Pole_Mid_L,Hippocampus_R,Rolandic_Oper_R,Olfactory_R,Vermis_6,Frontal_Sup_2_L,Thal_LGN_L,Calcarine_R,SupraMarginal_L,OFClat_R,Precuneus_R,Supp_Motor_Area_L,Thal_LP_L,Frontal_Sup_Medial_R,Cerebellum_6_R,Thal_IL_L,Thal_LP_R,ParaHippocampal_L,Amygdala_R,OFCpost_L,Cingulate_Post_L,OFCpost_R,OFCant_L,OFCant_R,Cerebellum_10_R,Frontal_Inf_Tri_R,Rectus_R,ACC_sup_L,Rolandic_Oper_L,Cerebellum_Crus2_R,Parietal_Sup_R,Frontal_Mid_2_L,OFClat_L,Vermis_3,Cerebellum_9_L,Pallidum_L,Cerebellum_7b_R
Thal_MDl_R,1.0,0.2658826866583576,0.0010118214545221595,0.19838369225588295,0.09374335158446045,0.023691027160397775,0.30953316864824093,0.2724220301077374,0.03186104980735666,-0.3110120470295305,-0.026104276385982613,0.13286605722123274,0.20270179137246414,-0.039777777606135316,0.020710115924132383,-0.07440971032260468,0.10679104901845188,0.13100912323726574,0.005880193767816767,0.25819777104960984,-0.06188945496638228,-0.2045987389775707,0.12080198344542209,0.05506096737564069,0.07500083549913263,0.1530604468631055,0.13904962482129352,0.15686420692805464,-0.3379001923124048,0.3921495324920436,0.13094223531108704,0.22530172788394212,0.2032868420380903,-0.07726969903620869,0.2206950329050288,0.031450336831584456,0.0747163133701069,0.15818170163223474,0.019941297580856727,0.204615496110886,-0.10727534423081755,0.040969039693260136,0.2239370528192127,-0.2989365356769822,-0.10944373271438046,0.06328792761763591,0.07141184199308113,0.22861238101767892,-0.48738432088660744,0.03196427163187094
Occipital_Inf_L,0.2658826866583576,1.0,0.005869595758011867,0.16911691222319758,-0.24495660419736406,-0.3194859162393521,-0.22243403008428766,-0.19489895260705828,-0.4053704821115744,-0.08661316081847034,-0.259479421074461,-0.07409393783199607,0.0034298482779488468,-0.0584113350126658,-0.29302005199358566,-0.09514214134336595,-0.21533707410447672,0.4947391639795405,-0.025614612328056202,0.08069558542872572,0.07331345489439578,0.1494806496152621,-0.06832881141906395,-0.1365499513187279,-0.06750487413808134,-0.07625327101049498,-0.05127399976033934,0.23265356698204173,-0.27504879202462335,0.04389596055707026,-0.06716960327607621,0.03412913366763434,0.03550121645993923,-0.18946489885050297,-0.12273049167919485,-0.20243574369867698,-0.1445378625563905,-0.5366897507866544,-0.3291706508090219,-0.08676024331999789,-0.048847486085359715,0.17810898940742897,0.4305889215570076,-0.29021433402411123,-0.22887175493055087,0.36092154000453347,-0.1309509920201218,0.07817347730071263,-0.2488324403539687,0.28189840655312604
Putamen_L,0.0010118214545221595,0.005869595758011867,1.0,0.6099735093401062,0.6100673027941556,0.6155595032436001,0.5256077143108702,0.6633760439132698,0.42376716676512616,0.141146034032155,0.6721693704041646,0.5484181570935641,0.19418266838590947,-0.01060012607680218,0.6665932720528617,0.7550039622711144,0.22598198011308498,0.20130731895287798,0.6093362028504226,0.47695901268713164,0.5305740843068881,0.358237447084207,0.2565851042178658,0.5973690413242375,0.6210651902125977,0.4846124495990282,0.7240125139705376,0.29323390895903617,0.5005738032534178,0.5172472276799116,0.6922246132552197,0.35199052816296084,0.30153008421042654,0.4850251048190463,0.3599768090415846,0.17671546433515073,0.30876652512560376,0.28600176670543764,0.63125900161022,0.2504999449235152,0.7296936278677798,0.7020643569782422,0.13776601548459988,0.031113766786973588,0.35703854813017855,0.13921511973244224,0.7739777855627898,0.5573650499446426,0.3913519561621431,-0.03133034530607935
Vermis_4_5,0.19838369225588295,0.16911691222319758,0.6099735093401062,1.0,0.3225158842554954,0.4650218501990477,0.3597935876904015,0.4509174558076903,0.11951016410675509,0.12423521717344814,0.5526067776021166,0.7695456932080398,0.5550533008412751,-0.1008718300142043,0.5108915019003359,0.590984705586682,-0.008743240941680136,0.31333271350796493,0.6015343104513714,0.36293295030158657,0.6817630918635653,0.3224884620096918,0.010360879175004318,0.6937452873742861,0.6356715127587742,0.31566502700406696,0.48230159643190335,0.599610890485377,0.34501726309487724,0.5922682152757394,0.5275425507903181,0.29574958091299935,0.1092024580195176,0.3397472007148611,0.21646284987745537,-0.11548302011501232,0.2599395223493935,0.05758627792213631,0.47676545737978515,0.14559973667949935,0.45627943020528905,0.6181146390668366,0.3516442462939985,-0.13792164743524388,0.25759003990310747,-0.10222786877904871,0.6758251842406945,0.7448342321891867,0.3872375429690927,0.2411206727137447
Thal_PuI_L,0.09374335158446045,-0.24495660419736406,0.6100673027941556,0.3225158842554954,1.0,0.5852144506874882,0.5827359752005867,0.7254467207630708,0.7223735501757798,-0.1657953143749367,0.5631352812757794,0.4103010612360823,0.07375709149086036,-0.03304759033556711,0.6495596724628773,0.5050269264394189,0.2712010407157891,-0.009142753559035563,0.4675787900736787,0.5396941380893776,0.22811160830383212,0.13175605158187675,0.28131608529514507,0.34210739768435977,0.5536000823094744,0.6798459305824898,0.640531614948999,0.08124750312739908,0.49701049322498553,0.5187435989779263,0.5567803764741255,0.26747320275388164,0.30578062530160666,0.4974248543430326,0.4823696854156945,0.2604774592932082,0.28554804844913784,0.5656525756771775,0.7219393669033181,0.5095635832767642,0.6385264959223417,0.45854794805273064,-0.18749667484990143,-0.07768132271966195,0.5489815274340105,0.12202493339383617,0.6905556524437955,0.28478570752705945,0.15605780074187256,-0.3269204019034937
ParaHippocampal_R,0.023691027160397775,-0.3194859162393521,0.6155595032436001,0.4650218501990477,0.5852144506874882,1.0,0.5779353424798862,0.7481040909603797,0.6627163881408485,-0.07898843451892813,0.678714684104516,0.5477890510767179,0.2575984874532032,-0.23111667787013157,0.8635352823604172,0.5885027126682513,0.5156862532167105,-0.19138052178781312,0.4819722877694329,0.3030723180087146,0.3552240661774314,-0.04149923472674361,0.5409955616633615,0.4966868025117547,0.4430580906198138,0.6370692285031124,0.6539928123167594,0.24051312854940834,0.526768334884922,0.5726268137968095,0.809320276982203,0.6380857442339739,0.48740446076382915,0.40857253996323845,0.6380700738553636,0.4070499825651923,0.5373553805445827,0.6563207199534155,0.7668253526373987,0.24511585969264008,0.5103266596496508,0.4438120056296952,-0.051978457622967315,-0.0791966605903498,0.3019214665580341,-0.22939415492696077,0.6994445166274342,0.46222220656257623,0.26809834607238353,-0.03431444257034179
Pallidum_R,0.30953316864824093,-0.22243403008428766,0.5256077143108702,0.3597935876904015,0.5827359752005867,0.5779353424798862,1.0,0.6584880608525703,0.5496337637629732,-0.05781726593066841,0.578582627669415,0.405550572239241,0.08747703242615132,0.024396077276837944,0.5492362496256421,0.42319277378192666,0.39687536207965574,-0.03823582980355439,0.3879167728141147,0.4441296909757329,0.17381926925991348,-0.017022590264586284,0.32393099604686115,0.48442775220044537,0.5042043510696409,0.5438243244971451,0.549213855324416,0.060422539741767395,0.522595397685542,0.4807602948314009,0.6030634537784934,0.2543374356153092,0.20350794545591303,0.505177743178776,0.30922845998339016,0.24328480654111395,0.12503122202253975,0.5249201687192838,0.5658866063978015,0.33186247578910283,0.3753015164653153,0.41917316536814997,-0.01944330156752335,0.012955810704687655,0.3927797039087713,0.1385668257482114,0.5987332392236033,0.3421416964436937,0.18556641543492056,-0.10754117450730066
Caudate_R,0.2724220301077374,-0.19489895260705828,0.6633760439132698,0.4509174558076903,0.7254467207630708,0.7481040909603797,0.6584880608525703,1.0,0.7508961869363108,-0.1097489810570436,0.5421713088727926,0.45163993810536057,0.20917090382699086,-0.14498016068908787,0.7626580143754377,0.5238199036681228,0.490395948103136,-0.13168016706652227,0.40095800005142435,0.3986876531541146,0.23174166778189595,-0.029034178552808557,0.4901834601380263,0.42671698656774865,0.41148711403934013,0.7484920517803791,0.8098944524408194,0.17007163148493343,0.32393566008548863,0.7436414170581922,0.7440233462488712,0.5905288880571385,0.5394002298293565,0.4629380847136406,0.7643622149703719,0.40315480316150876,0.5462189626734418,0.624067002002663,0.7941987280245596,0.3927904221602783,0.5288657373763779,0.38255446286053446,-0.12165482044317737,-0.14541492489216598,0.27557515794808674,0.06638656237946816,0.645751954338187,0.501407452591128,-0.008011437384113404,-0.25336930534385194
Frontal_Inf_Orb_2_R,0.03186104980735666,-0.4053704821115744,0.42376716676512616,0.11951016410675509,0.7223735501757798,0.6627163881408485,0.5496337637629732,0.7508961869363108,1.0,-0.1177371156321213,0.43453993236825283,0.2637125159402906,0.05067789684821725,-0.08159809419655904,0.7108558319891943,0.30023868252822994,0.47645953193531687,-0.328429549171154,0.14231988396138362,0.18525036461293742,0.018549716174233052,-0.18014540349970143,0.5052012522747729,0.24317551019153777,0.2694012175916287,0.6430839585858995,0.5587958568473561,-0.08089008095219151,0.43232731937665014,0.446715723877969,0.5446140271553443,0.3929235964566591,0.3950910436069476,0.5260869545923564,0.6869201985782911,0.497949686323888,0.45448665092157664,0.7835565902714873,0.7873440897054437,0.4948467406253903,0.381665269714389,0.05959448463938561,-0.41227837222229047,-0.07227738838320778,0.44146156130327174,0.03643865859138793,0.4438565391618916,0.19288121923712756,-0.011546168529859195,-0.5047029940523964
Cerebellum_7b_L,-0.3110120470295305,-0.08661316081847034,0.141146034032155,0.12423521717344814,-0.1657953143749367,-0.07898843451892813,-0.05781726593066841,-0.1097489810570436,-0.1177371156321213,1.0,0.13044461786543454,0.061007792607159925,0.028508388300937805,0.10334387141715817,-0.05534568480927153,0.24468856110628942,0.04927635595405466,-0.051784235580388735,0.06613373150700579,-0.16186091258273475,0.2739163191157516,0.25953556810722606,-0.13733025398778903,0.23784914443177682,0.10507052314973524,-0.22848585528990578,-0.09383440028424875,-0.04164976079048526,0.12874034750932747,-0.13937581301170668,-0.004768395718611698,-0.23258845820462934,-0.28434930266228026,0.12134192088426034,-0.2509393739254519,-0.11345725027888509,-0.18844781437384978,-0.12056041122774523,0.04024790047937018,-0.19914393727696256,0.0382276455501527,0.06898856505056072,0.09200046133721988,0.36499160238711803,0.04163002192808217,-0.1412348462630292,0.06562424987502011,0.11655201799837861,0.43083402375345853,0.09001009972722478
