,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8
SN_pr_L,1.0,0.21415415098567409,0.30928251197331696,-0.296215624419459,-0.058561710904100034,-0.10260914519612874,-0.20739901407318723,-0.43309733757026003,-0.34047666870795473,-0.22006502990934618
Thal_MDl_R,0.21415415098567409,1.0,0.21840444661723524,-0.4342619173794617,-0.10320951883452778,0.080085656406042,-0.5455427774221745,-0.4024273888989777,-0.44401366032707923,-0.37197292156547307
OFCpost_R,0.30928251197331696,0.21840444661723524,1.0,0.14795827032636596,0.008718027706898026,0.041462944580674455,-0.4013573322636121,-0.1583184202702968,-0.38431960425645506,-0.30716784020642535
Temporal_Sup_R,-0.296215624419459,-0.4342619173794617,0.14795827032636596,1.0,0.4854548440165722,0.5538746885648709,0.30481470270128197,0.7918421767752295,0.45815310358660927,0.627156057614659
OFClat_L,-0.058561710904100034,-0.10320951883452778,0.008718027706898026,0.4854548440165722,1.0,0.28437654445583255,0.002473993409633123,0.5286990885835936,0.10812917604808957,0.388927817485626
Heschl_R,-0.10260914519612874,0.080085656406042,0.041462944580674455,0.5538746885648709,0.28437654445583255,1.0,0.2636961809445726,0.4327205103132787,0.3669969527060119,0.37535642622406645
Cuneus_L,-0.20739901407318723,-0.5455427774221745,-0.4013573322636121,0.30481470270128197,0.002473993409633123,0.2636961809445726,1.0,0.3346981572630087,0.5990438101661181,0.3174998058862858
Occipital_Inf_R,-0.43309733757026003,-0.4024273888989777,-0.1583184202702968,0.7918421767752295,0.5286990885835936,0.4327205103132787,0.3346981572630087,1.0,0.46216265554313724,0.6138042418857588
Temporal_Inf_R,-0.34047666870795473,-0.44401366032707923,-0.38431960425645506,0.45815310358660927,0.10812917604808957,0.3669969527060119,0.5990438101661181,0.46216265554313724,1.0,0.43284131659617053
Vermis_8,-0.22006502990934618,-0.37197292156547307,-0.30716784020642535,0.627156057614659,0.388927817485626,0.37535642622406645,0.3174998058862858,0.6138042418857588,0.43284131659617053,1.0
