,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pr_L,Temporal_Mid_R,Frontal_Inf_Orb_2_L,Frontal_Sup_2_L,Thal_IL_L,Temporal_Inf_L,Vermis_1_2,Thal_VL_L,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VPL_L,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_R,Frontal_Sup_Medial_L,Raphe_M,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,Thal_MDm_L,Postcentral_R,Cerebellum_10_L,Lingual_L,Red_N_L,Thal_VA_L,LC_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,VTA_L,Olfactory_L,Thal_PuI_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuM_L,Temporal_Mid_L,Thal_VPL_R,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Cerebellum_Crus2_L,Thal_MGN_L,Hippocampus_L,Thal_PuL_R,Vermis_3,Cuneus_R,Thal_MDm_R,OFCmed_R,Thal_AV_R,Temporal_Pole_Sup_L,Thal_MGN_R,Calcarine_L,Occipital_Mid_L,Cerebellum_7b_R,ParaHippocampal_R,Thal_PuL_L,Supp_Motor_Area_R,Parietal_Sup_R,OFCant_R,Cerebellum_4_5_L,Vermis_10,Thal_PuM_R,Olfactory_R,Thal_VL_R,Putamen_R,Precuneus_R,Putamen_L,Cingulate_Mid_R,Temporal_Pole_Mid_L,SN_pc_L,Thal_LP_L,SN_pr_R,ACC_sup_L,Frontal_Mid_2_R,Cerebellum_3_L,Fusiform_R,Occipital_Mid_R,Cerebellum_8_R,Occipital_Inf_L,Cerebellum_Crus1_L,Parietal_Inf_L,Thal_PuI_R,Rolandic_Oper_L,ACC_pre_L,Amygdala_L,OFCant_L,OFClat_R,Thal_PuA_R,Frontal_Inf_Tri_L,ACC_sub_R,OFCpost_L,Frontal_Inf_Tri_R,Thal_PuA_L,VTA_R,Angular_R,Caudate_R,SupraMarginal_L,Cerebellum_7b_L,Cerebellum_8_L,Frontal_Inf_Oper_L,Insula_R,Cerebellum_3_R,ACC_sup_R,Cerebellum_4_5_R,Cerebellum_9_R,N_Acc_R,Cerebellum_Crus2_R
SN_pc_R,1.0,0.6282329364822776,0.669844734149642,0.5436723463789025,-0.025647467391008746,0.6227577208018014,0.3682555622088733,0.295009416672186,0.6372792545223497,0.6070935639528601,0.362908539878545,0.36864111566183205,0.21816608443876198,0.4518150657788219,0.3209879942353536,0.20298721616422508,0.47898016026495877,0.35642870887268424,-0.1396345437309379,0.7560112524848086,0.4555577599875969,0.6140850222793346,0.6227256565076668,0.6708079224815031,-0.18510860882899347,0.3461258513287198,0.5391629176741703,0.44381963592999635,0.6601687385760243,0.353380340092462,0.24193923104092013,0.2918793968841669,0.5149939101033891,0.37771318258533393,0.6419780640418993,0.4293927004239456,0.5694896644851544,0.4234371187244525,0.6915539351852239,0.27843594173731134,0.2439675569440121,0.51369090938432,0.6034904163632212,0.46642314098109716,0.5891245013673424,0.4451574509279814,0.5497760194566008,0.6426041627011245,0.4531867367709281,0.5709428627720242,0.3174981381439771,0.6431813493541326,0.28380095290498714,0.20558230849732306,0.6470594526527758,0.49752457650328624,0.43365862383246606,0.6214758364604207,0.23534610731226807,0.4695588269253125,0.44252309094031106,0.4415655404142583,0.15541968571622466,0.5259794798800396,0.3951723664352932,0.3158673669847853,0.40638932529744026,0.3840537776516836,0.47068835496127176,0.6538433776258556,0.5145238203369042,0.4980009818638016,0.5907874952757185,0.32095210889373754,0.5686627246653096,0.6646744146934458,0.5535147573846317,0.576824388738848,0.03647782565732144,0.5439215504659451,0.5514394936000728,0.2994158134524829,0.6093870994835979,0.3640676273410526,0.5094009795796763,0.05524046656629914,0.6103758434122079,0.3186029296504243,0.21476663273530192,0.5451009828337451,0.3798787441383705,0.4524457952893785,0.6195459444376039,0.3828921705578952,0.688861107447996,0.05123691269678749,0.24862496448055788,0.6868555981811292,0.16996767509348593,0.6323292738875462,0.4622594010750771,0.666718709209219,0.7011974021245658,0.6539258433055093,0.7018274387002482,0.5627025507093266,-0.011759604415844763,0.7484877641778768,0.35921961799927477,0.4483174458294012,0.6092953302958873,0.6196504669467829,0.6919794958239576,0.6593967742399202,0.3807473508447671,0.518099176695368,0.07793648735406622,0.06377175942441793,0.6911975442686513,0.4211472990549941,0.6382245837521547,0.4708980430668458,0.21793522145385885,0.5252867303079518,0.1464295570697574,0.44085014754589813,0.5793820995856054,0.24297812827963827,0.7236745060534863,0.6261188057113978,0.6668922701001501,0.31865090562518905,0.5326911986120274,0.6201718115056866,0.5831375769564511,-0.17200291934104742,0.11736063605821391,0.6788186245539466,0.6502530962128921,0.49121080923166766,0.6703235233407676,0.6682871960876536,0.44025719231149657,0.2709933494120188,0.5565031725124278
Thal_MDl_L,0.6282329364822776,1.0,0.5610963523518697,0.7349265485242624,0.08780060053642366,0.7396345457362983,0.32697701522844685,0.33987091313289175,0.5888756371858904,0.7118567006125224,0.37078072856616284,0.5967558620044378,0.3547824585521123,0.4286111975558724,0.42374190968356423,0.31376541972633093,0.6770677337417,0.24275486316897776,-0.0026439978256145875,0.7230224360645163,0.5801765496418173,0.5875927034582531,0.7544595064213084,0.530777776397359,-0.0944325578429239,0.2774485997452042,0.7252134659412265,0.28819626933760994,0.7183223852879218,0.4756019349345812,0.38129150318343197,0.24906032496749547,0.5101539903364903,0.44543409303368553,0.7162760318540728,0.4382455967668503,0.5686349616057905,0.5440196485665015,0.7215141704508031,0.36150891685859776,0.5372712055603543,0.697191818218186,0.7492844238510407,0.49332858949555175,0.7514789877724238,0.4154791585286649,0.6779816143688591,0.7868224741527058,0.5392473425333691,0.49468941931677324,0.5256538535814904,0.6827816704314494,0.29660496968223193,0.12151967692820781,0.6700245312369513,0.37517518876024064,0.5116318035168986,0.7332559025392115,0.29974976931732494,0.6218998139897618,0.5950315876928616,0.48085289943126214,0.0946718199869732,0.4167059255660869,0.20547216008004396,0.6332046207286699,0.64582988035304,0.17837000493931565,0.47882390819527837,0.7441873020366175,0.47185116312141195,0.5009799847607282,0.6445820676906125,0.555014974926951,0.682682194527469,0.7135358786530025,0.42212760226032486,0.5667144238031737,0.10423233390591992,0.6404026627895694,0.7368785703470505,0.43007921101379337,0.771632401812682,0.3299638963145418,0.6997985687275329,0.07765019862374019,0.6469135581171188,0.4804600224018949,0.2253666235115236,0.6375474780089678,0.43475699131487217,0.33322506003115865,0.6421780752333276,0.4715810985042004,0.7780503320981109,-0.03696758866734399,0.1668221583627618,0.797484073157906,0.09295820568956006,0.7347173170715122,0.3023582775725011,0.7197562727104234,0.7848140309129239,0.6297031876193543,0.6602981607753992,0.5531139379149145,0.2514071017434011,0.6947689039843021,0.5057214037962695,0.613078067325981,0.6583291546790899,0.7661409224195401,0.7099058364396356,0.7219563724397646,0.39788376642272566,0.5147238313065841,0.2663975660673937,0.3430573690156256,0.6271477044692344,0.5678087924553463,0.7328055388146602,0.5268415359462042,0.4509206018646327,0.5211100928491179,0.1750378376746869,0.6285352922880952,0.6714550617152392,0.16166695900516842,0.7766460823471618,0.7569291218573377,0.6227271247166161,0.05364230523074047,0.5264739837592164,0.7294120835578356,0.6509010772500439,-0.01684810163908695,0.3261308238015666,0.6586720911077849,0.8048601206779455,0.6284724303911539,0.7321155416475554,0.7901848557087499,0.5571227576005829,0.27415506573392395,0.44436530279705366
OFCpost_R,0.669844734149642,0.5610963523518697,1.0,0.579915437930474,-0.1931843336342301,0.6552899074702853,0.3568976784847918,0.3490550261860715,0.6988606222718807,0.4690816885164868,0.2931012511990642,0.15124829415381635,0.267174443711124,0.2906279707183999,0.29994824934582837,0.39123864826724397,0.36809193743763363,0.28803171939494016,-0.260999055622187,0.6401835330229156,0.2275065429922921,0.730091118363881,0.5648489207835325,0.622903832232261,-0.13609729373865587,0.12516846444848584,0.45684329909394,0.49121285751150107,0.6273847778770558,0.2894801150006103,0.29023194895641247,0.23659149804888727,0.5228362165875564,0.20552817296441092,0.49662043038426956,0.48759017837607427,0.627522671300689,0.3846981343950227,0.6350985109009506,0.12126537587551314,0.12457244861363417,0.2742473454747261,0.4863715698042611,0.42098011035615923,0.4165027702369675,0.4969070576257429,0.4328397398190183,0.4840691253381251,0.3095165120613267,0.6460576358561891,0.23199264389010932,0.6131103046206591,0.1868997856855584,0.2595739461384523,0.5240779039158467,0.4686303726761639,0.45179940239097505,0.5720621666888358,0.012483884715275307,0.31578723694220484,0.3909188760389767,0.23578374580304814,0.006752175226807057,0.5631107799012347,0.2607745486028693,0.1977999598025348,0.2685481484780202,0.08236488452240365,0.4124693009178788,0.5129004776134723,0.5917454434519445,0.5527730430831208,0.6544734367538816,0.21995567420902798,0.4044371924364919,0.49763960698879744,0.8143139341997244,0.4444584159646032,0.0834835791027153,0.38936638285733516,0.4760864550919237,0.21847998331421192,0.4594070324032582,0.39271564958644783,0.41027598888093214,0.0769700940060702,0.48568944101659295,0.32656840136607934,0.26546259661611704,0.4920822477625801,0.39133698746655754,0.5618356474728056,0.5029111916455845,0.44609979406182,0.5917346366816907,0.011628028705275077,0.25731974352571935,0.5725898920463784,0.04019782527658726,0.6000806055698367,0.550198336420626,0.4108334354943325,0.654119589714537,0.5396015358431053,0.5671992973663981,0.22563214413026425,0.008293073492546845,0.46798141708435786,0.40438666374827875,0.36746281901469097,0.43254940573968353,0.4307220685972853,0.5412774316096073,0.6338147407349618,0.4400609938525613,0.5990649095514415,0.0496964959740521,0.08495022377227893,0.6561050067418462,0.45554898698734153,0.5592468045788661,0.5009171785030985,0.33946092900530256,0.39125565746091207,0.2878747575520787,0.4753290657487844,0.45191434262952124,0.3053742369824723,0.7126723650481823,0.4785272706914196,0.6623844479378934,0.10026144266355215,0.529074193249706,0.53472111566665,0.4782546407441286,-0.3372412273915796,0.09344937258458999,0.5496668183493956,0.6349144504755946,0.45822292776282963,0.6558021667226703,0.5390225980177917,0.47604591107913236,0.41498168612333725,0.6972755376377109
Temporal_Sup_R,0.5436723463789025,0.7349265485242624,0.579915437930474,1.0,-0.27720589680453445,0.8043779213738083,0.48770413715720284,0.5910549185565122,0.7722508633423293,0.6555579980818774,0.5490092615845632,0.39387642291427666,0.3260655645508435,0.23674557667467358,0.6385203109863379,0.43014967757498185,0.5161094805119243,0.16599508969237992,-0.1531892378245761,0.6226806606497622,0.5905895074460173,0.5621803325710869,0.7474857889733734,0.3789166252030961,-0.25863748844894313,-0.009188164490632825,0.8311965690284941,0.16351631100123212,0.6423918484755797,0.6653948936880857,0.6564279069713846,0.0022994417555571873,0.6984416775712546,0.1795464228812249,0.6797764567578938,0.3072688711870325,0.8407795396503637,0.293237539634687,0.5547772638671464,0.18500850262858928,0.5931416862579334,0.7029671837014698,0.5306114256847837,0.3848828650867187,0.7501499777994747,0.5256648461040425,0.4608524847733727,0.5652570116995524,0.4456437423913652,0.648447124310785,0.533422467179,0.4861242553928663,0.46083332725038073,-0.10255571762672828,0.6368954670056997,0.22441858392944397,0.7621441628555706,0.5924656547748307,0.16872194543564606,0.6777885166081355,0.774660534226215,0.310618435668404,-0.11014066140767456,0.4344612855651775,0.089934830689405,0.7202894016666083,0.7035428270898431,0.2262821173493261,0.3207051023543935,0.6352499946344742,0.2722422060101208,0.43592529738294583,0.739113760029894,0.5934033612310394,0.630378804691564,0.6405295314936068,0.578527042088359,0.479100512619036,0.11213001354096519,0.5960257960818167,0.5680018378646303,0.193776562062116,0.709262383165677,0.49098247443351944,0.5336723686127918,-0.001984186727580594,0.619404990444407,0.3972111116393118,0.27999596382505915,0.7082259635254075,0.643117997891414,0.5690036831892583,0.47689466529206836,0.5117522673020282,0.7772736500259197,-0.266392483025998,-0.04413667601896977,0.7919072020934961,-0.22845434240721618,0.7679263176862954,0.21470577163726334,0.5196958031304519,0.6886423418376961,0.5055731118974663,0.49704063624717093,0.4581126485286447,-0.01834699894608151,0.5489153934551368,0.46974720894298017,0.4399278537887968,0.5253843270994362,0.8062779546493075,0.6168781836170333,0.8598135397376538,0.6659750140766036,0.7326315299468334,0.48336310474343025,0.4944824700984996,0.5555419364498195,0.7272220777739861,0.5737579481188438,0.20271487339605823,0.33674243623609984,0.32886916473396655,0.32143778155249175,0.6229746435274167,0.390413678609564,-0.06437665263769878,0.6419300522476649,0.7763623353759497,0.6342772700100788,0.09404605996261316,0.6578014778868837,0.7288785758501083,0.5692372002558852,0.04926170241275693,0.5329182652439802,0.5017649715647269,0.8522408416689687,0.8039681730753798,0.6963590830007828,0.8135334152518633,0.7640361772781034,0.23519028705801334,0.6003017241264904
OFClat_L,-0.025647467391008746,0.08780060053642366,-0.1931843336342301,-0.27720589680453445,1.0,-0.03995113813466419,-0.413893192321236,-0.5769131757982433,-0.4461148976537526,0.06644156776976169,-0.41165830636102874,0.4447754803130054,0.1094872426537717,0.3555696902049739,-0.45756823597347474,-0.5209917202454553,0.3308872182942525,0.14677311023898668,0.48174653862660466,0.1487546254579849,0.008006645256923694,0.07508339684402345,0.024501205582473387,0.16363175246635292,0.3323482321776107,0.6503887836334653,-0.013398123065241522,0.06476810729748582,0.042973501363750055,-0.12202516127158547,-0.5052584235349514,0.4507983798904437,-0.4756502107765064,0.6437372595825939,0.15994468711859952,0.15643443491249612,-0.5948794651411001,0.5376218928495033,0.2433604388119878,0.30208110043343295,-0.031749747415267475,0.13472988405245998,0.29567370120595765,0.18353915473559745,0.21965933893110276,-0.4108995807854253,0.341978253134471,0.30812685117912103,0.23699287270591418,-0.468779459945593,0.12119929456818002,0.252698379789075,-0.2866188067226604,0.466471317436493,0.015095215766521695,0.24579614138570305,-0.5308000807285362,0.053789976412841445,0.3813892826345593,-0.12940762827052382,-0.3967209628567693,0.2790499464922899,0.5853318780860407,-0.04445150004952541,0.25226409890790336,0.08037780982326576,-0.08855816660393227,-0.05086395366601154,0.37779117836792325,0.07767836288113072,0.20096960293969207,0.0848908483499923,-0.33214077434817846,-0.10459888950942187,0.1008115771557142,0.1592585012292237,-0.48801857616422634,0.21361063908930222,-0.17877774517254783,0.07089953869334405,0.3239201510592634,0.4430842637852726,0.03567235036475674,-0.4633311561149143,0.16474794562895229,0.40580990162246683,0.03486390928466563,0.06709787771356174,-0.21204680317154753,-0.36967726296124537,-0.4581034379536546,-0.6674696316760665,0.3176563425457362,-0.20061415215468248,0.043927316327592794,0.3294330775750152,0.6009332425724164,-0.10414246565529636,0.6541092629898428,-0.30473154383376405,0.2805649997361655,0.34884272032607916,0.14671310427329753,0.072674185676872,0.17559014761675873,0.19684740535293893,0.4316345084382912,0.1914693182619212,-0.036674001897133955,0.39624377378919307,0.18436258807273098,0.03195396922792022,0.18529145755952678,-0.3412419443561124,-0.6315410482999874,-0.4715555158333186,-0.3611492218327092,-0.19624295419858304,-0.018810168639238574,-0.3589695986536183,0.23696952449048797,0.4544687398948164,0.018779599263536617,0.47735587460969436,-0.15096652079564907,-0.18517101033583172,0.4737092720783301,0.5154604792711215,0.16454175955859854,0.11547142828123802,-0.12635182206837092,-0.018649392519282562,-0.27039782201355334,0.08463820271615081,0.06084531843975751,0.07605433991645982,-0.30999114988575494,0.21357847492400364,-0.10266313688768787,-0.21641289486670412,-0.019526162949692064,-0.08104407206284685,-0.39347725095090696,0.04519573670919138,-0.49160523627718283
Heschl_R,0.6227577208018014,0.7396345457362983,0.6552899074702853,0.8043779213738083,-0.03995113813466419,1.0,0.5240375887582647,0.4451952868061524,0.6155396301310843,0.6505335047307966,0.5023137794935576,0.360093755326501,0.3359950565110201,0.4589494548319166,0.5444801854031565,0.39081204489972665,0.7240011566953541,0.40902734515200423,-0.2096334817114551,0.8072379380511998,0.5631040280448979,0.568027649704407,0.8258415049903904,0.5918897608315199,-0.21182876775106285,0.13312307366810777,0.75933661930275,0.34121264107734567,0.7274143916627936,0.6185001245104654,0.5344015459014507,0.07302285845197777,0.6808351428452792,0.36906182537106713,0.8087385387801846,0.3589576397859482,0.6679256906464336,0.47056193425955944,0.7437864778625296,0.38009074330720555,0.5575168390996814,0.6504839556784286,0.568917300426246,0.2893328372092369,0.7652740900727331,0.5926396451179102,0.5649922071070455,0.7347541513011897,0.6295481374040347,0.6042283683535477,0.46322073510426787,0.7088137416448211,0.31207762603301886,0.04866508307414907,0.6260224071066711,0.3033958748708198,0.6204011468893599,0.6105252436262583,0.32607155713557384,0.6306950996329204,0.668144205247232,0.4340250336641945,-0.08310608007528031,0.42703766628068046,0.21817700401928308,0.6289656311901944,0.6656784845030647,0.2793420485873493,0.4061543868568637,0.6766434013613876,0.4900199363479415,0.344111578529179,0.7351104071773708,0.6435482789874908,0.6064529843463882,0.6913965552975629,0.4775857328387736,0.6137177780671698,0.17711173361624868,0.5563067620722284,0.6942524694908332,0.27871701544450184,0.6674252060743803,0.5328658005624275,0.5294632316629102,0.07239366450269527,0.6613519502744967,0.5308336177064755,0.21480639768062676,0.6503658211539682,0.6133958541160102,0.45254009771852144,0.557157262108416,0.647221779933495,0.8569594419841737,-0.01928047361500268,0.09176134454162435,0.8079241451178647,-0.052079971935405464,0.7898711002155637,0.31773880629143,0.6054538761564826,0.7654827490139375,0.654458793255572,0.6065059937516944,0.6200865644100565,0.1390860567870914,0.5920003850863371,0.5397316113370104,0.49239799457993993,0.6603767536136235,0.79150629048733,0.673361877063201,0.7700760675857291,0.5643572164947015,0.6485867098763902,0.40592783804059396,0.42383852600389316,0.682220976772483,0.6897245007137088,0.7653975316477363,0.30239884477737333,0.3838376069240199,0.41785157534035905,0.12624103165239817,0.6063927080247807,0.6549690030066191,0.06065522597504577,0.6962100863000245,0.6951847313335152,0.6796353447094765,0.13443473068638465,0.6719637405429102,0.6679836719980671,0.7796152446066117,0.06359479710300593,0.4551983771683134,0.7165464500753085,0.8923142114608448,0.6808273321321275,0.7738578097468948,0.8103210791633481,0.6553607207915222,0.303834050544079,0.5456028039256338
Cuneus_L,0.3682555622088733,0.32697701522844685,0.3568976784847918,0.48770413715720284,-0.413893192321236,0.5240375887582647,1.0,0.53152603180965,0.4252331327139496,0.30076326465168773,0.6086277360868576,-0.11855054021160197,0.043191706140397204,0.18632441816034892,0.6053257632938891,0.5098670894131525,0.30723198045165484,0.3482997921226256,-0.5407585110742998,0.3952782959340599,0.3615741873159203,-0.007369909989250492,0.4644375749207384,0.23670517005015113,-0.40330057784240714,-0.2785750818454303,0.4056914945691368,0.2411328675313992,0.43295062236628845,0.4191979429118021,0.5721887352396521,-0.3051394638939993,0.7910389123233181,-0.10113033835902646,0.5168779776496922,-0.0975559747651375,0.5925476844280171,-0.17882595929933703,0.38638869647764473,0.11902125316062762,0.4998002536308682,0.37055909295142164,-0.013056404571203344,-0.2504243100585557,0.29288453743871823,0.7821121502565389,0.0896065495580443,0.24392867898042542,0.43147461110241225,0.5830894311252294,0.09659286525834622,0.3637307809243563,0.2755606135828136,-0.2110161906922033,0.21283816566803,-0.024031856005539032,0.6046674153418525,0.31243215816049735,0.20639984542374976,0.42746521442456586,0.5718517172774683,-0.08876870846549359,-0.4554446612878945,0.07245413654397814,-0.003855281867999275,0.310165332931412,0.48435727708680454,0.4551693406346183,0.008354526889986927,0.36107748483244634,0.2573588780235347,-0.0333964864660324,0.6225130418977295,0.5521048029024302,0.03864814811128205,0.3233688984211935,0.35974030374383825,0.4645342744789162,0.30353342714840587,0.1178855581636693,0.1730453045502844,-0.2623841286354048,0.2571583674748512,0.7985064626302542,0.10411087968983793,-0.16830487208705638,0.25254685210119804,0.482411773378797,-0.08691584298148095,0.5678442630414594,0.7836828188810157,0.527302159272238,0.08719954437684825,0.6429883103573231,0.5310064982813723,0.05200458087502905,-0.37398986815973045,0.5564567859943971,-0.41740374906111627,0.5969896455425932,-0.05261959367217815,0.0964831605559239,0.21277669224185988,0.4930792599682381,0.07286956139241865,0.3124882502753328,0.04908075760863201,0.24590124154036827,0.45357586144517587,0.027950715972603016,0.2900494317264951,0.4652322702346401,0.19364011947021573,0.58463631287593,0.7236537893297219,0.5617009584423306,0.5516261512946048,0.4076019600680142,0.4363563275763469,0.6371939580941625,0.3187021940912756,-0.22118324729830693,0.35754251255712316,-0.0393981492611785,-0.22676099281235193,0.39391688973525185,0.16576797397504975,-0.30690409430342175,0.2674054704938235,0.2252366107265537,0.498702820207351,0.34640690331244844,0.6078567120310508,0.1713591197263162,0.45102279200057127,0.19465018477786897,0.554094329692175,0.2917162447893496,0.49390703353149873,0.3898681648800648,0.43402501263147425,0.5338310394169804,0.538500567812603,0.07041288402518373,0.517794066431945
Occipital_Inf_R,0.295009416672186,0.33987091313289175,0.3490550261860715,0.5910549185565122,-0.5769131757982433,0.4451952868061524,0.53152603180965,1.0,0.560366955435487,0.17742136885535104,0.8690071325060066,-0.16707964587196747,0.3417044564948084,-0.21163218920483443,0.9190343625815316,0.6611689227784662,0.22113535313860735,0.09103676989525782,-0.44721381622010575,0.24819116229331592,0.2674587153675627,0.23331708353055527,0.3855683360879992,-0.056986311076304995,-0.6775839187295,-0.578342959979752,0.5236811652414127,-0.2683217329539292,0.2638902479499838,0.2107316855444337,0.9009221613244232,-0.497720151090956,0.6273549996632466,-0.3233165189254305,0.24087912059397643,0.09638767667997665,0.7837220755960079,-0.04054066572427463,0.02227972264483821,-0.02426861338993406,0.5363751174936772,0.2366339230050444,0.14910339126628538,0.08583830814954072,0.21588856210499185,0.5815964347424976,0.16874038548194187,0.2137710198067133,-0.010283141200369404,0.8049097851735517,0.09413734922140098,-0.003459707041563786,0.37771554377119915,-0.5054962591318373,0.1767122915276373,-0.04185426117746885,0.9354195426866135,0.300635570240916,-0.2753101674438416,0.5838809642930953,0.8590202454620263,-0.0648574487322678,-0.4429095434764874,0.10127536529232432,-0.09252975699682324,0.22829832192931443,0.6204721841424827,0.09278969850251817,0.04856534540262969,0.25344132551483417,-0.24706656895409707,0.22895339966111716,0.7345212889370263,0.6352730545613856,0.22401893552479887,0.27705932124144805,0.5146866487596449,0.0646963428526895,0.47609233547361873,0.3471246219563214,0.3101621979361802,-0.1099114004208291,0.38088143785232126,0.5721882398362642,0.20411104710611638,-0.05999557168723448,0.26823705466755354,0.44525023345519266,0.3820371520446582,0.7145941182214011,0.7288315510337585,0.7499431239017721,-0.03705014930058518,0.5280990712784154,0.42041611703357895,-0.5484437680932611,-0.34469076474698507,0.5883486179740474,-0.7126383866510788,0.6811439409297485,-0.006000404584539738,0.0709551802953577,0.2512938902484809,0.07535445358189591,0.11014739476401184,0.1838480673875145,-0.014613350820565382,0.12707195411154898,0.47690253257922394,-0.07734932534950348,0.3209558806826386,0.38730367461283266,0.22384604191364263,0.735741534181896,0.6757228508111388,0.8024828339690737,0.8063825388740735,0.7599439074796641,0.11178754130366617,0.8087228091737977,0.1990098833471081,-0.17836011852983133,0.408721653232209,-0.08046365355850132,0.2883264074069156,0.4677581583183389,-0.03764422909592051,-0.5436838807595185,0.31105083371892656,0.3272226820201748,0.5417457904877746,-0.05092989152091907,0.32386957651265597,0.26850248833350643,0.3032754601779685,0.22725944090478478,0.7791429756775262,0.15600939423674093,0.5484187771542595,0.5819509403764342,0.35365359416843445,0.5485569562587015,0.8327569026221219,0.2628227894353129,0.7730177798721388
Temporal_Inf_R,0.6372792545223497,0.5888756371858904,0.6988606222718807,0.7722508633423293,-0.4461148976537526,0.6155396301310843,0.4252331327139496,0.560366955435487,1.0,0.6501727804777274,0.46209916026188325,0.2701140280201465,0.19450428510158915,0.05708964242384683,0.5288528610554656,0.33501509327208967,0.20658308931066613,0.017558897279099313,-0.1633366948937901,0.6110339167861524,0.47116186759367884,0.6258941701637856,0.5146303259134307,0.4612641654159849,-0.3266160531313005,0.07063931992511152,0.6465659751666799,0.21518190903265608,0.5176053467981442,0.42357587704797206,0.5166917978807606,0.15362896931110695,0.5826627441488689,0.0665522408674094,0.49862989321886886,0.2972771105242558,0.8559755045615058,0.09171702635263415,0.42386248793098175,-0.04812322623742276,0.29771792865546576,0.46354002033060177,0.5305985730376392,0.49319061040389384,0.4826942933480125,0.41850176733221645,0.45584870449396303,0.41172583538335783,0.16398628184242395,0.7498888634590337,0.42544388696957386,0.34847464906579734,0.5355018385322352,-0.08765402228351718,0.5807179658707161,0.43989061180135025,0.72157499924227,0.5506725689922325,-0.13273331655869522,0.5774652653989907,0.6255738939486459,0.20119355084002108,0.058561070691985136,0.5867106709173081,0.30305761931947695,0.33033025788335013,0.4529699749753175,0.18475950611924433,0.2914210389658435,0.5726144803294546,0.20768084131830453,0.5614809051954073,0.7041783390140579,0.24646266255806973,0.5522581362490623,0.5276339470305461,0.8480279590610347,0.38858632658300346,-0.05422919207803784,0.4631258148049836,0.37950467165266877,0.23255330982319963,0.6018663086655434,0.37289586930629154,0.4542050139831336,0.10982306329187119,0.6265305275604118,0.11665814246011885,0.18057343912552104,0.618942557531161,0.45868316453810537,0.7401381943557303,0.5063623408416209,0.3045297799695263,0.6513558836122446,-0.3863689159896661,0.12535164909349758,0.6821916511547371,-0.12305552260651503,0.7112278062569917,0.35254995482639867,0.44972078779363195,0.6178676783154451,0.41563079064895747,0.5898892083960938,0.3436491209500855,-0.31271693363795244,0.46576720012736517,0.44900559041438276,0.3571780910095511,0.5052156116829468,0.6142462558899071,0.625030406495673,0.8595498142441966,0.5727357906038796,0.8261619967879085,0.20239890566792865,0.16914664317318717,0.5856154390107794,0.5476455482403615,0.38107698954907104,0.2796690908892101,0.1978622718611221,0.3698478889715445,0.2963948031423003,0.47704903352673833,0.2359734856066824,0.11491315843631277,0.6382488114681024,0.6607924281967784,0.7007898754238501,0.20746402598819869,0.4978170349761668,0.6679329588885237,0.44025266679965896,-0.26013599469102605,0.2751557610658093,0.4893277484443949,0.6256769555192965,0.7452997788824322,0.6550539426998812,0.7098100194226145,0.7254390551951613,0.17878162408861367,0.769235441948841
