,Amygdala_R,Temporal_Sup_R,Thal_PuI_L,Supp_Motor_Area_R,Frontal_Sup_2_R,Cerebellum_9_R,Thal_IL_R,Occipital_Inf_R,OFCpost_L,Parietal_Sup_L,Vermis_7,Parietal_Inf_L,ACC_sub_R,Frontal_Sup_2_L,Cerebellum_4_5_R
Amygdala_R,1.0,0.43014967757498185,0.09853745757448837,0.33223953885961005,0.23731756592629774,0.540804723740966,0.16982423567341512,0.6611689227784662,0.2002396030194822,-0.02444885031961458,-0.3704632309466336,0.1737375739226621,-0.44577248454244434,0.17498869106947104,0.3733930890372596
Temporal_Sup_R,0.43014967757498185,1.0,0.6352499946344742,0.7772736500259197,0.5667798610911255,0.7640361772781034,0.38270864859796255,0.5910549185565122,0.6419300522476649,0.16351631100123212,-0.25863748844894313,0.5555419364498195,-0.06437665263769878,0.5547772638671464,0.8135334152518633
Thal_PuI_L,0.09853745757448837,0.6352499946344742,1.0,0.7590305675254925,0.6727333185715154,0.5031994499006948,0.4380185675897284,0.25344132551483417,0.6955619045330903,0.33368550627151145,-0.16194228913474742,0.6549984532223223,0.18428415746394855,0.6788233935467074,0.7449133998186785
Supp_Motor_Area_R,0.33223953885961005,0.7772736500259197,0.7590305675254925,1.0,0.7943130836926587,0.6413335773650064,0.431098801867901,0.42041611703357895,0.7870437192654649,0.30644193342214127,-0.2644884879726959,0.7318687423111382,0.10453843291180534,0.8104091798745433,0.8511850591290137
Frontal_Sup_2_R,0.23731756592629774,0.5667798610911255,0.6727333185715154,0.7943130836926587,1.0,0.29785379136787293,0.3852322371642559,0.10196366532953828,0.7492109509206776,0.7396246468430263,0.034798841286694915,0.8887954826787469,0.35201017279855873,0.9447330007028477,0.6820356629189044
Cerebellum_9_R,0.540804723740966,0.7640361772781034,0.5031994499006948,0.6413335773650064,0.29785379136787293,1.0,0.1795223753063783,0.8327569026221219,0.49245593945245525,-0.21502788534414582,-0.5241351840422394,0.24460534188145122,-0.24663961702129156,0.2254612358709761,0.7766718196589261
Thal_IL_R,0.16982423567341512,0.38270864859796255,0.4380185675897284,0.431098801867901,0.3852322371642559,0.1795223753063783,1.0,0.049596681000206956,0.4211115734197504,0.23502991235814602,0.13511681778638274,0.4086570041871708,0.12948708522513327,0.43767573639874874,0.4029539941377418
Occipital_Inf_R,0.6611689227784662,0.5910549185565122,0.25344132551483417,0.42041611703357895,0.10196366532953828,0.8327569026221219,0.049596681000206956,1.0,0.31105083371892656,-0.2683217329539292,-0.6775839187295,0.11178754130366617,-0.5436838807595185,0.02227972264483821,0.5485569562587015
OFCpost_L,0.2002396030194822,0.6419300522476649,0.6955619045330903,0.7870437192654649,0.7492109509206776,0.49245593945245525,0.4211115734197504,0.31105083371892656,1.0,0.366916735178385,-0.17477502311579118,0.6760850762217535,0.37518079602350546,0.7598594933955598,0.7334863988263373
Parietal_Sup_L,-0.02444885031961458,0.16351631100123212,0.33368550627151145,0.30644193342214127,0.7396246468430263,-0.21502788534414582,0.23502991235814602,-0.2683217329539292,0.366916735178385,1.0,0.3205641182212491,0.8184441156882214,0.36587136860612623,0.6949311312262983,0.21127840304609302
Vermis_7,-0.3704632309466336,-0.25863748844894313,-0.16194228913474742,-0.2644884879726959,0.034798841286694915,-0.5241351840422394,0.13511681778638274,-0.6775839187295,-0.17477502311579118,0.3205641182212491,1.0,0.01929277948303862,0.3904193600120416,0.09480227911945278,-0.29591304808660235
Parietal_Inf_L,0.1737375739226621,0.5555419364498195,0.6549984532223223,0.7318687423111382,0.8887954826787469,0.24460534188145122,0.4086570041871708,0.11178754130366617,0.6760850762217535,0.8184441156882214,0.01929277948303862,1.0,0.2640011456518775,0.8576635902873526,0.5985388103375489
ACC_sub_R,-0.44577248454244434,-0.06437665263769878,0.18428415746394855,0.10453843291180534,0.35201017279855873,-0.24663961702129156,0.12948708522513327,-0.5436838807595185,0.37518079602350546,0.36587136860612623,0.3904193600120416,0.2640011456518775,1.0,0.33638347888604514,0.007291184270401751
Frontal_Sup_2_L,0.17498869106947104,0.5547772638671464,0.6788233935467074,0.8104091798745433,0.9447330007028477,0.2254612358709761,0.43767573639874874,0.02227972264483821,0.7598594933955598,0.6949311312262983,0.09480227911945278,0.8576635902873526,0.33638347888604514,1.0,0.643032000805366
Cerebellum_4_5_R,0.3733930890372596,0.8135334152518633,0.7449133998186785,0.8511850591290137,0.6820356629189044,0.7766718196589261,0.4029539941377418,0.5485569562587015,0.7334863988263373,0.21127840304609302,-0.29591304808660235,0.5985388103375489,0.007291184270401751,0.643032000805366,1.0
