,Rolandic_Oper_L,ParaHippocampal_L,Angular_R,Cingulate_Mid_R,Pallidum_R,Vermis_1_2,Vermis_8,Thal_MDl_R,Hippocampus_R,Thal_PuM_L,Cerebellum_Crus2_R,Frontal_Inf_Oper_R,ACC_sub_R,OFClat_L,Cerebellum_Crus2_L,OFClat_R,SN_pc_R,Rectus_R,Cerebellum_9_R,Frontal_Inf_Oper_L,N_Acc_L,Precuneus_R,ParaHippocampal_R,Thal_PuA_R,Frontal_Med_Orb_R,Occipital_Mid_L,Amygdala_L,Thal_PuM_R,Thal_IL_R,Temporal_Pole_Mid_R,Cerebellum_10_L,Thal_PuL_R,LC_R,Olfactory_L,Frontal_Sup_Medial_L
Rolandic_Oper_L,1.0,0.48258149975243997,0.5512043522931368,0.6734566137546738,0.7186514366115132,0.5612207281106221,0.30312376802591356,0.35039171184451173,0.2964377137082758,0.5428804944360677,0.30039549028186113,0.592970504902559,0.20892932505374592,0.23696952449048797,0.24864389307225493,0.1472354476995561,0.6382245837521547,0.29892151502756664,0.3981929314396534,0.8076582499031328,0.44549507779690695,0.6610777735881094,0.5603031661778691,0.5023168486074703,0.2892013849310483,0.4256105018869086,0.49315234278110937,0.6335653720766342,0.43508737850278867,0.06755943058858536,0.47573638086706926,0.33975157353866,0.4086360540076126,0.47703630952885134,0.8173923381644843
ParaHippocampal_L,0.48258149975243997,1.0,0.06326347533422616,0.5659006517877574,0.45382523839239197,0.47344223094857874,-0.15951440660380908,0.5902778768140043,0.774197130502166,0.11125240198954771,-0.1340095685733823,0.4706785770028474,0.5122387619523019,0.6437372595825939,-0.24851305680693825,-0.14389609744692447,0.37771318258533393,0.4552696861231408,-0.00701525579392931,0.6142451420425799,0.36416363594654544,0.5114099955133486,0.8081810959956058,0.2989829821251822,0.3490699452353196,-0.1301730011179444,0.14902813789539152,0.2033305464778067,0.3326484511733084,-0.15845690959733316,0.36990694579666555,0.7296547773361435,0.321686775112194,0.6821215731533682,0.5383564600810863
Angular_R,0.5512043522931368,0.06326347533422616,1.0,0.45243882732607,0.5859662976135284,0.4556885607764807,0.3788431859100647,0.13577185663357413,0.025235142863650632,0.5716608918355196,0.46996373922325546,0.4445818726766649,-0.07690818197378631,-0.27039782201355334,0.12762299981834233,0.09046102772290732,0.5326911986120274,0.03436342550557065,0.34052395422232,0.46752895952715595,0.3232940815437739,0.7165302327000588,0.2687881829804584,0.435328119379611,-0.011837434924310754,0.6984051335088235,0.15451107244262235,0.6037626579476444,0.36248218702766055,0.14376339666122578,0.29316941879126207,-0.16210221418210372,0.2619029831267003,0.1184880234412542,0.7031329927145054
Cingulate_Mid_R,0.6734566137546738,0.5659006517877574,0.45243882732607,1.0,0.6623494960852069,0.5554209089355089,0.3711882058938987,0.4568864359909659,0.4204957396006805,0.4508747754132093,0.2648148390429728,0.6212985770023073,-0.005166395972700313,0.19684740535293893,0.07587347081105184,-0.005607577902112769,0.5627025507093266,0.3585443997374959,0.34415468467567784,0.814165000518974,0.4222887586133348,0.6306213860794537,0.6205754445150146,0.4651473250378425,-0.06399347960628658,0.3684357505779885,0.13002371852508035,0.5939840285459212,0.5440343440321741,0.22898935515748192,0.5971336564052607,0.4295516884251531,0.3710791020370228,0.40504961521088945,0.6102398405640815
Pallidum_R,0.7186514366115132,0.45382523839239197,0.5859662976135284,0.6623494960852069,1.0,0.6865121082174351,0.3421767326601722,0.43565531132134144,0.3911878929825937,0.6209038369702347,0.39447807987397665,0.6106277747913916,0.12663582960045497,0.15448277563270227,0.08519240178529146,0.15864575605617517,0.6748504489758911,0.20311648646167282,0.4947256294287395,0.720433293564002,0.24616003572508696,0.6701554696189865,0.6389362241390623,0.5173069792279776,0.14243795222802394,0.4634688387921839,0.23946182078390385,0.6740679479276515,0.3029856256028748,0.11234419598603806,0.6111642650044542,0.3445000695077242,0.3883364826103614,0.3835371615919695,0.7019145324611236
Vermis_1_2,0.5612207281106221,0.47344223094857874,0.4556885607764807,0.5554209089355089,0.6865121082174351,1.0,0.3387387517370806,0.45832940882539247,0.3024487203336467,0.45997392988792263,0.2009684991784874,0.6867407675236686,0.13180777955811973,0.13472988405245998,-0.0711786533450038,0.020433249513975772,0.51369090938432,0.25686673797414916,0.5077562719278854,0.4698380300288507,0.16720128165251302,0.5465760386515305,0.586670171788313,0.4644346505176237,0.0698921790584812,0.41859253733723134,0.37779686394214795,0.5760970780315566,0.40951135580106107,0.2174605589161841,0.6292363234660412,0.27049795565162427,0.3140852838670264,0.42785105713303573,0.500066484930596
Vermis_8,0.30312376802591356,-0.15951440660380908,0.3788431859100647,0.3711882058938987,0.3421767326601722,0.3387387517370806,1.0,-0.27016416268665316,-0.47262827764425713,0.719987322121003,0.6580144616522079,0.3275989422785468,-0.4812652979463614,-0.41165830636102874,0.48274499073537536,0.09502399287812034,0.362908539878545,0.07806190316340096,0.7389754999949746,0.30145511479914955,0.28196913352910463,0.21747994963237668,-0.010591130769157154,0.4608599953811735,-0.3908254660319989,0.7986141711740906,0.344460514097264,0.6679427769463984,0.19211318802199925,0.6561618367724137,0.6224196321101254,-0.07084070725318274,0.05684721141358996,0.1743652849379047,0.11249755763536592
Thal_MDl_R,0.35039171184451173,0.5902778768140043,0.13577185663357413,0.4568864359909659,0.43565531132134144,0.45832940882539247,-0.27016416268665316,1.0,0.7575935455941526,-0.06430578624343686,-0.0768217199979504,0.2679527952010473,0.581166666320761,0.37445284001917556,-0.47984680395860874,0.06847238481798064,0.4186590530865704,0.569330952606129,-0.043411447487314125,0.4529103854520444,-0.04804533137850475,0.3567068054918152,0.658343956443153,0.03631395834570334,0.3383768501683049,-0.23444049920981896,-0.07434598014184962,0.15687758463591606,0.5185454405735667,-0.33905934061356124,0.18819585636132002,0.4937167951287092,0.4493151198369992,0.39655710093835717,0.4231051314237684
Hippocampus_R,0.2964377137082758,0.774197130502166,0.025235142863650632,0.4204957396006805,0.3911878929825937,0.3024487203336467,-0.47262827764425713,0.7575935455941526,1.0,-0.13861066539793765,-0.22631195790532754,0.17926442064717463,0.7104448647644778,0.6503887836334653,-0.5114805274405657,-0.11470208484089046,0.3461258513287198,0.45986627581956263,-0.2801559304627997,0.4826568053600288,0.08165625493209755,0.435222716830277,0.7484769773467119,-0.047240745488579164,0.48283109109492356,-0.419740699292118,-0.19813924924054088,-0.05558660287842401,0.23332920849055577,-0.5085751578140603,0.08136242507935755,0.5735352533991798,0.36250963401289,0.45829256628970105,0.468516269341523
Thal_PuM_L,0.5428804944360677,0.11125240198954771,0.5716608918355196,0.4508747754132093,0.6209038369702347,0.45997392988792263,0.719987322121003,-0.06430578624343686,-0.13861066539793765,1.0,0.7571533375377026,0.4692029277888782,-0.20878848397646704,-0.33214077434817846,0.3741898177943934,0.20089905166284483,0.5907874952757185,0.05252914449595336,0.8258229535536892,0.5317386682210602,0.4323997192028396,0.516303216530449,0.40099446569145625,0.7197781280818254,-0.17026108122692613,0.7218630377227032,0.4898501319317091,0.8583634223385479,0.19704773128485661,0.41910349939332386,0.6844667581805222,0.18324010037706082,0.3344029146166221,0.33053310088114307,0.46470109962935624
