,Thal_MGN_R,Temporal_Pole_Mid_R,Hippocampus_R,Fusiform_R,Frontal_Sup_Medial_R,Thal_PuL_R,Raphe_D,Vermis_9,Thal_PuL_L,Thal_LP_L,Cerebellum_8_R,Caudate_R,Temporal_Inf_L,ParaHippocampal_R,Cerebellum_8_L,Vermis_3,Cerebellum_9_R,Caudate_L,Thal_MDl_R,Putamen_L,Thal_VPL_L,Olfactory_L,Cerebellum_3_R,SupraMarginal_L,Temporal_Sup_R,Cerebellum_Crus1_R,Raphe_M,Frontal_Sup_Medial_L,OFCant_R,Thal_AV_L,VTA_L,Rectus_R,Occipital_Mid_R,Thal_Re_L,Vermis_10,Temporal_Inf_R,Frontal_Med_Orb_L,Thal_VL_R,Amygdala_R,Thal_AV_R,SN_pc_L,ParaHippocampal_L,Thal_VA_L,N_Acc_R,Frontal_Mid_2_L,Occipital_Mid_L,Lingual_R,VTA_R,Precuneus_R,Cerebellum_7b_L,Frontal_Med_Orb_R,Cuneus_L,SupraMarginal_R,LC_R,Calcarine_R,SN_pr_L,Occipital_Sup_R,Postcentral_L,Vermis_1_2,Cerebellum_9_L,Cuneus_R,ACC_sup_R,N_Acc_L,Pallidum_R,Rectus_L,OFClat_R,OFCmed_L,Heschl_R,Thal_MGN_L,Cerebellum_10_L,Vermis_6,SN_pr_R,OFCpost_L,ACC_pre_L,Fusiform_L,Parietal_Sup_L,Frontal_Sup_2_R,OFCmed_R,Cingulate_Mid_R,Thal_PuI_R,Paracentral_Lobule_R,Cerebellum_6_L,Frontal_Sup_2_L,Paracentral_Lobule_L,Frontal_Inf_Tri_L,Frontal_Inf_Orb_2_L,OFCant_L,Thal_MDl_L,Insula_R,Hippocampus_L,Frontal_Inf_Oper_L,Thal_LGN_R,Temporal_Mid_L,Putamen_R,Cerebellum_6_R,Thal_MDm_R,Precentral_L,Precuneus_L,Parietal_Sup_R,Lingual_L,Thal_PuM_L,Thal_LP_R,Temporal_Mid_R,Thal_PuA_L,Vermis_8
Thal_MGN_R,1.0,-0.25034467110181324,0.606643479163256,-0.20116462670371424,0.2086551646098353,0.5195276871934574,0.7361321968192912,-0.3611881467685006,0.4954415973603875,0.11849454228152825,0.3904105762606451,0.629789051843952,0.2435967465330107,0.6176117705477234,0.15173448215877963,-0.6065039382786318,0.5660304422723772,0.450171189831782,0.05212690555661095,0.20394116102464105,0.3297488102952204,0.16944666236550904,-0.09768523195646917,-0.6050782615319965,-0.36703774774122083,-0.15281300486956614,-0.16531528267128628,0.07177599186317728,0.660019706524211,-0.1933255397064128,0.5520695682232079,0.7042486044966587,-0.6532355817244092,0.08538820605264993,0.5432700338515503,-0.26507174045861975,0.5695062270785298,0.4124319537904533,0.3360576142489165,-0.35048532902727036,0.4276789750723332,0.6837454734078109,0.2798993710784124,0.593508875186228,-0.014163390303087567,-0.5492998607846517,-0.5091889645108867,-0.35121409077262195,-0.5459811461351862,0.011810821605251286,0.470046528445171,-0.6193526966683407,-0.6913791310729875,-0.31654837181827966,-0.7224414774749769,-0.045130172883594576,-0.7160816598846448,-0.33135082716437186,-0.5127955864641072,0.4696500385095555,-0.5897394783244364,0.03221445608282054,0.36060179819071436,0.18381403519585152,0.6620914815918384,-0.2009381876259247,0.18896501771313848,0.2884715086989893,0.10523551552165941,0.7105132322621159,-0.7155556972243673,0.42380031945428864,-0.48212835010480076,0.4065278978142301,-0.0982778865992669,-0.4754650143942517,0.10866311286010982,0.41927853361040707,0.22073775961144754,0.7359449307287148,0.014284347655029903,-0.48229033259914705,-0.06496954208598224,-0.07505493587952439,-0.08898122414038025,-0.6187747339852396,-0.46898880891507283,0.23157614116081912,0.48718152452113805,0.5148352764992812,0.08945033088087422,0.3470453682937576,0.22701560080954,0.4709344992204291,-0.3030455873279065,0.525540493653887,-0.03015473882923194,-0.5193721118652357,-0.4625025559043114,-0.5681387884262978,0.5457371989770441,0.05697940785117596,-0.2951366320663097,0.5423048236837412,0.7237738035449868
Temporal_Pole_Mid_R,-0.25034467110181324,1.0,-0.06644833233005955,0.09253527544867722,-0.05916085288635338,0.14709431713435153,-0.2581053762255379,0.158165850022032,-0.21253109728318442,0.1343599048059953,-0.12317279093742281,0.08339090584319596,0.1717670050639197,-0.22729406587435053,0.002427939953001887,0.49865984142455483,-0.1455576813709501,0.13570475785255195,0.2707667112593723,0.23368659314836251,0.089252217378108,0.16128996163016748,0.16387480402368568,0.3133358132076966,0.4510037422561814,0.14731267021222547,0.24074632490779077,-0.022119936408186765,-0.2536461070207399,0.29871109021904424,0.007952787494830955,-0.30805321998705315,0.2402794689890624,0.10385240398535171,-0.33057354360764013,0.14399500168903007,-0.284772029539935,0.15987936889454626,0.028506934604421625,0.2778480106683947,-0.03648793316888113,-0.061242701311508725,0.15549115387606138,-0.2373156328315856,0.04735179773055415,0.2447080684811059,0.5470872826900101,0.5491531876522426,0.502825765678909,0.11943134725257831,-0.4039487183048366,0.3443344233671361,0.3980025773975824,0.5541902153710747,0.4277160137611261,-0.011996536274049506,0.34232893986314233,0.3774082123507976,0.4124911676242925,-0.2916967251098114,0.2106713064193125,0.2445904697890615,-0.12079671385700727,0.12721817098152788,-0.3939129263471995,-0.12360333383534299,-0.4745267874596205,0.24597008004530732,0.09971741405618995,-0.16742417380864047,0.3282985651909392,-0.052437379158143074,0.2800788308388492,-0.09918394621128264,0.4466911935719188,0.3855600305550587,0.13268517956372353,-0.2509578569794942,0.18109145458801482,-0.13228588167378807,0.5032234196650972,0.24691656879471943,0.13696340799992715,0.5023488340050029,0.07929162967837798,0.3855767999616187,0.24364119520395505,0.1508208570505625,-0.20136850161032277,0.12080301639722821,0.09329979630422179,0.139650156361633,0.29139583392387475,-0.023749452881616798,0.2682206046029395,-0.02980487396726865,0.25970786197525375,0.424821892674243,0.4315204434682872,0.48061158146512767,0.0029668369252182324,0.030774260663474027,0.45889777304868073,0.007908642421384452,-0.28690620723019306
Hippocampus_R,0.606643479163256,-0.06644833233005955,1.0,0.11140383957713368,0.5601659334900799,0.4802612412569128,0.5882493013084905,0.10905559936492393,0.4658203485190795,0.2835674075985871,0.5429384175654357,0.5790720668552173,0.5760063057520198,0.806812298594967,0.4600688264502429,-0.22137637376778382,0.627006519906136,0.11758597434064041,0.2784978903280794,0.18089769675465245,0.5316723144078377,0.22262716676924782,0.32466690073555426,-0.005126584614539308,0.03349350921506817,-0.13348720897752267,0.15384328117364734,0.04560991298909052,0.5442786726612687,0.0957501982690859,0.34805097313791883,0.4528520901698931,-0.4468632030781986,0.3141432118506555,0.43053462385162766,-0.2195266237586163,0.35547862328996244,0.38011361408934924,0.7331244602545404,-0.06575193336419195,0.4667904332973907,0.8698675372103992,0.26693105092656216,0.43111087050685487,0.20272046938143887,-0.16848828573568336,-0.023154181630614643,-0.24787779628255424,-0.0379185054375442,0.30342261400522313,0.35296954917001716,-0.13321414889936967,-0.17652861437399758,0.1583691597164191,-0.281515952759072,0.2580172027709792,-0.40408043946789474,0.30555121225670634,-0.033096882775503794,0.44312079339839583,-0.19058323295803292,0.25855041339669943,0.2879315976173107,0.04464821483409394,0.42249029077610606,0.21405111622067496,0.3316101734129172,0.41181033361254044,0.5257980173644692,0.5211733648760383,-0.3058780578202455,0.32077964167472,-0.1004856526788287,0.40233242764504584,0.39047408972192993,-0.052023817566662085,0.26529594517156563,0.28513088939421655,0.26991060363791297,0.8112217891288068,0.468970058510094,-0.10961065996481772,0.09363269859442819,0.36148875090682053,0.20128665806565454,-0.09107341003779942,-0.26222244384664833,0.3471535366515417,0.514696028152022,0.7982275259657445,0.43990293051317086,0.6998719884117821,0.30914016489018964,0.30330071643496737,-0.10405920284021589,0.380696580817542,0.4497582674412894,-0.04158370936184736,-0.1373202632041302,0.006182190677472795,0.6798459986022978,-0.061994136353862375,0.0023297490465985613,0.4991061993202437,0.4608060173584376
Fusiform_R,-0.20116462670371424,0.09253527544867722,0.11140383957713368,1.0,0.28974805144500365,-0.13591691926806157,-0.08503333593238421,0.28569311856226737,0.01808378713628409,0.07202485056521674,0.18756798193478266,0.08433201531536273,-0.04570014371167216,0.27838649782382835,0.19465057595440435,0.3675422164606285,-0.020270647170514123,-0.03285997083584192,0.22793759874812783,0.056746764539045806,0.14557296943400783,-0.10981144384812874,0.5164266010311909,0.33780311468208374,0.5979400866631345,0.30767962190062753,0.21340859718268054,0.2471830494641469,-0.06926867933190592,0.1015085930334253,-0.18216714381195778,0.1510495310285575,0.4613770822475394,0.041461867680529015,-0.03991132915517368,0.7114269184162877,0.056301981056251414,0.014528734681406663,0.18239205964389335,0.2826670617912894,0.0031258561829587447,0.05014172313216098,-0.043143203494931046,-0.2305393646275269,0.2787214445444823,0.35169213636945124,0.445430992969723,0.24521361382536036,0.4718719187075615,0.18943130455691823,0.08167436407270637,0.4982625761951164,0.5216530899226998,0.30480755612811444,0.5322609492603979,0.0951075744230259,0.45781546209849877,0.3617349460609952,0.11895389746134075,0.24194504194778077,0.4876201671967887,0.267882686445581,-0.17953845145833947,0.17086818799181996,0.07329154052089756,0.3141360221545606,-0.11024722013522453,-0.15682236655266005,0.30681782793400786,-0.20138559432063863,0.45868976919979687,-0.027749836207185023,0.2241979106927526,0.17159549872760946,0.4075228846299387,0.24110073205599078,0.1684484236999485,0.10693012457159923,0.039850295087440674,-0.04106139293295072,0.2049749507684228,0.5037069548744622,0.33291675519416425,0.1956360934297103,0.20992758640193962,0.24813725123897765,0.16665562089746513,-0.07312125961383438,0.4446640208257979,0.12964519979813982,0.16233194139534435,0.4081177731269988,-0.017265440711668523,0.07860508399613285,0.33768832323750514,0.022697982589458446,0.15095534526317045,0.5386736614300236,0.3027134254201385,0.3711757051117967,0.04852804668965121,-0.0521447448680842,0.7156142211307116,0.028412229480500237,-0.38751939352843945
Frontal_Sup_Medial_R,0.2086551646098353,-0.05916085288635338,0.5601659334900799,0.28974805144500365,1.0,0.11918761815841122,0.3014758449462903,0.16699689267642132,0.5494997447640848,0.4847196420332503,0.289524133600181,0.4015279255229358,0.3903468825592619,0.38096412224960796,0.32657929516624545,-0.11443866981024028,0.2868204346368655,0.024604232110854208,0.3033443938066331,0.11738085436159615,0.5639232809423648,-0.024951976331086,0.3059077188859381,0.12552309506144202,0.3203542783637987,0.032611626712124565,0.13414138958685745,0.18730640205170504,0.37224385957486467,0.25969081665331706,-0.01430547953336129,0.2726949353404947,-0.18954783118538923,0.12517201704411243,0.17511605465613564,0.012946112056002062,0.43060477329070695,0.3810926295901921,0.41172225136338353,0.2863110375582746,0.06688323047782509,0.4637835341887908,0.09166916293583571,0.04161756445500772,0.4973199944739196,0.0013496378545200822,0.18062620969717413,-0.15377918734373133,0.049088311955779854,0.11260463662354808,0.34702664442402337,0.016348412893235367,0.05196437982597323,0.13074067522840063,-0.03176428912766601,0.19322707683540696,-0.11995355149134504,0.3270210699697004,0.20612704751379213,0.14906728733806396,-0.026558050478128026,0.20350567973044037,0.017839770865266655,0.07502427374957707,0.18904143626462974,0.30214428162954543,0.2885301283771813,0.4078279147606476,0.49560570890580297,0.06058317849825192,-0.04530175133987305,0.08887730175018002,0.248424965300361,0.46510032980622656,0.4011139682709681,0.13597107187113916,0.5362922274537394,0.21492828356949495,0.31928392547751716,0.4264633194262709,0.3713383332730154,0.13509657439520656,0.35914776028702705,0.32743368536604484,0.5988015208810528,0.187886570169863,0.043628442900121564,0.17357460492748333,0.600114804161206,0.5114128315049951,0.6687391375640325,0.45689893070174137,0.2841678054927093,0.35612597023613285,0.06280732034112269,0.2606810586415361,0.5223736058815117,0.08518550875348811,-0.04929619319518028,0.24571543088357473,0.5134631793764131,0.15271841448521162,0.2109144151736527,0.47125417344906795,0.14537634015851292
Thal_PuL_R,0.5195276871934574,0.14709431713435153,0.4802612412569128,-0.13591691926806157,0.11918761815841122,1.0,0.39158879831905796,-0.06518517829830155,0.2215779442017001,0.26605291923375757,0.32329776311411895,0.6252157524364952,0.39303970040747627,0.388147341315981,0.24983352862953787,-0.13173914321173538,0.41330407563830446,0.3854868096754275,0.3744701398348937,0.36057970329753225,0.4670833570491213,0.38664912592086675,-0.002358804177474627,-0.18530728230143007,-0.07631860295796057,-0.06489546473972828,0.10959588704383008,0.1277745670820599,0.3882272212128324,0.15374691057776857,0.4934737606950623,0.33949908515330773,-0.36548419883612193,0.36826500932361317,0.24575789074413845,-0.175822177405437,0.14852102829781239,0.5017618026698504,0.37178685800835193,0.024621468816603816,0.27635022511472046,0.5615404374505192,0.5218861197067179,0.4969608202308388,0.1141887941527977,-0.17533957006285864,-0.13187116112814454,0.019221611438589564,-0.028670592063123817,0.20502491462627181,0.05910242153579815,-0.19185661561496356,-0.25932144154185666,0.03096034677673762,-0.28198549220396524,0.07552233528777416,-0.3617040375660693,0.05411601588275043,-0.1202645417933922,0.2665179503261556,-0.2369953862450636,0.31559145341330086,0.43168678051628945,0.14195457434886086,0.24870630946988181,-0.1415659595167385,-0.0026879639428347333,0.3559619957906838,0.24675182327837533,0.453066718763317,-0.26691663039979485,0.31651385842286817,-0.1456128491115369,0.1483580748415151,0.23038844352044374,-0.09744886316496491,0.28886517905031395,0.24696392366744682,0.3186654325196176,0.5233641735198127,0.37749611029165314,-0.17870736654577757,0.1557619328805777,0.3426677821132553,-0.0875774007982048,-0.16564456920817086,-0.28039397396368365,0.48862529547319167,0.23100738158919382,0.5129553214255241,0.13636094337885724,0.3206351612541564,0.297211072787027,0.23129498511238242,-0.08720942321021315,0.4954462561924647,0.28906283903053037,-0.08817969546104268,-0.10606895377536957,-0.11939499495976254,0.5527757455527406,0.041043148995256865,-0.055326405989326116,0.5015079147203249,0.4092215217860752
Raphe_D,0.7361321968192912,-0.2581053762255379,0.5882493013084905,-0.08503333593238421,0.3014758449462903,0.39158879831905796,1.0,-0.3492820039681803,0.4634315708231447,0.24705538494481988,0.30532206165491027,0.6344603468147596,0.32416504457067774,0.5638084532577595,0.11287638000849899,-0.47922787438181536,0.4299600356503968,0.4912987680875366,0.21864863953156843,0.3461673092881329,0.3682472226744458,0.16966349910249653,0.013992298564211967,-0.5481938352328298,-0.2942295402155217,-0.11755166790601443,0.13456453010027963,0.17674619388285667,0.570152870520128,0.06058116357538421,0.4017336221628178,0.5689069025319199,-0.5824099483769285,0.20777647395776563,0.5557967775323256,-0.1952328817422614,0.4495457148498814,0.4546260061161522,0.4360716927808005,-0.25385439744761285,0.42561786431330256,0.7084280233983024,0.34489647349561775,0.5309295585611375,0.18686444771002791,-0.5021272373294715,-0.4214468427647893,-0.3113979848868977,-0.4862880377223576,0.08982253289210647,0.38363336343079046,-0.5459872532694542,-0.6257910316326448,-0.2092554670354058,-0.6402591061403459,0.23415662590025194,-0.6565918129891133,-0.30063692057977254,-0.2819392485908775,0.40081436037135637,-0.49584745148613224,0.2976258232981474,0.42548118426463805,0.2278602474039781,0.5016934850830532,-0.1306297126225173,0.17698256395944106,0.22115403814348053,0.2996421530864227,0.5561949599487245,-0.6371580132193518,0.263784945005199,-0.29086954784578956,0.18871220799084304,0.01896597015089415,-0.45608557547746886,0.27312285594244484,0.4809205426861691,0.3753220378971311,0.5969347477970931,0.066312976144785,-0.4287886804919689,0.20264219858533034,-0.012621572230927056,-0.0781498036469682,-0.4552854054691372,-0.2464089457218505,0.37344608533061124,0.4695846835559695,0.4855977053896222,0.1272078581119048,0.4549564819211556,0.3203941602925318,0.5228905253652454,-0.3695766400731811,0.5493253414221881,0.04480260359039169,-0.47092681092759864,-0.4278113833797856,-0.46285515813219114,0.5457696042275364,0.1564340975733162,-0.18883778926946096,0.49740444670099054,0.5707126093383819
Vermis_9,-0.3611881467685006,0.158165850022032,0.10905559936492393,0.28569311856226737,0.16699689267642132,-0.06518517829830155,-0.3492820039681803,1.0,-0.36639661360044634,-0.08707122073305075,0.48257175761647375,-0.1656297774748154,0.3942750217011711,0.19238563362031888,0.6983058522158982,0.6287404805908761,0.3383003207803568,-0.424411151238069,0.029974799104759815,-0.2447514097361926,0.00922498015404638,-0.24503416637779826,0.647671884999492,0.78291412751425,0.20770948250058213,0.4152467359538191,0.3040993482152982,0.12335063526832078,-0.12895711243739993,0.16588218686457032,-0.16998602605193153,-0.12568702390628053,0.3141771482840688,0.17941990772619912,-0.13400409285472278,-0.18866632038237677,-0.20763061735502017,-0.25602207013685074,0.058657990252918124,0.1568486855979418,0.029400632148134966,-0.0671056162176414,-0.17128381169868945,-0.17999773081759507,0.0806445617107237,0.6248530079807234,0.3327813059745409,0.29994632008838445,0.6732962399357241,0.5621198847514182,-0.12029269056029505,0.7743563273246591,0.6045200091645849,0.5701970675983733,0.6095167295730556,0.18721771931628656,0.4742510361614358,0.6004953749489431,0.5192555912030771,0.16523700966588054,0.6240651773915984,0.11392370329352886,-0.3570258359526626,-0.10684987607391579,-0.06251987561652174,0.6980120486620202,-0.07554194122099776,-0.19386076745862604,0.29713160596691757,-0.17826103306999014,0.6738637398496314,-0.07303118389541786,0.24931527954857097,0.04144098343135153,0.4703660854107661,0.651404758093195,0.016609601083866936,-0.2304869986979026,-0.14138246234174884,-0.06512942501747689,0.32808641728945453,0.7800021956816592,0.05896611115851007,0.28786113655762097,0.14652930198970274,0.5719024796195445,-0.0903568893309311,-0.019263648040221994,-0.014660233118871598,-0.05824167611019631,0.07268236311591057,0.19892105852832925,0.22203795161701648,-0.2526964027461596,0.5430685167120834,-0.3965485999587918,0.16655200391438704,0.7034373231286902,0.5170059714117659,0.5345757914267183,-0.11147914630343658,-0.11195304835772783,0.0951618285620524,-0.23891452085559944,-0.26643807949804
Thal_PuL_L,0.4954415973603875,-0.21253109728318442,0.4658203485190795,0.01808378713628409,0.5494997447640848,0.2215779442017001,0.4634315708231447,-0.36639661360044634,1.0,0.5607411171596499,-0.01121734414173296,0.4561813847687176,0.04987849734943782,0.2632270853555046,-0.11420904227887846,-0.5243288914772171,0.08860894361940533,0.19304332442005265,0.21601487499885635,0.2955056649234474,0.659672559232059,0.14469902356577477,-0.08538025269193718,-0.3627131973008747,0.10258077836002875,-0.2601470357142624,-0.1798297988721271,-0.17105637894522707,0.39493359584563165,0.030390397878270563,0.16352965127745783,0.33527288314737835,-0.4358024894002425,0.0010369836060878672,0.16752119387920236,0.03269468775960099,0.5143370132918195,0.5479304825149773,0.37241000446335515,0.09465608195401261,0.12895165291936642,0.5155906795101644,0.2023115295597502,0.2150427460348441,0.33506911215510143,-0.45370283073595286,-0.07483406432066114,-0.37189828304827466,-0.44995538364039916,-0.2943966315165317,0.43034344339639796,-0.4811358865803539,-0.34351603220574156,-0.20572560949932672,-0.45118637345626644,0.009705964271875119,-0.4369792675227969,-0.13571042491813678,-0.17986139158027437,0.04039667095908546,-0.4953242375396705,-0.10340260166050998,0.24831354984392323,0.15954695365202762,0.26627210294547016,-0.17153850501419263,0.3682578976056324,0.48532421569464496,0.35021390296171645,0.2227871979095744,-0.49244013758495875,0.24328807112587097,-0.02071752536352155,0.4231759062928923,0.04512954881045768,-0.3165596862547158,0.21576068381243926,0.28065442594833984,0.28071245825985625,0.49392564686256024,0.024602172022558887,-0.3853643497246078,0.11155678712938284,0.011166330413568687,0.5077341798749959,-0.2658094051107122,0.01905093378201665,0.21643993530190334,0.5286511902605028,0.5798737970468426,0.5738284358251571,0.2684151541880562,0.009951708136795542,0.5043991962478135,-0.28686966048583606,0.5770203724938366,0.31351493110813794,-0.41979621682871837,-0.46755017054560327,-0.13848151147066312,0.6894133264934905,0.18909005639476162,0.04287865053080376,0.7347259022547166,0.3589957703987356
Thal_LP_L,0.11849454228152825,0.1343599048059953,0.2835674075985871,0.07202485056521674,0.4847196420332503,0.26605291923375757,0.24705538494481988,-0.08707122073305075,0.5607411171596499,1.0,-0.14236853381741824,0.5424573412755174,0.292575421387668,0.03348554590378998,-0.053991967530599934,0.0374284682683262,-0.08328067960493542,0.33696568503191254,0.6193906211938454,0.603358594962247,0.7857860497363082,0.3869423648099532,0.07920438674226987,0.017964412153522447,0.4242066118881986,-0.02813912802015395,0.3066987117782472,-0.0516368008281227,0.014310089334696892,0.5984782540685175,0.08489867962569005,-0.021171054043990094,-0.13619544371777295,0.2458786783713082,-0.08563267336390687,0.010236332066390425,0.026991962568772114,0.804186655730222,0.2983048344208533,0.48855736401724875,0.07413383706628306,0.3829168685247031,0.44198045097168376,0.1322876524681675,0.6723976962160965,-0.1636414052854813,0.34710680502959207,0.1557236328788488,0.08604317830451265,-0.09929741868225951,-0.07013154151838992,-0.06816848742410488,0.0460930333067025,0.2362916471178227,0.02559820151325799,0.3374064566147415,-0.056255295204891094,0.1934780484611531,0.3221195598671063,-0.2003383031179667,-0.11118980419386307,0.21835846838397868,0.23822907464935822,0.4747605733215664,-0.1651399930310819,-0.002577664968636497,-0.011434120161896665,0.578132271677157,0.4825572180597358,-0.08564472377105459,-0.045182564580509885,0.04058718511351139,0.3399633241683916,0.16334439987741192,0.4821691315376831,0.11864384114263198,0.5019958311254968,0.013916139357935127,0.6485335746598385,0.26605234058749666,0.48638352800465734,0.011141152548485862,0.5349078537782092,0.5084699738279882,0.555878950500073,0.27447948485803675,0.40091030830764246,0.5447494139329249,0.30713867387291194,0.5168347667081279,0.6576028942308108,0.3315228955189388,0.2990895675731836,0.5734084492749086,0.031511806659540696,0.518668548576575,0.5071392364494572,0.03323063470116303,-0.023769246065915583,0.3609035167613506,0.5883017253535223,0.47096308649747587,0.35902007366940747,0.6771540778439863,-0.08181205494332365
