,Temporal_Sup_R,Thal_MDl_L,Paracentral_Lobule_L,Putamen_L,Cerebellum_10_R,Precentral_L,Heschl_R,Precuneus_R,OFCpost_R,Thal_PuL_R,Pallidum_L,SupraMarginal_L,ParaHippocampal_R,OFCmed_R,Angular_L
Temporal_Sup_R,1.0,0.24946281363586803,0.39544971604716816,0.6476785595537677,-0.05588087991896814,0.4697711891767833,0.7747821036904337,0.06353213309678943,0.7217704976779409,0.34512864900756984,0.1983763951143875,0.273969582324858,0.6290566385377145,0.3838774484700794,0.17650452181814824
Thal_MDl_L,0.24946281363586803,1.0,0.14911749317049994,0.19699434032170499,0.5706410224645762,-0.009997595896926592,0.2521751390097806,-0.0829347608885306,0.3162400998972016,0.6123974639142218,0.4881382152780415,-0.35719223356699,0.5147551029057008,0.36043100043233733,-0.20503036363012894
Paracentral_Lobule_L,0.39544971604716816,0.14911749317049994,1.0,0.3902910900221329,0.005043963558259986,0.544759993275674,0.20054846369095736,0.6108696742358154,0.3983751402153205,0.002927293293148207,0.2628140513128674,0.5312133063465478,0.33460868143701245,0.3795619099828465,0.3739119055042902
Putamen_L,0.6476785595537677,0.19699434032170499,0.3902910900221329,1.0,-0.07872737381686955,0.5643899597765143,0.6271227263784718,0.1530775987926865,0.5422043362296283,0.21953255994547702,0.45589702037946594,0.3169985911830905,0.3765045318226436,0.32260917975578646,0.3779125467670594
Cerebellum_10_R,-0.05588087991896814,0.5706410224645762,0.005043963558259986,-0.07872737381686955,1.0,-0.2504414938406268,-0.10328179812561471,0.04749025778477893,0.05887206589768271,0.47583291906049846,0.31579349806593726,-0.4395878135741694,0.3318663731155371,0.17724329084484078,-0.2914157776684613
Precentral_L,0.4697711891767833,-0.009997595896926592,0.544759993275674,0.5643899597765143,-0.2504414938406268,1.0,0.5173472312037597,0.2543011740152868,0.5644543080262023,-0.0016992776708943042,0.3364709018961045,0.5577511047146989,0.3422477725791439,0.357975791735433,0.6482934272378192
Heschl_R,0.7747821036904337,0.2521751390097806,0.20054846369095736,0.6271227263784718,-0.10328179812561471,0.5173472312037597,1.0,-0.20681464348331108,0.7018909317666975,0.31132023719248303,0.3495762145815576,0.1437619566058776,0.4874216487038975,0.4644902472614822,0.2683596481497379
Precuneus_R,0.06353213309678943,-0.0829347608885306,0.6108696742358154,0.1530775987926865,0.04749025778477893,0.2543011740152868,-0.20681464348331108,1.0,0.07087556395904535,-0.17594365882269725,0.04830261528913977,0.49669004318461296,0.03353153715937852,0.11848010407782794,0.4911383283855434
OFCpost_R,0.7217704976779409,0.3162400998972016,0.3983751402153205,0.5422043362296283,0.05887206589768271,0.5644543080262023,0.7018909317666975,0.07087556395904535,1.0,0.30783443262671456,0.30600598020659475,0.22297647460495668,0.7443031129151664,0.7800112994350583,0.39695045715669663
Thal_PuL_R,0.34512864900756984,0.6123974639142218,0.002927293293148207,0.21953255994547702,0.47583291906049846,-0.0016992776708943042,0.31132023719248303,-0.17594365882269725,0.30783443262671456,1.0,0.4511151092312874,-0.3463878384524947,0.5229796573114021,0.2345669378354653,-0.23095445525346697
Pallidum_L,0.1983763951143875,0.4881382152780415,0.2628140513128674,0.45589702037946594,0.31579349806593726,0.3364709018961045,0.3495762145815576,0.04830261528913977,0.30600598020659475,0.4511151092312874,1.0,-0.10335668531298285,0.3750472328590453,0.29558961117346294,0.13031290292564449
SupraMarginal_L,0.273969582324858,-0.35719223356699,0.5312133063465478,0.3169985911830905,-0.4395878135741694,0.5577511047146989,0.1437619566058776,0.49669004318461296,0.22297647460495668,-0.3463878384524947,-0.10335668531298285,1.0,-0.03498855952179484,0.08998710720958787,0.6541146460604116
ParaHippocampal_R,0.6290566385377145,0.5147551029057008,0.33460868143701245,0.3765045318226436,0.3318663731155371,0.3422477725791439,0.4874216487038975,0.03353153715937852,0.7443031129151664,0.5229796573114021,0.3750472328590453,-0.03498855952179484,1.0,0.559343655742277,-0.03153056187337761
OFCmed_R,0.3838774484700794,0.36043100043233733,0.3795619099828465,0.32260917975578646,0.17724329084484078,0.357975791735433,0.4644902472614822,0.11848010407782794,0.7800112994350583,0.2345669378354653,0.29558961117346294,0.08998710720958787,0.559343655742277,1.0,0.3820191890613264
Angular_L,0.17650452181814824,-0.20503036363012894,0.3739119055042902,0.3779125467670594,-0.2914157776684613,0.6482934272378192,0.2683596481497379,0.4911383283855434,0.39695045715669663,-0.23095445525346697,0.13031290292564449,0.6541146460604116,-0.03153056187337761,0.3820191890613264,1.0
