,SupraMarginal_R,Vermis_3,ACC_sub_L,Parietal_Sup_L,Frontal_Inf_Orb_2_L,Vermis_7,Postcentral_R,Cingulate_Post_R,SN_pc_R,Occipital_Inf_R,Frontal_Sup_2_L,Cerebellum_3_R,Thal_MDm_L,Frontal_Med_Orb_L,Precuneus_L,SN_pr_R,Thal_IL_R,Paracentral_Lobule_L,Frontal_Med_Orb_R,Precentral_L,Temporal_Pole_Mid_R,ACC_pre_R,Thal_PuM_L,Thal_AV_L,Frontal_Sup_2_R,Occipital_Inf_L,Fusiform_L,Frontal_Mid_2_R,Rolandic_Oper_L,Cerebellum_3_L,LC_L,Heschl_R,OFClat_L,Raphe_M,OFCant_L,Thal_PuA_L,Cerebellum_Crus2_R,VTA_R,Fusiform_R,Frontal_Sup_Medial_L,OFCmed_L,Precuneus_R,Angular_L,Thal_PuA_R,Cerebellum_6_L
SupraMarginal_R,1.0,-0.3375899037772321,-0.14592098140059895,0.14236900724555027,0.2790872715955325,-0.43976624982090984,0.9182774336825571,-0.054672966092142776,0.11899086830295585,-0.4148445038061161,-0.1488144380544565,-0.27279168651812274,-0.13439887759237948,0.038406935615409726,0.12762396831939862,-0.024965324131285827,-0.4523063920232522,0.19804843730612984,0.08169877695430808,-0.3616354328901013,-0.1896888003063907,-0.2228874125972427,0.17969075581948046,0.0132574133748821,0.39197012225405625,0.17817137298968855,0.4576016537136689,0.41970572507462445,-0.0221469423951676,0.09334238073201973,0.0011882830839352217,-0.6189687047920792,0.4750423224565191,-0.11233204737855777,-0.028682642094342733,0.035080064032736336,-0.3955658131379191,0.15722607871653152,-0.2884384306832309,-0.21109245361209555,0.19832847035177828,0.6264649659650036,-0.13044222560602958,-0.09854444518600468,0.2059048027358255
Vermis_3,-0.3375899037772321,1.0,0.26234417247753955,0.19259854145291633,0.2579420683631526,0.40634649893056696,-0.38959183281364185,0.2983070760123579,-0.01247112497016627,0.20360273442546056,0.4742295849310011,0.6567470623133627,0.35934552902643657,0.08866360946391864,0.31703377722876125,-0.05510320055412319,0.5910208278527119,0.29651561294615136,0.2649716398509628,0.34809688277925693,0.126809947743917,0.43583324466230683,0.061932835722119266,0.2411901708370646,0.06884069829911467,-0.12362841870274492,-0.06359805421405727,-0.12184946102398155,0.302469331795921,0.469223283774029,0.009759892820528426,0.5075588808677666,-0.12252717730985122,0.0737266941583509,0.21507489815694308,0.20485794611764246,0.259752821939168,0.1413323818216579,0.4294463829987301,0.44406950932771105,-0.2227178930526419,-0.02140046612544086,0.20457838378757018,0.3455082840496417,0.17768541694543888
ACC_sub_L,-0.14592098140059895,0.26234417247753955,1.0,0.05562030084613473,0.34106852310740554,-0.09877549121485403,-0.2855820341621961,0.1278939658614142,0.05837147521855452,-0.19440990173015102,0.3959387111981699,0.15587536450273876,0.020037261175391972,0.1746162804318643,0.13491529394318888,-0.01693546132541888,0.14451776936189514,0.26502952315119016,0.3010860293981992,0.18566650679984642,-0.12894990486206018,0.46593449974675116,0.06050672702978266,-0.06540501551007809,0.024460791193477677,-0.5296773485750079,-0.2570643598209329,0.12166948577078603,-0.030324254527097177,0.032765952642080626,0.1992300171658355,0.2646804582708631,0.1599087994150921,-0.522479363505189,0.5753229764458728,-0.15738660331605034,-0.11259880518756105,0.27391388071332007,0.12883439294378776,0.17824421209436703,-0.21338486494051412,-0.09206817497068326,-0.13008279136669862,0.007872792402812034,-0.16785909521333325
Parietal_Sup_L,0.14236900724555027,0.19259854145291633,0.05562030084613473,1.0,0.10028729368360234,-0.010027567167544955,0.16472427498291664,-0.23836503348226112,0.02196130177050635,0.014939195244920418,0.3630202389845009,0.4572329493263984,-0.1487787532180322,0.29907843832711706,0.8150196945564744,0.19859705228358465,0.20518658627370073,0.6348761213889216,0.07421664095388693,0.5908088751283438,-0.26826140738315457,0.24755577211280577,-0.5181728811135984,-0.07957190827558301,-0.1773464006576425,-0.07614839305055637,-0.2692067471576175,-0.41436144295289257,0.37464019176713936,-0.0754321842441332,-0.34286418329269963,0.2196722608086423,-0.07529618733120175,0.20394121713010982,0.19199308331005785,-0.15020080079469425,-0.10934011851419483,-0.1015247932122487,0.22939717570774337,0.4560100708516118,0.003511636738520681,0.7423680636667507,0.7832302787092218,0.2550900106665668,-0.15996423949566738
Frontal_Inf_Orb_2_L,0.2790872715955325,0.2579420683631526,0.34106852310740554,0.10028729368360234,1.0,-0.382485389009617,0.19781615706358685,0.2639109489009646,0.028547181109074584,-0.6104355407929088,0.44473960069195456,0.10211139803196959,-0.07448388888938384,0.06930447300631494,0.3719717084641818,-0.1569444801830832,0.04980415272699183,0.4768744113949861,0.18948421779011004,0.008956320657259495,-0.22351964449140052,0.4576895315895693,0.43040154460640484,0.04265213672250118,0.3782696849042607,-0.4124492836586105,0.3131569923853872,0.44218358749182746,0.2569750148249819,0.36747184566968005,0.31865169956880957,-0.14795375642677175,0.6834578465187088,-0.48060797473920375,0.5424963505180594,0.1384290761822625,-0.4408378470286357,0.6112435431686206,-0.003800327852251688,0.31173245528108423,0.0650578752193002,0.31369565221007095,-0.13874164313319956,-0.08771737074099847,0.2709796699142224
Vermis_7,-0.43976624982090984,0.40634649893056696,-0.09877549121485403,-0.010027567167544955,-0.382485389009617,1.0,-0.4438172096209489,0.02194144938965686,-0.2568218038354207,0.6531925227939064,0.10172132959754611,0.24609761266814054,0.2883461491324298,-0.11874533579137315,0.028751550395974695,0.08876291734227407,0.3554874099075721,-0.10991742152243884,0.06527697575958252,0.19462550362388137,0.46784638993937017,-0.12426742311831335,-0.31870924264603895,0.2047947358767535,-0.20602155090894073,0.436655284188239,-0.013825364651876554,-0.4240712883151684,0.09050239495993113,-0.02941454129389423,-0.2907167947156148,0.37173082659164325,-0.4954028617994085,0.511405033850663,-0.2626872724816658,0.12200362215566471,0.6735863214048287,-0.39067455027979975,0.4527437358252041,0.12618832642936226,-0.046495014917917805,-0.3133650404061242,0.2702719846470851,0.3393662723216153,0.34515582794350547
Postcentral_R,0.9182774336825571,-0.38959183281364185,-0.2855820341621961,0.16472427498291664,0.19781615706358685,-0.4438172096209489,1.0,-0.08214727441800611,0.17866350857693988,-0.4572304055872854,-0.16229597521285477,-0.3294835062039841,-0.05394327673989463,0.019286389288539322,0.1464465913826766,-0.011528233449843375,-0.4538726508172543,0.1388146048779574,0.08733386193316182,-0.329556588918866,-0.1536510253703469,-0.25508875627602196,0.14971244617436041,0.06544416570855853,0.42018621251456867,0.25552749655383666,0.42213424378594205,0.41256932821080294,-0.05681637713554043,0.07686030086811514,-0.008843166053988329,-0.6881213166097015,0.4776429787052708,-0.028204345825956677,-0.10511614277587843,0.11182955357933337,-0.4533337100334463,0.13603311936371335,-0.4087098804786921,-0.1463043562881703,0.25253787479013645,0.6628509891528982,-0.007961252449165856,-0.0832900553361056,0.21074340250761786
Cingulate_Post_R,-0.054672966092142776,0.2983070760123579,0.1278939658614142,-0.23836503348226112,0.2639109489009646,0.02194144938965686,-0.08214727441800611,1.0,0.24041675254668368,-0.23066990706612409,0.37878802626181385,0.2444731711140024,0.4964684996758132,-0.12323236830232011,0.014332949075922691,0.05111947539029448,0.40591636231062816,0.11275963344421715,-0.01091999079408101,0.06398471893385058,-0.07006301429509446,0.3503366283707612,0.4080256921262197,0.31389202169800595,0.3177245385577082,-0.39070511943886393,0.05743993298752251,0.4840552346883031,0.35866854973897677,0.3792456201073852,0.4280380622005981,0.2807933599171347,0.20390525996229825,-0.29276127074708974,0.3304532858915145,0.38787441007069406,-0.14259269002885608,0.3343442907946688,0.20942966401663346,0.17079657276405322,0.06637946676041301,-0.028502326193986637,-0.22136748995737718,0.2952817046673031,0.3054812981071929
SN_pc_R,0.11899086830295585,-0.01247112497016627,0.05837147521855452,0.02196130177050635,0.028547181109074584,-0.2568218038354207,0.17866350857693988,0.24041675254668368,1.0,-0.28798690632330276,0.15763118459221026,0.05050212882199328,0.2586544070454193,0.07900216459320195,0.07847523335210375,0.3185802997326268,0.1126250486930172,0.04170354899763477,-0.0753873682375253,-0.006225418622911508,-0.28753468745105787,0.22841641776554777,0.3912445929697279,0.12368768299232161,0.2330963271420958,-0.20568736468920992,0.03613774903326145,0.2636053842266673,-0.056931504296612666,0.23643976397282668,0.2508584398097563,-0.021703892179490654,0.2791429964196447,-0.14589147377763564,0.22867059945861906,0.12614567478444327,-0.2741887083203548,0.0014436127378631353,-0.08042771810921005,0.116732606648146,0.0018761073759754842,0.16319201314681192,-0.04317381861222199,0.04611787512771986,0.09747986515008991
Occipital_Inf_R,-0.4148445038061161,0.20360273442546056,-0.19440990173015102,0.014939195244920418,-0.6104355407929088,0.6531925227939064,-0.4572304055872854,-0.23066990706612409,-0.28798690632330276,1.0,-0.1641407259684124,0.17254310351093188,-0.07831657770435752,-0.113890840399896,-0.1544424032242706,0.19600065808658695,0.2239372848911787,-0.21073373410340696,-0.1870571362504834,0.27960415216572876,0.37336245040437804,-0.3508487058887756,-0.39314311664793006,-0.013717008802782267,-0.3490617570417224,0.48058058914337315,-0.2059759382612627,-0.5456593777756287,0.14045049232945359,-0.3031509447380012,-0.48233269258488837,0.41565527015587705,-0.8095813463945097,0.663662385548979,-0.47853863641249333,-0.12986180311237727,0.8854073830181876,-0.7028149723318463,0.4850676605204497,-0.10402454355796688,-0.08143332983957208,-0.32275874878193234,0.2602511102723617,0.21700346887311578,-0.18342763801013223
