,Cingulate_Mid_R,Angular_L,ACC_sup_L,Vermis_4_5,Temporal_Pole_Sup_R,OFCmed_R,Thal_VA_R,Paracentral_Lobule_R,Thal_LGN_R,Thal_LP_R,Parietal_Sup_L,Thal_PuL_R,ACC_sub_R,Caudate_L,Rolandic_Oper_L
Cingulate_Mid_R,1.0,0.35982990868329456,0.3744425002338489,0.7188260029259504,-0.35576470550798267,0.42194995734170077,0.5858012403319329,0.6676801608460742,0.42041316965188696,0.38483281524919993,0.6708811686807558,0.13979910569136875,0.44873037111823916,0.37065053115389013,0.8818914028388726
Angular_L,0.35982990868329456,1.0,0.38721664226115665,0.4193069599811515,0.13406085074935425,-0.1419238541886916,-0.07410822138785378,0.6725655936805691,-0.05915405452029831,-0.11836045060848235,0.698283721561065,-0.4144535044342401,0.1524750293590817,0.19108425454230082,0.3517884754886569
ACC_sup_L,0.3744425002338489,0.38721664226115665,1.0,0.6484463851154099,-0.009066368828596344,-0.036389205181818554,0.25079118283055307,0.33623915707672286,0.26290639230733875,0.06727617740477582,0.3013566523921007,0.13447806353579542,0.2351400484064664,0.27645580184745533,0.5181582240013423
Vermis_4_5,0.7188260029259504,0.4193069599811515,0.6484463851154099,1.0,-0.1094223811238338,0.22881738152472497,0.41151050739884837,0.5915883756883326,0.3474036381776644,0.2125311197184551,0.5195458009545457,0.23017752536046018,0.41755140844467104,0.43105437759422754,0.735260458270939
Temporal_Pole_Sup_R,-0.35576470550798267,0.13406085074935425,-0.009066368828596344,-0.1094223811238338,1.0,-0.2924370886643033,-0.10586439298242004,-0.34944019462462667,0.03513163449259704,-0.23959177018637234,-0.4545760385885112,-0.10007021595278691,0.19630644073769302,0.29701632219930824,-0.397641870002094
OFCmed_R,0.42194995734170077,-0.1419238541886916,-0.036389205181818554,0.22881738152472497,-0.2924370886643033,1.0,0.516006309374263,0.020108781689127986,0.4076522903019523,0.46183536707364964,0.2327708814809344,0.5124708266226179,0.3493112851780465,0.3447697752045639,0.3754526749637829
Thal_VA_R,0.5858012403319329,-0.07410822138785378,0.25079118283055307,0.41151050739884837,-0.10586439298242004,0.516006309374263,1.0,0.10649756234105968,0.499054005743327,0.42294552528443574,0.1899586671136906,0.34856979101315866,0.5914989720234928,0.4275032424878355,0.47419219717762146
Paracentral_Lobule_R,0.6676801608460742,0.6725655936805691,0.33623915707672286,0.5915883756883326,-0.34944019462462667,0.020108781689127986,0.10649756234105968,1.0,-0.033171119466442814,0.1161519746009097,0.8307856259051836,-0.23851240462964976,0.1283357864159078,0.07160880139628714,0.6376430405238466
Thal_LGN_R,0.42041316965188696,-0.05915405452029831,0.26290639230733875,0.3474036381776644,0.03513163449259704,0.4076522903019523,0.499054005743327,-0.033171119466442814,1.0,0.40111177911328805,-0.02277193871715007,0.43337826907306376,0.36630498509094617,0.5707495694017548,0.41318526507188846
Thal_LP_R,0.38483281524919993,-0.11836045060848235,0.06727617740477582,0.2125311197184551,-0.23959177018637234,0.46183536707364964,0.42294552528443574,0.1161519746009097,0.40111177911328805,1.0,0.14541736130433666,0.42833964771607397,0.2624628829408961,0.1759080394697446,0.3793228390641956
Parietal_Sup_L,0.6708811686807558,0.698283721561065,0.3013566523921007,0.5195458009545457,-0.4545760385885112,0.2327708814809344,0.1899586671136906,0.8307856259051836,-0.02277193871715007,0.14541736130433666,1.0,-0.2103468792847833,0.2432373210307019,0.049777084333000814,0.6235291281233413
Thal_PuL_R,0.13979910569136875,-0.4144535044342401,0.13447806353579542,0.23017752536046018,-0.10007021595278691,0.5124708266226179,0.34856979101315866,-0.23851240462964976,0.43337826907306376,0.42833964771607397,-0.2103468792847833,1.0,0.19392079120226416,0.24638701701072116,0.14332767655575598
ACC_sub_R,0.44873037111823916,0.1524750293590817,0.2351400484064664,0.41755140844467104,0.19630644073769302,0.3493112851780465,0.5914989720234928,0.1283357864159078,0.36630498509094617,0.2624628829408961,0.2432373210307019,0.19392079120226416,1.0,0.3412748754875297,0.35587555450218195
Caudate_L,0.37065053115389013,0.19108425454230082,0.27645580184745533,0.43105437759422754,0.29701632219930824,0.3447697752045639,0.4275032424878355,0.07160880139628714,0.5707495694017548,0.1759080394697446,0.049777084333000814,0.24638701701072116,0.3412748754875297,1.0,0.33022508866188194
Rolandic_Oper_L,0.8818914028388726,0.3517884754886569,0.5181582240013423,0.735260458270939,-0.397641870002094,0.3754526749637829,0.47419219717762146,0.6376430405238466,0.41318526507188846,0.3793228390641956,0.6235291281233413,0.14332767655575598,0.35587555450218195,0.33022508866188194,1.0
