,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,Thal_MDm_L,Red_N_R,Precentral_L,Frontal_Inf_Orb_2_R
SN_pr_L,1.0,0.1058183525123172,0.4289862753092528,0.2862735949796329,0.3230583658775671,0.38006931316352566,-0.011718097924645673,-0.10242185963669057,0.19576579405920064,0.2476572088686336,-0.2481653651638113,0.495440776780285,-0.1109338417803169,0.27643265716926135,0.19935595361325154,0.5101887048935165,0.28329026469650576,0.7113813807620732,0.42888959507362084,0.2032361024463347
Thal_MDl_R,0.1058183525123172,1.0,0.19322928310699364,0.18572524632127288,0.22089759618388893,0.46767016558422164,-0.22129155027379602,-0.2633033382514536,-0.13476766316986646,0.2214327970766446,-0.15644262062057163,0.29526748388713914,0.16942629576922194,0.24649723210579105,0.027383207945414656,0.05610227601607257,0.48669993768839714,0.17347548103518015,0.4181146131885972,0.2848711476955587
OFCpost_R,0.4289862753092528,0.19322928310699364,1.0,0.3594471049403955,0.4032345919396018,0.2660031204586011,-0.22348839947988322,-0.2160209146526191,0.12224339417048011,0.31905631361198944,-0.023894794936331582,0.3655118911982522,-0.21216700761094923,0.5884492230675604,0.34859747557480797,0.3810429236336472,0.25166902727621027,0.5158575286419248,0.3316318320791256,0.5481201808591681
Temporal_Sup_R,0.2862735949796329,0.18572524632127288,0.3594471049403955,1.0,0.3478703405889108,0.6961247838679774,-0.5461162916132571,-0.485058528624331,-0.219318684234276,0.10420025137646019,-0.07785835373618936,0.12845098495861915,-0.15159137060696976,0.2648691750474276,0.6428832833130554,0.35186342284218597,0.1193168561878872,0.5244540651995914,0.012647220162733598,0.5055648239827891
OFClat_L,0.3230583658775671,0.22089759618388893,0.4032345919396018,0.3478703405889108,1.0,0.5090121076491333,-0.2575181815985294,-0.09994143594190338,-0.0004178772907485726,-0.1017074916293708,-0.22491127200239064,0.41680655775930614,-0.442899590483809,0.0683611368727818,0.6885380192768973,0.5531347405716214,0.37295406952758353,0.4949460137631326,0.13113096290485154,0.4510525830226337
Heschl_R,0.38006931316352566,0.46767016558422164,0.2660031204586011,0.6961247838679774,0.5090121076491333,1.0,-0.4741365360153188,-0.453363509970191,-0.19505724299938013,0.19554555861476866,-0.29610397969996854,0.36097942237690034,-0.05392436496606179,0.16513508491102333,0.4179077387072666,0.5007622722990047,0.5267507148976174,0.5576491972819538,0.34075693587951583,0.49091639755396355
Cuneus_L,-0.011718097924645673,-0.22129155027379602,-0.22348839947988322,-0.5461162916132571,-0.2575181815985294,-0.4741365360153188,1.0,0.8512647686361975,0.4694353980114299,-0.09759889895325698,0.055657355126058114,0.23132207530971358,0.2049044734887401,-0.10060086224992316,-0.3527871993979149,0.0717609737317941,-0.03769109175787959,-0.1142466148742386,0.23950590899567742,-0.464171048402811
Occipital_Inf_R,-0.10242185963669057,-0.2633033382514536,-0.2160209146526191,-0.485058528624331,-0.09994143594190338,-0.453363509970191,0.8512647686361975,1.0,0.4909857483495561,-0.17191807186514377,-0.010879363841097793,0.18905831777380971,-0.0773249852621846,-0.12856038355820548,-0.13538396370721104,0.21212396621833318,-0.07434541608947756,-0.110153155133728,0.0663452015174746,-0.2884808884034415
Temporal_Inf_R,0.19576579405920064,-0.13476766316986646,0.12224339417048011,-0.219318684234276,-0.0004178772907485726,-0.19505724299938013,0.4694353980114299,0.4909857483495561,1.0,0.10305376038428768,0.005842211265012841,0.25845841238496875,0.06211371770923061,0.1970590000686867,-0.07265933571476495,0.09863687242714624,0.11398835958717628,0.04590923940790334,0.35705354920345445,-0.08569939991249798
Vermis_8,0.2476572088686336,0.2214327970766446,0.31905631361198944,0.10420025137646019,-0.1017074916293708,0.19554555861476866,-0.09759889895325698,-0.17191807186514377,0.10305376038428768,1.0,-0.28380540797506726,0.1035721268038825,0.17699610242670488,0.7152655917617787,-0.025681294026676914,0.08532148328739755,0.04935430012471504,0.04636336009366486,0.29405527404326726,0.25965226110028106
