,VTA_L,Thal_VA_L,Thal_VPL_L,Rectus_L,Thal_PuI_L,Thal_MGN_L,Cerebellum_Crus1_L,Temporal_Inf_L,Thal_MDl_L,Vermis_8,Frontal_Sup_Medial_R,Red_N_L,Thal_PuM_R,Vermis_3,Precuneus_L,SN_pc_R,Cuneus_L,ParaHippocampal_L,SN_pr_L,Pallidum_R,Thal_LGN_R,Cerebellum_4_5_L,Insula_L,Parietal_Inf_R,Temporal_Pole_Mid_R,ACC_pre_L,Thal_AV_L,Cerebellum_6_L,Angular_R,Olfactory_R
VTA_L,1.0,0.16931377513396212,0.0289622874584404,-0.02566387696264865,0.0755698752868179,0.15193217548506394,0.4267559211735712,0.24555871387914122,-0.06563316363536922,0.31333742990190105,0.4995048524364901,0.30454286040264156,0.2768714253838395,0.4283075330715927,0.22007318804039397,0.5192123057565681,0.3165306976991694,0.24445286426906182,0.08011069400170008,0.13564760282310034,-0.16530094450447913,0.2842671750001277,0.16614847826305076,0.380015543202974,0.14243222357729626,0.10764776631707175,0.18107224204259012,0.45901397146088413,0.2480765912330588,0.17549471627976543
Thal_VA_L,0.16931377513396212,1.0,0.48175810201579067,0.27522893786140773,0.4047698977489412,0.3548032438403316,0.1963410327640824,0.48771958709497715,0.34835095972327906,0.18070324438023647,0.5668866965438777,0.37418943954417616,0.5479689865911902,0.5199518811359723,0.3093594947942887,0.17233840460340177,0.24593424376061074,0.5678215642508684,0.500652530962092,0.5810592935499549,0.33397513268875717,0.5998587651722651,0.49548631586096936,0.3480026141546157,-0.0993032614532509,0.5284423291421568,0.46924215886853704,0.24663313901679226,0.1792461921162452,0.3189749449686755
Thal_VPL_L,0.0289622874584404,0.48175810201579067,1.0,0.6042490013040024,0.702425057299799,0.3473920417846951,0.18043949787466543,0.5852216166268337,0.5421029779611267,0.1681229971667249,0.553847239441756,0.621043223880498,0.5502182609922436,0.727229393724364,0.25881378038762937,0.21547239208906724,0.17677266351517892,0.6546357876772776,0.6799800439331857,0.41787358313200906,0.28963372624265354,0.7169122816449686,0.39914674971985215,0.2866000015469473,0.10139991089049469,0.6553748228093065,0.3951289507544525,0.3362339386696466,0.038662146287418715,0.1300079845349829
Rectus_L,-0.02566387696264865,0.27522893786140773,0.6042490013040024,1.0,0.641428596205292,0.383273860753512,-0.012785876269019204,0.29576750348825875,0.6176149131707354,0.38817081567144057,0.32807609701747553,0.37382174629368137,0.34961832206842824,0.43776537413289957,-0.07409775615789939,0.05904468048308863,-0.1928516828844003,0.541961119075082,0.5953653522817998,0.3877168809939456,0.038455412575757575,0.47773159738733467,0.24913589645862408,-0.14095043371394914,0.10030674311558753,0.6255558171483309,0.36257422309058507,-0.042076132105510373,-0.31062843125708167,-0.21976633116813835
Thal_PuI_L,0.0755698752868179,0.4047698977489412,0.702425057299799,0.641428596205292,1.0,0.7112913962409042,-0.11269740874387835,0.3706377193118867,0.8128088429779249,0.11964587895424784,0.5322613806790115,0.4943750681896952,0.320314108569227,0.5725595294941015,-0.06828891891444763,0.17795826640771412,-0.2012764568341338,0.7879266108424685,0.6141459649653302,0.7176979117901506,0.0260066698469892,0.6488381143374531,0.3632603281143942,-0.031718025218561804,-0.2249070887584689,0.7811580380177817,0.583751481654816,0.002791471188860037,-0.30753315015864335,-0.10904353722422484
Thal_MGN_L,0.15193217548506394,0.3548032438403316,0.3473920417846951,0.383273860753512,0.7112913962409042,1.0,-0.05259629590658059,0.33978781584695417,0.6688868106547119,-0.13616968519080933,0.5520249766039861,0.3332489599853318,0.19732387647228283,0.42004862464149756,-0.19129072748254783,0.1654714899260868,-0.2325469846583973,0.679815605819659,0.43977765476052005,0.6951536224902218,-0.21027714726478838,0.4444756633738732,0.35483219058773313,-0.05479810175182346,-0.4316482472718469,0.6363947192748616,0.6932217908491144,-0.058846254502356615,-0.24466736486986096,0.0238503359009248
Cerebellum_Crus1_L,0.4267559211735712,0.1963410327640824,0.18043949787466543,-0.012785876269019204,-0.11269740874387835,-0.05259629590658059,1.0,0.47624137543008727,-0.07903281034542875,0.41834367089443614,0.33964152100957534,0.6117694726847845,0.4245567821962189,0.4910259674065544,0.1542204547455602,0.43631724834425156,0.27663573993970597,0.1060943105890675,0.35715004344291673,-0.023906629044470704,0.021829351699525056,0.3763415068874794,0.294912139165619,0.3214056126392449,0.3283411983280337,0.11406400787247271,0.25775257457976397,0.8254667555281187,0.19724772549075614,0.30787456402323193
Temporal_Inf_L,0.24555871387914122,0.48771958709497715,0.5852216166268337,0.29576750348825875,0.3706377193118867,0.33978781584695417,0.47624137543008727,1.0,0.22384049042087953,-0.007909895025652335,0.5806513458017851,0.5240492618070747,0.5851171288502086,0.6362145968851836,0.30574637291713375,0.153924006446044,0.30425026728610893,0.6074352351084509,0.6210086225054092,0.39156082735162917,0.09711552551734208,0.633486653712726,0.37713975983974196,0.4614284335646467,-0.12964943259329748,0.46372833753940035,0.4886953093909163,0.4675169728281067,0.11025038812991919,0.15104626090397272
Thal_MDl_L,-0.06563316363536922,0.34835095972327906,0.5421029779611267,0.6176149131707354,0.8128088429779249,0.6688868106547119,-0.07903281034542875,0.22384049042087953,1.0,0.10396702163723934,0.38050355936725927,0.4321304120810559,0.25884914205005216,0.3733688753486617,-0.20390160204177202,0.009144102105618118,-0.35733203573861205,0.6418028903074247,0.5682686414875081,0.7102509453435786,0.0334829529327695,0.4957745059145365,0.3824979519328936,-0.22806355115218227,-0.22178068145532365,0.7621717412414248,0.6258893857682342,-0.08095233763383052,-0.4061032425252324,-0.10231987159019676
Vermis_8,0.31333742990190105,0.18070324438023647,0.1681229971667249,0.38817081567144057,0.11964587895424784,-0.13616968519080933,0.41834367089443614,-0.007909895025652335,0.10396702163723934,1.0,0.12549214080178683,0.2628869438676045,0.2661380462675438,0.2978566741295833,0.15566129119063907,0.3853821227718355,0.08718241581785556,0.01696014735891323,0.17916616035176666,0.07024861416560235,0.13419572035673716,0.29455727203334353,0.09757163113124966,0.11278807247506975,0.5020268728586057,0.10631707397757172,-0.04471110197734055,0.40542031559381486,0.05789009876552633,-0.03660115220509088
