,Pallidum_L,Occipital_Sup_R,Vermis_10,Supp_Motor_Area_R,Parietal_Sup_R,Vermis_3,Temporal_Sup_R,SN_pr_R,Thal_LGN_R,VTA_L,Frontal_Sup_Medial_L,Cerebellum_9_L,Thal_VPL_L,Thal_PuM_L,Temporal_Sup_L,Hippocampus_R,Frontal_Med_Orb_L,N_Acc_R,SupraMarginal_R,SupraMarginal_L,Lingual_L,Temporal_Mid_L,Cerebellum_10_R,Temporal_Pole_Sup_R,Thal_LGN_L,Rolandic_Oper_R,Vermis_8,Cingulate_Post_R,Fusiform_R,Cerebellum_Crus2_L,Frontal_Med_Orb_R,Precentral_R,Occipital_Mid_L,SN_pc_L,Cerebellum_6_R,Thal_PuA_L,Frontal_Inf_Tri_R,Temporal_Pole_Mid_R,Vermis_6,Temporal_Mid_R
Pallidum_L,1.0,-0.028239011278192307,-0.04228666872275589,0.5791040594003387,0.0585568730156981,0.024619872707899264,0.5321306821819095,0.25833680453213737,0.17255831395494967,0.07695749104317079,0.5642130447776176,-0.30175176430001527,0.6775490042961133,0.38363911815141233,0.4278290390215369,0.6068943224698006,-0.18204431537655982,0.15645688507685065,0.1993346020942043,0.18867798792148516,-0.30477292242203036,-0.1007889670238517,0.1979105009849881,0.5278652724511914,0.631715010203102,0.5281268444934456,0.385138439715013,0.31328425900258006,0.31159831910032093,-0.3406867539805935,0.2110219029235531,0.15601496417202934,-0.3454614527789838,0.38140993455599675,-0.054200458754007,0.4474374014656394,0.6234322212004986,-0.21369612792883946,-0.0009672178490644976,0.22721212190642381
Occipital_Sup_R,-0.028239011278192307,1.0,0.02422986451627234,0.2877951209080555,0.755901053614096,0.37528013084386624,0.47293560283086006,0.1250524456989716,-0.08614066929739378,0.11710231007375149,0.14307552543539606,0.23278420119569726,-0.19264442795851358,0.31857430581195734,0.32897208188021193,0.03679920942651434,0.10264652317864381,0.22666955062187188,0.687053004755029,0.5109532141454315,0.3153861729884251,0.18350168177113327,0.23159626112705708,0.024248880200340012,-0.15656846087019727,-0.04063974826284783,-0.16787277858314278,0.28232975480142386,0.47263093130214984,0.05441238733896936,-0.30705493460091526,0.25010777817671387,0.3479602699613,-0.0853644058605645,0.2569203249564744,0.08269114915946936,-0.0035324463486470347,0.2991456070673516,0.2777396108683879,0.6961580084624817
Vermis_10,-0.04228666872275589,0.02422986451627234,1.0,-0.02659303289535513,-0.12972635362539936,0.3667923058066476,0.051290820063931854,-0.16652930367902255,0.2937196297384639,-0.04611929824559555,0.04111688552522011,0.5032545261793961,-0.3154878660609284,-0.25699447409007165,0.4914243492772258,-0.3875213552764085,0.18318791703939036,0.16755123413313283,0.22760717595438307,0.16853840017712807,0.5088682261521047,0.6305945999206558,0.4958667968969804,-0.24790571758431554,-0.4098357915574889,0.31327235417059013,0.11886223671766362,0.39952107805052445,0.3647407816194567,0.43736978930565723,-0.184205629857027,0.5153557105378365,0.4218930631960346,-0.08401937890238922,0.623681295171616,-0.3471957667564761,-0.17837724892330678,0.19739717359923223,0.6491178665948718,-0.02998846006075223
Supp_Motor_Area_R,0.5791040594003387,0.2877951209080555,-0.02659303289535513,1.0,0.4645490724288254,0.008588620704388178,0.6200163962478477,0.3231842092521251,-0.039759462581033814,0.29956999730129213,0.4968597189571898,-0.31706513819646603,0.5081985531026981,0.4808474674231462,0.33936433574992936,0.5509183765843448,-0.25577873197490314,0.18811763491926123,0.4703781648082945,0.3190467798440251,-0.2650149105767664,-0.2811374259673482,0.13846795249674929,0.5615826184876908,0.47837643807916735,0.46676447282829625,0.05026342046232353,0.15206876419941498,0.3903328740075655,-0.4513085752101853,-0.039786642415699076,0.4953248731508051,-0.3904919542887009,0.16655717386863586,-0.1278415037862888,0.3916631354063842,0.6850787990622538,-0.21020387546186775,-0.02051425260788736,0.4010468390697443
Parietal_Sup_R,0.0585568730156981,0.755901053614096,-0.12972635362539936,0.4645490724288254,1.0,0.09804255989816059,0.37031935534515925,0.15949162938396066,-0.11282688418192142,0.07633277740493931,0.1582685546691985,-0.24344919232572068,-0.0225754425537492,0.3547766088042375,0.10651680760282776,0.29970903145397987,0.02776184785485576,0.2978790674583364,0.4946768417371797,0.467029815689053,-0.057775882288725135,-0.2085611382601378,0.018602204961621394,0.14042438545140967,0.07704746089974404,0.0019862282255794055,-0.3383805246584888,0.07633174162344124,0.23356055998469202,-0.39653030704645187,-0.1366027395038541,0.1576314974090141,-0.09992972176339822,0.04539947274177072,-0.19333522582926177,0.008515373054185647,0.14114923669361354,-0.09213480483725028,-0.12175305817152432,0.4723993948018725
Vermis_3,0.024619872707899264,0.37528013084386624,0.3667923058066476,0.008588620704388178,0.09804255989816059,1.0,0.33847684821358576,0.30723393452822373,0.1517098387799565,0.011079506697801384,0.1578208768348778,0.5773515973107463,-0.2737378394061191,0.05179679583674899,0.534919271058046,-0.1588852857231098,0.24437040944534222,0.2800815385109026,0.415206227559721,0.2258904258513066,0.6008634961699825,0.6213824374818657,0.5094215536013675,-0.06222722300111685,-0.34544030754084304,0.3352541144581658,0.060630587725633414,0.45085315757662314,0.5546254422060509,0.5323967686165304,-0.11155142562257742,0.38475202371505995,0.562411006781165,0.0032096974541075923,0.7114102644118989,-0.09083096423237755,-0.048683178305084514,0.48212851052448746,0.6723057235654932,0.3927201810346615
Temporal_Sup_R,0.5321306821819095,0.47293560283086006,0.051290820063931854,0.6200163962478477,0.37031935534515925,0.33847684821358576,1.0,0.21421216962463827,-0.08101642069543798,0.06663554756755537,0.6414850154003424,0.08479098129675502,0.32037309505521533,0.5203739412520377,0.623799561836802,0.43590648640975144,-0.08693836540506093,0.2376725850002652,0.7219092770470026,0.36714335013057126,0.19996131735028702,0.0347278006184593,0.28029811852497927,0.6389726689663376,0.268072883322811,0.5843379800517193,0.09142710923469805,0.42712891519971385,0.6836751786017403,-0.14564443103581992,-0.13971017334488178,0.4595528189556771,0.014582854588207154,0.14381202182180144,0.24633097179335323,0.357101091915505,0.6874081676890608,0.1929900680643499,0.2846429471410196,0.821493629547879
SN_pr_R,0.25833680453213737,0.1250524456989716,-0.16652930367902255,0.3231842092521251,0.15949162938396066,0.30723393452822373,0.21421216962463827,1.0,0.023360223773511955,0.41060846992764816,0.0945033060923877,-0.0646140924594599,0.34755163303829,0.3172677980852279,0.09534026481741688,0.4618991648850733,-0.25619772525684104,0.3744326053045534,0.03599549476452121,0.01253171168159265,-0.16364967443121323,-0.14285573120172598,0.1957875619459529,0.2801131292441069,0.29014274239509524,0.23516797154695965,0.11594096248176025,-0.012161540455725402,0.1779517742096272,-0.055088000077350985,0.3343650838572139,0.07137438266714877,-0.20226798203859012,0.10595818661293739,0.009924681711096823,0.3824562284894795,0.27585907628420087,-0.011079316186620555,-0.008529795389527976,0.19126892959361105
Thal_LGN_R,0.17255831395494967,-0.08614066929739378,0.2937196297384639,-0.039759462581033814,-0.11282688418192142,0.1517098387799565,-0.08101642069543798,0.023360223773511955,1.0,-0.004389345719075794,0.106933708407193,0.14093601055033325,0.06306045172476082,0.011065011428926724,0.2851539108335412,-0.08032333213956504,-0.06688746550907419,0.08612646745945726,0.02503549351714718,0.2384475485054379,0.1839140135762341,0.3462573749218089,0.23130157534800216,-0.14907445243221154,-0.08054862600340326,0.08512161514670881,0.043988450834399596,0.27652648989902606,0.006642212234095724,0.17499892531575822,0.028686756452685626,0.09803510391434214,0.15319254810117652,0.09342508263478908,0.21120975732564545,-0.07125240349824889,-0.12399491155924851,0.10147457075990836,0.15402489436147299,-0.17011019917983514
VTA_L,0.07695749104317079,0.11710231007375149,-0.04611929824559555,0.29956999730129213,0.07633277740493931,0.011079506697801384,0.06663554756755537,0.41060846992764816,-0.004389345719075794,1.0,0.007675627201850012,-0.13286285347329854,0.25558016299872854,0.1751286741895748,-0.07269461591483306,0.18037353101445175,-0.20043437403297248,-0.011635624018668248,0.002639791003524787,0.049682559365218384,-0.20890027644891213,-0.20570205552580012,0.0019192534351371831,0.07700237567450283,0.2419407601403099,0.04421103501797196,0.02185109234333366,-0.0053165363291785344,0.006097077850815561,-0.1349179564465956,0.027807460908399195,0.08159088726332402,-0.21292035159286027,-0.15477232761270368,-0.10106340605361687,0.2916084848773528,0.12816571364328844,-0.12766639647925027,-0.051459389737638375,0.049995159369355856
