,Frontal_Mid_2_R,Thal_VA_R,Frontal_Inf_Tri_L,OFCpost_R,Insula_L,Vermis_7,Thal_PuI_R,Cuneus_L,Caudate_L,Angular_L,Occipital_Inf_R,Thal_MGN_R,Red_N_R,LC_L,Temporal_Sup_L,Frontal_Inf_Tri_R,Lingual_L,SN_pc_R,Thal_LP_L,Raphe_D,Temporal_Mid_L,Lingual_R,Pallidum_R,Hippocampus_L,ACC_pre_L,Cerebellum_8_L,Postcentral_R,Temporal_Sup_R,Cuneus_R,Insula_R,OFClat_L,Calcarine_R,Frontal_Inf_Oper_L,Precuneus_R,Parietal_Inf_L,Thal_VPL_R,Frontal_Sup_2_L,Putamen_L,Frontal_Med_Orb_L,Temporal_Inf_R,OFCmed_L,Temporal_Pole_Sup_R,ParaHippocampal_R,Cerebellum_Crus2_L,Cerebellum_Crus1_R,Cerebellum_7b_L,Thal_MGN_L,Cerebellum_Crus2_R,SN_pr_R,Cerebellum_4_5_R,Thal_PuA_R,N_Acc_R,Rectus_L,Hippocampus_R,Supp_Motor_Area_L,Frontal_Mid_2_L,Cerebellum_6_R,Amygdala_R,Cingulate_Mid_R,Calcarine_L
Occipital_Inf_R,-0.20162896739056382,-0.058675698203801356,-0.3109985614433991,0.1379724087522329,-0.22920414414357787,0.011349588921460211,-0.14248449773673744,0.42321315288471467,-0.4082292012305485,0.24758413536874954,1.0,-0.09232357102612672,-0.1483094245277895,-0.05428932862854349,-0.3095036546139972,0.02141282872837669,-0.03733696332292519,0.10183780124382338,-0.1699684860300638,0.008425914000456898,-0.43428093940875684,0.0855060340130429,0.03488180478991556,-0.4029504588970992,-0.2531400410506558,-0.08356081893001865,-0.21187230447775574,0.31452461408594373,0.6223604398767546,0.021996591469343192,-0.20506786623166673,0.2237735861142545,-0.2769078503995455,-0.0651036382720512,0.2195294186409552,0.043165518593522405,-0.005897702937843373,-0.29760839808141965,-0.14120989449246077,0.3494194256522469,-0.04491102169825835,0.26890967482893585,0.05828078708000899,0.20842238219821332,0.5830162868182581,-0.016388634527764057,0.051332281769302546,0.27103674384530846,0.06342445763156783,-0.2693467242205382,0.022476213853756956,-0.05401317073154794,-0.10628982901878443,0.07501168558854898,-0.046828836702058,0.012941076697541756,0.19105216908251632,-0.13646933090022373,-0.20403419278649276,0.12777158570443858
Thal_MGN_R,0.3783248836491879,-0.11989442481179549,0.04431612701189448,-0.4145150259777312,-0.24890032252764002,-0.7683530721946759,0.6350594687548986,-0.6037485309970404,0.14321705566388768,-0.23433464339717633,-0.09232357102612672,1.0,0.2482571803581532,0.6140507299124008,-0.1763418240471981,0.04056351917271008,-0.7156660797531768,-0.3882839504230699,-0.2217081220538701,-0.4392740015651743,-0.20341183766171367,-0.7211880462219092,0.2680410911712822,0.36694361149189636,0.3127264324125271,-0.8117114392444724,0.506861814560746,-0.4335623891161146,-0.10714012482007786,-0.20338942451162803,0.18485705326867014,-0.6691894944124929,0.02628971965658386,0.16350381675729794,-0.03952034157566378,-0.6926374363644817,-0.08188650963837109,0.16737745853681976,0.36394435279741805,-0.6311784631865162,0.40026813485734847,-0.7479515541036942,0.1495545954817899,-0.6764624886784858,-0.5365709807491325,-0.5999750643081927,0.18712281672986006,-0.7418768124438756,-0.3160408030986751,-0.013916210109706005,-0.1921942246442332,0.20805765205584167,0.48416831189362225,0.16822849959961966,0.06651124878833248,-0.2640243722821122,-0.7553488230028965,0.4134859311804522,0.0343714411260026,-0.6664033918779411
Red_N_R,0.5510910478015689,-0.4143230065789298,0.2071693561318811,-0.4027480352389636,0.01011522172520778,-0.2991180275810132,-0.10487430804487145,0.2188951650629174,-0.0968897440119994,0.4898968516873049,-0.1483094245277895,0.2482571803581532,1.0,-0.03902314168101507,0.2511929322810542,0.1933353554863843,-0.04242531153075925,0.359643375724034,0.12611468653227437,0.2112742761664848,-0.18129152803502127,-0.03043181730522065,0.08291290906116912,0.25367717220478325,-0.14747058498388912,-0.06536009790106004,0.6363051383001674,0.16216768063372375,0.3541251559625959,0.06942575672765887,0.050554465899769425,0.15307329441988943,0.2558044092215851,0.7767647977293595,0.6098135626829326,0.11624660120475486,0.3894331237804052,-0.11759557588037205,-0.3869144128154633,-0.34928993329398117,-0.22161850388038232,-0.32601442016085047,-0.15329138505893325,-0.030626707185123767,-0.0044025074057648175,0.15597159549987366,0.3038226189385236,-0.04696902738351936,0.35728104872488187,0.2784677611423746,-0.025842379745374486,-0.17234574145577364,-0.09940426052300132,-0.019379215369863374,0.7276287284194104,0.3642712180593964,-0.19301137501711144,0.25334332918168156,0.3472249237039947,0.16527925142882452
LC_L,0.23500361112469662,0.26578167597206676,0.24730737039251,0.06924127128529924,-0.09722257384397945,-0.5604294343321633,0.7527039989300464,-0.6104598030455377,0.4784965846645802,-0.47237554365614526,-0.05428932862854349,0.6140507299124008,-0.03902314168101507,1.0,-0.022254912596103668,0.12636100205792578,-0.5646373896932277,-0.5128435380139582,0.0922140932813179,-0.661635897106459,0.09158246772542768,-0.6201355258588207,0.4691470400773482,0.5413696958743118,0.5031877913214633,-0.6282662383577837,0.200731279119779,-0.44950298581887765,-0.30005378746957284,-0.029819457879834657,0.2694475940115767,-0.7098151648307017,0.04526244512732701,-0.09308440753210877,-0.3501004481673391,-0.46351849968390113,-0.031370109122012116,0.47339076497499466,0.5913564782507446,-0.38123582461224176,0.7047354436791795,-0.5406930345056599,0.5222633065158179,-0.6747546456114537,-0.6109879340721117,-0.5940991383046326,0.20157918842266914,-0.7450259778992863,-0.437107757698797,0.159478592488552,-0.015884406267974382,0.44253719991900053,0.7837068986053234,0.4642613094737768,-0.24869068165671618,-0.2878643895209271,-0.6410743842449115,0.53277449315957,0.08888391115290048,-0.7277614218553016
Temporal_Sup_L,0.09098911619953824,-0.18393511598342613,0.7180741114755053,0.15770586262554792,0.5452042932392653,0.3361673687300182,-0.17504739744920222,0.219527416228326,0.36291838948158256,0.30234895967443753,-0.3095036546139972,-0.1763418240471981,0.2511929322810542,-0.022254912596103668,1.0,-0.024787553267351686,0.528461021200808,0.25217860394080627,0.4767553614445789,0.39204442486035224,0.5606417425296261,0.5005109319447726,-0.05228632421691769,0.4955674390252545,0.09542908104956396,0.4868503770112544,0.04909233497904521,0.22151249603142037,-0.07157552998827563,0.5476044218711884,-0.06283111855923909,0.3713421822018469,0.7135143423805301,0.4078997721792201,0.31124464119111384,0.517130876769169,0.5348494663984186,0.13543526620823307,-0.1470039588675121,0.04556273167280561,-0.29043902492160173,0.15012994625130688,0.15843857032622213,0.29129845428609147,-0.0048535246323442825,0.466150896943514,0.051099113789430835,0.21771970429329482,0.18978545179433132,0.5294745862112582,0.16749430594251452,-0.22723258743667663,-0.19575220035988816,0.2742044212114316,0.28899378826972416,0.5082511960873269,0.3164847394486801,-0.14118300927397223,0.3779434598295375,0.3884618637365011
Frontal_Inf_Tri_R,0.6757542846755431,0.2737378172816068,0.3173774424566775,0.2063106540933435,0.5503222276666354,-0.11047242782960255,0.2224635208004663,0.1485392905659872,0.08176715499500113,-0.0037107937191268657,0.02141282872837669,0.04056351917271008,0.1933353554863843,0.12636100205792578,-0.024787553267351686,1.0,-0.017634972431621727,0.31050088600363274,0.32591453127869163,-0.11470591587248012,-0.36857551694299895,0.03837704408444142,0.6098981392224371,0.30419959735164226,0.32666665540372897,0.05427990262258123,0.27029652816314076,0.5034667090867899,0.043009040035868126,0.5756484283453316,0.5100269581529592,0.061754168190488824,0.16098090592173137,0.2625180636034019,0.0906753252482438,0.011411991019707633,0.5105596803477863,0.5545828900213697,-0.05256005914286492,0.10729525676592076,0.10108742943660907,0.13938109796741416,0.30348886122521934,-0.0323278199300493,0.0648993872570488,0.06874387943464617,-0.043146476098992165,0.07010133467255923,0.32612654745863057,0.4380676247453793,0.4166878793212455,0.3907066737959297,0.19974449222313198,0.41268706905128144,0.4379463949374698,0.4588820099075655,-0.061497090204184604,0.4329218837053971,0.79691688561208,0.058787097149772434
Lingual_L,-0.25880522352840885,0.003937278422751248,0.20788478643326563,0.4048089595780833,0.5227664264769735,0.8757897034068394,-0.6435816614062171,0.6452770534551194,-0.03847850746338794,0.35557607439738514,-0.03733696332292519,-0.7156660797531768,-0.04242531153075925,-0.5646373896932277,0.528461021200808,-0.017634972431621727,1.0,0.5225287512884179,0.3761736055401694,0.7064647376577179,0.38382914734351087,0.9636377016318046,-0.17536520384571766,-0.04864232733357099,-0.27368808296355535,0.8858032706635723,-0.38357118880644775,0.6295002589998971,0.13511906217278433,0.5149110651626709,-0.22828212441265128,0.8242242692035482,0.282117080756688,0.10461802511943767,0.18380269279074027,0.7769099395319597,0.2593558175583172,-0.07903003604638474,-0.418809918566314,0.6337133860389574,-0.5389733540058264,0.7460589404774947,0.06807088642719868,0.7766597208909976,0.5001523571454348,0.6987826513613575,-0.06229983361318813,0.7699344342273603,0.4584722169543198,0.39737815647811475,0.3346385568515575,-0.2623861181310615,-0.6124958958625414,0.12983487349354256,0.08804026172146216,0.425189916601718,0.881519386798815,-0.4762609325601195,0.18787527533337178,0.8240692781741459
SN_pc_R,0.16384393777024317,-0.255760600933767,0.0683232906224462,0.1066630259623482,0.37774181797688,0.34329771794693414,-0.5568921842377323,0.6885704353412732,-0.36931918886675696,0.5882904496435752,0.10183780124382338,-0.3882839504230699,0.359643375724034,-0.5128435380139582,0.25217860394080627,0.31050088600363274,0.5225287512884179,1.0,0.3204353243592148,0.5230910199504268,-0.21399627501270485,0.5995197112284685,-0.061940928175376504,-0.03391500301693632,-0.3336083171449679,0.5010311977863562,0.08111884510043028,0.7084405492332924,0.4493084845995202,0.4017712588842996,0.06989631141128543,0.6963808711332371,0.14408502988963914,0.41722327657164837,0.5228316403185181,0.5155924556099345,0.3806394193732438,-0.19344605705675857,-0.6131956962894318,0.3093259848236519,-0.6007886405490289,0.47013486655891357,-0.16282943013588103,0.4789732334663882,0.49993561365587985,0.47469014524289876,0.05039464127879737,0.6299029350087273,0.6591509848968872,0.18835682396085562,0.1327236704067367,-0.29213307513549874,-0.48768959809950874,0.04061772432442261,0.511172334276694,0.49937456745215697,0.4770696807875972,-0.23929626349469427,0.31318739476182805,0.6627602989674382
Thal_LP_L,0.16424247366440708,0.2471457712278819,0.39355134008820497,0.39783323888133604,0.46456739321670526,0.2830863327290681,-0.049264190077728455,0.2495359289005249,0.2839498066435713,0.10456939748904123,-0.1699684860300638,-0.2217081220538701,0.12611468653227437,0.0922140932813179,0.4767553614445789,0.32591453127869163,0.3761736055401694,0.3204353243592148,1.0,0.054164470384191823,0.11756640962943228,0.3558083876754748,0.41743717371099165,0.384196851357132,0.06864291975713195,0.4053884154069219,-0.0995444656694634,0.36162083138494455,-0.06933328281618265,0.40896517344856964,0.23623510636434183,0.22687927418925105,0.31302111056410525,0.1470913496088994,0.05088025655607341,0.510089656913372,0.48246876397409677,0.4066015795527942,-0.20965802408092557,0.26248398627608116,-0.024370984601964227,0.31649236443713447,0.3103801914466133,0.14658907147156244,0.04523162347443142,0.22796755644689765,-0.029448135535450122,0.27453774170031536,0.28408431952381286,0.48808777834429096,0.4757043687647578,0.2017573042318013,0.06083710782775892,0.39655302128802794,0.18970826125380097,0.48524170982317777,0.28319655409023103,0.16879393218354788,0.44918450709490493,0.2004415740801375
Raphe_D,-0.0580995335941212,-0.3111876568146956,0.027725773452276222,-0.047463885813262115,0.35751113633177406,0.5953818321224085,-0.613614046485307,0.5176853045191894,-0.24588531813679768,0.4441609169900507,0.008425914000456898,-0.4392740015651743,0.2112742761664848,-0.661635897106459,0.39204442486035224,-0.11470591587248012,0.7064647376577179,0.5230910199504268,0.054164470384191823,1.0,0.22520374480924274,0.7398487607667401,-0.4052153115230142,-0.11366795517139622,-0.28958261259867923,0.6434042954012792,-0.018126427498075443,0.5205327632513249,0.3224992418412863,0.35279672677171603,-0.27147469342261743,0.7425184576601429,0.24606656635151947,0.2890251792745068,0.4269726274721113,0.5414749963223302,0.12203516197863414,-0.3581652708255956,-0.49772360596237514,0.2943667122823766,-0.7061586684767142,0.43384948690910613,-0.2757591664940906,0.6477064096764915,0.4971572970936311,0.6681544364625966,-0.13838538949681736,0.611637129186049,0.4432341949671415,0.12618381515673827,0.06004207662200882,-0.5320339000052644,-0.7776998078546987,-0.16676361696627026,0.33771988316099233,0.3343663496816049,0.6689288371691544,-0.5581517734503268,0.09938951843966631,0.7753582330997674
