,Thal_MGN_L,Hippocampus_R,Raphe_D,Frontal_Mid_2_R,Thal_LGN_L,VTA_R,Thal_PuM_L,Thal_PuA_R,Rolandic_Oper_R,VTA_L,Vermis_3,ParaHippocampal_R,Thal_AV_R,Putamen_L,Frontal_Inf_Orb_2_R,Rectus_R,Thal_PuI_R,Vermis_4_5,Frontal_Sup_Medial_R,N_Acc_L,Thal_MDm_R,Supp_Motor_Area_L,Frontal_Inf_Oper_R,OFClat_R,Frontal_Inf_Tri_R,SupraMarginal_L,Thal_MGN_R,Thal_IL_L,Cuneus_L,Precuneus_R,Occipital_Sup_R,Temporal_Sup_L,Hippocampus_L,Putamen_R,Occipital_Sup_L,Vermis_9,Occipital_Inf_R,Occipital_Inf_L,Frontal_Sup_Medial_L,Cerebellum_4_5_L,Temporal_Inf_R,Cerebellum_6_R,Temporal_Pole_Mid_R,Frontal_Sup_2_R,Pallidum_R,Parietal_Sup_R,Vermis_8,Cingulate_Post_R,ACC_pre_L,Cerebellum_10_R,Cerebellum_9_R,Vermis_1_2,SupraMarginal_R,Calcarine_L,Precuneus_L
Thal_MGN_L,1.0,0.26398752318563273,-0.13838538949681736,0.01751829593089016,-0.046744405735556466,-0.06159492454423054,0.15378498467752572,0.020154089223200777,0.04978803120815008,0.06842946666097571,0.22553620651486347,0.2932707833073383,0.04399326383877243,0.03987221533681747,-0.005392086282094355,0.2513094915192075,0.15495363596546105,0.09190291012048182,0.014567806310236504,-0.0023087852700008705,0.05672927177096814,0.024673366022440465,-0.08776015320217319,0.05507576796420587,-0.043146476098992165,0.024402130102403666,0.18712281672986006,-0.20730944010836555,-0.04791134768062599,0.12335412389999063,0.12462219897261681,0.051099113789430835,0.2794926505458109,-0.027416404543228787,-0.03461080931212815,-0.13845121238816702,0.051332281769302546,-0.0681096052436026,0.11614228747808503,0.12024250312685632,0.02352215696231774,-0.12319183254504827,-0.20761716854929677,0.04211282933710867,0.18322257268285805,0.04377145385571668,0.038265532298463405,0.14162424833425036,0.0068001572690339985,0.18935800177625353,-0.21482799697114965,-0.20172663641949298,0.01516828772388221,-0.18549603545309534,0.16324901748715706
Hippocampus_R,0.26398752318563273,1.0,-0.16676361696627026,0.1730413866246449,0.280691341594224,0.08360345558382297,0.5458539107968611,0.47487333351293687,0.5471399878210991,0.2325585349948279,0.5836633724703643,0.7857762559116542,-0.23222385843276572,0.6357833756290132,0.445462795314537,0.399539737172759,0.4062619128015073,0.5456357917533354,0.33924728918842534,0.3802550941178531,0.2734547109006289,-0.11426106006521042,0.4165197220495823,0.5148218206122893,0.41268706905128144,-0.2053856835526596,0.16822849959961966,-0.00554865139310728,-0.08507188856421499,0.004749357242215575,0.08550416795087813,0.2742044212114316,0.6294882638667715,0.6554006973104404,-0.052070702963349785,-0.08664762814168572,0.07501168558854898,0.06182173535830381,0.37918475677824204,0.5865194485821436,0.20548237050368803,0.03293613899697203,0.1071544827469799,0.14688445281033968,0.6756862290751701,0.02683006790185424,0.1892522207951203,0.4047598168133629,0.4655009768350266,0.5779984694725887,-0.03823646316898371,-0.1612327103981011,-0.18664036631216516,-0.13903828866898899,-0.09865616053059753
Raphe_D,-0.13838538949681736,-0.16676361696627026,1.0,-0.0580995335941212,0.04810045265904316,0.5016517978493501,-0.408865421732029,0.06004207662200882,0.12120491998026131,0.3804229577466493,-0.3048417604853743,-0.2757591664940906,0.45152530807680363,-0.3581652708255956,-0.15817979169114962,-0.7170753019354978,-0.613614046485307,0.3615982623066278,0.12914458258265119,-0.35769005474900806,0.468059380200266,0.33771988316099233,-0.17973365013780587,-0.30754130194230184,-0.11470591587248012,0.5318796322408567,-0.4392740015651743,0.23652397608127426,0.5176853045191894,0.2890251792745068,-0.12269360358448253,0.39204442486035224,-0.11366795517139622,-0.1759333701155088,0.24356585414997692,0.707076361500881,0.008425914000456898,0.4284822004883908,0.18226144062240443,0.20474431187520384,0.2943667122823766,0.6689288371691544,0.41770482479770815,0.04744667762568999,-0.4052153115230142,-0.13110893412335983,0.3817428265317861,0.4266446598939128,-0.28958261259867923,-0.25304510459382773,0.719442389408875,0.7723034712985462,0.13029903753705993,0.7753582330997674,0.15639674085147967
Frontal_Mid_2_R,0.01751829593089016,0.1730413866246449,-0.0580995335941212,1.0,0.06521588630098464,-0.40575781971377883,0.2160232805952938,0.12024829841777103,0.5146622858600568,-0.4406671028616565,0.29855816747334457,-0.061299835597068364,0.011508171182496744,0.25809993437632683,0.3920253184470859,0.05383796140687117,0.29481930683910923,0.03900337674650575,0.5909453606011318,-0.14461767006999432,0.03528869345860097,0.7052012911010325,0.7625384125511764,-0.07301873114542126,0.6757542846755431,-0.022676208438093988,0.3783248836491879,0.15274011887596295,-0.05786935875771907,0.6546390338079264,-0.03013815184505481,0.09098911619953824,0.40162021884817384,-0.0799222733891436,-0.09329296649722343,-0.1848785546406543,-0.20162896739056382,-0.3701195810576477,0.39509560838103186,0.26415099544322823,-0.5029795170664767,-0.43507084636746923,-0.51651292912832,0.946540409389561,0.35105459396973115,0.22142369366725953,-0.37429726858384094,-0.12226583039961943,0.2152194268449363,-0.14030142298083603,-0.3306779931581286,0.1994932890694966,0.74408683040015,-0.0999366808383436,0.5572603796776696
Thal_LGN_L,-0.046744405735556466,0.280691341594224,0.04810045265904316,0.06521588630098464,1.0,0.008876159602874793,0.3391403500844647,0.26249027279601794,0.18883596350007056,-0.06125246078666535,0.25058054833314786,0.27849663688358134,-0.5631861864736054,0.4123446472585825,0.47905391459017305,0.12239902460533453,0.2645451579251101,0.15252021033426627,0.18287137528011327,0.19942344759526903,0.09701451969727733,-0.12990763699665733,0.18315280078732304,0.4279101376332413,0.23523545837825996,-0.3038875160268535,0.11554726859075005,0.3419652382784696,-0.25730887021513627,-0.2163207591084382,-0.044311679394996584,-0.21809084851621968,0.23774830830590862,0.3700216620982636,-0.13437872356945427,-0.2019029466678491,-0.13156076684501275,-0.04112865257604399,0.16558254407121437,0.20342648563908583,0.10388736302408964,-0.07707889576942302,0.087448710325841,0.008824285393975024,0.3485508125274604,-0.13734014931897906,-0.08233312980959404,0.020663568328117613,0.49609313697053564,0.025274072350392963,-0.09961051729516565,-0.1583949038016919,-0.20303608765787948,-0.05353659522735887,-0.1831254115640606
VTA_R,-0.06159492454423054,0.08360345558382297,0.5016517978493501,-0.40575781971377883,0.008876159602874793,1.0,0.09061973802075714,0.17002312724857163,-0.04372401971571506,0.7383599055326345,0.04773663437696944,0.18572093149260074,0.1337133648861192,0.038138838073407545,-0.18487994191446178,-0.18548757974612937,-0.20735955853688695,0.45109747159107677,-0.01935788747929519,0.20993569662759995,0.470509329749408,-0.2849781108949709,-0.32375386999652017,0.060285986162672396,-0.26945660108886604,0.04471376094310317,-0.4102612841993394,0.20296943164485506,0.12031828203560564,-0.29991198570668387,-0.24884197173830575,0.34388736537351106,0.02218309736622961,0.3113285132330652,-0.10041560391963875,0.5478462735178339,-0.034593774097320874,0.3016414287384275,0.14208348358500747,0.24287058827113853,0.46372799444852986,0.603955762005162,0.5614506362956111,-0.31275634702817245,-0.1690550048053404,-0.35126231839246547,0.5082217708735396,0.5103339141843112,0.035581337549811826,0.2977353568712291,0.593732918785681,0.2317244148198184,-0.449559844790241,0.3005060690481338,-0.40843231928415197
Thal_PuM_L,0.15378498467752572,0.5458539107968611,-0.408865421732029,0.2160232805952938,0.3391403500844647,0.09061973802075714,1.0,0.42347602751743446,0.18601396799954278,0.03960617237370554,0.7660162104776275,0.5965645729470291,-0.5192323954319135,0.7901240164797979,0.3920190715251977,0.6439224907803417,0.7195287732836607,0.3584876118726577,0.29966901069496316,0.7108498738152204,0.22593756497980394,-0.27332093369989896,0.3479036567084542,0.45048433111940145,0.23267429415779667,-0.5440126352798287,0.3246213375318132,0.3448761256922746,-0.6142114012129637,-0.24908745630011675,-0.2426719849136175,0.13143905676995335,0.663514511751563,0.7183193805605875,-0.5847527756175375,-0.3091168177670652,-0.3017600827035566,-0.3685570824457803,0.39369615784516976,0.465092199083128,-0.08920313000410961,-0.306583485247716,-0.1363281929209601,0.19270084444001978,0.6222371504695428,-0.2628646963909174,-0.07422081528301176,0.14402215786594874,0.7061479150792161,0.5696987055487661,-0.3169682923132197,-0.44771554805071995,-0.31536487561247034,-0.5557942835439704,-0.30850717743554634
Thal_PuA_R,0.020154089223200777,0.47487333351293687,0.06004207662200882,0.12024829841777103,0.26249027279601794,0.17002312724857163,0.42347602751743446,1.0,0.5326357172208028,0.30707379763993425,0.5261763434608744,0.4653153830963646,-0.27067706522501367,0.5790192934708713,0.5596005117506625,0.03531752914651599,0.1124759078385197,0.5993816546794556,0.45268146803648507,0.15221385983299202,0.5160988996052025,0.09597250392788015,0.27601908050086754,0.5787955676230144,0.4166878793212455,-0.1219787447810692,-0.1921942246442332,0.0321573630905451,0.1582105532191991,-0.06341408135191569,-0.14034795971725136,0.16749430594251452,0.2708376379823136,0.5451643636923862,0.014195199567223619,0.18207002868611413,0.022476213853756956,0.32883322479726673,0.4638623833835269,0.6580983039990177,0.5213205621207451,0.36698342483598156,0.4404632964487472,0.11803898824321968,0.5707336526886962,-0.1263279637608416,0.5059434578935015,0.5941726107391684,0.2180148226113487,0.5036196084377508,0.2944284983319929,0.10518798580249245,-0.298340680138479,0.10365296662664589,-0.34174295979741764
Rolandic_Oper_R,0.04978803120815008,0.5471399878210991,0.12120491998026131,0.5146622858600568,0.18883596350007056,-0.04372401971571506,0.18601396799954278,0.5326357172208028,1.0,0.15065536548611305,0.35728210868067123,0.40932131032201974,-0.06497893925324494,0.5009653385790847,0.7141633579364519,-0.049390416041482844,0.05749906288245094,0.521577561933779,0.6500994194367264,-0.07406388231201103,0.28404599801166674,0.4304501700241681,0.695302447892309,0.44078077930372367,0.7893345399031051,0.10383864019975014,-0.08068872518287927,-0.017342114391360644,0.3127452617811122,0.37620584054730954,-0.01622419457319019,0.28215313237114115,0.3265343040258033,0.41375865101569553,0.1544950652738823,0.13241061504363974,0.06368226846945396,0.2697005513116796,0.5596168625686351,0.6088417028163235,0.25211426179370794,0.17946469341699478,0.14654603065468055,0.5070886471962429,0.5036424596536268,0.12591366893141745,0.2713254638497573,0.41011811755925875,0.2488076097123881,0.21759621596749718,0.15793715640069328,0.2882327041849411,0.1981180294076796,0.2879850165334279,0.13434527672392801
VTA_L,0.06842946666097571,0.2325585349948279,0.3804229577466493,-0.4406671028616565,-0.06125246078666535,0.7383599055326345,0.03960617237370554,0.30707379763993425,0.15065536548611305,1.0,0.08363774928004505,0.3369716008925759,0.16503286340210768,0.15902538249838977,-0.01171250435942618,-0.2100549767853823,-0.2822147588902485,0.502065660967969,0.08263890259380448,0.1914772873693683,0.44016319124103814,-0.2886648384542048,-0.20361877188602753,0.28774566094672427,-0.04874685737102082,0.07737715655597041,-0.607058202260848,-0.018332267809425734,0.3121270982484068,-0.3225901765403999,-0.24075786685099568,0.3742683434909522,0.0348094953648533,0.4069189152549108,0.032093024919303825,0.6002699213700721,0.029294782784291394,0.5299658229107854,0.21503743297161698,0.345265933141356,0.6942757049595429,0.7231049678409617,0.7525797891218493,-0.3520260288760393,0.004929977314389788,-0.31420035147135184,0.6924191912052632,0.6628153068180844,-0.01473736087552811,0.4760344349933521,0.6952845341903371,0.23092884107185263,-0.5299795303414195,0.37806240658313983,-0.5092011917547373
