,LC_L,Thal_IL_L,Temporal_Mid_R,Caudate_L,Temporal_Mid_L,Temporal_Pole_Sup_L,OFCmed_L,Amygdala_L,Thal_PuM_R,Temporal_Pole_Mid_L,Thal_PuI_L,Putamen_L,Rectus_R,Thal_VA_L,Hippocampus_L,ACC_pre_R,Pallidum_R,Cerebellum_6_R,Thal_VPL_R,Precuneus_L,Postcentral_L,Frontal_Sup_2_L,Cerebellum_Crus1_L,Cerebellum_8_R,VTA_L,Thal_IL_R,Thal_LGN_L,Lingual_L,Frontal_Inf_Orb_2_R,OFClat_L
LC_L,1.0,-0.012203586709559924,-0.4922195477746552,0.4784965846645802,0.09158246772542768,0.03675978653377511,0.7047354436791795,0.6339181784777109,0.3322090394006888,-0.4982472614225849,0.6522024263834262,0.47339076497499466,0.7849390738955186,0.2628649498530853,0.5413696958743118,0.46395279346841073,0.4691470400773482,-0.6410743842449115,-0.46351849968390113,0.06587754092527841,-0.370755257040914,-0.031370109122012116,-0.7715408128463582,-0.7175960963773786,-0.28527960885280873,0.6947149091168519,-0.01867554884708754,-0.5646373896932277,0.13140890436144026,0.2694475940115767
Thal_IL_L,-0.012203586709559924,1.0,-0.4088872926401255,0.4674882939173967,0.5301670580999155,0.29228306020095784,0.0199059352579128,0.3458069314308419,0.11918625823641606,0.035344011753078,0.4221053980137137,0.21763454414115554,0.021746144382954316,0.42853969353890625,0.2978396592183248,-0.008737132850997672,-0.032500677107446474,-0.10575274339199017,0.09285970333636061,-0.022461991952455317,-0.06114182853231724,-0.05995910149942879,0.09975712991337948,-0.12332828286195069,-0.018332267809425734,0.03583346149285916,0.3419652382784696,0.04464730727398981,0.061743336777369935,0.1355786602754991
Temporal_Mid_R,-0.4922195477746552,-0.4088872926401255,1.0,-0.283314201996091,-0.18271801152156658,0.16879675905668512,-0.32932868871873305,-0.5445531338237675,-0.2323717308860278,0.6390999748486272,-0.45154886573626124,-0.06826042415859236,-0.42039341672512015,-0.18547473426568528,-0.2768508146360083,-0.09209124130150366,0.042694036376252346,0.8576247146195307,0.5885154738176656,-0.3193417785744478,0.16903923433816775,0.30486523212913635,0.5486577429638411,0.8237212021609601,0.6375890271470207,-0.3611004902561954,-0.058190637977536826,0.6905201592019072,0.11752901315412698,-0.20161581895298997
Caudate_L,0.4784965846645802,0.4674882939173967,-0.283314201996091,1.0,0.6062201603889282,0.5999208877645644,0.5761003347278362,0.6921884200974523,0.41754429172067525,0.06570248263745104,0.6911139508535692,0.7757404674388764,0.6042000781062299,0.6547789719061342,0.6766507932797388,0.5061633815071837,0.4918292269757494,-0.16282275552321307,-0.044605885569968605,-0.3005890592443146,-0.30803639718783976,0.26733636414623746,-0.2917752572403403,-0.27156697793570095,0.19993332915557813,0.5006330606568263,0.31071371008478377,-0.03847850746338794,0.3267869865842975,0.30628211744103034
Temporal_Mid_L,0.09158246772542768,0.5301670580999155,-0.18271801152156658,0.6062201603889282,1.0,0.7453091123916344,0.0704872468159629,0.1487598515714579,0.07115279926505237,0.4807033035147636,0.3535758114873865,0.1817987175154568,0.11503852016845845,0.34292225493438483,0.35095162045494116,-0.06976899805023734,-0.17300269844968627,0.17476444473956648,0.25505499891216665,-0.2385995487138383,-0.2569845282180928,-0.08393146094473941,0.12759842207887875,0.047314565539566845,0.4200288956983945,-0.19936095886585067,-0.06278612772300354,0.38382914734351087,-0.19641980414783777,-0.09887825416179187
Temporal_Pole_Sup_L,0.03675978653377511,0.29228306020095784,0.16879675905668512,0.5999208877645644,0.7453091123916344,1.0,0.21438330975766104,0.15937142126220843,0.042372214734395196,0.702411324739868,0.35566674778763496,0.47811202239891804,0.15656735914051562,0.4913465528154382,0.2510429570702691,0.059476810730837555,0.14483718685173108,0.3722255791235222,0.3692943039392822,-0.6253882057306989,-0.41179780380905784,0.021525048260687137,0.1829422264785835,0.2999461255177889,0.6403608904844261,-0.029883866808434675,0.027916726656890014,0.48019307963068486,0.1410548770895028,0.0624279748939077
OFCmed_L,0.7047354436791795,0.0199059352579128,-0.32932868871873305,0.5761003347278362,0.0704872468159629,0.21438330975766104,1.0,0.723504978069387,0.1499848557377345,-0.3411374301386463,0.6174688226573863,0.5944166390604122,0.9031574324832831,0.590792547126407,0.3717856168732348,0.491038581934624,0.5470929880089145,-0.5134884707005439,-0.46239172413736834,-0.3095915755721798,-0.6106365443422791,-0.07801890980355453,-0.7447688419933923,-0.5941395378410261,-0.1059359432864281,0.7270987867081398,0.22381574247350128,-0.5389733540058264,0.32049539814620015,0.30855718820033584
Amygdala_L,0.6339181784777109,0.3458069314308419,-0.5445531338237675,0.6921884200974523,0.1487598515714579,0.15937142126220843,0.723504978069387,1.0,0.45121303948193714,-0.4964473512311641,0.6895849672913574,0.6999142966759865,0.7461027486279999,0.5556853063632143,0.6009687040288977,0.5773098567209816,0.5997276257729134,-0.6238827268525798,-0.4264551716204434,-0.05688787891646753,-0.38638008309283717,0.09072517625257918,-0.612190369227573,-0.6616812601445826,-0.30269373674527267,0.7869553810951916,0.4528330703785997,-0.5246034069175792,0.4403333759127894,0.6201432147100449
Thal_PuM_R,0.3322090394006888,0.11918625823641606,-0.2323717308860278,0.41754429172067525,0.07115279926505237,0.042372214734395196,0.1499848557377345,0.45121303948193714,1.0,-0.23006255604287698,0.2838437619788559,0.4624445045283568,0.22332896024947452,-0.013238682049151483,0.6040009410172043,0.48812777051220135,0.5089019298637647,-0.2400621553116726,-0.04206989830575587,0.2626258181984016,0.17416405486322048,0.4816930868278724,-0.0951606028467014,-0.22313027332982915,-0.1337145428233159,0.4611031923207069,0.08278245802479582,-0.15217085065613925,0.3253465422013741,0.33544874675218367
Temporal_Pole_Mid_L,-0.4982472614225849,0.035344011753078,0.6390999748486272,0.06570248263745104,0.4807033035147636,0.702411324739868,-0.3411374301386463,-0.4964473512311641,-0.23006255604287698,1.0,-0.22494448773418,-0.019354301192587166,-0.407664157289649,0.0719680058988633,-0.14752407382666724,-0.27180077852687445,-0.21665135541680042,0.851171236470062,0.6472598060031548,-0.530169148876378,-0.04074875063194787,0.06027507357415691,0.6620469535000151,0.8059139961791456,0.7997167971848861,-0.552115486032902,-0.13669159917513393,0.8386484516200625,-0.07299387216731387,-0.32419265267791453
