,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L,OFCant_R,OFCpost_L,OFCpost_R,OFClat_L,OFClat_R,Insula_L,Insula_R,Cingulate_Mid_L,Cingulate_Mid_R,Cingulate_Post_L,Cingulate_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Lingual_L,Lingual_R,Occipital_Mid_L,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebellum_Crus1_L,Cerebellum_Crus1_R,Cerebellum_Crus2_L,Cerebellum_Crus2_R,Cerebellum_3_L,Cerebellum_3_R,Cerebellum_4_5_L,Cerebellum_4_5_R,Cerebellum_6_L,Cerebellum_6_R,Cerebellum_8_L,Cerebellum_8_R,Cerebellum_9_L,Cerebellum_9_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_9,Vermis_10,Thal_AV_R,Thal_LP_L,Thal_LP_R,Thal_VA_L,Thal_VA_R,Thal_VL_L,Thal_VL_R,Thal_VPL_L,Thal_VPL_R,Thal_IL_L,Thal_IL_R,Thal_MDm_L,Thal_MDm_R,Thal_MDl_L,Thal_MDl_R,Thal_LGN_L,Thal_LGN_R,Thal_MGN_L,Thal_MGN_R,Thal_PuI_L,Thal_PuI_R,Thal_PuM_L,Thal_PuM_R,Thal_PuA_L,Thal_PuA_R,Thal_PuL_L,Thal_PuL_R,ACC_sub_L,ACC_sub_R,ACC_pre_L,ACC_pre_R,ACC_sup_L,ACC_sup_R,N_Acc_L,N_Acc_R,VTA_L,SN_pc_L,SN_pc_R,SN_pr_L,SN_pr_R,Red_N_L,Red_N_R,Raphe_D
Precentral_L,1,0.26840251773470136,0.5533897051038316,0.43352621579686307,0.30874727520716977,-0.177017314,0.5558208220294331,0.039413220063337084,0.049749969436594314,-0.205391294,-0.241489,-0.186383615,0.5023379530381775,0.1659692169021541,0.700136122,0.658923488,-0.116906127,-0.270204996,0.291508287,0.3995002555760077,-0.126642685,-0.049461571,-0.006537357,0.00988946,-0.112698145,-0.121785542,-0.17642937,-0.02297353,-0.016801541,-0.079869932,-0.198515072,0.026016425415778786,0.24479935250501342,0.2940431130044874,0.3229381580941164,0.3745801535665093,0.21659317637835598,0.6174498043312286,0.35655224900597143,0.002734262,0.12182831152696688,0.12966787225490187,-0.139279545,-0.096269707,0.5524610247094283,0.5916062157630905,0.623758446,0.30981337222913147,0.37563540366123277,0.4766809425418137,0.081899063,0.21821814646681886,0.8765612950388719,0.3990090045590282,0.6504842249617947,0.5197402417225134,0.7934966887317912,0.43713599377114976,0.7815226977167885,0.4747450846520425,0.6591634603387039,0.591407566,0.7698572971040744,0.7621678458204635,0.751528196,0.5347274180453089,0.11767125774093119,-0.137835153,0.16697057327979292,0.047555187,0.3488052290763857,0.5261961819891622,0.3929186331368455,0.046279002175007244,0.4806022813992024,0.083431796,0.001564705,0.061030391,0.3991409765639289,0.34334704,0.099661579,0.17946162440227217,-0.008207025,0.2659079576159909,0.033071209802533606,0.2518630944953784,-0.101654034,0.079212808,0.4418207025500654,0.49876929972949813,0.11956446831860838,0.10250723625868695,0.3008663709156454,0.13167155807834682,0.081740168,0.1774132704529056,0.14393374204815215,0.26927090406379467,-0.077415885,0.3513316718295632,0.12801850351063648,0.10752811973879052,-0.096493319,0.2371231506681305,-0.058059474,-0.070665288,0.050512704555141445,0.16666773449960065,-0.189617578,-0.115261623,-0.103307711,-0.261802341,0.3236380034767636,-0.066369197,0.169747455,0.2819092889482774,0.082159575,0.1592495600282958,0.080359868,0.18406507459725363,-0.087310628,0.10402138820942645,0.26453314926744076,0.15175236,-0.119634165,0.4745959194032374,-0.296202551,0.40682979586639767,0.1433186720518856,-0.20569509,-0.202013384,-0.206379527,-0.053803947,-0.098302317,-0.230049797,-0.022702408,0.1711340531465037,-0.201399889,-0.168508228,0.14854829745555856,-0.250498542,0.3424125812666621,0.069443793,-0.05241874,-0.047662615,0.075307969,0.14299970509883145
Precentral_R,0.26840251773470136,1,0.317187675,0.5861840720106745,0.25712745812172844,0.35546632798243755,-0.118101617,-0.206422948,0.043986188672486846,-0.274459238,0.14105123130033956,-0.20724716,-0.151321283,0.026093117491551143,0.2881073240311581,0.3746331552869073,-0.129860512,-0.182706201,0.078709201,0.010667258574512856,0.6551838906112023,0.6411078488531559,0.01230451,0.077514614,0.46242890862984953,0.21356353964900748,0.282606572,0.095305962,-0.118149143,-0.252117754,0.32049381038631913,-0.212728159,-0.261424743,-0.443776092,0.04827345,0.4626051763618001,0.063051554,0.17565523881161987,0.17064141209964315,-0.204328256,0.2782959108763604,-0.06612492,0.4215219167139077,-0.104133554,0.059003925641173835,-0.034471056,0.12984871991518765,-0.162474798,-0.253930488,0.088105059,0.019571004903359068,-0.650864541,0.15243426028586213,0.9321951699806486,0.38528850964477784,0.6914360102763302,0.11614556089365499,0.803657216,0.14746341656237197,0.7636014372916404,0.24927024659375682,0.4863940525339763,0.3861112286163322,0.5821658003119384,0.5473694131134605,0.7225235081890918,0.10543604744079076,-0.034160764,0.28725741393911014,-0.15851779,0.25988687929537607,0.46871948386964324,-0.135899741,-0.07719946,0.008078029,-0.512048511,0.14382426327813252,-0.688318878,0.3608994586793269,-0.452580151,0.006389953,-0.150233532,0.43501535459882335,-0.576025914,-0.095712673,-0.353821106,-0.358561364,-0.35883504,-0.067369649,-0.13074649,-0.126466099,-0.190402049,-0.266248619,-0.619549718,-0.180143929,-0.410134775,-0.563509537,-0.107969223,-0.309018226,0.017948463179827033,0.2812052114825686,-0.107386093,-0.498652099,-0.202727333,-0.133562701,0.11856119498153922,-0.117347093,0.2599974654247334,-0.120370775,0.11640537201993294,0.11860110626757205,-0.010406333,0.3278173630584618,0.1392155089099008,-0.032027476,-0.086910701,0.19959129068160283,0.1801180035592729,-0.208781522,0.31786223803959224,-0.096573779,-0.120028183,-0.331902127,-0.072019457,0.2790813260168684,-0.112678936,-0.12897176,-0.107410896,0.1729205009842157,-0.100956874,-0.216298779,0.080939222,-0.142396648,-0.048017936,-0.151527404,0.17422573058292276,-0.242122493,-0.151235677,-0.269709905,0.19468676584478117,-0.04295593,0.057816314128780626,0.22534742034420266,0.24910708525258496,0.32606857358153246,-0.08380669,-0.382289029
Frontal_Sup_2_L,0.5533897051038316,0.317187675,1,0.7459826805037542,0.8137188949626101,-0.008569521,0.02643716,0.1548618130033529,0.2565384056338345,-0.073648297,0.2727809237520774,0.16896932,-0.084575686,0.3197442609792984,0.7330610610818644,0.755937742,-0.186586898,0.019841223,0.7252432122328053,0.8756567359864226,0.2533152403240294,0.33193093308749566,-0.041258755,-0.07383267,0.12881025221901596,-0.022134128,0.3044665491457827,0.24907261470489242,-0.00665042,0.20736027895495496,0.41208385800030134,0.093098021,0.29933686964859174,0.096803311,0.5062570275042078,0.051207653,0.43371460961373864,0.4934867562203503,0.4776738235036404,0.3072694713799943,0.4977821333150353,0.30742130998452705,0.38994557248327905,0.012802316405246268,0.077927508,0.077448728,0.2480001155764318,-0.092866211,-0.14537192,0.15474631804187278,0.22482345697602749,-0.125694153,0.2973538214823815,0.3941512095226626,0.3189154384514597,0.41140127320820097,0.21366094128980045,0.4374271154925558,0.2643443153714841,0.3231338666367182,0.246086918,0.3430175027984726,0.429919093,0.5978578441499007,0.35463339283258855,0.2979233549552173,0.5795456102161405,0.14205042757805206,0.14060591665764965,0.3317791973185903,0.37063718594961886,0.4341588595663626,-0.040990069,0.28568117845956936,0.3136158729295745,0.053365817,0.392685999,-0.100995755,0.38244812243827503,-0.099067951,0.18025864096508784,-0.228326648,0.37774144081253674,-0.20827894,-0.142664042,-0.160711636,-0.281838621,-0.372546758,-0.047375914,0.001018724,0.22771350754243055,0.1897671020047926,-0.122340472,-0.287975584,-0.055490008,-0.307764542,-0.083644806,0.1158388967922605,0.16877754736553532,-0.020170897,0.34071508786513444,-0.16914979,-0.003254088,-0.09669377,0.14117007584405733,0.21438023644235543,0.2790695604852008,0.45319687745718334,0.1444162837694793,0.38181662151204687,0.21091717467834017,0.26049662965638015,0.18919333964721766,0.3895105607533089,0.30152956648368784,0.31181455439989614,0.29751501672863157,0.34658836858192155,0.2072296295488991,0.095780446,0.3296382670982147,0.17484310473335601,-0.040064954,0.20146795956033314,0.27652310424446686,0.16694700078182526,0.18138511010693256,0.32835510746824814,0.2817544591828954,0.1144851363201915,0.16280314653387776,0.065395602,-0.000426311,0.5166160615094044,0.1898703389025072,0.13945364542576708,0.5622764089322834,0.1706405533209739,0.13287178486652823,0.18433541813124643,0.21126175356332372,0.060057937,0.21432026636749835,0.2958366760288716,0.2731533338988223,0.2508292328665473,-0.055842834
Frontal_Sup_2_R,0.43352621579686307,0.5861840720106745,0.7459826805037542,1,0.7377553686295604,0.42149127275783327,0.075268068,0.30376980102824075,0.39873131611347123,0.13765391219233272,0.3995269446865987,0.2354691293289737,-0.016363725,0.4203802330203762,0.6657986375841717,0.7676040908071652,-0.056827866,0.087150908,0.629650825,0.5661522265562451,0.3661460249815366,0.34441463773283376,0.024314504896421396,-0.084864715,0.2839066105263629,0.05578464,0.3796987139648719,0.18678441970337206,0.014796088043329651,0.18452203068983006,0.45751133221266715,0.11851966652892053,0.2565401216756922,-0.094774641,0.5554884098864791,0.3349435288688707,0.5302550186580255,0.46054147581848515,0.44438696667988786,0.31310521866554747,0.5735960260367906,0.29246946451323286,0.5145452529543713,0.082983176,-0.009568968,-0.07340797,0.034685347,-0.186875443,-0.246424677,-0.08320401,0.10188058184529239,-0.224890806,0.1123009573166464,0.5143865938904562,0.16073414789904344,0.3297180838026898,0.053673703,0.4545556553031897,0.095009918,0.41320229734881375,0.016117699,0.21985653874921204,0.26727901,0.4700786842454954,0.2757019482826893,0.36889968655052313,0.5163194256290765,0.2080860073894696,0.3078035722148131,0.29414816387313547,0.2979498523879749,0.4014016989088574,0.10622511723787183,0.3714636873474197,0.15640094658363274,0.034497587,0.14872422990441886,-0.177821103,0.22121117673840118,-0.259954935,-0.021146135,-0.236280731,0.3327495204818771,-0.372296391,-0.23038933,-0.325998475,-0.37759422,-0.394380073,-0.144028701,-0.061990875,0.3399772390692921,0.2788535216467282,-0.235819146,-0.398816268,-0.21948653,-0.376472128,-0.321008273,-0.070914657,0.1677401448053487,-0.084818584,0.5650575682836982,-0.154482892,-0.11956557,-0.162576994,0.20970997724323065,0.36891631074853354,0.26634676723622497,0.38910641083665154,0.2503557373847405,0.46165436,0.36644545971857734,0.35724343054066426,0.27989992506058964,0.39305139393724564,0.27937440170286715,0.25079200964346315,0.43677899777677714,0.314522861,0.24392191,0.2623728505642512,0.3658602914727511,0.20943254953157467,-0.203665226,0.23586026205147892,0.4610157505351146,-0.058570908,0.2961836836433085,0.065366533,0.40481113726760665,0.20255624917742002,0.22102854893656368,0.1808573345533875,-0.076537436,0.41064038176272877,0.2573474345801258,0.3217038791334233,0.46941594978259293,0.2047707751629708,0.11713197047740355,0.24818745665395006,0.2519205497476139,-0.030587731,0.264608756,0.3471065779442953,0.4034569946473153,0.19566746012054229,-0.266302155
Frontal_Mid_2_L,0.30874727520716977,0.25712745812172844,0.8137188949626101,0.7377553686295604,1,0.14981634470819397,0.006300252,0.2786600944155435,0.37892472025731716,0.055483168913797704,0.45564017860442907,0.2381940711853584,-0.123822276,0.42033094197927207,0.6433366901128638,0.6628988897800452,-0.041349911,0.15965154037006016,0.8597762832776966,0.7081113249779869,0.21649694088893184,0.298964164,-0.044129869,-0.05852962,0.1472475238869887,-0.00481179,0.4498335076350941,0.1628813561451361,0.2309308004300674,0.28400185050868837,0.5384289440787938,0.076550166,0.4377492704699282,0.18055475731595969,0.5736853916676093,-0.034189489,0.4989381110602141,0.360050709,0.446036801,0.3432358427361771,0.5586381662478359,0.32208262901490425,0.45582743365486794,0.019474055919096806,-0.01784667,-0.054344854,0.084496896,-0.166063533,-0.204070646,0.005096272,0.27852058157976695,-0.155438724,0.011545165231780374,0.2582152333040012,0.045267756707588785,0.2053031461287695,-0.049624087,0.27222509214458196,0.088633016,0.2437583572841933,0.010767150777510054,0.15528555632926802,0.2261457503645991,0.38028009583627764,0.075499994,0.09255222,0.5831225966909234,0.19417182683998097,0.1027431289596648,0.40853927548072166,0.28912320271026215,0.260629256,-0.034692885,0.4033672717794141,0.25141668,0.1655767356511441,0.38484049884153376,0.002917185,0.31627632535644473,-0.14383311,0.04587523,-0.240753136,0.47042503239589806,-0.274832478,-0.110573191,-0.197635776,-0.190344688,-0.332958296,-0.178657106,-0.134225954,0.2934002372012096,0.28663847223368516,-0.183835152,-0.269393741,-0.056241889,-0.334954123,-0.126238088,0.12138754099851029,0.2745085662421411,-0.047638943,0.38573542296023894,-0.003162101,0.086010437,-0.107884101,0.2267592027930354,0.23158837928998868,0.3944032975178801,0.5012759313368794,0.2707654520540685,0.5078500808539707,0.27498338763555485,0.42955567614549767,0.097218605,0.4063507787761509,0.2851400041763529,0.2850077874335434,0.3504070765000353,0.2686250093371926,0.3316276039883329,0.049693278,0.4634393240506045,0.1343411594178962,-0.036389776,0.24244708455601122,0.31127583282075927,0.029374713114301666,0.3044622627217599,0.2210358622521005,0.298831485,0.27607580713381585,0.278638093,0.18408377492961336,0.047847082,0.5668626346362104,0.274752502,0.085629945,0.7176600893750887,0.31686321125065386,0.2978720876713696,0.2029043456988243,0.3746693818467567,-0.02987496,0.23513031144374313,0.3636149983420001,0.2808014639315491,0.14177237961562764,-0.06966935
Frontal_Mid_2_R,-0.177017314,0.35546632798243755,-0.008569521,0.42149127275783327,0.14981634470819397,1,0.001680253,0.5565747354255708,0.7537620411897102,0.597602759,0.6629364745036304,0.48856131159301747,-0.053367049,0.5406197233025288,0.20624337602353074,0.24234600787490407,0.28048814655433246,0.4586765269646544,-0.003986562,-0.262233538,0.21020819866156118,0.10286930253057366,-0.043120909,0.071942053,0.27817693665220977,0.17512337483878362,0.504155703,0.12174473093755672,0.2548905672041476,0.3221726611074277,0.4934097443011266,-0.025003505,0.17615436011586116,-0.399919672,0.4590963405655485,0.585164692,0.6489069821462599,0.005333924,0.2652736209049572,0.5398782295850789,0.5348829536014176,0.4319240554314552,0.6378131173072351,0.5084316857788849,-0.442074765,-0.556033681,-0.665756807,-0.399673699,-0.432789678,-0.662484606,-0.003332414,-0.088212505,-0.427897973,0.1382549234262764,-0.550321325,-0.348756971,-0.425048426,-0.179369977,-0.28974485,-0.138999572,-0.671475189,-0.54014754,-0.460385632,-0.305281168,-0.303440192,0.08104911,0.3116506627229135,0.36401931238806146,0.4249452225040056,0.39160516127178546,-0.080666254,0.14948973523359604,0.29043612568628685,0.5166285457004085,-0.256174242,0.010980113617395738,-0.247111019,-0.239263512,-0.229584909,-0.567449677,-0.390158549,-0.296372245,0.17992699552308403,-0.438027833,-0.286750462,-0.496729169,-0.18236286,-0.358768057,-0.470213232,-0.30024851,0.5214413892531662,0.3875510891899957,-0.375800848,-0.362788543,-0.391378675,-0.474874597,-0.419491434,-0.456680095,0.4584741210045353,-0.493380317,0.7121282369966545,-0.248017247,0.017785745,-0.375372725,0.5556362565906924,0.7317902381738228,0.35333580640973233,0.18454342912581181,0.6938907449808848,0.7342867597772629,0.7672915807297876,0.732571101,0.20112073115951454,0.5429972028112644,0.17856884,0.16187989205163814,0.6959300013575236,0.25330299835100656,0.4618333407349071,0.31211785907658174,0.5510888259858917,0.38799823156658403,-0.389993511,0.3244608530536974,0.763925445,-0.592133174,0.7280490667301591,-0.48084069,0.601731628,0.5641682219966706,0.5126544235682137,0.40359594342763816,-0.02992103,0.3339157295062654,0.6252356036765497,0.8037485612769676,-0.010257348,0.5240121157514008,0.2903776259456162,0.047354392426569906,0.5735821445830664,-0.406402716,0.23671898312841244,0.45565758477519314,0.5430750200356723,0.11700834202725004,-0.618718421
Frontal_Inf_Oper_L,0.5558208220294331,-0.118101617,0.02643716,0.075268068,0.006300252,0.001680253,1,0.4083258399528034,0.231346275,0.1897126800315047,-0.202914968,-0.107263989,0.8874939616552672,0.4434875093237732,0.38149812170292824,0.3216650117735539,0.24848244658294255,-0.023572211,0.075952128,-0.065815799,-0.316429768,-0.41468007,0.2224540868458871,0.069862559,-0.269484883,-0.146046038,-0.302650068,-0.228547925,0.080592538,-0.092956202,-0.436910301,0.1404993530990862,0.6255131919114506,0.6229439381684612,0.2827908192123082,0.5091432304347002,0.17716110693227521,0.5886613391624462,0.33278208097128914,0.11018711763198846,-0.060658778,0.13178271424768673,-0.371494365,-0.038282619,0.6324930335133842,0.5971750981757227,0.33371688563679736,0.6075922288315189,0.6538895027719414,0.32225866904815786,0.27890067005854163,0.6030795308202387,0.49797761336001045,-0.154895771,0.11475030167272177,-0.103194356,0.41025446914994074,-0.096656632,0.5290886864277863,0.1744100255697488,0.27086021283188066,0.15492335043016914,0.2703978512716739,0.15755216552541312,0.16281187731092991,-0.039747988,0.1158168770490014,0.15191521709103992,0.33071670993847296,0.28692378370438376,0.27727682623508215,0.36221149577696743,0.6820613884780342,0.39757880557538466,0.65028677,0.5779765477213511,-0.053424601,0.41375590023568454,0.317914543,0.6210926161606336,0.072345129,0.24555836718051188,-0.081679624,0.5751548127299876,0.29955131587313916,0.44588536382804855,0.3388923039763802,0.4318031871153786,0.5632489415721544,0.6652395574866535,0.43711646727595127,0.4885474634642131,0.5970778926424213,0.5673481715014945,0.2840464655333663,0.4513998570731671,0.4558942479748167,0.2481471697961955,0.14699292093786792,0.44432496128029697,0.16020462786858888,0.43845303201473435,0.15811673594228784,0.4771179212065818,-0.000538542,-0.04249085,0.11753105893695201,0.005438257,-0.093477836,-0.145168926,-0.076672737,-0.188256851,0.432796351,-0.280441386,0.2094440756935487,0.13881598458461186,0.085042852,-0.012429356,0.3071854479749479,0.21657751492491636,0.040748078422471794,0.12087215574542062,0.53669985,0.2678943529398139,-0.108294671,0.4925883500157294,-0.151927313,0.3626631360098315,0.089690088,-0.08021454,-0.071018422,-0.053843099,-0.06759343,-0.342736882,-0.202597283,0.045546441075999644,0.2032118985598666,-0.089633349,0.025059119727180956,0.13731598690179797,-0.111661163,0.3156825375731146,-0.000382916,-0.136106745,-0.247785064,0.052823512460562744,0.3631381443938708
Frontal_Inf_Oper_R,0.039413220063337084,-0.206422948,0.1548618130033529,0.30376980102824075,0.2786600944155435,0.5565747354255708,0.4083258399528034,1,0.773549622,0.8451342109174657,0.53025571,0.6494068174314278,0.3909277636940862,0.7312660698720946,0.338729807,0.29875438156376105,0.3528094527522908,0.48000468993619216,0.3398744746241855,0.083230101,-0.279666657,-0.325692524,0.088979152,0.048511798,-0.078123014,-0.01617226,0.2888713233879288,-0.004571549,0.3999700697340449,0.506429646,0.2495391067556484,0.27641164255183476,0.7195730733604996,0.23100042584496494,0.6535918657134183,0.40023283253304487,0.7056906791127932,0.3105674544940635,0.3826106143897157,0.7461709413589752,0.46661410551494864,0.5893211648828939,0.2517445948818269,0.5315609173690083,-0.167022877,-0.184396599,-0.434715473,-0.090344558,-0.022264045,-0.467717215,0.055392328,0.5428287241083398,-0.169070075,-0.333274297,-0.489147503,-0.570478074,-0.184094486,-0.511006107,-0.065480844,-0.333137034,-0.509205207,-0.51970087,-0.336487204,-0.315193,-0.369514218,-0.283368792,0.41348617349183403,0.4501453792052356,0.30408917574484057,0.6765655297863025,-0.014737176,0.052690038,0.6190833294293591,0.6855050928463047,0.070947431,0.6202471170882357,-0.20786799,0.4248217882380962,-0.265985551,0.044002575,-0.293025505,-0.176336407,-0.129237846,0.15317849710312958,-0.18132427,-0.09321649,0.036124116,-0.008232674,-0.176575402,0.033041661,0.655632586,0.6131696278372196,-0.01216395,0.16727461616172998,-0.187715029,-0.072455279,0.084469081,-0.203624142,0.6004760583941109,-0.288393769,0.5539230669605409,-0.087032485,0.2916348562155564,-0.109617927,0.6442741888148769,0.6032568618471497,0.48827279004622604,0.11403967011799075,0.6894961407448453,0.5636402903136017,0.6250844845730433,0.5940408465096451,0.14029890757580532,0.39978051687949023,0.24685157254519524,0.3800425558309273,0.5638487582203108,0.25826997912969796,0.7273722819464832,0.11044882345364544,0.6535578363530665,0.45706863433194506,-0.012794954,0.4206520027114258,0.4883396398625317,-0.240566617,0.6649966718358319,-0.165566148,0.534450772,0.4619247106547991,0.6184344646481756,0.24620204434303808,-0.027710643,0.3785806577117906,0.6187220934143958,0.6091379643713828,0.4732935804947124,0.5773470006005068,0.44659818216633074,-0.006059043,0.47788574874792944,-0.213578587,0.15515841837314956,0.2505690022460896,0.31425438864398747,0.32252028065701477,-0.150151613
Frontal_Inf_Tri_L,0.049749969436594314,0.043986188672486846,0.2565384056338345,0.39873131611347123,0.37892472025731716,0.7537620411897102,0.231346275,0.773549622,1,0.7138914134602797,0.7748629086149386,0.6808091384893296,0.19359537242424527,0.7577628004457063,0.4128896286035484,0.3907230693892513,0.371899306,0.6237422217924644,0.2552681860049158,0.054060653465920976,-0.062229714,-0.137603585,-0.069922354,0.077831762,0.092946112,0.043147485,0.5861627880638841,0.20712804591581496,0.47065663379237016,0.5644290601496402,0.5697874936612354,0.072207652,0.5531273307867555,-0.011283869,0.6086790027465592,0.48180642002554763,0.7802597729625432,0.15486684,0.4291386256053127,0.7939380900878319,0.6430571881420684,0.6340403327438987,0.5843688408684875,0.6549937235494641,-0.302042969,-0.400169217,-0.576372434,-0.305557009,-0.304148187,-0.595160101,0.062849071,0.2364099285330449,-0.19712922,-0.064526529,-0.475390976,-0.418386571,-0.211608994,-0.332957254,-0.025027881,-0.305519055,-0.560423962,-0.553270445,-0.274829458,-0.196271273,-0.264699991,0.010037237597389548,0.5718687514667881,0.5859238146511332,0.4881422660983473,0.7603533989800215,0.040936356,0.2345467324636882,0.5080085593267293,0.7383836804446785,0.060961449152844994,0.3049213915305848,-0.130314685,0.024667892,-0.129396941,-0.365977423,-0.35545783,-0.39919823,0.12550537899059086,-0.26012013,-0.344403545,-0.409320932,-0.175025664,-0.337074949,-0.411162241,-0.22186946,0.6937116961772011,0.5840365332534094,-0.286056541,-0.209446438,-0.391345042,-0.423200443,-0.224714228,-0.361816579,0.6683425465728066,-0.504371643,0.7924788262286631,-0.242393273,0.12672299702627413,-0.362923686,0.716712144,0.7992976981177335,0.550503363,0.3417890252144086,0.8330284862947028,0.8278060986681964,0.8313661258275562,0.8152471877326287,0.3059875333245445,0.6343624254659032,0.3331154405706901,0.23756648159761704,0.7931801745286658,0.31830764302069225,0.7290122357148355,0.34151022892810046,0.7143011973214574,0.5111885855675181,-0.283226154,0.41417079579397964,0.7929048065799834,-0.480478841,0.8022150263221844,-0.354278945,0.687808323,0.6390044538584356,0.6343173298270338,0.41650920466376307,0.031107767184757586,0.4992569206013618,0.7722223038511087,0.8182524324871632,0.28444082809322946,0.7121612599515124,0.5247888984338998,0.011915332,0.7203726734348598,-0.449661353,0.23189622930897985,0.45744306117203054,0.5089678554952839,0.23653398399311537,-0.496886703
Frontal_Inf_Tri_R,-0.205391294,-0.274459238,-0.073648297,0.13765391219233272,0.055483168913797704,0.597602759,0.1897126800315047,0.8451342109174657,0.7138914134602797,1,0.5934056482872254,0.8327354823066938,0.21529176678701975,0.5622082623662756,0.037202334,0.03338657,0.5044719376543818,0.6866631916973012,0.12562307986736154,-0.062081285,-0.319038869,-0.421577956,0.018219576932130308,0.076408262,-0.042652921,-0.021475747,0.37542170214906173,0.084500831,0.4485660167166407,0.6770642379050317,0.35841858865112397,0.4249245011285028,0.49459887109712425,-0.021057293,0.36159083286435423,0.23204554631220775,0.5021090997732108,-0.057443221,0.1357411512785845,0.7253293953718538,0.3676574419561504,0.542433736,0.32470090023967646,0.6883662940706837,-0.375715426,-0.456401418,-0.661541318,-0.274094163,-0.249208415,-0.716475859,-0.22878682,0.46619744124328405,-0.31708909,-0.395281277,-0.556859193,-0.658835673,-0.305088712,-0.587640135,-0.298645609,-0.543007461,-0.719104071,-0.710544902,-0.508630594,-0.525191357,-0.47865077,-0.263330477,0.30052786654389463,0.5101312140049582,0.32338688626727496,0.618704995,-0.181972787,-0.129090407,0.5123455342731178,0.575751535,-0.229681202,0.4804107483190751,-0.321517598,0.3535339466679811,-0.561891268,-0.142269311,-0.414499856,-0.272440602,-0.345381282,0.032055194,-0.392577098,-0.27568416,-0.10894584,-0.121448665,-0.415411545,-0.161677179,0.5461650261965344,0.4383941033338704,-0.228244572,0.035838563279543344,-0.40493972,-0.18610662,-0.096312628,-0.453922147,0.5901728088207373,-0.536279344,0.5264214807358276,-0.326158838,0.15847639040916875,-0.290828912,0.6290805146223089,0.6409120136928652,0.46173156232004775,-0.000745305,0.7747152775945001,0.5458753513614104,0.6813018358954733,0.6235419049081182,0.15696114376855497,0.3244026976328841,0.20976709566327967,0.13418770750242712,0.5808259861424276,0.032470286,0.6834868965322667,0.216864844,0.5493034318588929,0.562648087,-0.199210128,0.4128598822901555,0.5485178563334047,-0.472329731,0.731190795,-0.464078242,0.5264812730130354,0.4881608163239695,0.6212637972808521,0.42659587702483825,0.074350773,0.4189604318435254,0.760477241,0.650138123,0.24945771966551333,0.6655503230444942,0.6045291787404131,-0.031556025,0.5446495138619537,-0.43056315,0.082175521,0.25457390981506195,0.301061193,0.2000050304656713,-0.386585125
