,Vermis_7,Thal_VPL_R,Caudate_R,OFClat_L,Temporal_Inf_R,Cerebellum_Crus1_L,Cuneus_L,Cerebellum_8_R,Thal_PuA_L,Thal_PuI_R,Vermis_9,Olfactory_R,Raphe_D,Insula_R,VTA_L,Rectus_L,Thal_VPL_L,Thal_PuM_R,Temporal_Pole_Sup_R,Thal_MGN_L,Fusiform_R,Cerebellum_9_L,Cerebellum_6_R,Frontal_Sup_Medial_R,Frontal_Sup_Medial_L,Thal_MDm_R,Calcarine_L,OFCant_R,SN_pc_L,Pallidum_L,Frontal_Sup_2_L,Rolandic_Oper_R,Cerebellum_8_L,Frontal_Inf_Orb_2_L,Vermis_3,ParaHippocampal_R,Thal_LGN_R,Amygdala_R,ACC_sub_R,Frontal_Med_Orb_R,SN_pr_L,Cerebellum_Crus2_L,Hippocampus_R,N_Acc_L,Cerebellum_10_L,Precuneus_R,Angular_R,Thal_PuM_L,Occipital_Mid_R,OFCant_L,Cerebellum_7b_L,Occipital_Inf_R,ParaHippocampal_L,ACC_pre_R,Frontal_Inf_Oper_R,Thal_MDl_L,Thal_PuL_L,Temporal_Pole_Sup_L,SupraMarginal_L,Temporal_Pole_Mid_R,Precentral_R,Temporal_Mid_L,Postcentral_L,ACC_pre_L,Vermis_10,SupraMarginal_R,Temporal_Sup_L,Occipital_Mid_L,Cerebellum_4_5_R,Postcentral_R,Lingual_R,Frontal_Sup_2_R,Red_N_R,Thal_IL_L,Lingual_L
Vermis_7,1.0,-0.37086800781542306,0.03738719170227586,-0.25896853539079673,-0.517828615432174,-0.08425552604354519,-0.5478919900913192,-0.36657928880693785,0.03622664553602074,-0.07511276209231815,0.422661213619533,0.028234021683376756,-0.45152946884305345,-0.3293300462752116,0.3703143612199417,0.26662295255145874,-0.07156447834254127,-0.010581504815298313,-0.3292626725832537,-0.05235356189644038,-0.6349316270093731,0.21761519993240688,-0.3944015677533379,0.10105920253089305,0.08690788037984166,-0.495058833833484,-0.3051627624258894,0.5248423242883686,-0.15387062542197613,0.22305635366209842,-0.27377791877138774,-0.011137693656829208,-0.12943085836063514,0.32104860405114727,-0.3634167417144317,-0.3983352216035671,-0.5270408676464466,0.07287274215357996,0.06596776771959925,-0.3520706187450856,0.0844689572453951,-0.11575818156030865,-0.3780785822336231,-0.16743139936234647,-0.5005126327350529,-0.22951652506712023,-0.34106510429176795,-0.035001299744581625,-0.5794313068808236,0.0023356835173676737,0.7961072876242317,-0.2941656581292539,0.3340566441355461,-0.06137933580975666,-0.2830984960912633,-0.36059937700580214,-0.025527948647725666,-0.0957582787929275,0.18665949530236461,0.14472273707081051,-0.21544270889484143,0.2679445257643014,0.08757825175293396,0.21861515411851334,0.28880608334730745,-0.22804559090718413,0.30724194176888764,-0.1635596878144299,-0.13362481080747357,-0.158104592456663,-0.3133170965825676,0.09271210829906987,-0.34926579134857005,0.00106433088564097,-0.11984032121889092
Thal_VPL_R,-0.37086800781542306,1.0,0.45682892104372397,0.08854600105364724,0.3767091471157057,0.2163343139579595,0.364763145432709,0.43376164930383854,0.21256293197834825,0.6997059139216097,-0.05118103249117409,-0.005979432537151479,0.4345164888581978,0.629543134635678,-0.06915312005378431,0.3578989594440409,0.7715580944855766,0.6611381668369539,0.13033430226729187,0.5830803766485579,0.7376915724350644,0.3889031802163256,0.4168798530327203,0.590738778316644,0.5390646745193985,0.6861663262386841,0.2920249174642066,-0.06740849978672189,0.4528513365688335,0.08138106526295194,0.6813099155845771,0.5291299603836978,0.37148707677432186,-0.03813659942294504,0.6525457111488345,0.7813605990828679,0.47075682689301074,0.010336034660576771,0.0633353996559131,0.3503900869151876,0.21859146062221804,0.1294921076279341,0.8215315378074625,0.06664734047335805,0.48450506574781804,0.6171062860056779,0.5451437199563148,0.6234497223838206,0.26225286192967284,0.14687693295351562,-0.33362572498805587,0.3373845071664355,0.2826003728693311,0.11746394689689776,0.7315259526383789,0.6710459680400147,0.4366263101051721,0.09630279444838576,0.20223521964622573,-0.057432847130747054,0.7998190688329806,-0.2449166101883003,0.46487215219969774,-0.1358872889749651,0.2848083357174973,0.6920685671220342,-0.17667214721045063,0.10369288403675882,0.6432332701534973,0.7723003380711606,0.5549659439787734,0.6289082813763693,0.7554824403739085,0.47397140087954637,0.17527700315725056
Caudate_R,0.03738719170227586,0.45682892104372397,1.0,0.15410196415658226,-0.005473461097927757,0.17433407388211306,0.1620656338140094,0.526283647414452,0.2834418550453685,0.5100038588835935,0.23679614825182313,0.052300606120015296,0.31366912550174925,0.11788405125353463,0.3206353723387777,0.34072417001599503,0.5884250217628565,0.49854902733821194,0.0476267608113589,0.3206355082843671,0.1553626913606847,0.3746839053275415,0.10327495208350038,0.5126128075295725,0.691713913871936,0.3068270495476763,0.22387823281524036,0.011595552995440265,0.3544069360814917,0.533551620640785,0.5841777791279669,0.16922055797904206,0.4709473728315621,0.3242621681573757,0.5480057063461884,0.24961294193804925,0.22928846144834217,-0.19292135647227465,-0.11805193736715527,-0.16005802345188494,0.19676854029798949,-0.2918016848033978,0.5008733048892611,0.21722124965255799,0.10740801762006019,0.42610322146054874,0.2605932276740007,0.5132143570193038,0.004492067402853896,-0.11278613258742695,0.09265364562245432,0.2517691647654411,0.5894359861863012,0.054904391966460936,0.28355881188314247,0.47888825860138146,0.3323925594994423,0.35709741924077537,0.5751571582314252,0.12054359896756357,0.46614201753587636,0.44421147079659284,0.5640301984686917,0.021834845797365183,0.4085701707913808,0.29515507097733995,0.3335239271044654,0.4530073304826628,0.3989557146107928,0.4963605105913387,0.37804623388640335,0.5993721032853232,0.2708238897273262,0.45092961352654387,0.25499691032371413
OFClat_L,-0.25896853539079673,0.08854600105364724,0.15410196415658226,1.0,0.11203641750964678,-0.0603632017339069,0.09077472722774861,0.22003218393464385,-0.17370974247564092,-0.014978371551632473,-0.23093154938833202,0.00944063767325751,0.06654763067864153,0.0678641592860899,-0.09394089845273315,-0.23149699832289672,-0.03769855584009939,-0.21350205385778712,-0.056615843149247974,-0.027284760753906716,0.049825522796803835,-0.34357885069197586,0.1544283208691148,-0.137890432565618,0.02237165009235549,0.3512333461497288,-0.07450389759328568,-0.31787564722911765,0.024937331398850546,0.01446185312504093,0.08252672348001071,0.05073801199079862,-0.03226088853033673,0.10637827064511067,0.06595903835291654,-0.027001185040424605,0.19977617630520259,-0.3528211340082595,-0.21691236723612445,-0.09631756139765643,-0.11645277246021178,-0.11975701146439291,0.09119644795736291,0.1310245943896178,0.17586699218310164,-0.035855424738344806,-0.022837317291188,-0.17754300080856322,0.0456831195052701,-0.4455295109893866,-0.26747806036123983,0.006080607098762973,-0.1526294799904951,0.0401295698300606,0.003473958972318676,0.30477522468742957,-0.1862294654785305,0.05212178706901749,-0.06430577931236355,-0.10058590374502195,-0.10250232895519197,-0.04997040979407527,-0.094435456962012,-0.15959595683532002,-0.15775878516809444,-0.052445121882486456,-0.06607462270850406,0.11108850744646225,-0.10798251953186705,-0.0720621334333655,-0.01256544382075092,0.022826604445416655,0.12997529922755868,0.16389282825907506,-0.08796968290110915
Temporal_Inf_R,-0.517828615432174,0.3767091471157057,-0.005473461097927757,0.11203641750964678,1.0,0.21550952648748717,0.4832021857111025,0.4813896081700279,-0.05986582274058604,0.07137155587339931,-0.0747520923430093,-0.1711265387055653,0.32686084604744126,0.18941280323839202,-0.483909954513154,0.05055777024909453,0.12927751806150312,0.13434332463510695,0.28638748961685556,-0.017129291155349936,0.6637376746378514,0.1284150094164207,0.1315647096787575,0.07491484475703367,0.15838256062468759,0.26649755924058155,0.3525542679853992,-0.31450464213955803,0.3603754585188426,-0.26714298266105097,0.33112622059972796,-0.018484946735618974,0.3911559043457466,-0.08100498456103579,0.3770707826448305,0.4179820915469963,0.5589714321242557,-0.027251069271434857,-0.09123945651334557,0.0968558328290675,0.03935739872405639,0.014653229642059807,0.4407230290606126,0.07091756041147453,0.6074991721860016,0.3795667672140026,0.4898624019740749,0.19246907830907423,0.4608039658495116,0.1264455677104476,-0.38941976832479586,0.4283450547351208,-0.09110046324673632,-0.2934598086370201,0.19618835941166687,0.23427438639642856,0.11186268028103108,0.00880595183675169,-0.06770669317993765,0.11674628628575438,0.3484079805627569,-0.17307328672118358,0.12147583581557217,0.048303145396181406,-0.04408089768782411,0.35881796011411526,-0.1881676187205145,0.19693914392826997,0.1509466813729407,0.34159505407594387,0.296918952934409,0.06164235042445031,0.5143667637632977,-0.18490904754299697,0.09748209870891782
Cerebellum_Crus1_L,-0.08425552604354519,0.2163343139579595,0.17433407388211306,-0.0603632017339069,0.21550952648748717,1.0,0.27961908394929536,0.4575939267968798,0.07741221510937109,0.19996543844055978,0.18905967135090485,0.08000729629684335,0.30727014066670855,-0.09986338766752301,-0.10370774577722236,0.24594782612054428,0.2726739625910984,0.2227149860383953,0.5868514354002969,0.021846682498090346,0.27266489219170453,0.34729607425342535,-0.011624892192971406,0.14399690920634736,0.12300695352202788,0.02502270619964857,0.13246363573615377,0.08201330746725151,0.012631481374167385,0.2511710719185251,0.26519968562960367,-0.11816103075261773,0.529345360082571,0.25821534931793855,0.3601286825715593,0.2469107357647376,0.11199066879028116,-0.05852977811348114,-0.17050021031897872,-0.15263640770661763,0.1515131255476861,-0.23741308906606257,0.20824250494236485,0.019570993928711155,0.4328101621186236,0.22687150405200296,0.4368219673464605,0.24327520402272113,0.29245398350931107,0.10284985418601078,0.11758597772204953,0.2286596385229291,0.12822316627523306,-0.36586923545738564,0.07965939381828206,-0.10848081331137774,0.3476073526441374,0.6069207146287641,0.19790637361641955,0.3741402509390589,0.27802846190091046,0.14595933674272696,0.2516549427787693,-0.013905151041069532,0.14066217926924082,0.24849158942891414,0.0682216450282422,0.33923748890623334,0.10850761718676664,0.29960011342731574,0.07189760737516614,0.14347304400883593,0.2643697411769278,-0.10962110741982567,-0.00937714367492323
Cuneus_L,-0.5478919900913192,0.364763145432709,0.1620656338140094,0.09077472722774861,0.4832021857111025,0.27961908394929536,1.0,0.5311319131541122,0.20282286864445243,0.13701500816105894,-0.25617088849469266,-0.07032336121477477,0.5927750532299213,0.19895914355276687,-0.16886655849197812,0.055740443756275744,0.11353863537883221,0.27839428309165154,0.24778657897300874,-0.03857376149269588,0.610010658979523,0.08581675201684011,0.253736740812695,0.1377445139262815,0.1713690028635686,0.2218418399339461,0.6487279673854008,-0.2836839591678811,0.28319075720802867,-0.08514084017906769,0.40538319382873783,-0.11690708600355225,0.39270050441168597,-0.15122696958781356,0.6099748408613507,0.29578324005529794,0.42046855701254593,0.1391071192969642,-0.02874883757885695,0.12757254477253588,0.07475678366889454,-0.0540406481701486,0.3715858670516438,0.21970442666615786,0.4804641649871255,0.5797371129363942,0.6640770960060308,0.3163042384772011,0.7940159166983292,0.04815550531385804,-0.3966933325344589,0.4671712316429457,-0.03513542485016174,-0.04423109405560144,0.313361290841085,0.21999124455507976,0.3401094264456392,0.20784738432432362,0.22328199213033004,0.007121602462183536,0.4256858743043497,0.0424678423056438,0.18220516700881675,-0.1613903873290781,-0.057312824658615265,0.4126040037395474,-0.1955782005036715,0.5557137695623947,0.3101348680735597,0.374164110423176,0.3843157414754079,0.13901446550193375,0.25959590090541235,-0.1929129316886093,0.1519339889237992
Cerebellum_8_R,-0.36657928880693785,0.43376164930383854,0.526283647414452,0.22003218393464385,0.4813896081700279,0.4575939267968798,0.5311319131541122,1.0,0.2802787767615909,0.3809084750386004,0.2780230517726437,-0.0014522830054226755,0.5135537669279092,-0.09802058852148672,0.023860711399881916,0.3390801929214937,0.49293350768863653,0.46339980437842654,0.4553681089109466,0.17316099584155273,0.5101443834227729,0.37945800484532843,0.03172422535041524,0.4060835473928024,0.5949139932250231,0.2798284582117332,0.4939870147744556,-0.20397474672724467,0.34731508067998157,0.3617550461521485,0.6790026546105742,-0.10810035746711605,0.8380520163243271,0.25757210879120723,0.7340605131170884,0.3578434900326163,0.545244704036895,-0.14094514242550346,-0.23993628232166508,-0.06468436902796112,0.2906433157018919,-0.3277734735406607,0.62862384549171,0.3060461828904621,0.5844237335975483,0.5413294033403355,0.5629563654521471,0.5237240632993803,0.4297299686682127,-0.23799082992263004,-0.14606762522205266,0.45624704703119573,0.3915012873276623,-0.173181195334637,0.1840347825712956,0.3103031042385868,0.4945873086493004,0.4752266016562161,0.4719673451909012,0.18650653600523034,0.5707331179149642,0.340324735006034,0.5946732119525024,-0.17352270462072011,0.24701147060216508,0.41213295878019723,0.21507503205861445,0.6408714248587822,0.3104460662425994,0.5711046357557321,0.42639844578426433,0.4151359112220911,0.43478909530427584,0.15671635863394806,0.27203215173562045
Thal_PuA_L,0.03622664553602074,0.21256293197834825,0.2834418550453685,-0.17370974247564092,-0.05986582274058604,0.07741221510937109,0.20282286864445243,0.2802787767615909,1.0,0.2181864377631194,0.2592006570014135,-0.10730388736717048,0.17747574322522794,0.028630307881998704,0.3613607579400222,0.4786150669534309,0.4294889460081672,0.6128581324415612,-0.04906848142114891,0.1717119454063696,0.1273455905534974,0.48897674695742926,-0.04090951101605603,0.4587210761209348,0.49176029864982435,-0.1585358397426627,0.2116575321245011,0.26319822333972315,0.27952619551365965,0.16519342982026142,0.406141858148715,-0.021179077644035166,0.32805039825479604,0.10179138777372529,0.4148194828410289,0.25915616243463296,0.0916937984919456,0.2683586340291114,0.14055058711328425,-0.051995793919375415,0.3136908984281323,-0.074662055614007,0.29259725568677303,0.008890052176904535,0.08534772417545632,0.4290555776741509,0.29090887682695626,0.6619565359541695,0.1276153474791042,0.04404735525076408,0.1572394275997283,0.2927174322657228,0.5558625551901663,0.15496934091309789,0.18079446275741845,0.06157383396100246,0.4969492241800566,0.19503381010512605,0.5907568064870083,-0.08162933584737835,0.4766892748042849,0.3709740452939539,0.5096761024743423,0.016098521417319434,0.41156740249500184,0.3505614477634961,0.2168616355532579,0.37099993237674717,0.39057003575251636,0.4186969143352487,0.3699728696774692,0.46058018118322863,0.02830548211731247,0.0374997773397744,0.1762303280968774
Thal_PuI_R,-0.07511276209231815,0.6997059139216097,0.5100038588835935,-0.014978371551632473,0.07137155587339931,0.19996543844055978,0.13701500816105894,0.3809084750386004,0.2181864377631194,1.0,0.18736069838972316,0.11201831291916295,0.3938779366161854,0.36772312516401257,0.054780342075315916,0.46267480180329495,0.7695455109959641,0.6872898157696388,0.09625129577897286,0.6000314696050668,0.4030828034459543,0.41877932393698136,0.25609393679680886,0.64306797221916,0.6158304651017054,0.38153163009047936,0.31057327810922275,0.11783428178660978,0.2505229055094926,0.4492408630472547,0.6408005237808745,0.41173470949241575,0.4021554164014387,0.17714282826368824,0.6036557978867474,0.4766193800497835,0.20733564700485785,-0.013877881291810742,0.12913331052714572,0.22155950412302172,0.20812036542405524,0.10055322805661004,0.6260570081167041,0.05440034121867819,0.0960273490304413,0.47469574756572197,0.3326543373762292,0.6686297204315905,0.03045391568317344,0.211263068701898,-0.13339012931358185,0.21581128884321907,0.4988395168888986,0.0011288055806029707,0.56058807277964,0.4447091648214802,0.4593071872656418,0.10208605346796551,0.3844323541050949,0.19464972215856424,0.6714200064172748,0.09406667629885285,0.6152571276650706,-0.08919935258324511,0.4328408888569261,0.4805673893782574,0.21729270816078142,0.16066423864629625,0.6290278498865958,0.6662268822343508,0.4850715542782667,0.6389746657115184,0.47899946030594315,0.5356909765290246,0.3368791839734865
