,SN_pc_R,Cerebellum_7b_R,OFClat_L,Paracentral_Lobule_R,Insula_L,Thal_PuI_L,Putamen_R,Vermis_3,Frontal_Sup_Medial_L,Vermis_9,OFCmed_L,Thal_VPL_L,Cingulate_Mid_L,Cerebellum_Crus2_L,Angular_L,Vermis_1_2,Olfactory_L,Occipital_Mid_L,Temporal_Inf_R,Frontal_Inf_Tri_L,OFCant_L,Thal_LP_L,Caudate_R,Cerebellum_Crus1_L,Rectus_R
SN_pc_R,1.0,0.14941473535207062,0.1267786967348049,0.41349651852197133,-0.0685955594294666,0.18979768151765725,0.095315123070602,0.198344988318105,0.3437879105604475,0.13552585225706568,0.16742555115758911,0.2780754583101203,0.42522969596439064,0.12416365395361144,0.10835831294658257,0.34604467297052793,-0.3375352646215854,0.10584914638620874,0.15722494896795222,0.09318855591337447,-0.2755487433973601,0.3836943125797715,0.2672380255051658,-0.08006182672570569,0.1355962934649517
Cerebellum_7b_R,0.14941473535207062,1.0,0.17406697956449949,-0.19836541670582508,-0.42060018134550037,-0.41870851110563967,0.00394130800567128,-0.27490318102808137,-0.2478744289645696,-0.3206688380028814,-0.15097615214625865,-0.14174912992338906,-0.13641296323337718,0.5888941887426359,-0.19505587551045944,-0.16438333996435078,0.012665989446658983,-0.3593547286732494,0.10229036846204853,-0.5125408477429403,-0.22764219518356463,-0.1078165985054382,-0.26424110010272045,-0.17555763455127169,-0.04516539867925788
OFClat_L,0.1267786967348049,0.17406697956449949,1.0,-0.07360425520822268,-0.02402786718287673,-0.07539595994860726,0.1413565925627938,0.06595903835291654,0.02237165009235549,-0.23093154938833202,-0.14452632761368864,-0.03769855584009939,-0.009091933928096435,-0.11975701146439291,0.0495945780712652,0.1499407429030185,-0.04705115210018086,0.11108850744646225,0.11203641750964678,0.002032561353702567,-0.4455295109893866,-0.05292644468157791,0.15410196415658226,-0.0603632017339069,-0.26181013824620036
Paracentral_Lobule_R,0.41349651852197133,-0.19836541670582508,-0.07360425520822268,1.0,0.259544724023249,0.738962526327605,0.24436457423504027,0.752838676164303,0.769339896697358,0.36072516080152023,0.37008459962376994,0.7433396166537184,0.852070119125135,-0.1075581386015627,0.4147061162978762,0.7039238332913751,-0.034442603770880466,0.4458599961332856,0.23987692173533245,0.49744877633803686,0.066794483738597,0.4041324855621634,0.577287445632657,0.3224325401542635,0.33714785006062736
Insula_L,-0.0685955594294666,-0.42060018134550037,-0.02402786718287673,0.259544724023249,1.0,0.42617860743359337,0.2714677927067878,0.2319053063773687,0.5341325522563014,0.558590507539045,0.014740764150941981,0.4204851567288483,0.24319720403293127,-0.26390947993740876,0.3071051849699549,0.1947570060428377,-0.0470279599036989,0.304631033504142,-0.37455539241948865,0.8779818996014298,-0.14985686632889,0.11561126022048508,0.4768789926506267,-0.015861592724742364,0.21167152549255483
Thal_PuI_L,0.18979768151765725,-0.41870851110563967,-0.07539595994860726,0.738962526327605,0.42617860743359337,1.0,0.19701780311580241,0.7248895348006007,0.6717008582980607,0.3718470238446562,0.3253140019883145,0.7267057317464836,0.6894017836171251,-0.2855312552256684,0.33353077206633236,0.6232923829243205,0.014651650168418838,0.48636188227278837,0.2127244213083226,0.6145753758407837,0.153382569170512,0.34300455519561596,0.5343785189163571,0.32472838813549937,0.25962714416257066
Putamen_R,0.095315123070602,0.00394130800567128,0.1413565925627938,0.24436457423504027,0.2714677927067878,0.19701780311580241,1.0,0.12018562498563627,0.45376968847797733,-0.06144234449951965,0.13157398533740186,0.4028703825435143,0.19894537382257108,-0.0074019657690245905,0.02020562101891148,-0.01530279493428201,-0.010147923182683634,-0.046196094555750813,-0.1922249378318541,0.18566766813893898,-0.03646915164531238,0.18812798447009008,0.4647763073168796,-0.14245394955899277,0.3088607279303372
Vermis_3,0.198344988318105,-0.27490318102808137,0.06595903835291654,0.752838676164303,0.2319053063773687,0.7248895348006007,0.12018562498563627,1.0,0.6253816004036125,0.12071035621736433,0.3531406115498842,0.6720582929878526,0.7138031101998977,-0.17155564883898733,0.41358003694204937,0.7877711998551572,0.10015044048243057,0.5663386394645866,0.3770707826448305,0.4597206439707865,0.14607782560829685,0.3265770291702171,0.5480057063461884,0.3601286825715593,0.04043902657419939
Frontal_Sup_Medial_L,0.3437879105604475,-0.2478744289645696,0.02237165009235549,0.769339896697358,0.5341325522563014,0.6717008582980607,0.45376968847797733,0.6253816004036125,1.0,0.49347247642582537,0.37253597165140595,0.7583336157997905,0.7104943954937334,-0.16391103600819046,0.3723431411794516,0.6516942926567426,-0.1707105619412607,0.40341478802933395,0.15838256062468759,0.6572718928615454,-0.011557502380022691,0.48584369279898093,0.691713913871936,0.12300695352202788,0.44420287533393216
Vermis_9,0.13552585225706568,-0.3206688380028814,-0.23093154938833202,0.36072516080152023,0.558590507539045,0.3718470238446562,-0.06144234449951965,0.12071035621736433,0.49347247642582537,1.0,0.07506994267196658,0.36862620966699683,0.30400205791605556,-0.24246571504944425,0.17530145485919912,0.34355505026574334,-0.15843455147274207,0.22352293718049596,-0.0747520923430093,0.6141401743094974,-0.03596846656623745,0.23220423776105775,0.23679614825182313,0.18905967135090485,0.34354341026007373
