,Temporal_Inf_L,Thal_IL_R,SN_pr_L,Cerebellum_10_L,Rolandic_Oper_L,Rectus_R,Frontal_Med_Orb_L,ParaHippocampal_R,Fusiform_R,Hippocampus_R,OFCmed_R,Fusiform_L,Caudate_L,Frontal_Inf_Tri_R,Precuneus_R,Thal_MGN_R,Occipital_Inf_R,Vermis_10,Thal_PuL_R,Frontal_Mid_2_L,Cingulate_Post_R,Temporal_Sup_L,Precentral_R,Occipital_Sup_L,Red_N_L,Precuneus_L,Thal_PuL_L,Amygdala_L,OFCant_L,Supp_Motor_Area_R,Cerebellum_4_5_L,OFCant_R,Parietal_Sup_R,Cerebellum_9_L,Vermis_6,Occipital_Mid_R,Rectus_L,SN_pr_R,Thal_LP_R,Precentral_L,Parietal_Inf_L,Temporal_Pole_Sup_R,Lingual_L,Heschl_R,Occipital_Mid_L,Cuneus_L,Occipital_Sup_R,Frontal_Inf_Oper_R,Cingulate_Post_L,Temporal_Pole_Sup_L,OFCmed_L,Frontal_Sup_2_R,ParaHippocampal_L,Thal_VA_R,Thal_MGN_L
Temporal_Inf_L,1.0,0.08501868862352815,0.17437421349489718,-0.04381199845449998,0.26014880908477206,-0.007055495988832859,-0.28424509196105047,0.16949940046389902,-0.04862131566768795,-0.013113099872121822,-0.17906783067765442,0.153297310950172,-0.010558289727035838,0.03112230834839982,0.07381401917406388,0.1682274329616584,0.04965822684719388,0.028083915043915334,-0.10096970223751559,0.02126879026932298,0.09936149335020332,-0.07480792786383621,0.019300741392038145,-0.04710639628635957,0.16837286952465597,0.14382156657354664,0.08693836299713864,0.31157148865585643,0.1890390877929202,0.1303408994320894,-0.3123487504159963,0.06670049462308113,-0.060358300559030936,-0.16166147857779053,0.17203554808745494,-0.2825398638553676,-0.04411501473707317,0.11028939742151618,-0.034344718865716196,-0.029162336493852678,-0.00600655307171075,-0.22579537710830894,-0.38375801167107987,0.10904164193782975,-0.03161716029300058,-0.037537828532110726,-0.23985983287695725,-0.0867858185383464,0.1196915330084233,-0.1731015989691554,-0.23822530508741205,0.24148248864791885,0.3490818186191872,0.05288860978419182,-0.20653813943510163
Thal_IL_R,0.08501868862352815,1.0,0.38361730799725036,0.01280784904854435,0.44735518693047516,0.03224073611944117,0.3163287243567213,0.49613174804152466,0.5760291527987136,0.6383160838118976,-0.0958561624860235,0.25477709633817175,0.4521499098302915,0.501927882772446,0.5556535527574481,0.506078327844305,0.05679524881506181,0.2984534184845708,0.45970256870389337,0.7015661202086941,0.5192105255602477,0.3952746939333829,0.6159605590460686,-0.11931669999183164,0.5121223871951264,0.5109090879024083,0.45242550829968164,0.052198631391063344,0.04748802120336913,0.6587942742924776,0.5386570994949701,-0.04760943253132805,0.3769293902182463,0.3821049331162119,0.19871179754476445,-0.018776020329343408,0.23324645525511326,0.5895247200985837,0.3552164545698239,0.6512048843019019,0.6375266735435625,0.21780135955504645,0.43167604924818775,0.5738775508425907,-0.06748961811230594,0.06229752800816173,-0.0341745860929446,0.5757137122901477,0.44026191870104153,0.1570952475796597,0.06310958420170888,0.5831452352358596,0.4547550212458994,0.6713144683151363,0.2894438182620854
SN_pr_L,0.17437421349489718,0.38361730799725036,1.0,0.09628574249026876,0.5198004557052035,-0.19889608489313493,-0.0456321194290744,0.6440867939281223,0.14094652709150018,0.4366589452542154,-0.2501777947693562,0.29147237810519455,0.4216997575970943,0.20060416983788154,0.2540148044112979,0.18744886461988225,-0.08241087647456294,0.2631402836991715,0.34897544071236214,0.28563630317202654,0.14291921959330134,0.3724439009702027,0.14129102520692652,-0.21390814469932307,0.4651343019012402,0.2460935940499535,0.3909677122991295,0.11528161424619908,0.036141077836834665,0.32962082283335425,0.2830909573970502,0.029794476694225837,0.15425785230559635,0.35929267396297887,0.1606251382717964,-0.25585716634588324,0.04664153667468744,0.5819387887759614,0.4406392878830437,0.17988772402051054,0.26617864552384446,-0.028753888117123205,0.11922691053213821,0.35498272522145385,-0.1245043739000468,-0.1205253754022484,-0.2728083402230292,0.1219354216618607,0.18388852619130716,-0.018738333888080105,-0.0974505564562428,0.4192744474402969,0.38988779211597435,0.450674077381469,0.01873461810285005
Cerebellum_10_L,-0.04381199845449998,0.01280784904854435,0.09628574249026876,1.0,0.17671272419909398,-0.017849290682508363,-0.11365757930990392,0.09799447984670646,0.17327101211491522,0.13599177137023216,-0.045260651216459544,0.3066714321344302,0.22603223724522592,-0.21303919165721044,-0.04893349519295276,-0.24597940761895062,-0.14057166534484988,0.054516953494237665,0.41562790033939445,-0.00584732975290506,-0.11415329821319867,-0.08879488979767552,-0.1787603857041816,-0.250740679726331,0.42040093326834427,-0.06751365826371115,-0.0046297783931633935,0.10585728245549077,0.14938217261643782,0.08378037235719342,-0.1375685312790405,0.02807811446277479,0.13856542709643754,0.19383597963493368,0.08811891757132011,-0.13308407568411593,0.061581125530686176,0.34529706265546456,-0.2541171359712037,-0.15093299606167115,0.0839948989228461,-0.20169086430105432,0.001006825678998868,-0.004514088034420449,-0.14957591068385032,-0.2742579080966558,-0.11100288985915167,-0.007902162200319416,-0.02050736344706196,-0.09439957909004458,0.3610959481234916,0.06433516073128671,0.2705236867846693,0.05549835208552719,-0.03343248261684365
Rolandic_Oper_L,0.26014880908477206,0.44735518693047516,0.5198004557052035,0.17671272419909398,1.0,-0.15518759272602828,-0.18658641624596473,0.557448332591556,0.10651052371358209,0.4648345852081432,-0.2121724353710989,0.46590612844291834,0.5552475557683165,0.21772321310068515,0.2523939443771921,0.18381524956150247,-0.0036373558617980115,0.0946370984112083,0.3733127463144716,0.43480540799575773,0.2447004821627424,0.5402305494911424,0.08023303549022659,-0.37449042413411443,0.5661476860587628,0.2240925237863473,0.401981982648122,0.1288736057219315,0.24212224962919165,0.28032395775613744,0.22697838205715826,0.1521464026048725,0.1066434999173705,0.3855903934707987,0.3597980624398315,-0.42268153745066733,-0.0938680903593642,0.5108823836582217,0.2548736457162046,0.14517830069562035,0.2082673486455533,-0.001989171902624273,0.07166107282869498,0.42161077995862933,-0.18792742524815387,-0.25425380328056274,-0.39841040471999006,0.1271258573331132,0.21268759576054025,0.15171954456117517,-0.0006541349753021931,0.6145049650372651,0.5642066154566451,0.38441899706726673,0.13278285267357975
Rectus_R,-0.007055495988832859,0.03224073611944117,-0.19889608489313493,-0.017849290682508363,-0.15518759272602828,1.0,0.0426589245991906,-0.046645522940598094,0.15297353387620696,0.14931634863562035,0.3319038381699612,0.0038821666298065813,-0.10769186566805283,-0.057325368666042084,-0.04135627262850684,-0.03371644215360262,-0.030714369114423937,0.05638045438930553,-0.11056362442825016,-0.039606264872085996,-0.0385431887880483,-0.2064352727815879,0.03569804979781335,0.022569629706496504,0.00897319529275861,-0.05326617016295316,-0.09120455612721666,0.1724909124734755,0.12061327268580424,0.0036253387767685575,-0.024377084957670547,0.018776112637991803,0.012738700327576756,-0.24992256967658,-0.025047785070951865,0.15992444984203338,0.3216303482020345,-0.017164345671386316,-0.12297585500905626,0.04782389578525038,0.0074218104746220604,0.17155563925217795,0.053454515890261824,-0.04076733131080687,0.10124447382462189,0.017287469592609184,0.1380712233301647,0.05555956731863122,-0.12859997130894954,0.017220831738452323,-0.12179970017214527,0.11110446437957391,0.029369012328809025,0.0003086860245179019,0.030454845361548598
Frontal_Med_Orb_L,-0.28424509196105047,0.3163287243567213,-0.0456321194290744,-0.11365757930990392,-0.18658641624596473,0.0426589245991906,1.0,0.06521742091500457,0.5350748566903054,0.32613336397244896,0.05146723997685684,0.002985969448537233,0.14966201454380412,0.46951373783250744,0.2879146292125892,0.1942947432819434,0.14552243462459233,0.1765401430860208,0.23258689831109164,0.3565536007990558,0.23293960201626882,0.1680226491178031,0.41081172832453755,0.04353425785230336,0.013992394748308478,0.2108633263560484,0.12612924571317385,-0.29403217779218693,-0.22124301004085675,0.21346864027731366,0.5322347067426687,-0.018392801135261753,0.16044126993298366,0.20824872684948506,-0.1379093256326934,0.30186932625133694,0.24480390828872173,0.13109992735351356,0.03129988893074657,0.43562334740404,0.36988048126916495,0.3786819985550535,0.5033074920470783,0.2676745752256822,0.0326330719565037,0.07943202483696682,0.228182856313695,0.48668580215740037,0.22871680839920377,0.15726651641631903,0.23610384550514552,0.005257265441277063,-0.09768876297277379,0.24375905152782765,0.16325988501371333
ParaHippocampal_R,0.16949940046389902,0.49613174804152466,0.6440867939281223,0.09799447984670646,0.557448332591556,-0.046645522940598094,0.06521742091500457,1.0,0.22892013258113583,0.7649168423683566,-0.32397448046136373,0.5183219554600901,0.6643439231006861,0.320954502733465,0.4120483587162546,0.20531408051304173,-0.10282558342954293,0.5442361844549714,0.5124640450237568,0.45742687532242804,0.31096466809877943,0.25727303675385205,0.29431578790927254,-0.5441386843347974,0.782961740479044,0.309356728473947,0.4459333730711388,0.23685389230597387,0.02013688841652385,0.4766065221438125,0.3271104611769255,0.00679732041716228,0.22585786177565942,0.49558074972291266,0.2978786194285068,-0.4377771912920018,0.2982249733914907,0.693421919649522,0.5083321955496125,0.36752437242737485,0.28539713431722924,-0.028896052076556808,0.27537894841698773,0.6874991307863956,-0.31376244633017814,-0.3804589448089974,-0.4098455659248717,0.360656991391551,0.283881976398794,-0.09880728929898436,0.017503756198068685,0.49284177316142064,0.7100818921007984,0.7178234751178283,-0.09465601079276857
Fusiform_R,-0.04862131566768795,0.5760291527987136,0.14094652709150018,0.17327101211491522,0.10651052371358209,0.15297353387620696,0.5350748566903054,0.22892013258113583,1.0,0.5626796511254976,0.1406090843817398,0.31776206450824473,0.3935173761692886,0.5356908466054225,0.5292238691712314,0.36370280573438596,0.12496698095364413,0.12791166498960624,0.4769766842431165,0.5744215710694978,0.43336525295871015,0.38253806972405535,0.5595791280421585,0.16032127988300227,0.2534982021935132,0.5430015697378148,0.32685347095118233,-0.18069294656681759,0.03520857216875211,0.5240308774738979,0.6409434046126836,-0.05179181613047811,0.43597226167244263,0.40179353001131946,0.09520591700499145,0.41832564806949263,0.32526538629724755,0.5064631932220216,-0.01251728379375425,0.5853368554031854,0.6795841535576611,0.4264069901627856,0.6618190682529033,0.3312672725394719,0.20663089450075472,0.2861814285100074,0.36447682508383455,0.650488404705159,0.45952856036760903,0.3157358361930243,0.3452829919577497,0.3437222276414291,0.17907289919073496,0.453680486556927,0.43293709163196037
Hippocampus_R,-0.013113099872121822,0.6383160838118976,0.4366589452542154,0.13599177137023216,0.4648345852081432,0.14931634863562035,0.32613336397244896,0.7649168423683566,0.5626796511254976,1.0,-0.13277620173182617,0.5222760295739282,0.7186712051981892,0.5141840191725198,0.46347216063750246,0.32786378217875506,-0.030102739216342288,0.5276853025797082,0.6110483159404484,0.5593424961962496,0.4028998327222188,0.3667598828919473,0.4152131655368483,-0.34613194115885326,0.7265094350290905,0.39054516163214287,0.45707456651263856,0.05789218757017714,0.017433551652943746,0.4884149432125448,0.6173316190105267,-0.06481733476883333,0.2677354854338216,0.45884894202818866,0.24847955133767669,-0.11235313570191702,0.3253314021929837,0.7339743895705765,0.3604003298835816,0.5042581296808183,0.46206009107267193,0.23878140944811535,0.5509975439710337,0.7409320098560056,-0.1636184719795879,-0.2209964197619005,-0.15543182610653508,0.552837225735626,0.3227507336627808,0.03828703026612235,0.23706479678816425,0.5592743941676479,0.588102729490412,0.7123476914996332,0.11951660909777613
