,Putamen_R,Insula_L,OFClat_L,Parietal_Inf_L,Postcentral_R,LC_R,Cerebellum_Crus1_R,Cerebellum_10_L,Temporal_Pole_Sup_R,ACC_sub_L,Precuneus_L,LC_L,Raphe_M,Frontal_Inf_Orb_2_R,SupraMarginal_R,Thal_PuI_L,Temporal_Mid_L,Fusiform_R,Cerebellum_6_R,Thal_VPL_R,OFCant_L,SN_pc_R,Frontal_Sup_Medial_L,Rectus_R,Thal_LP_R,OFCant_R,Precentral_L,Vermis_1_2,Postcentral_L,Cerebellum_8_L,Occipital_Sup_L,Thal_MDl_R,ACC_pre_R,Temporal_Inf_L,Frontal_Mid_2_R,Lingual_R,Temporal_Sup_L,Supp_Motor_Area_L,Thal_PuM_L,Temporal_Mid_R,OFCmed_L,Thal_LGN_R,Insula_R,Frontal_Sup_2_L,Vermis_9,Calcarine_R,Calcarine_L,Thal_AV_L,ParaHippocampal_R,Hippocampus_R,Cerebellum_8_R,Cingulate_Mid_R,Thal_MDl_L,Frontal_Inf_Orb_2_L,Paracentral_Lobule_R
Precuneus_L,-0.18881418903195446,-0.3633199496613501,-0.264007432529903,0.7246367032589804,0.6322957958320625,-0.25506131784910274,0.3574967223887507,0.09371157038885364,0.09748775542632633,-0.01953810954287602,1.0,-0.23111019858840126,-0.2079617419690712,-0.0659422969899107,0.6249102372949457,0.10793865066669031,-0.06629860469145102,0.2695185333475186,-0.056251668079914975,0.41356062533931015,0.004262308445887307,0.008196612682979748,-0.04738346868502032,0.10218703818020226,-0.14851286150691062,0.0670723134746817,0.02621992211445163,-0.09999663825465747,0.6541734184509658,0.08574616690260022,0.38923575965334717,-0.17786667445281754,-0.41774532500219047,0.15267866023755564,0.252292227151987,0.054946407385482975,-0.2727817062384813,0.7087731249246064,0.01315232512790806,0.4511624736748479,0.19764939136381487,-0.4153157724603623,0.09310772111350864,0.08509526771437416,-0.2657464848262651,0.0444545589809005,0.26975327236145863,0.17219077348144282,0.030678574441927297,0.07163266913383894,-0.05510148406363633,0.2666206577218219,0.17783599674284828,-0.5012061579790869,0.7191353888686084
LC_L,-0.11129550374060532,0.4371367361362076,0.2694795842573103,-0.0629006240619762,-0.11422166259063384,0.3096656577244552,-0.1895197925866516,-0.15390760459581013,-0.15145676291994306,-0.031200757656463716,-0.23111019858840126,1.0,0.2763978164701575,-0.2388978382530911,-0.24876177872203706,-0.05023091721254158,0.26028901418314326,-0.30656667474258975,0.1385240038149206,-0.08689385451981338,-0.13448031803277255,-0.11908638427918827,0.018800899445423326,0.01981074889430641,-0.10594996065360855,-0.23028916288991144,0.39711409027873157,0.3044307384083475,-0.03658653174359623,-0.16872731183961914,-0.12912220664628243,0.07613049638066238,-0.04412801474970586,0.02719908495371742,-0.12842174377882717,0.15238452613465267,0.4802549961366074,-0.05238534464063136,0.23652655704169565,-0.25147387573377655,-0.36130256941335026,0.21649286896580763,-0.2364444109041255,-0.007752943227201184,0.28452052626475505,0.2316650141184428,0.2052872534408103,-0.16566876051565638,-0.20982942110060065,-0.24316793233892484,0.36305302054790656,0.03492118711211608,0.07294410784808435,0.3535880456464501,-0.03585082667027585
Raphe_M,-0.20349127651427243,0.6384208619539619,0.6463946115761596,-0.050855686310688215,-0.15638710778736675,0.4584645864246038,-0.3204979470102541,-0.06523140032328559,-0.331000419540254,-0.12164440225183339,-0.2079617419690712,0.2763978164701575,1.0,-0.5947826693916038,-0.08585769228634547,0.08292944255146051,0.5017623818776037,-0.5511632283150639,0.31155941452173713,0.28185570337119886,-0.5833543124483437,-0.3275475068699824,-0.11045467815951958,-0.5294506831501269,-0.04096292845831873,-0.3406558881396109,0.17269733953533373,0.7124847399684133,-0.26167756351046256,0.17530159756730718,-0.12767624520321144,0.19193992684204064,-0.16736957256888957,-0.06141085334420154,-0.21834196427851502,0.1674831108813594,0.5551146203843199,0.09390032593431677,0.14364253590876966,-0.3385866554261578,-0.7100098531852772,-0.018025516110763258,-0.5302488918984825,-0.17857741878366795,0.2482413616664071,0.3707500971234817,0.4924559862957655,0.010382648609870256,-0.5029289818761811,-0.4869324840594262,0.7481424054676099,0.1652304162722297,0.49738907122991977,0.2985053809443242,-0.0992668668565842
Frontal_Inf_Orb_2_R,0.7215059435797002,-0.46272342734187044,-0.3638793953765616,-0.1490290427019179,0.1276763863922607,-0.43179193029043117,0.2716878008144549,0.16242006798634462,0.5958369036768933,0.23339376261786068,-0.0659422969899107,-0.2388978382530911,-0.5947826693916038,1.0,-0.10042026216502431,0.009719590301717373,-0.5597228132662226,0.6849175909468818,-0.0594790519204903,-0.30408823158417814,0.7590311299900534,0.5543946050601587,0.47841085718173987,0.421201606429059,-0.009313149476772776,0.7642255442724492,-0.12346982508125127,-0.5886626145531303,0.15929583293144056,0.07682904275687263,0.0666091470788134,0.08186839727743556,0.7336588018582719,-0.02222984463697981,0.4403885118223905,-0.2184240273821521,-0.5898732634296789,-0.31971077303236023,-0.0942839689344517,0.32045229322565116,0.7990445897916294,0.331126278703012,0.8008250260326166,0.4593412040230561,-0.13780913622103827,-0.5554628437573562,-0.7008354797211573,-0.08583945406802988,0.7212075737256788,0.7368663568240112,-0.7457809556247953,0.003578240423907274,-0.5265926668088372,0.06605247016378606,-0.021277836447603376
SupraMarginal_R,-0.07904392088409505,-0.3565187318710305,-0.2817118346004503,0.13614857417611606,0.6282135416915745,-0.042237340827826125,0.3943354923224659,0.24301894775682348,0.07135187376334645,-0.10446447096387808,0.6249102372949457,-0.24876177872203706,-0.08585769228634547,-0.10042026216502431,1.0,-0.04905675066922042,-0.21217558646520082,0.23572675785038422,0.20619978499667022,0.653223528544252,-0.09437453299434992,0.08947009579764124,-0.14363047561546877,-0.059881596711983,-0.0448333675009324,-0.05918597295513802,-0.2569572883160665,0.06369486830856644,-0.018136498657953304,0.31890704922333074,0.04648187228401685,-0.16085422247559367,-0.3319684762027319,0.07251887014701004,0.22968441322212477,0.28810785601583594,-0.34815632391346923,0.5455765632966795,-0.06732112024755976,0.5213169931653021,0.011993089659749202,-0.2828300890582894,0.16927049629858446,0.025692296948100372,-0.10799354215144816,0.20169052484523964,0.2137230848017088,0.2293573546750495,0.035274150786366,0.13092993416607213,-0.06698129129230518,0.41239702527188754,0.12790353547426767,-0.5463413022028621,0.592292653167797
Thal_PuI_L,-0.05036154683024554,0.08162074128519084,0.2782968549781253,0.16491215432586276,0.19932027037215508,-0.3439412568576962,-0.0849149432421016,-0.2582554006198001,0.18078681434395863,0.1031913581586991,0.10793865066669031,-0.05023091721254158,0.08292944255146051,0.009719590301717373,-0.04905675066922042,1.0,-0.11248214068584257,0.00872423757540512,0.0630899800219965,0.16640432747235323,-0.07236266977200426,-0.014647259310828427,-0.029973893870102516,-0.20644436154212265,-0.33783005552311773,0.13195771726171007,0.02604452141084408,-0.06425000115250519,0.15164870610568362,-0.12262862145264755,0.37742831440055014,0.33161896904623717,0.1386691156565386,-0.10985614261433607,-0.07130492334090305,-0.2893586746648936,-0.11070510986254059,0.27660558763972426,0.21888941706815843,0.07783331505932144,0.11058447201280307,-0.11661551273765924,0.08253578206116674,0.08722827271277969,-0.1659911558982076,-0.07804841834047711,0.020009328639617414,-0.043576815978838446,0.006901558172431383,-0.05144044510549543,0.11399717985215028,-0.03840372967170911,0.38023629295743494,-0.01082413296132426,0.19546055402832013
Temporal_Mid_L,-0.34100542337305684,0.5259892730906911,0.31170110387994615,0.1377716013353761,-0.23290639553753512,0.5334211390098217,-0.29681010067592545,-0.12292213415075605,-0.409713635200186,-0.124279365010617,-0.06629860469145102,0.26028901418314326,0.5017623818776037,-0.5597228132662226,-0.21217558646520082,-0.11248214068584257,1.0,-0.5960804421918781,0.0925136187079093,0.0006041853169336196,-0.42488337587881286,-0.4311946653119952,-0.1462371634145045,-0.11106568382391424,0.14092680983315592,-0.4464671792708554,0.30951452468637397,0.5713702515205541,-0.03502288847637993,-0.139037314822643,-0.08588507734675382,-0.13237882752370975,-0.37847440569680185,0.21376943493924735,-0.23621053477996162,0.21717922589021005,0.6433734279566573,0.0092518492202655,0.09298433106980043,-0.4281995605830598,-0.590480501746507,0.023510617016937983,-0.5786381229991457,-0.2633838617841569,0.26702009205614763,0.4575927296961861,0.555910479824719,0.16638177771959548,-0.5602519874631212,-0.5526070286121367,0.5514899061597248,0.04458248765467416,0.3070404923721777,0.2863385153383848,-0.11904643179076356
Fusiform_R,0.47191938957135854,-0.5393782833022147,-0.5227392849930788,0.07111355328066847,0.2513439149458231,-0.35809724160224626,0.6027833935206137,0.12126977056060592,0.5888443026165181,0.2285573313733015,0.2695185333475186,-0.30656667474258975,-0.5511632283150639,0.6849175909468818,0.23572675785038422,0.00872423757540512,-0.5960804421918781,1.0,0.21952932181732318,0.09991531204884167,0.6442826603711298,0.3550414736837981,0.14557541592101572,0.3886544419573888,0.03922876731939771,0.5066380587244188,-0.18697800456283226,-0.45985911700150894,0.27190917330432673,0.1855800518466077,0.23891205331259105,0.09833366763597709,0.3190544353541008,0.09280760852862438,0.20605548857280068,0.12733574038383624,-0.5571767186707116,-0.1346827534337043,0.037350364993580215,0.7268493612300924,0.6733683688423661,0.01684543025429535,0.7809364444709185,0.21054949388263078,-0.12611565846855433,-0.21066909263430694,-0.3402018331037941,-0.020707765134192747,0.6362379034637411,0.6532898090174655,-0.5930080892406181,-0.06360364648210874,-0.2281700007789646,-0.36706775225321125,0.1143107512266498
Cerebellum_6_R,0.04488297402229854,0.16827017463641303,0.018935903712895417,-0.07018861155095439,-0.01413083921673463,0.45672455031673265,0.4427025712935541,-0.19521621028493794,0.3734766840705779,0.007299274130934355,-0.056251668079914975,0.1385240038149206,0.31155941452173713,-0.0594790519204903,0.20619978499667022,0.0630899800219965,0.0925136187079093,0.21952932181732318,1.0,0.39715276545258615,-0.06392060129179164,-0.24132128147438295,-0.297295602379863,-0.0919763482107981,0.020481703267768835,-0.0986292141306977,-0.006185258233752651,0.4551835836382478,-0.22662788422760957,0.276899304732538,0.20627686670789414,0.1397579982363334,-0.08799345303439356,0.12981243384476646,-0.314214941118692,0.6876895829065338,0.18631775033871367,-0.14616615072271186,0.2762276994700328,0.46338002531204836,-0.18920553039020369,0.10251476013846246,0.2001561868268417,-0.35755050249424086,0.5992589739419667,0.6444785047366882,0.47771124247348923,-0.00022698168074982854,-0.07210952361275286,-0.12357709285942947,0.2164218266296635,-0.11080667321731748,0.3590313268119136,-0.1773095198696575,-0.07648422872229532
Thal_VPL_R,-0.1377073880850398,0.08319602251169227,0.09205956912129981,0.17411474811515187,0.3151481654106193,0.141984380141099,0.29344313858377546,0.05331637656400101,0.18869961792018408,-0.11675947624763314,0.41356062533931015,-0.08689385451981338,0.28185570337119886,-0.30408823158417814,0.653223528544252,0.16640432747235323,0.0006041853169336196,0.09991531204884167,0.39715276545258615,1.0,-0.184574316230646,-0.18678324240816277,-0.26615283137064477,-0.18163563355512918,-0.01253553981605385,-0.1733761119473093,-0.0006488063569859605,0.43673634285953417,-0.0488870184773878,0.3025587793609692,0.22194081173211924,0.060789684497687894,-0.31328241732392964,0.0385657316821803,-0.06664724339626528,0.29239792478486915,-0.01373893412086698,0.35272327957495675,0.278543040516287,0.4795607364587262,-0.2870210105715167,-0.30406804528758896,0.10197279936933697,-0.08797953910440962,0.037195425251052384,0.3350315354885083,0.4884540830907739,0.22621650476188565,-0.18253649957375784,-0.07932706727243022,0.3115590178898496,0.2255675986936855,0.5541542869625997,-0.2899274031283747,0.2860022281999113
