,Caudate_R,Temporal_Mid_L,N_Acc_R,Thal_PuL_L,Hippocampus_R,Frontal_Sup_2_R,Thal_PuL_R,SupraMarginal_R,OFCpost_L,Vermis_3,Frontal_Inf_Oper_R,Parietal_Sup_L,Cerebellum_8_R,Angular_L,Cerebellum_7b_L,OFCant_L,Red_N_L,Raphe_M,Thal_MDl_L,Cerebellum_6_R,Occipital_Sup_L,Frontal_Inf_Tri_R,Thal_PuM_R,Parietal_Sup_R,OFCmed_R,Amygdala_L,SN_pr_R,Thal_IL_L,Paracentral_Lobule_R,ACC_sup_R,Heschl_L,Occipital_Mid_R,Thal_VL_L,ParaHippocampal_L,Raphe_D,Temporal_Pole_Sup_R,Cerebellum_3_R,Angular_R,Thal_PuA_L,Thal_VA_R,Thal_VL_R,Putamen_R,ACC_pre_L,Thal_VA_L,Thal_MDm_L,SupraMarginal_L,Cerebellum_Crus2_L,Thal_MDl_R,VTA_L,Fusiform_R,Cerebellum_6_L,OFCant_R,Putamen_L,LC_L,Frontal_Inf_Oper_L,Occipital_Sup_R,Rectus_R,Temporal_Sup_R,Vermis_6,ACC_sup_L,Parietal_Inf_R,ParaHippocampal_R,ACC_pre_R,Vermis_10,Frontal_Sup_Medial_L
Caudate_R,1.0,-0.33537024086598993,0.6885062530302614,-0.5082047783764162,0.6963362289705037,0.5022195453321026,0.06727907424175623,-0.10738301929321496,0.3974089795862837,-0.2231333569636183,0.16353661704024527,-0.19697533854050045,-0.49202630981222106,-0.5494602927938103,-0.22692541623688844,0.4530692791489173,-0.20208990935442595,-0.2036979653565605,-0.40791073864027333,-0.1371461963631491,-0.3073600284126955,0.6234835985333919,0.021018731131512834,-0.3996832016356901,0.24130071993012053,-0.3484711537983672,0.6629932625285012,-0.19128826135273505,-0.03837333056676916,0.6443753047384703,-0.10986427919228231,0.2409367567699957,-0.028824563504567444,-0.22651885220645082,-0.34968853890583596,0.12072385996697457,-0.05453519865534851,-0.43069573923521814,-0.12874432221257906,0.6998067256080003,0.7036160775942655,0.9092359616434942,0.6392605862607257,0.24371931737977504,0.206811811553069,-0.4101270039205256,-0.262537186234898,0.15600035496456785,0.39286888751386656,0.35836163934557674,-0.21372003534675077,0.4874496272866586,0.20344858414692865,-0.08655778214267952,-0.049595638383642296,-0.1137418894120665,0.22197652708822688,0.37622410328933226,-0.015522099243724455,0.717281372313404,-0.4642570306742004,0.5604569761006059,0.72793382782136,0.2790221457409018,0.5858862552556449
Temporal_Mid_L,-0.33537024086598993,1.0,-0.3315695062730447,0.15959008111544645,-0.5526070286121367,-0.2599733406541811,-0.3908244855569341,-0.21217558646520082,-0.19021251318703478,0.5016875312593807,-0.08915080066448236,-0.18465792848604762,0.5514899061597248,0.6376515325512586,0.554850296496439,-0.42488337587881286,0.3446487286787571,0.5017623818776037,0.3070404923721777,0.0925136187079093,-0.08588507734675382,-0.6051601472773064,0.003361324501170187,-0.084868951943012,-0.1709772339275136,0.4017335628031106,-0.446615086014303,0.33391577667236105,-0.11904643179076356,-0.351395487923765,0.44711276114241166,-0.5400746626033552,0.2334089118917109,0.5183367121627903,0.5569951215890365,-0.409713635200186,0.3855662855051259,-0.03353112923047311,0.16187095303804505,-0.4229466113296101,-0.3172463469139026,-0.34100542337305684,-0.3748952725101908,0.08978557361355934,0.3423991526176395,0.6258108654128955,0.6380016865771702,-0.13237882752370975,-0.26926040972175797,-0.5960804421918781,0.6363945956012494,-0.4464671792708554,0.5020250620802721,0.26028901418314326,0.6594235295980838,-0.283167637151941,-0.11106568382391424,-0.5060442065228462,-0.09527212591725041,-0.06335974507224834,0.017057316843706077,-0.5602519874631212,-0.37847440569680185,-0.4971336180937309,-0.1462371634145045
N_Acc_R,0.6885062530302614,-0.3315695062730447,1.0,-0.4895526661222611,0.5211822462029889,0.23612600005120288,-0.21617239716770992,-0.36550815262931147,0.39151523025283824,-0.19922593356585622,-0.1190873282552107,-0.213694261789092,-0.46195924945441147,-0.46028165255658243,-0.375983282977092,0.3558739537753136,-0.24769041795597468,-0.2516225798769911,-0.5304312553632683,-0.06322739078993946,-0.22745062711785383,0.3585269143459695,-0.21561761355031897,-0.3807512906622546,0.21308029345781584,-0.3546983988745033,0.5253279761868948,-0.4348045927589738,-0.05748725978915653,0.44831833612421224,0.02998347487256148,0.2768797089448343,-0.24163437286593908,-0.10541014841653752,-0.44244304124484174,0.1266274410218986,-0.1371876679770142,-0.6022581187678184,-0.10082333878143536,0.7483469105702084,0.3726707792352556,0.7301924797498126,0.46299987064327086,0.1610811917344392,0.007803835453198114,-0.24289005823643398,-0.36221733664352984,0.1621476082433666,0.47313638667112834,0.3179421828926682,-0.3127235922196285,0.514091371896534,0.14955901933540217,-0.0027186933727933677,-0.007501199540762252,-0.1814950633299833,0.28498031340205504,0.37475792951833764,-0.01519127553533487,0.5870992738253283,-0.5371479934890516,0.5487716210123783,0.6822210459236142,0.3896448936915315,0.4832647766786646
Thal_PuL_L,-0.5082047783764162,0.15959008111544645,-0.4895526661222611,1.0,-0.5237197542971536,-0.16210189597258523,0.21800595443664889,0.2722845302415461,-0.4013502093917292,0.35491936590013223,0.06425368362545775,0.18714045743485896,0.5300250898122725,0.4925428724225189,0.34031306186740556,-0.5217223905767607,0.3472169279365112,0.445221623533758,0.7362188514190129,0.24321832884075967,0.41195273525585185,-0.32980174716798094,0.2696792046943194,0.3623105478081752,0.06447194766456085,0.20988536954216166,-0.5990608391194029,0.432372158052932,0.13310902156245102,-0.42615926972638324,0.14103153245253905,-0.3475416306172185,0.5267502987544581,0.28789443949330046,0.144887806230909,0.029427225817707393,0.2702059932721766,0.37915044237548656,0.11853731154988176,-0.3269864674389529,-0.2710404566941228,-0.4302772889640338,-0.6862610945988812,0.2567762770790464,0.276046833343275,0.3172708386649756,0.2747008280559995,0.14541854349420955,0.004573287333157227,-0.20689783104699402,0.26389286009980134,-0.20849541421786005,-0.014622860311803423,-0.037396696539005285,0.07746595383038463,-0.009698836122413486,-0.5374072393339757,-0.3027333665930993,-0.08207834405159818,-0.3607442100272261,0.5270562502725442,-0.4767097415461637,-0.3698122820654172,-0.393362466613368,-0.43531943519036187
Hippocampus_R,0.6963362289705037,-0.5526070286121367,0.5211822462029889,-0.5237197542971536,1.0,0.34249178100545563,0.36582302932361843,0.13092993416607213,0.3993628567677859,-0.43264097311056315,0.10535229325593413,0.1289444545495168,-0.6333954707975586,-0.6202893382786339,-0.6447875772163879,0.5589300437072036,-0.25499119652024077,-0.4869324840594262,-0.4345298264317501,-0.12357709285942947,-0.18038362860397136,0.7804713642928216,0.16294602073110934,-0.02153621120592065,0.2215849689803093,-0.44000806103749246,0.8469864988843873,-0.19714460376565443,0.1842652320656452,0.6068173460924112,-0.25081277496554966,0.5581452610549463,-0.09992262258152838,-0.4353814184680357,-0.5799652556374035,0.22062245010054973,-0.2199815843373183,-0.18570003619983175,-0.039382196933118375,0.7019128519546317,0.688924434019558,0.7402204810640796,0.5923242111498578,0.10418320311276164,-0.09841739616214568,-0.5201612251796195,-0.6482438583624284,0.20458059913568383,0.4387035509661533,0.6532898090174655,-0.617014931984654,0.43740520191961685,-0.2591174971082129,-0.24316793233892484,-0.34259965470469333,0.2121005183208814,0.4512246407102793,0.6664243401445561,0.149796158677388,0.4250516099276443,-0.17941953844233247,0.8941888748853095,0.46907362015992105,0.6989475226702765,0.4185239037621983
Frontal_Sup_2_R,0.5022195453321026,-0.2599733406541811,0.23612600005120288,-0.16210189597258523,0.34249178100545563,1.0,0.23512131535753233,0.27384021972329475,0.06848346241221068,-0.23135402166614719,0.3412820320903133,0.11702675770019311,-0.18052005561264292,-0.3881309064439933,0.05956956406169921,0.18015026072551774,0.09899573991183276,-0.02770307122112918,-0.18560340778519802,-0.26785276491605864,-0.198130745410673,0.5784849711967197,0.12897070671184482,0.018148566613125507,-0.12421025192561791,-0.11806834710878586,0.301998766295141,-0.15253950731003094,0.37047507183583056,0.6806798444178531,-0.32634939111255945,0.007815350854262035,0.06899546140027321,-0.12651521077653746,-0.012314567173344516,0.08193685897418561,-0.07912974866727773,-0.03074745306903357,-0.18415562613243466,0.44017483707021665,0.22936825801971097,0.37760426230394273,0.4167152075635322,0.1404725766163991,-0.09721922616877927,-0.42130650237533995,-0.0414327280707278,-0.047440950842352954,0.14737515203612817,0.09060234360410671,-0.1664291110351796,0.4944853707387776,-0.012950563411276563,-0.12994310300289702,-0.1382806579044037,-0.11695014457114604,-0.1211088862190481,0.10828245500500677,-0.20168613690812245,0.49735507327188416,0.06782394899272434,0.21763598101792164,0.4903215770861144,-0.08931948938424632,0.7508649586485501
Thal_PuL_R,0.06727907424175623,-0.3908244855569341,-0.21617239716770992,0.21800595443664889,0.36582302932361843,0.23512131535753233,1.0,0.49089108345826227,-0.026875112308550945,-0.36017871116696265,0.2773328662747476,0.36181473570371225,-0.1965465655108527,-0.3456771297084532,-0.3623222744587807,0.2911346383121219,-0.17643378712744212,-0.2903158701909367,0.14506332444603623,0.007660688213186525,0.30859407209506456,0.4743981017965301,0.361227249554184,0.312044787204318,0.09917443542974796,-0.03282943555936576,0.22983365899659286,0.1752374689226,0.2983314358712421,0.16103869063554255,-0.4553826997401614,0.3808427724303227,0.11156755045687154,-0.45565467424713335,-0.34239059004202016,0.4103731473948802,-0.19377121153596188,0.43299574761989573,0.14795783176543664,0.0925066822010175,0.3095552406201244,0.14468266467904292,0.2194163496519717,0.024692413730895393,-0.2332536036746716,-0.40899784142420426,-0.4256633143070425,0.20173866917191668,0.1281454168976593,0.4952306383678345,-0.4382839946393358,0.33677549678642255,-0.39580493333390776,-0.316931469596479,-0.36925766667819865,0.39923296115666,0.02997219587720265,0.3598609366210001,0.18463404290140892,-0.1042726739135703,0.31572372679632205,0.32164255614566745,0.1060306408257037,0.3367627087301525,-0.012350251076519905
SupraMarginal_R,-0.10738301929321496,-0.21217558646520082,-0.36550815262931147,0.2722845302415461,0.13092993416607213,0.27384021972329475,0.49089108345826227,1.0,-0.3063579015982089,-0.06698376565788688,0.546438205758638,0.3753037096160255,-0.06698129129230518,0.0452582221078346,-0.0334603626718472,-0.09437453299434992,0.10962757505615021,-0.08585769228634547,0.12790353547426767,0.20619978499667022,0.04648187228401685,0.3979328595553088,0.4440738352005597,0.6087902865262266,-0.15303141533500778,-0.016781318782868235,0.09267582971732512,0.29431357916026873,0.592292653167797,0.043822674611844796,-0.37721771646218966,0.07137803851144697,0.2873130602810654,-0.21990733351643224,-0.055510488400657386,0.07135187376334645,-0.058315115556561624,0.7304708313136916,0.22875147788423825,-0.09457926053638986,-0.006801603388561953,-0.07904392088409505,-0.14468666658719817,0.0735020603300738,-0.15993189507823896,-0.2944028365121417,-0.09520329473303005,-0.16085422247559367,-0.015663643410059817,0.23572675785038422,-0.09421382266440598,-0.05918597295513802,-0.36033772477375553,-0.24876177872203706,-0.3299323143847935,0.40284929321434665,-0.059881596711983,0.42035144206464475,0.2515550405216647,-0.40383148989662987,0.7999377271482007,0.035274150786366,-0.3319684762027319,0.07638666069426653,-0.14363047561546877
OFCpost_L,0.3974089795862837,-0.19021251318703478,0.39151523025283824,-0.4013502093917292,0.3993628567677859,0.06848346241221068,-0.026875112308550945,-0.3063579015982089,1.0,-0.1087522116911913,0.10774930596415302,-0.2289590939097217,-0.3583132732910113,-0.3134077648901454,-0.3463323134437877,0.5585566634410877,-0.1637201845810385,-0.23542035337092862,-0.3028385965195665,-0.1367797225249093,-0.13090457679196107,0.3778597680865101,0.0017783478767366123,-0.2684970017597112,0.05001622568929958,-0.24221008039589204,0.3308541293405012,-0.15868581460782283,-0.11911173028367725,0.3570823072089981,0.1921703192160576,0.2229959887548466,-0.14219720680398906,-0.08732068365703012,-0.21828768245004473,0.33321413357531293,0.004609863000361618,-0.3374203361380339,-0.06743538766736623,0.3320088764790142,0.3453557350355852,0.39258374028793935,0.4103505221870052,0.03178882473137955,0.06830114773281235,-0.11343746626810153,-0.27298611244075466,0.07501923245768727,0.15771710834243732,0.21348798039886469,-0.21792866688302878,0.2329907483563445,0.12050278564844023,-0.005878511804980027,0.0035541223232600826,-0.0636066166720647,0.3250008229619056,0.13601782802775852,-0.09942974518154248,0.3834369174260444,-0.3793501712333907,0.37630487519988215,0.5024474877224009,0.23733889423770224,0.3159680091590416
Vermis_3,-0.2231333569636183,0.5016875312593807,-0.19922593356585622,0.35491936590013223,-0.43264097311056315,-0.23135402166614719,-0.36017871116696265,-0.06698376565788688,-0.1087522116911913,1.0,0.07947960536153145,-0.5487438535436405,0.7169435519207791,0.6747630523497018,0.6573669597061566,-0.5294380282413512,0.5606864069303525,0.7843602909518947,0.4810579604380382,0.5185934976043765,-0.24133129677096657,-0.5149304197448825,0.4361847443972223,-0.2701854974353871,-0.07833654184946119,0.41530378834104076,-0.4664750686776302,0.6241778660606673,-0.09551051923102688,-0.25033249937289964,0.7150144272278524,-0.6667162595370312,0.6135269479690857,0.837257835376762,0.5037755872336521,-0.28317291393063615,0.8901037685365034,-0.1956266366833398,0.2450974294340483,-0.1790758998812356,-0.05987019440215841,-0.15297408192259818,-0.5385463358133419,0.39951750654871937,0.6477753460258038,0.6235589038295175,0.755519988181323,0.20640788864659693,-0.028584568757071546,-0.4797831571391164,0.7448354527230763,-0.4845501507018639,0.6885013772681348,0.4216077483561895,0.5891086500611223,-0.41859104013404635,-0.3336746153158142,-0.3001711195734148,-0.1436434251380005,0.05530259772699985,0.026281587249598944,-0.4033378835108004,-0.2435553688830264,-0.5265488012348307,-0.22224883220141298
