,Rolandic_Oper_L,Temporal_Mid_L,Thal_MDl_R,Occipital_Inf_R,Raphe_D,Vermis_8,Calcarine_L,Thal_AV_R,Hippocampus_R,Thal_MDm_R,Angular_L,Fusiform_L,Pallidum_R,Frontal_Inf_Oper_L,Precentral_R,Angular_R,Putamen_L,Cerebellum_3_L,ACC_pre_R,Temporal_Sup_L,Thal_PuI_L,Thal_VPL_L,Frontal_Med_Orb_L,Frontal_Inf_Orb_2_L,OFClat_L,Occipital_Mid_R,Vermis_9,Thal_LP_R,Cuneus_R,Rolandic_Oper_R,ACC_sup_L,Frontal_Med_Orb_R,Cerebellum_10_R,Supp_Motor_Area_R,OFClat_R,SN_pr_R,OFCpost_R,N_Acc_L,Frontal_Inf_Orb_2_R,Thal_MDm_L,Raphe_M,Temporal_Inf_L,Postcentral_L,Parietal_Sup_R,Temporal_Pole_Sup_L,Cerebellum_8_R,Rectus_R,Thal_PuM_R,Thal_Re_L,SupraMarginal_L,Vermis_10,Temporal_Pole_Mid_R,OFCant_L,Cingulate_Mid_R,Amygdala_R,Red_N_L,Cerebellum_Crus1_L,Thal_IL_R,Temporal_Pole_Mid_L,Thal_VL_L
Rolandic_Oper_L,1.0,0.3475055287049107,0.47472336598387777,-0.16149593564270454,0.23886410493377505,0.33027046676057464,-0.023764751458633108,0.6356662380013391,0.425594167747155,0.7301164750170522,-0.13619076557468787,0.40312927573860163,0.05173266697574043,0.3564226083641568,0.3931309454557738,-0.33223664270944264,0.5962847688293134,0.5155043006023673,0.19921502180631293,0.6418217412740597,0.6392413104573605,0.543248378918358,-0.014885832616857024,0.5862982212097514,-0.1781440495821083,-0.2801910465393485,-0.2828259652418467,0.006710071124220424,-0.3715901519403793,-0.029787505430694618,0.5215369794450574,-0.2876583969899807,0.2751712456162615,0.3676537747569836,-0.40227353924563475,0.34994215776666054,-0.06335384221531103,0.18220107245443481,-0.0005946724059449419,0.4966001342322278,-0.2429359590269224,0.28186761968918433,0.684706268102585,-0.0679354154904342,0.5535278002517531,0.528124582371607,0.2461303671380081,0.45350716246412853,0.2151889574176112,0.3687206952263273,-0.28875740096303065,0.19244114715430677,0.0735666099810955,0.4933028048621078,-0.22089995679966093,0.5731395757279271,-0.06181560928047099,0.6019535708119114,0.33097269296041043,0.7383999822045608
Temporal_Mid_L,0.3475055287049107,1.0,-0.2336697195302864,0.08152656716459462,-0.21406294242245943,0.4263011339634538,0.7292033498988734,0.28272855646562184,-0.45490103503555496,0.2028543270215919,0.7717966688155632,-0.36238806534362905,0.300802164360852,0.5876317884407061,-0.07292951532362996,0.33533887982441857,0.37568680059445897,-0.046531754946103586,-0.30866441418155904,0.8678197399989351,0.3390796597425686,0.6529277757333342,0.46661905402902104,-0.2994497599523389,-0.1639536287100159,-0.08902514984777483,-0.22209674086619519,-0.5096527005082245,0.34919272018303676,0.15763813662028864,0.06992207025100879,0.2256855507221225,-0.008783161427463469,-0.12984172365840094,-0.3335807397785138,0.08255387987964997,0.33491587389591126,-0.2967077557053854,-0.4838600786637921,0.09505832875281436,0.1209061627157671,0.11508045542007383,0.28225420566848075,-0.38545548766077753,-0.019415982089671227,-0.07926395200063924,-0.24888126832010385,0.17952490400519108,-0.028709771742433304,0.8217185255296886,0.5471876608154187,0.1338744239576996,0.11321176535878746,0.0010170965802910551,0.48248391097180965,-0.362707924192311,0.02608116493994346,-0.03466491254892553,0.028341548781500813,0.1717965646740908
Thal_MDl_R,0.47472336598387777,-0.2336697195302864,1.0,-0.04298730448599789,0.4025875493877845,0.05616238347212881,-0.2408216715186007,0.5175090670743416,0.64728739352985,0.7611471801165529,-0.39640451886980904,0.5218204445433163,0.05963157485460039,0.12207283708243362,0.7408388652881346,-0.19508303221571788,0.5166417749965705,0.6576850583645062,0.4664261732949103,0.0762936918380549,0.5100344063817404,0.39258850530117373,-0.2279262928481636,0.6244990398021281,0.23884517865383767,-0.010480010746924003,0.0069111589562394415,0.556261539407383,-0.2618117679592258,0.3345899892198508,0.7268313516850271,-0.3142492788101962,0.12532676681531948,0.6766605938066126,-0.1561923593462382,0.22200153794818323,-0.11005013039052944,0.352967797125694,0.4192289913906402,0.6004563666639535,-0.06853839222289201,0.3388885490334899,0.6481233783632872,0.27677597331519516,0.4573885666078639,0.4541236843682112,0.33147161442240447,0.6941819269304312,0.2186522119040537,-0.01501020384731095,-0.408300391845529,0.12201485381077666,0.1799801252869835,0.7744020467231096,-0.46091769464604876,0.6926982506258581,0.0024992531142186006,0.7699570476871311,0.3011395384574323,0.7179116870773206
Occipital_Inf_R,-0.16149593564270454,0.08152656716459462,-0.04298730448599789,1.0,0.04047672578889382,-0.05039364047288682,0.29742635214598834,-0.19121806743404204,-0.23787908260101223,-0.09995129828368898,0.2449377353700264,-0.3891413643236944,0.27640682415732015,0.30434352346014404,0.000630119929614802,0.43026659564715225,0.06854351951097679,-0.16881319230220856,0.058389085164086245,0.0727577449382444,-0.07665770860125552,0.08897771162225042,0.1368696523591361,-0.12985139754163547,0.39158916366688856,0.5118031529401851,0.0894521351512191,0.04262242744399303,0.3610471870020677,0.23810472243041028,-0.04311127793673469,0.2938588178642607,-0.10066300369883033,-0.03010882307137331,0.16644384975661705,-0.18830017357671647,0.10817802666811809,-0.1643783083719075,-0.06354895488841446,-0.0475904273444245,0.41515558453625956,-0.09566764859839241,-0.04367940234096505,-0.10631613170354388,-0.05257485826138668,-0.11565997260750646,-0.39231833267457855,0.11108474619399081,0.054750211050269545,0.045160634174150054,0.3742823724189468,0.0292272835892651,0.025002312349303068,0.046311768354020656,0.14927813771194737,-0.2834699864276946,0.030399680493797467,-0.11756043759960187,-0.24296029658336807,-0.052173802544653494
Raphe_D,0.23886410493377505,-0.21406294242245943,0.4025875493877845,0.04047672578889382,1.0,-0.10488436524926123,-0.10877322319232148,0.1565893839808847,0.4580143899382134,0.4102877035156825,-0.3394955244271259,0.2998146432882255,0.10566245771286842,0.10924709010481205,0.45381059965342535,0.02675921349348849,0.10792130708495222,0.31989603276625983,0.4199595007804693,-0.01756555980141484,0.3363255118842323,0.10106408876934536,-0.23387762955008812,0.3656928289118116,0.1429123150733889,0.004063631950058571,0.08000427037833595,0.2018674030214394,-0.08714410495271782,0.3825315770787775,0.339784016362706,-0.1554928464731239,0.3317304784334226,0.37926691782436106,-0.020738358528125115,-0.017333195501461868,-0.1703386763581939,-0.06582655723873268,0.34814286470382516,0.42181008688277827,0.22059696159955622,0.010665843153122852,0.30872768461731376,0.1083739868719811,0.30616067963936977,0.3433713089664856,0.10253492170430033,0.48842555893299927,0.33542827569536626,-0.17608663793113727,-0.18706196155589283,0.20866530818965823,0.219567163442545,0.4822350398906196,-0.2613366859882567,0.4859095565061962,0.1968283629806533,0.4261580332471147,0.03574314761921252,0.37510428012928987
Vermis_8,0.33027046676057464,0.4263011339634538,0.05616238347212881,-0.05039364047288682,-0.10488436524926123,1.0,0.15613675062887325,0.3388273516791168,0.030545161241975802,0.25023361473346983,0.2192627482181194,0.0843110915017378,-0.10745779328084096,0.06928062130575656,0.2649438803994076,-0.15245929767844216,0.09771907749999977,0.46741214773863665,-0.3335438343803915,0.4545327527305901,0.49832908622073596,0.5304333860491567,0.27689705443406465,-0.12850926106753624,-0.15513934026341006,-0.09583215785111177,-0.2446010881083824,-0.2835861978967517,-0.23742678516451762,-0.10633944097450353,0.32718878917294164,-0.1319087412004525,0.10319398790575599,0.35479974649481694,-0.43518683721276186,0.21121239682626053,0.040202262721965074,-0.22732517959442577,-0.4042013999856664,0.2656903192638046,-0.0974253980850565,0.3876416687009387,0.47421972066797224,-0.27047217835543935,-0.1506207690524702,0.2515570381601255,-0.03146193797838335,0.31025195618542983,-0.21415834145340523,0.6055728693433057,-0.000717439411451667,0.1839171809170732,0.07085056418045343,0.25736379793259284,0.21206946221050527,-0.03686043013943986,0.1615577456540216,0.12952801554841575,0.3951185667277468,0.29874144026281535
Calcarine_L,-0.023764751458633108,0.7292033498988734,-0.2408216715186007,0.29742635214598834,-0.10877322319232148,0.15613675062887325,1.0,0.036487596673707864,-0.7018050501029873,0.033940609642182845,0.8426653798500059,-0.6798071772069018,0.5845429597675494,0.6465744720303902,-0.1338719102617729,0.7387387394556396,0.2057068747586922,-0.30250023810718735,-0.3009792976244719,0.6786798104375328,0.2012871525094971,0.5181404710491816,0.41610250240947405,-0.5014662904529564,0.0882419836158158,0.08526996202554442,-0.23259607698095186,-0.46010038628342975,0.7410628918657588,0.5232334667473906,-0.18383291869113644,0.5351000271677923,-0.15096688431497748,-0.3048905323839638,-0.14673284988903917,-0.1627330141782286,0.3856371933674957,-0.4464496864720494,-0.4174100291486979,0.15656377398139393,0.4212535276617175,0.06864702478819973,0.036480116891601175,-0.46514279931349684,-0.1529446265867949,-0.3365474322704844,-0.5116307577954409,0.1382551753573132,0.0017567128729132561,0.5796116463916837,0.8650844184410676,0.1688833054032781,0.1549676208152358,-0.10651844604025863,0.6097370306481236,-0.5923269221060953,0.17256931377229406,-0.15286325134914772,-0.2549407188451994,-0.09347451514017135
Thal_AV_R,0.6356662380013391,0.28272855646562184,0.5175090670743416,-0.19121806743404204,0.1565893839808847,0.3388273516791168,0.036487596673707864,1.0,0.2821746496178165,0.7176681687423813,0.03349558275800202,0.35577214300920756,0.10107231161996356,0.22512635647588142,0.44911391537915346,-0.14883842020489738,0.5396709375326838,0.5751132976172108,0.08629301240525009,0.4632000597719319,0.5999016879036566,0.5815880259042574,0.030703330551260618,0.36288145664503046,-0.03721444736230796,-0.17442555402681473,-0.11679668683914643,0.12330944353040874,-0.22828038736182898,0.1825185508198293,0.5238796754722892,-0.20252971439075473,0.07285591739877295,0.37015424571441863,-0.46602215820305926,0.33428886133928604,0.13549087426112616,0.24489243526348337,0.01635682557790322,0.49129445806485633,-0.29486994687717716,0.34408628358747,0.6067773721458144,0.02538154604810168,0.406634290133769,0.37255970919221165,0.33056893023920086,0.42445317157099144,0.007093478942694308,0.4244282926558783,-0.22362322200913126,0.16375333658212682,0.1966366708285136,0.4861316963349548,-0.09687184889315807,0.45805895353140985,0.07114412310658204,0.48001374030687116,0.3127170776364145,0.6628895828388703
Hippocampus_R,0.425594167747155,-0.45490103503555496,0.64728739352985,-0.23787908260101223,0.4580143899382134,0.030545161241975802,-0.7018050501029873,0.2821746496178165,1.0,0.4645307580256178,-0.7362351788387121,0.889331835623958,-0.43829482449281176,-0.30159784469797035,0.6945902258465989,-0.609112149915571,0.08149386293696365,0.6965033131627199,0.4312361064745257,-0.20395230630491615,0.38298864509689073,-0.004625536354922511,-0.36217509679308274,0.7150360498189532,-0.013721548262834744,-0.12421200396365095,0.09912622834495208,0.4298814650790195,-0.6088809896936,-0.1390416175705632,0.6912840352526701,-0.5412928387692431,0.39296092442303643,0.749244217584551,-0.12246857203929437,0.2915399369972793,-0.4043141374581166,0.30529593517490766,0.4279360843623297,0.37714447763701003,-0.3031322447092277,0.21542301445270468,0.5664102026181939,0.5604026976912136,0.3956653053061327,0.6872550038568666,0.52720558187468,0.4842004673760518,0.17246366743606364,-0.2289830126715696,-0.8450319936337921,0.08011017579117893,0.03377498271547887,0.6560310711596449,-0.6933461284035036,0.8696902176028916,0.053511936466579584,0.6317746933704601,0.42934631403182616,0.5025788934075114
Thal_MDm_R,0.7301164750170522,0.2028543270215919,0.7611471801165529,-0.09995129828368898,0.4102877035156825,0.25023361473346983,0.033940609642182845,0.7176681687423813,0.4645307580256178,1.0,-0.14938986946009894,0.3900678786377862,0.2994922294155892,0.33447705980127257,0.6380313944178673,-0.1492846482118145,0.7268915309071865,0.6307318979205078,0.40575971427930224,0.48502840649394596,0.6934598573693348,0.6623141449681544,-0.02590000190228891,0.5760111421105046,0.013083327858033292,-0.1629141310239956,-0.17824820437000932,0.271129417556621,-0.2080347337373378,0.44014630853648573,0.6989980760522673,-0.22247436815137914,0.1555545028602648,0.5067806102507558,-0.3630569725428444,0.35343332100439856,0.004463310265322344,0.25218945855694214,0.26743676259085863,0.6156934000300528,-0.11379508940196387,0.2935943567630755,0.7301016468371467,-0.013555709492922572,0.5787551453250768,0.4263850949009901,0.27283140007390977,0.7147337444389293,0.30109073078704357,0.2811247185363877,-0.2142255844076086,0.16381501265383402,0.1596624284733033,0.7229667301696214,-0.2880892237840567,0.6553319686445424,0.020275803243606776,0.8109550354204275,0.28598422401860113,0.8676351524555309
