,Thal_MGN_R,Calcarine_R,Thal_LGN_L,Cerebellum_9_R,Lingual_R,ACC_sub_L,Thal_Re_L,Parietal_Sup_R,Frontal_Sup_2_R,Thal_PuL_R
Thal_MGN_R,1.0,0.41424604568865103,0.47135772304427803,0.3240822271901106,0.6084106414912119,0.11523138197766568,0.0770288544799347,0.020095444222209796,0.20333776264389536,0.4209333433248245
Calcarine_R,0.41424604568865103,1.0,0.20931017837465504,0.1510480528944668,0.7972082405821598,0.22503981331292403,0.12132251641176839,0.4663580969761339,0.1494559153003014,0.4721836189940267
Thal_LGN_L,0.47135772304427803,0.20931017837465504,1.0,0.516318851998786,0.4469334537749538,0.13700562255165535,0.06309072019601025,-0.16396179620989826,0.12342444129240115,0.10225871197425643
Cerebellum_9_R,0.3240822271901106,0.1510480528944668,0.516318851998786,1.0,0.34363357345855533,-0.018120147652286474,0.0581969214623213,-0.2385714607188963,0.22545622109318952,0.03207215574180485
Lingual_R,0.6084106414912119,0.7972082405821598,0.4469334537749538,0.34363357345855533,1.0,0.26934632726972324,0.22148015936362123,0.23140901274220133,0.29908760039599497,0.5571243371459108
ACC_sub_L,0.11523138197766568,0.22503981331292403,0.13700562255165535,-0.018120147652286474,0.26934632726972324,1.0,0.009968287657581516,-0.0075441961748585135,0.048054945310408576,0.023887956085786494
Thal_Re_L,0.0770288544799347,0.12132251641176839,0.06309072019601025,0.0581969214623213,0.22148015936362123,0.009968287657581516,1.0,0.270074193862066,0.19316049257435453,0.444034909229552
Parietal_Sup_R,0.020095444222209796,0.4663580969761339,-0.16396179620989826,-0.2385714607188963,0.23140901274220133,-0.0075441961748585135,0.270074193862066,1.0,0.2405729973909962,0.38549570969666347
Frontal_Sup_2_R,0.20333776264389536,0.1494559153003014,0.12342444129240115,0.22545622109318952,0.29908760039599497,0.048054945310408576,0.19316049257435453,0.2405729973909962,1.0,0.24774799917770574
Thal_PuL_R,0.4209333433248245,0.4721836189940267,0.10225871197425643,0.03207215574180485,0.5571243371459108,0.023887956085786494,0.444034909229552,0.38549570969666347,0.24774799917770574,1.0
